at,ptsMs,latencyMs,frameType
3611,94291,300,B
3648,94333,296,P
3694,94375,300,I
3740,94416,304,B
3777,94458,299,B
3819,94500,301,B
3861,94541,300,P
3902,94583,299,B
3948,94625,304,B
3986,94666,301,B
4028,94708,300,P
4069,94750,301,B
4192,94791,381,P
4234,94833,382,B
4277,94875,383,B
4321,94916,385,P
4364,94958,386,P
4400,95000,381,I
4444,95041,383,P
4484,95083,381,P
4528,95125,384,P
4570,95166,384,P
4611,95208,383,P
4652,95250,383,P
4693,95291,382,P
4735,95333,382,P
4780,95375,386,P
4836,95416,400,P
4877,95458,399,P
4925,95500,406,P
4965,95541,404,P
5003,95583,401,P
5052,95625,408,I
5092,95666,406,P
5132,95708,404,P
5172,95750,403,P
5212,95791,401,P
5260,95833,408,P
5294,95875,400,P
5336,95916,400,P
5379,95958,401,P
5423,96000,404,P
5462,96041,401,P
5506,96083,403,P
5548,96125,405,P
5588,96166,403,P
5636,96208,409,P
5676,96250,407,I
5717,96291,406,P
5756,96333,403,P
5804,96375,411,B
5844,96416,409,P
5879,96458,402,B
5922,96500,404,B
5963,96541,403,P
6004,96583,401,B
6052,96625,408,B
6092,96666,406,B
6132,96708,405,P
6172,96750,403,P
6220,96791,410,P
6260,96833,407,P
6300,96875,406,I
6340,96916,405,B
6380,96958,402,B
6428,97000,409,P
6469,97041,408,B
6508,97083,405,B
6548,97125,404,B
6591,97166,405,P
6633,97208,405,P
6676,97250,407,P
6712,97291,401,P
6756,97333,403,P
6801,97375,407,B
6844,97416,408,B
6884,97458,406,P
6924,97500,405,I
6964,97541,403,P
7012,97583,409,P
7052,97625,409,B
7092,97666,406,B
7132,97708,404,P
7172,97750,403,B
7217,97791,407,B
7259,97833,406,B
7300,97875,406,P
7330,97916,395,B
7375,97958,397,B
7420,98000,402,B
7460,98041,399,P
7500,98083,397,P
7539,98125,395,I
7588,98166,402,B
7628,98208,400,B
7668,98250,400,B
7708,98291,397,P
7756,98333,404,B
7793,98375,399,B
7835,98416,399,B
7875,98458,397,P
7916,98500,397,B
7952,98541,392,B
7994,98583,391,B
8036,98625,392,P
8084,98666,399,B
8124,98708,396,P
8164,98750,395,I
8204,98791,393,B
8253,98833,400,B
8292,98875,398,B
8332,98916,397,P
8372,98958,394,B
8412,99000,393,B
8455,99041,395,B
8496,99083,394,P
8537,99125,394,B
8557,99166,371,B
8604,99208,376,B
8644,99250,376,P
8683,99291,373,B
8732,99333,379,P
8772,99375,379,I
8810,99416,375,B
8851,99458,374,B
8892,99500,373,P
8940,99541,379,B
8981,99583,378,B
9019,99625,375,B
9059,99666,374,P
9099,99708,371,P
9148,99750,379,B
9188,99791,378,B
9228,99833,375,B
9268,99875,374,P
9308,99916,372,P
9356,99958,378,P
9390,100000,371,I
9437,100041,376,P
9474,100083,372,B
9516,100125,372,P
9564,100166,379,B
9604,100208,376,B
9644,100250,375,B
9684,100291,373,P
9724,100333,372,B
9765,100375,372,P
9817,100416,381,B
9859,100458,382,P
9908,100500,390,B
9948,100541,387,P
9988,100583,386,P
10028,100625,384,I
10066,100666,381,B
10108,100708,380,B
10156,100750,387,P
10195,100791,384,B
10233,100833,381,B
10276,100875,382,P
10323,100916,387,B
10364,100958,386,P
10404,101000,385,P
10442,101041,382,B
10484,101083,382,B
10532,101125,388,P
10572,101166,386,B
10610,101208,383,P
10651,101250,382,I
10693,101291,382,B
10740,101333,387,B
10778,101375,384,P
10820,101416,384,B
10866,101458,388,B
10906,101500,387,B
10947,101541,386,P
10988,101583,385,B
11027,101625,384,B
11080,101666,394,B
11122,101708,395,P
11166,101750,397,B
11204,101791,394,P
11252,101833,400,P
11292,101875,399,I
11332,101916,396,B
11380,101958,402,B
11420,102000,401,P
11454,102041,394,B
11500,102083,398,P
11539,102125,396,P
11586,102166,400,P
11627,102208,399,P
11668,102250,399,P
11694,102291,383,B
11737,102333,384,B
11780,102375,386,P
11820,102416,384,B
11868,102458,390,P
11903,102500,384,I
11947,102541,387,B
11987,102583,385,P
12036,102625,392,P
12069,102666,384,P
12116,102708,388,B
12153,102750,385,B
12195,102791,384,B
12236,102833,383,P
12284,102875,391,B
12322,102916,386,B
12368,102958,390,B
12408,103000,389,P
12447,103041,386,B
12491,103083,388,P
12532,103125,389,I
12577,103166,392,B
12620,103208,392,P
12659,103250,391,P
12700,103291,390,P
12738,103333,386,P
12786,103375,392,B
12828,103416,392,B
12868,103458,391,B
12908,103500,389,P
12926,103541,366,B
12973,103583,370,B
13011,103625,367,B
13060,103666,375,P
13101,103708,373,P
13140,103750,371,I
13180,103791,370,B
13220,103833,367,B
13268,103875,375,B
13308,103916,372,P
13348,103958,370,P
13388,104000,370,P
13427,104041,366,P
13469,104083,366,P
13516,104125,373,P
13557,104166,371,P
13604,104208,376,P
13644,104250,375,P
13684,104291,373,P
13731,104333,379,P
13772,104375,378,I
13812,104416,377,P
13852,104458,374,P
13893,104500,374,P
13940,104541,379,P
13980,104583,377,P
14020,104625,376,P
14059,104666,374,P
14100,104708,373,P
14141,104750,372,P
14216,104791,405,P
14259,104833,407,P
14300,104875,406,P
14348,104916,413,P
14388,104958,411,P
14428,105000,409,I
14467,105041,407,P
14516,105083,414,P
14556,105125,412,P
14596,105166,411,P
14636,105208,408,P
14676,105250,408,P
14718,105291,407,P
14758,105333,406,P
14803,105375,410,P
14842,105416,406,B
14883,105458,406,B
14933,105500,414,B
14973,105541,412,P
15012,105583,409,P
15052,105625,409,I
15092,105666,407,P
15140,105708,413,P
