at,payloadSizeBytes,frameType
3848,1026,B
3897,2148,P
3934,2058,P
3981,2241,P
4037,4115,P
4061,1515,B
4102,1588,B
4150,3345,P
4203,4095,P
4241,4029,P
4357,14249,I
4388,4215,P
4421,4315,P
4450,4060,P
4490,5268,P
4504,1919,B
4531,3468,P
4576,3832,P
4617,3802,P
4660,3925,P
4707,4576,P
4746,4325,P
4791,4859,P
4827,4711,P
4877,5129,P
4939,8103,I
4959,2483,P
4981,2225,P
5023,2361,P
5056,858,B
5108,2552,P
5151,2795,P
5198,3441,P
5225,1459,B
5266,1188,B
5337,5279,P
5349,1665,B
5388,874,B
5447,3156,P
5474,1103,B
5663,22349,I
5699,2732,P
5704,384,B
5707,406,B
5712,221,B
5732,2293,P
5758,482,B
5801,167,B
5865,3447,P
5889,703,B
5928,368,B
5968,414,B
6029,3476,P
6055,874,B
6095,668,B
6277,20893,I
6299,2632,P
6319,2510,P
6334,1923,P
6354,2597,P
6374,2462,P
6398,2453,P
6437,2112,P
6480,2046,P
6526,2785,P
6549,446,B
6594,372,B
6635,174,B
6691,2511,P
6719,431,B
6913,22753,I
6937,2984,P
6942,397,B
6947,364,B
6951,165,B
6993,4098,P
7008,465,B
7049,175,B
7114,3134,P
7136,451,B
7213,5608,P
7223,1157,B
7260,587,B
7305,809,B
7355,2004,P
7537,22599,I
7563,3361,P
7571,906,B
7579,707,B
7584,495,B
7641,7308,P
7646,514,B
7677,549,B
7715,203,B
7794,5145,P
7804,512,B
7843,488,B
7884,198,B
7941,2419,P
7965,393,B
8158,21888,I
8174,1953,P
8179,396,B
8202,3219,P
8238,4860,P
8244,532,B
8261,431,B
8299,237,B
8366,4231,P
8384,485,B
8428,450,B
8467,194,B
8519,1717,P
8548,430,B
8590,246,B
8757,18232,I
8796,5406,P
8804,670,B
8817,1778,P
8833,1773,P
8848,1601,P
8895,1790,P
8933,1938,P
8971,707,B
9020,1936,P
9063,1942,P
9104,1879,P
9148,2169,P
9181,1734,P
9223,999,B
9326,10461,I
9344,2312,P
9365,2747,P
9390,1123,B
9441,2493,P
9484,2784,P
9525,2454,P
9567,2930,P
9608,2659,P
9651,2874,P
9701,3927,P
9725,1188,B
9782,3519,P
9806,1453,B
9850,1318,B
9996,16248,I
10023,3641,P
10036,1472,B
10045,937,B
10053,837,B
10113,3182,P
10137,1077,B
10177,966,B
10228,2179,P
10274,2415,P
10316,2519,P
10359,2662,P
10405,3224,P
10450,3563,P
10487,3169,P
10604,13765,I
10627,3106,P
10647,2738,P
10669,2656,P
10691,2781,P
10735,2809,P
10781,3268,P
10817,2638,P
10859,3078,P
10905,3475,P
11045,17337,P
11052,793,B
11059,658,P
11066,716,P
11097,737,P
11232,14186,I
11247,1886,P
11252,593,B
11258,383,B
11303,573,B
11371,4458,P
11396,1949,B
11428,1086,B
11482,2435,B
11536,4239,P
11584,5528,P
11598,1689,B
11637,1185,B
11709,5172,P
11729,2111,B
11904,21646,I
11937,4306,P
11949,1636,B
11959,1203,B
11988,3692,P
12001,1823,B
12014,966,B
12060,1433,B
12110,2921,P
12148,2473,P
12192,2732,P
12235,2809,P
12266,1207,B
12306,919,B
12356,2133,P
12506,17865,I
12539,4448,P
12553,1521,B
12562,989,B
12569,917,B
12604,1869,P
12739,15231,P
12741,169,B
12750,740,B
12757,153,B
12815,2378,P
12844,451,B
12883,204,B
12922,152,B
12968,229,P
13101,13453,I
13118,2295,P
13137,2333,P
13139,248,P
13178,441,P
13220,533,P
13260,423,P
13310,1462,P
13350,1215,P
13387,745,P
13430,727,P
13480,2110,P
13530,3391,P
13563,1816,P
13594,403,B
13786,22150,I
13799,1451,P
13812,1764,P
13828,2059,P
13846,2279,P
13862,2076,P
13896,2000,P
13940,2315,P
13975,1325,P
14013,1034,P
14054,1007,P
14097,1054,P
14155,3507,P
14178,450,B
14223,1137,P
14416,22683,I
14430,1781,P
14450,2595,P
14467,2188,P
14486,2587,P
14494,472,B
14520,1918,P
14574,3571,P
14595,566,B
14640,1636,P
14688,1981,P
14720,412,B
14773,2784,P
14804,501,B
14851,1606,P
15041,22728,I
15061,2574,P
15067,491,B
15081,1940,P
15087,417,B
15104,1830,P
15136,457,B
