at_sec latencyMs frameType
0.000 299 B
1.001 382 P
2.032 414 P
3.030 412 P
4.025 406 B
5.001 383 P
6.000 382 P
7.007 388 P
8.000 381 P
9.024 405 B
10.009 390 P
11.024 406 P
12.008 390 P
13.004 386 P
14.009 391 P
15.032 373 B
16.001 425 B
17.033 415 P
18.032 414 B
19.032 414 B
20.033 415 B
21.033 415 B
22.033 414 P
23.033 414 P
24.032 414 B
25.033 414 P
26.033 414 B
27.032 414 P
28.033 414 B
29.033 414 B
30.032 414 P
31.032 414 B
32.024 448 B
33.058 524 P
34.005 554 P
35.007 556 B
36.009 558 P
37.006 555 B
38.008 557 P
39.007 556 P
40.007 556 P
41.008 557 B
42.001 550 P
43.005 554 P
44.008 557 P
45.006 554 B
46.001 550 B
47.005 554 B
48.007 556 P
49.006 555 B
50.001 550 P
51.008 557 P
52.005 554 B
53.008 557 P
54.003 552 B
55.005 554 B
56.005 554 P
57.001 550 P
58.009 558 P
59.006 555 B
60.006 555 B
61.252 1093 P
62.136 1810 P
64.765 3981 B
64.856 3988 P
65.017 3983 I
66.065 3989 P
67.017 3983 P
68.017 4316 P
69.063 4987 P
70.407 5789 P
71.041 5965 P
72.110 6784 P
73.735 7784 B
74.032 7790 P
75.102 8359 B
76.017 8733 I
77.118 9168 B
78.040 9548 P
79.073 9830 B
80.025 10241 I
81.230 10904 B
82.081 11131 B
83.001 11383 P
84.033 11749 I
85.012 12145 P
86.000 12257 P
87.049 12681 B
88.003 13010 B
89.000 13467 P
90.030 13997 I
91.031 13997 B
92.079 14003 P
93.032 13999 P
94.071 13996 B
95.031 13998 I
96.030 13997 P
97.032 13998 B
98.031 13998 B
99.032 13999 P
100.033 13999 I
101.032 13998 P
102.033 13999 P
103.032 13998 B
104.032 13999 B
105.032 13999 I
106.033 14000 P
107.033 13999 P
108.120 14002 P
109.073 13998 B
110.031 13998 I
111.032 13999 P
112.031 13998 P
113.033 14000 P
114.080 14005 P
115.033 13999 I
116.032 13999 P
117.032 13999 P
118.033 13999 P
119.118 14000 P
120.032 13999 I
121.032 13999 P
122.078 14002 P
123.032 13999 P
124.078 14003 P
125.032 13999 I
126.120 14003 P
127.033 13999 P
128.077 14002 P
129.117 14000 P
130.030 13997 I
131.032 13999 P
132.033 13999 P
133.032 13999 P
134.032 13999 P
135.033 14000 I
136.072 13997 P
137.033 14000 P
138.077 14002 P
139.121 14003 P
140.032 13999 I
141.157 13999 P
142.032 13999 P
143.031 13998 P
144.032 13999 P
145.033 14000 I
146.033 14000 B
147.033 14000 B
148.030 13997 P
149.033 14000 B
