at,ptsMs,latencyMs,frameType
3592,573000,305,B
3632,573041,303,B
3672,573083,301,P
3753,573125,341,I
3801,573166,346,B
3840,573208,345,B
3923,573250,385,P
3969,573291,389,B
4008,573333,388,B
4057,573375,394,B
4096,573416,392,P
4136,573458,391,B
4176,573500,389,B
4364,573541,535,B
4408,573583,538,P
4456,573625,544,B
4493,573666,539,B
4536,573708,541,P
4576,573750,538,I
4615,573791,536,B
4656,573833,535,B
4704,573875,542,P
4745,573916,540,B
4784,573958,539,B
4823,574000,536,B
4872,574041,543,P
4908,574083,538,B
4952,574125,540,B
5039,574166,585,P
5088,574208,593,B
5128,574250,591,P
5168,574291,589,B
5207,574333,587,P
5253,574375,591,I
5297,574416,592,P
5333,574458,588,B
5376,574500,589,B
5416,574541,587,P
5457,574583,586,B
5502,574625,590,B
5544,574666,589,P
5583,574708,588,B
5624,574750,587,B
5669,574791,590,P
5712,574833,592,B
5750,574875,588,B
5792,574916,588,B
5830,574958,585,P
5876,575000,589,I
5920,575041,591,B
5960,575083,590,B
6000,575125,588,P
6048,575166,594,B
6088,575208,593,B
6128,575250,591,B
6168,575291,589,P
6207,575333,587,B
6250,575375,587,B
6296,575416,592,B
6333,575458,588,P
6376,575500,588,B
6416,575541,587,B
6464,575583,594,P
6505,575625,592,I
6544,575666,590,B
6582,575708,587,B
6625,575750,587,B
6672,575791,593,P
6712,575833,592,B
6752,575875,590,B
6792,575916,588,B
6832,575958,587,P
6880,576000,593,B
6917,576041,588,B
6959,576083,589,P
7008,576125,596,B
7048,576166,593,P
7085,576208,589,P
7125,576250,588,I
7168,576291,589,B
7253,576375,590,P
7296,576416,592,P
7336,576458,590,B
7425,576541,595,P
7464,576583,594,B
7500,576625,587,P
7567,576666,613,P
7616,576708,621,B
7656,576750,619,B
7694,576791,615,P
7795,576833,674,P
7836,576875,673,I
7880,576916,676,P
7928,576958,683,B
7968,577000,681,P
8008,577041,678,P
8048,577083,678,B
8088,577125,676,B
8134,577166,679,P
8176,577208,681,B
8216,577250,679,B
8256,577291,676,P
8297,577333,676,B
8342,577375,679,B
8380,577416,675,P
8425,577458,679,P
8470,577500,683,I
8512,577541,682,B
8553,577583,682,B
8593,577625,680,B
8632,577666,678,P
8672,577708,677,B
8715,577750,677,B
8761,577791,681,P
8801,577833,680,P
8841,577875,678,P
8888,577916,684,B
8928,577958,683,B
8969,578000,681,P
9088,578041,759,B
9132,578083,762,P
9177,578125,764,I
9216,578166,761,B
9257,578208,761,B
9304,578250,767,B
9344,578291,765,P
9385,578333,764,P
9424,578375,762,B
9464,578416,759,P
9504,578458,759,B
9547,578500,760,B
9588,578541,758,B
9631,578583,760,P
9677,578625,765,B
9720,578666,766,P
9755,578708,760,P
9800,578750,763,I
9839,578791,760,B
9887,578833,767,B
9929,578875,767,B
9969,578916,765,P
10005,578958,760,B
10048,579000,761,B
10096,579041,767,B
10137,579083,767,P
10175,579125,763,B
10216,579166,761,B
10256,579208,761,P
10299,579250,762,B
10341,579291,761,P
10380,579333,760,P
10425,579375,763,I
10466,579416,762,B
10505,579458,759,P
10547,579500,760,P
10589,579541,760,P
10631,579583,761,B
10672,579625,759,P
10716,579666,762,B
10760,579708,765,B
10800,579750,762,B
10840,579791,761,P
10888,579833,768,B
10928,579875,766,P
10968,579916,764,B
11008,579958,762,P
11047,580000,760,I
11097,580041,767,B
11132,580083,761,B
11177,580125,764,B
11215,580166,761,P
11255,580208,760,B
11303,580250,765,B
11344,580291,765,B
11384,580333,764,P
11424,580375,762,B
11465,580416,761,B
11512,580458,767,B
11548,580500,761,P
11589,580541,759,B
11632,580583,761,P
11679,580625,766,I
11716,580666,762,B
11757,580708,761,B
11799,580750,762,B
11838,580791,759,P
11888,580833,768,B
11927,580875,764,B
11963,580916,759,B
12005,580958,759,P
12048,581000,760,B
12094,581041,764,B
12136,581083,766,B
12173,581125,761,P
12213,581166,759,B
12255,581208,760,P
12304,581250,766,I
12338,581291,759,B
12381,581333,760,B
12423,581375,761,B
12464,581416,760,P
12506,581458,760,B
12549,581500,761,B
12589,581541,760,B
12632,581583,762,P
12674,581625,761,B
12714,581666,759,B
12754,581708,759,B
12798,581750,761,P
12838,581791,759,B
12880,581833,760,P
12925,581875,763,I
12966,581916,762,B
13006,581958,761,B
13048,582000,761,B
13088,582041,759,P
13131,582083,760,B
13172,582125,760,B
13215,582166,761,B
13256,582208,761,P
13299,582250,761,B
13338,582291,759,B
13381,582333,761,B
13423,582375,761,P
13464,582416,760,B
13506,582458,760,P
13550,582500,763,I
13588,582541,759,B
13631,582583,761,B
13672,582625,760,P
13715,582666,761,B
13757,582708,761,B
13799,582750,761,B
13840,582791,761,P
13881,582833,761,P
13923,582875,761,B
13964,582916,760,B
14006,582958,761,B
14047,583000,760,P
14089,583041,759,B
14129,583083,759,P
14176,583125,764,I
14214,583166,759,P
14255,583208,760,B
14299,583250,761,B
14340,583291,761,B
14381,583333,761,P
14424,583375,761,B
14465,583416,761,P
14507,583458,762,B
14547,583500,760,B
14589,583541,759,B
14632,583583,761,P
14672,583625,760,B
14714,583666,760,B
14754,583708,759,P
14799,583750,762,I
14839,583791,760,B
14883,583833,763,B
14928,583875,766,B
14964,583916,759,P
15007,583958,762,B
15047,584000,760,B
15088,584041,759,B
15132,584083,762,P
15172,584125,760,B
15214,584166,760,B
15257,584208,761,B
