at,payloadSizeBytes,frameType
3522,1242,B
3548,1138,B
3724,4523,P
3745,2234,B
3758,1736,B
3792,1413,B
3857,4594,P
3876,2374,B
3912,1362,B
3934,1581,B
4354,20342,I
4745,931,B
4841,4712,P
4851,1067,B
4879,1051,B
4888,4020,P
4947,3666,P
4971,2707,P
5173,20026,I
5341,4521,P
5391,1090,B
5450,3642,P
5475,4379,P
5501,3290,P
5527,1132,B
5545,952,B
5721,20277,I
5747,3641,P
5796,3370,P
5831,4814,P
6048,3455,P
6304,20942,I
6393,5193,P
6418,3569,P
6443,3884,P
6460,2658,P
6754,1111,B
6897,20943,I
6946,4993,P
6990,3555,P
7039,4346,P
7066,3362,P
7076,1965,B
7077,1260,B
7077,1459,B
7091,1841,B
7099,1784,B
7100,1144,B
7100,1200,B
7100,1956,B
7544,20142,I
7595,6000,P
7612,979,B
7628,3298,P
7673,3365,P
7716,3932,P
8024,984,B
8143,20770,I
8187,4284,P
8196,1104,B
8221,1025,B
8229,4188,P
8254,3668,P
8270,2353,B
8342,3675,P
8342,1404,B
8342,2409,B
8342,1214,B
8343,1207,B
8853,20851,I
8921,4935,P
8954,3993,P
9157,3539,P
9172,2626,P
9661,19255,I
9687,4424,P
9720,3724,P
9754,3666,P
9788,4040,P
10047,18998,I
10143,4885,P
10167,2836,P
10200,3037,P
10228,3791,P
10263,4743,P
10288,3239,P
10434,17225,I
10460,3223,P
10485,3177,P
10511,3273,P
10563,5902,P
10572,2222,B
10572,1980,B
10588,1543,B
10589,1444,B
10589,1542,B
10597,1866,B
10605,2200,B
10605,1688,B
10613,1414,B
10613,1488,B
10622,1959,B
10622,1312,B
10622,1473,B
10630,2007,B
10630,1391,B
10648,1936,B
10649,1867,B
10649,1225,B
10656,1438,B
10656,1683,B
10656,1364,B
10698,5280,P
10707,1896,B
10707,1158,B
10707,1191,B
10707,1597,B
10733,2603,B
10733,1787,B
10733,1470,B
10733,1391,B
10740,1879,B
10740,1456,B
10750,1734,B
10750,1791,B
10757,1692,B
10757,1624,B
10765,2068,B
10765,963,B
10765,2155,B
10783,1940,B
10801,1572,B
10802,1848,B
10802,1213,B
10809,1946,B
10809,1528,B
10810,1438,B
10826,2531,B
10827,1522,B
10827,1422,B
10834,1271,B
11007,19024,I
11040,4332,P
11049,170,P
11058,2537,B
11058,1888,B
11066,2116,B
11066,1923,B
11075,1784,B
11076,1377,B
11083,1507,B
11083,1890,B
11091,1649,B
11091,1485,B
11101,156,B
11101,2042,B
11101,1612,B
11110,1735,B
11110,1716,B
11127,155,B
11127,2639,B
11127,1443,B
11127,1324,B
11134,2197,B
11144,2177,B
11154,1165,B
11161,1892,B
11161,2109,B
11170,153,B
11170,1484,B
11170,1508,B
11178,1940,B
11187,2028,B
11187,1547,B
11187,1419,B
11196,1555,B
11196,1758,B
11196,1567,B
11204,1405,B
11204,1406,B
11204,1531,B
11212,1890,B
11212,1363,B
11212,1519,B
11217,489,P
11233,2176,P
11250,2024,P
11284,1573,B
11322,883,B
11367,2352,P
11417,3384,I
11451,1755,P
11500,2916,P
11531,1156,B
11597,4868,P
11616,1377,B
11679,4775,P
11703,2296,B
11750,2669,B
11805,4946,P
11859,6524,P
11881,2794,B
11913,2180,B
11954,2062,B
12005,3693,P
12144,17448,I
12190,3931,P
12215,4069,P
12219,2054,B
12237,2024,B
12248,1386,B
12277,1263,B
12350,5165,P
12367,1660,B
12438,5762,P
12456,2391,B
12491,1371,B
12532,1275,B
12605,6071,P
12620,1706,B
12792,18970,I
12826,3705,P
12849,4144,P
12854,1867,B
12865,1335,B
12878,1347,B
12937,5468,P
12951,1671,B
12986,1029,B
13034,1571,B
13107,6299,P
13116,871,B
13164,3069,P
13193,645,B
13235,595,B
13421,21093,I
13458,5210,P
13469,1089,B
13474,657,B
13482,623,B
13526,5991,P
13539,1670,B
13569,1247,B
13607,677,B
13693,6457,P
13704,1382,B
13734,730,B
13774,657,B
13824,2003,P
13861,728,B
14037,19858,I
14080,5811,P
14091,1154,B
14097,614,B
14105,865,B
14155,6812,P
14168,1419,B
14194,1085,B
14236,734,B
14311,5421,P
14321,886,B
14360,752,B
14424,4296,P
14442,842,B
14487,863,B
14689,23657,I
14719,4172,P
14730,1124,B
14736,667,B
14743,658,B
14782,5274,P
14794,1171,B
14819,748,B
14893,5448,P
14904,1208,B
14944,808,B
14985,741,B
15051,4584,P
15069,997,B
15105,839,B
