at_sec latencyMs frameType
0.000 296 P
1.002 423 B
2.046 425 P
3.001 422 B
4.016 437 B
5.007 470 B
6.009 473 B
7.006 469 P
8.009 472 B
9.005 468 I
10.006 470 B
11.003 466 B
12.003 466 B
13.009 472 B
14.009 472 I
15.005 468 B
16.010 473 P
17.029 492 B
18.033 496 B
19.034 497 I
20.015 478 B
21.008 513 B
22.009 514 P
23.009 513 P
24.005 510 P
25.009 513 P
26.009 555 P
27.009 555 P
28.010 556 B
29.010 556 P
30.009 555 B
31.041 546 P
32.001 630 P
33.001 798 P
34.096 1267 B
35.004 1425 B
36.009 1430 B
37.003 2383 P
38.009 2389 B
39.009 2388 P
40.009 2389 P
41.136 3307 B
42.017 3981 B
43.887 5517 P
48.817 10321 P
48.862 10325 I
48.906 10327 P
48.945 10325 P
48.985 10324 P
49.033 10329 P
50.034 10330 P
51.033 10330 B
52.033 10330 B
53.033 10329 P
54.034 10330 P
55.073 10328 P
56.110 10324 P
57.074 10328 B
58.109 10322 P
59.034 10330 P
60.050 10721 B
61.760 12057 P
62.018 12064 P
63.618 13290 B
64.009 13348 B
65.373 14503 P
66.206 14960 P
67.639 16144 P
68.002 16131 B
69.349 17145 B
71.003 18258 P
71.049 18263 P
72.705 19251 B
73.049 19346 P
75.025 20989 P
75.073 20995 P
76.056 21103 P
77.001 21256 P
78.009 21514 B
79.231 22028 B
80.051 22222 P
81.001 22423 B
82.050 22597 B
83.010 22931 B
84.126 23256 P
85.364 23953 P
86.191 24238 P
87.073 24537 P
88.094 24724 P
89.102 25066 P
90.111 25366 P
91.002 25506 P
92.123 25795 P
93.025 25780 P
94.074 25788 P
95.112 25784 P
96.074 25788 P
97.154 25784 P
98.025 25780 P
99.025 25780 P
100.113 25785 P
101.024 25779 P
102.154 25784 P
103.024 25779 P
104.025 25780 P
105.067 25781 P
106.108 25780 P
107.153 25783 P
108.025 25780 P
109.025 25780 P
110.113 25785 P
111.025 25780 P
112.153 25783 P
113.025 25780 P
114.153 25784 P
115.107 25779 P
116.065 25779 P
117.149 25779 P
118.025 25780 P
119.025 25780 P
120.025 25780 P
121.074 25788 P
122.153 25783 P
123.023 25779 P
124.024 25780 P
125.113 25785 P
126.073 25787 P
127.065 25780 P
128.025 25780 P
129.025 25780 P
130.113 25785 P
131.023 25779 P
132.073 25787 P
133.023 25779 P
134.024 25780 P
