at,payloadSizeBytes,frameType
3888,4121,P
3927,2079,B
3955,1348,B
3982,1388,B
4040,3091,P
4246,12143,P
4274,1553,B
4299,1188,B
4314,757,B
4331,810,P
4435,6069,I
4478,2376,P
4496,868,B
4509,549,B
4520,493,B
4587,3824,P
4650,1088,B
4666,654,B
4681,643,B
4782,5966,P
4803,1145,B
4822,812,B
4837,743,B
4914,4444,P
4936,960,B
5337,23831,I
5393,3094,P
5418,1289,B
5535,6852,P
5564,1573,B
5583,947,B
5601,958,B
5674,4184,P
5684,406,B
5691,200,B
5700,384,B
5784,1134,B
5801,773,B
5974,1321,B
5990,752,B
6006,651,B
6094,880,B
6107,494,B
6118,499,B
6203,721,B
6214,495,B
6227,482,B
6278,4492,P
6278,3859,P
6816,802,B
6831,732,B
6938,1215,B
6954,806,B
6969,688,B
7114,355,B
7121,214,B
7128,226,B
7198,497,B
7210,319,B
7217,272,B
7317,14177,I
7337,2426,P
7337,4372,P
7337,3999,P
7338,3849,P
7338,1668,P
7338,20296,I
7403,3804,P
7404,4705,P
7496,1263,B
7521,1243,B
7536,710,B
7615,4886,P
7635,1411,B
7651,820,B
7651,715,B
7691,2386,P
7967,699,B
8021,606,B
8145,894,B
8163,960,B
8445,2099,B
8473,1419,B
8500,1390,B
8683,21052,I
8683,5228,P
8683,3364,P
8683,4836,P
8762,837,B
8768,655,B
8824,2121,B
8826,1355,B
8835,5127,P
8851,1065,B
8867,838,B
8875,840,B
8881,925,B
8884,1597,B
8909,798,B
8972,946,B
8990,1750,B
9029,861,B
9077,1792,B
9088,1042,B
9145,10609,I
9171,3750,P
9172,4880,P
9172,4970,P
9219,1253,B
9227,961,B
9257,3385,B
9327,6495,P
9352,5429,P
9353,10200,I
9353,5169,P
9353,5909,P
9353,7967,P
9353,2378,P
9411,1813,B
9430,932,B
9529,1877,B
9540,1238,B
9578,1125,B
9627,1911,B
9660,6563,I
9686,3584,P
9687,2820,P
9687,4356,P
9687,6219,P
9694,1812,B
9702,855,B
9711,2335,B
9723,1882,B
9732,1154,B
9733,1217,B
9743,1001,B
9818,17936,I
9818,4529,P
9870,2068,B
9873,3775,P
9874,4531,P
9874,4593,P
9884,1321,B
9896,1375,B
9917,2740,P
10044,17946,I
10082,5206,P
10098,2028,B
10109,1297,B
10119,1389,B
10162,5747,P
10178,2041,B
10188,1323,B
10204,1254,B
10275,5576,P
10296,2396,B
10332,1523,B
10372,1386,B
10432,4502,P
10457,1544,B
10619,18821,I
10661,5806,P
10679,2371,B
10691,1389,B
10704,1355,B
10729,3163,P
10761,3405,P
10804,3559,P
10859,6104,P
10881,2456,B
10912,1325,B
10957,1468,B
11022,5089,P
11041,1846,B
11081,1370,B
11217,15417,I
11258,5478,P
11275,2137,B
11287,1630,B
11302,1514,B
11367,6663,P
11389,2850,P
11423,2775,P
11466,3118,P
11508,3076,P
11554,3628,P
11580,1310,B
11635,3324,P
11679,3534,P
11706,1205,B
11811,10401,I
11830,2558,P
11845,1805,P
11884,3134,P
11911,987,B
11970,3543,P
12018,4536,P
12039,1477,B
12098,4302,P
12120,1071,B
12184,4454,P
12206,2054,B
12246,1159,B
12285,984,B
12341,2870,P
12465,14740,I
12496,4333,P
12516,2404,B
12528,1430,B
12540,1441,B
12603,4578,P
12628,2302,B
12666,1705,B
12704,1183,B
12772,5086,P
12793,2055,B
12828,1107,B
12869,1050,B
12928,3481,P
12952,1085,B
13048,8715,I
13068,2702,P
13079,1110,B
13119,942,B
13220,9549,P
13230,1045,B
13238,755,B
13292,1796,P
13335,2247,P
13379,2456,P
13420,2443,P
13464,2519,P
13506,2519,P
13548,2761,P
13592,2995,P
13732,17398,I
13785,7093,P
13800,1916,B
13816,1781,B
13900,4836,P
13912,166,B
13918,156,B
13925,156,B
14001,3315,P
14009,397,B
14039,651,B
14118,2830,P
14187,4058,P
14262,4218,P
14348,5000,P
14529,10564,I
14616,5007,P
14650,1873,B
14715,3601,P
14754,2129,B
14787,1664,B
14806,1061,B
14841,1914,P
14887,2532,P
14912,1200,B
14926,595,B
14940,640,B
14983,2383,P
15030,2425,P
15089,3381,P
15350,15536,I
15393,2383,P
15436,2307,P
15473,1932,P
15522,2764,P
15545,1122,B
15561,819,B
15576,588,B
15614,2193,P
15630,769,B
15641,493,B
15652,447,B
15720,3856,P
15751,1542,B
15812,3410,P
15993,1344,B
16061,1346,B
16269,1430,B
16404,1467,B
16704,1465,B
16927,1568,B
17038,470,B
17175,653,B
17186,467,B
17197,409,B
17269,609,B
17424,681,B
17569,601,B
17679,1389,B
17685,377,B
17733,831,B
17753,1110,B
17761,460,B
17772,379,B
17848,483,B
17929,787,B
17948,965,B
18961,412,B
18970,399,B
18978,155,B
18979,151,B
18979,292,B
18979,339,B
18987,418,B
18987,337,B
18987,212,B
18996,193,B
18996,333,B
19039,18121,I
19040,3253,P
19040,3227,P
19040,2308,P
19041,2354,P
19041,2388,P
19041,2585,P
19041,2542,P
19041,2834,P
19041,3112,P
19042,2730,P
19042,20203,I
19042,3269,P
19042,2809,P
19042,1633,P
19043,2236,P
19043,2898,P
19043,3770,P
19043,1586,P
19153,322,B
19197,21058,I
19197,2284,P
19198,3403,P
19198,2434,P
19198,1248,P
19337,22119,I
19345,373,B
19361,3340,P
19379,2976,P
19387,2918,P
19411,3730,P
19432,2441,P
19448,3001,P
19473,3525,P
19497,2978,P
19560,411,B
19625,17444,I
19625,276,P
19632,208,P
19736,14873,P
19762,2623,P
19798,2484,P
19814,2617,P
19916,14498,I
19933,1427,P
19933,574,P
19958,3276,P
19974,2774,P
20004,2681,P
20021,2502,P
20037,2166,P
20045,1846,P
20070,2751,P
20094,3437,P
20251,21688,I
20266,1874,P
20267,723,P
20275,519,P
20283,1065,P
20292,1203,P
20300,1563,P
20316,2453,P
20360,5682,P
20392,5001,P
20446,6844,P
20590,19809,I
20615,3282,P
20640,3117,P
20660,3021,P
20683,3005,P
20700,2809,P
20726,2799,P
20742,2848,P
20760,2788,P
20787,2734,P
20804,2688,P
20830,3173,P
20854,3492,P
20881,3444,P
20889,489,B
20907,3129,P
20957,7784,I
20972,1770,P
20990,1859,P
20998,1680,P
21017,968,B
21017,1681,P
21034,1417,P
21043,1197,P
21060,2202,P
21068,1648,P
21093,3119,P
21110,3194,P
21118,1451,B
21118,1976,B
21153,3665,P
21180,4171,P
21238,7958,I
21272,4728,P
21307,4493,P
21332,4136,P
21340,236,B
21341,198,B
21341,838,B
21341,1272,B
21368,3578,P
21368,410,B
21390,3002,P
21417,3552,P
21427,1118,B
21453,1085,B
21492,703,B
21543,1999,P
21597,3722,P
21619,997,B
21673,2720,P
21719,3347,P
21783,6948,I
21805,2868,P
21839,3322,P
21888,3793,P
21929,3611,P
21970,3564,P
22012,3897,P
22058,4238,P
22099,4124,P
22138,4234,P
22188,4848,P
22223,4344,P
22268,4434,P
22312,4751,P
22353,4759,P
22427,9156,I
22464,5364,P
22508,5838,P
22564,7798,P
22607,5651,P
22636,3765,P
22665,3919,P
22683,2180,P
22699,436,B
22763,3761,P
22782,355,B
22837,2445,P
22866,601,B
22907,423,B
22948,304,B
23082,13737,I
23092,1130,P
23097,381,B
23114,191,B
23157,274,B
23219,3497,P
23241,397,B
23282,232,B
23323,177,B
23391,3987,P
23408,446,B
23447,352,B
23490,284,B
23535,868,P
23571,365,B
23765,20526,I
23781,1782,P
23798,2926,P
23807,1840,P
23820,1781,P
23827,460,B
23868,243,B
23917,973,P
23964,1043,P
24004,1059,P
24057,1661,P
24086,1035,P
24165,3178,P
24234,3962,P
24277,2355,P
24627,350,B
24628,304,B
24649,343,B
24709,22947,I
24729,1260,P
24767,1339,P
24808,2458,P
24840,2685,P
24840,397,B
24877,2111,P
24901,1307,P
24947,2052,P
25013,3342,P
25073,3626,P
25092,1412,P
25152,531,B
25273,326,B
25321,334,B
25322,638,B
25342,404,B
25364,334,B
25483,625,B
25583,490,B
25583,23892,I
25624,2097,P
25670,289,B
25671,360,B
25713,3732,P
25736,433,B
25813,5575,P
25853,1772,P
25895,564,B
25974,354,B
26023,484,B
