at,ptsMs,latencyMs,frameType
3798,1022375,312,P
3839,1022416,311,B
3877,1022458,307,P
3956,1022500,345,I
4007,1022541,353,B
4041,1022583,345,B
4082,1022625,346,B
4126,1022666,348,P
4302,1022708,482,B
4351,1022750,490,B
4390,1022791,487,B
4431,1022833,485,P
4470,1022875,484,P
4511,1022916,483,B
4558,1022958,488,B
4598,1023000,487,B
4639,1023041,486,P
4679,1023083,484,P
4721,1023125,485,I
4766,1023166,488,B
4803,1023208,483,B
4846,1023250,485,B
4895,1023291,491,P
4934,1023333,489,B
4975,1023375,488,B
5014,1023416,486,B
5055,1023458,484,P
5095,1023500,484,B
5419,1023541,766,B
5462,1023583,767,B
5510,1023625,774,P
5584,1023666,806,B
5630,1023708,810,P
5671,1023750,809,I
5711,1023791,808,B
5759,1023833,814,P
5798,1023875,812,B
5839,1023916,811,B
5879,1023958,808,B
5918,1024000,807,P
5967,1024041,814,B
6006,1024083,811,B
6282,1024125,1046,B
6327,1024166,1048,P
6366,1024208,1046,B
6415,1024250,1053,B
7340,1024291,1936,P
7382,1024333,1936,P
7431,1024375,1944,I
7470,1024416,1942,P
7511,1024458,1940,B
7550,1024500,1939,B
7596,1024541,1942,B
7636,1024583,1940,P
7678,1024625,1941,B
7718,1024666,1940,B
7758,1024708,1938,B
7807,1024750,1945,P
7847,1024791,1943,B
7886,1024833,1941,B
7927,1024875,1940,B
7966,1024916,1938,P
8015,1024958,1944,P
8055,1025000,1944,I
8094,1025041,1941,B
8175,1025125,1938,B
8216,1025166,1938,P
8263,1025208,1942,B
8303,1025250,1941,B
8342,1025291,1939,B
8383,1025333,1938,P
8429,1025375,1943,B
8468,1025416,1940,B
8510,1025458,1939,B
8688,1025500,2076,P
8774,1025583,2079,P
8815,1025625,2078,I
8860,1025666,2082,B
8902,1025708,2081,B
8942,1025750,2081,B
8983,1025791,2080,P
9022,1025833,2077,B
9071,1025875,2085,B
9105,1025916,2077,B
9146,1025958,2075,P
9190,1026000,2079,B
9230,1026041,2077,B
9278,1026083,2082,B
9318,1026125,2082,P
9354,1026166,2075,B
9398,1026208,2078,P
9446,1026250,2085,I
9487,1026291,2084,B
9525,1026333,2079,B
9567,1026375,2081,B
9607,1026416,2079,P
9646,1026458,2076,B
9687,1026500,2076,B
9732,1026541,2078,B
9774,1026583,2079,P
9863,1026666,2084,P
9943,1026750,2082,P
9982,1026791,2079,B
10023,1026833,2077,P
10062,1026875,2076,I
10108,1026916,2080,B
10150,1026958,2079,B
10188,1027000,2076,B
10230,1027041,2077,P
10275,1027083,2080,B
10319,1027125,2082,B
10359,1027166,2081,B
10398,1027208,2078,P
10446,1027250,2084,B
10487,1027291,2084,B
10526,1027333,2081,B
10566,1027375,2080,P
10606,1027416,2077,B
10653,1027458,2083,P
10690,1027500,2078,I
10815,1027625,2079,B
10854,1027666,2076,P
10902,1027708,2082,B
10942,1027750,2081,P
10983,1027791,2080,B
11022,1027833,2076,B
11071,1027875,2084,B
11111,1027916,2083,P
11151,1027958,2080,B
11190,1028000,2079,B
11230,1028041,2077,B
11275,1028083,2080,P
11318,1028125,2082,I
11358,1028166,2080,B
11398,1028208,2078,B
11447,1028250,2086,P
11487,1028291,2083,B
11527,1028333,2081,P
11567,1028375,2081,B
11606,1028416,2078,B
11654,1028458,2084,B
11694,1028500,2082,P
11735,1028541,2082,B
11772,1028583,2076,B
11813,1028625,2076,B
11862,1028666,2084,P
11903,1028708,2082,P
11943,1028750,2081,I
11983,1028791,2080,B
12022,1028833,2077,B
12071,1028875,2084,B
12111,1028916,2083,P
12151,1028958,2081,B
12191,1029000,2079,B
12230,1029041,2077,B
12278,1029083,2083,P
12318,1029125,2082,B
12359,1029166,2081,B
12398,1029208,2077,B
12438,1029250,2077,P
12483,1029291,2080,B
12526,1029333,2081,P
12566,1029375,2080,I
12605,1029416,2077,B
