at,payloadSizeBytes,frameType
4083,24210,P
4089,572,B
4092,245,B
4097,290,B
4114,2107,P
4133,548,B
4170,394,B
4211,284,B
4257,1034,P
4300,343,B
4491,22279,I
4514,3111,P
4520,639,B
4525,481,B
4530,240,B
4559,2211,P
4588,570,B
4628,331,B
4712,6162,P
4718,750,B
4757,660,B
4796,323,B
4861,3869,P
4900,3593,P
4946,3802,P
5127,23726,I
5144,2251,P
5162,2347,P
5178,1922,P
5194,2148,P
5201,548,P
5212,421,P
5255,464,P
5294,465,P
5346,911,P
5379,347,B
5423,267,B
5482,3445,P
5527,3461,P
5566,3491,P
5752,23994,I
5766,1911,P
5781,1752,P
5797,1924,P
5816,2398,P
5821,448,B
5842,1541,P
5891,2007,P
5929,1928,P
5978,2362,P
6022,2874,P
6045,446,B
6111,3616,P
6155,3464,P
6196,3731,P
6374,23447,I
6390,2164,P
6408,2368,P
6428,2595,P
6446,2412,P
6486,5208,P
6492,529,B
6507,536,B
6543,206,B
6591,671,P
6635,1083,P
6672,313,B
6712,601,P
6769,2877,P
6796,488,B
7007,24438,I
7023,2127,P
7031,839,B
7038,705,B
7047,875,B
7076,3878,P
7094,1464,B
7137,895,B
7173,919,B
7240,4644,P
7265,1702,B
7302,996,B
7342,1152,B
7406,4253,P
7426,1282,B
7632,24608,I
7655,3351,P
7667,1191,B
7677,1106,B
7705,3780,P
7719,1645,B
7728,1086,B
7760,1048,B
7819,4099,P
7846,1592,B
7884,1171,B
7928,1135,B
7991,4629,P
8012,1636,B
8053,1159,B
8257,24484,I
8281,3283,P
8291,1214,B
8300,1044,B
8317,2201,P
8340,2960,P
8349,984,B
8393,2187,P
8432,2159,P
8481,3328,P
8509,1192,B
8552,1001,B
8599,2234,P
8659,4864,P
8677,1011,B
8880,24769,I
8901,2525,P
8909,926,B
8917,821,B
8949,4432,P
8959,1291,B
8970,930,B
9007,922,B
9074,4211,P
9097,1944,B
9139,1312,B
9179,1280,B
9237,4014,P
9258,1191,B
9301,950,B
9506,24805,I
9532,3311,P
9542,1148,B
9568,3599,P
9580,1368,B
9589,1011,B
9635,3912,P
9645,1314,B
9675,1131,B
9737,4056,P
9762,1762,B
9800,1185,B
9844,1171,B
9903,4020,P
9929,1209,B
10131,24737,I
10160,3796,P
10171,1241,B
10182,1185,B
10209,3637,P
10221,1255,B
10252,3927,P
10265,1848,B
10301,1236,B
10343,1199,B
10410,5094,P
10433,1986,B
10468,1243,B
10516,2010,B
10572,4285,P
10698,16348,I
10727,4037,P
10746,2204,B
10760,1763,B
10772,1371,B
10819,3613,P
10848,1520,B
10901,3645,P
10942,3350,P
10980,2827,P
11019,2460,P
11057,2361,P
11103,2773,P
11147,2558,P
11193,3452,P
11382,24429,I
11394,1598,P
11407,1749,P
11422,1695,P
11449,3579,P
11460,1328,B
11468,891,B
11509,853,B
11555,1592,P
11604,2639,P
11664,970,B
11672,703,B
11722,1620,P
11766,1675,P
11802,1226,P
12006,24373,I
12019,1548,P
12033,1903,P
12049,1945,P
12065,2005,P
12080,1954,P
12098,1957,P
12141,1907,P
12183,2159,P
12236,3417,P
12260,1162,B
12301,721,B
12354,2813,P
12404,3852,P
12446,3796,P
12635,24854,I
12651,2129,P
12668,2185,P
12686,2204,P
12706,2421,P
12726,2453,P
12747,2557,P
12771,2579,P
12812,2578,P
12863,4073,P
12884,1124,B
12955,5151,P
12969,1447,B
13010,1029,B
13061,2830,P
13231,21324,I
13250,2373,P
13270,2649,P
13291,2597,P
13311,2491,P
13329,2330,P
13349,2233,P
13396,2526,P
13446,4212,P
13470,1389,B
13508,939,B
13561,2383,P
13601,2389,P
13649,3287,P
13690,3493,P
13882,24869,I
13899,2176,P
13941,2286,P
14016,2467,P
14164,5050,P
14219,1732,B
14257,1158,B
14292,1098,B
14403,3919,P
14448,1400,B
14479,1013,B
14557,2682,P
14639,2661,P
14716,2652,P
14798,2760,P
15380,20752,I
15490,1130,B
15591,1069,B
15799,1111,B
16532,1630,B
16735,606,B
16751,437,B
16934,589,B
16991,3945,P
17000,1238,B
17285,1533,B
18714,4183,P
18714,2700,P
18746,772,B
18815,1010,B
19055,737,B
19055,344,B
19087,490,B
19087,336,B
19124,461,B
19124,474,B
19158,2719,P
19158,698,B
19196,501,B
19196,326,B
19261,699,B
19332,711,B
19364,4796,P
19364,3103,P
19468,3095,P
19609,1011,B
19609,3192,P
19641,833,B
20259,182,B
20395,24701,I
20428,2340,P
20565,4214,P
20598,2698,P
20703,2661,P
20809,330,B
20809,242,B
20842,4621,P
20842,2152,P
20842,2243,P
20843,3344,P
21117,954,B
21150,845,B
21287,1021,B
21497,20600,I
21531,1011,B
21667,1117,B
21770,5097,P
21804,1068,B
21871,4614,P
21942,3311,P
21942,3751,P
22114,883,B
22146,947,B
22180,4139,P
22181,3150,P
22181,1324,P
22454,1086,B
22903,23980,I
22903,2478,P
23007,3988,P
23076,1564,P
23076,1535,P
23145,1853,P
23180,1673,P
23247,1663,P
23351,3598,P
23454,3927,P
24100,23608,I
24151,3486,P
24214,3945,P
24267,5246,P
24333,5656,P
24564,21746,I
24589,2056,P
24614,2140,P
24642,1915,P
24653,1337,P
24665,1153,P
24679,1422,P
24691,925,P
24744,3756,P
24797,4089,P
24846,3411,P
25131,23488,I
25168,3648,P
25195,2663,P
25221,1774,P
25245,2799,P
25283,3918,P
25325,2619,P
25350,2853,P
25412,5328,P
25466,396,B
25672,23713,I
25697,2071,P
25710,1051,P
25723,1101,P
25748,2493,P
25823,7216,P
25965,12433,I
25978,419,B
25991,368,B
26003,2473,P
26042,3654,P
26069,160,B
26096,5017,P
26109,442,B
26147,3748,P
26171,383,B
26197,3911,P
26234,3881,P
26261,173,B
26288,455,B
26288,4033,P
26316,2804,P
26354,3213,P
26417,435,B
26469,410,B
26508,161,B
26573,316,B
26637,24077,I
26650,399,B
26650,662,P
26650,577,P
26663,262,P
26663,327,P
26663,232,P
26664,245,P
26676,164,B
26676,282,P
26676,287,P
26688,520,P
26688,362,P
26688,338,P
26728,3211,P
26741,488,B
26780,3500,P
26792,464,B
26862,163,B
27043,465,B
27055,23686,I
27055,785,P
27066,556,P
27080,733,P
27080,521,P
27119,348,B
27119,310,B
27119,3176,P
27181,4767,P
27335,941,B
27376,509,B
27425,21003,I
27464,509,B
27464,3324,P
27513,4239,P
27555,4078,P
27595,3288,P
27645,3924,P
27830,752,B
27917,23647,I
27929,329,B
27953,4036,P
27977,2306,P
28019,817,B
28020,2448,P
28047,2373,P
28060,619,B
28060,343,B
28084,2533,P
28122,2465,P
28148,3330,P
28185,3295,P
28222,2983,P
28238,446,B
28264,2818,P
28293,639,B
28293,351,B
28393,353,B
28483,773,B
28526,622,B
28526,295,B
28550,23446,I
28574,2212,P
28601,2503,P
28639,2583,P
28663,2616,P
28702,2513,P
28729,885,B
28742,723,B
28758,2401,P
28771,1018,B
28796,2392,P
28821,2476,P
28847,2349,P
28872,2839,P
28897,2453,P
28935,2624,P
28975,2435,P
29004,789,B
29004,2450,P
29016,820,B
29182,1037,B
29196,1067,B
29324,22561,I
29338,929,B
29362,2542,P
29399,3145,P
29441,852,B
29441,3001,P
29481,3027,P
29519,4016,P
29583,3917,P
29608,2753,P
29647,802,B
29662,3698,P
29674,823,B
29698,2739,P
29752,1003,B
29765,3498,P
29829,813,B
29933,1034,B
29973,933,B
30061,22694,I
30073,1113,B
30110,3476,P
30140,2692,P
30205,841,B
30216,4420,P
30243,804,B
30267,3676,P
30306,4456,P
30343,2844,P
30369,2918,P
30410,1045,B
30437,2848,P
30462,2845,P
30617,1122,B
30642,927,B
30682,930,B
30744,20709,I
30770,2665,P
30796,2959,P
30834,2990,P
30875,1070,B
30900,3067,P
30927,3015,P
30977,3179,P
31016,4206,P
31030,1076,B
31080,4028,P
31096,799,B
31120,2934,P
31198,3925,P
31223,2886,P
31250,883,B
31340,1040,B
31482,934,B
31507,963,B
31520,21975,I
31545,2599,P
31612,4435,P
31639,886,B
31653,886,B
31665,3147,P
31713,3627,P
31753,4075,P
31778,2469,P
31820,1730,P
31845,881,B
31858,1508,P
31859,681,P
31872,533,P
31872,463,P
31898,1078,B
31923,3172,P
32092,965,B
32118,967,B
32217,24298,I
32257,2408,P
32285,1110,B
32300,1013,B
32325,3582,P
32387,3637,P
32413,3036,P
32450,2765,P
32478,1041,B
32492,774,B
32503,2901,P
32532,930,B
32571,5593,P
32736,710,B
32764,872,B
32878,24347,I
32916,1000,B
32929,3339,P
32956,694,B
32998,1066,B
33023,1000,B
33061,8525,P
33074,776,B
33098,3351,P
33149,4058,P
33188,789,B
33203,3623,P
33294,850,B
33369,708,B
33396,644,B
33451,822,B
33502,24257,I
33514,750,B
33539,2439,P
33551,1732,P
33577,565,B
33615,4202,P
33657,815,B
33669,4241,P
33683,589,B
33734,4904,P
33771,3448,P
33809,3695,P
33837,686,B
33903,516,B
