at,ptsMs,latencyMs,frameType
3728,1566791,299,B
3765,1566833,294,P
3808,1566875,296,I
3849,1566916,295,B
3897,1566958,301,B
3941,1567000,304,P
3986,1567041,307,P
4025,1567083,304,B
4074,1567125,312,B
4114,1567166,310,B
4150,1567208,305,P
4191,1567250,304,B
4317,1567291,389,B
4361,1567333,391,P
4410,1567375,398,B
4450,1567416,396,B
4490,1567458,394,P
4529,1567500,392,I
4570,1567541,391,B
4618,1567583,397,B
4657,1567625,396,B
4694,1567666,391,P
4737,1567708,391,B
4777,1567750,390,B
4820,1567791,391,B
4861,1567833,390,P
4902,1567875,390,B
4946,1567916,392,B
4985,1567958,390,B
5029,1568000,392,P
5069,1568041,391,P
5112,1568083,391,P
5153,1568125,391,I
5192,1568166,389,B
5241,1568208,396,B
5282,1568250,395,B
5322,1568291,393,P
5362,1568333,391,B
5400,1568375,389,P
5442,1568416,388,P
5489,1568458,393,P
5529,1568500,392,P
5570,1568541,391,P
5610,1568583,390,P
5653,1568625,391,P
5695,1568666,391,P
5735,1568708,389,P
5778,1568750,391,I
5825,1568791,396,P
5864,1568833,393,P
5902,1568875,390,P
5943,1568916,389,P
5985,1568958,389,P
6025,1569000,389,P
6067,1569041,388,P
6113,1569083,393,P
6153,1569125,391,B
6221,1569166,417,B
6263,1569208,417,P
6306,1569250,419,P
6350,1569291,422,P
6387,1569333,417,P
6433,1569375,422,I
6471,1569416,417,P
6514,1569458,418,P
6561,1569500,424,P
6599,1569541,420,B
6642,1569583,421,B
6681,1569625,419,P
6726,1569666,422,B
6766,1569708,420,B
6810,1569750,423,P
6849,1569791,420,B
6889,1569833,418,P
6936,1569875,424,P
6972,1569916,419,P
7014,1569958,418,P
7057,1570000,420,I
7098,1570041,419,P
7145,1570083,424,P
7186,1570125,424,P
7225,1570166,421,B
7266,1570208,420,P
7309,1570250,423,P
7351,1570291,422,B
7391,1570333,421,B
7433,1570375,422,B
7473,1570416,419,P
7513,1570458,417,B
7556,1570500,419,B
7599,1570541,420,B
7638,1570583,417,P
7681,1570625,419,I
7721,1570666,417,P
7763,1570708,417,P
7809,1570750,423,P
7849,1570791,421,P
7890,1570833,419,P
7934,1570875,423,B
7978,1570916,424,B
8017,1570958,421,B
8058,1571000,421,P
8097,1571041,418,B
8145,1571083,424,B
8186,1571125,424,P
8225,1571166,421,P
8264,1571208,418,P
8306,1571250,419,I
8348,1571291,419,B
8393,1571333,422,B
8433,1571375,421,B
8471,1571416,417,P
8513,1571458,417,P
8562,1571500,425,P
8601,1571541,423,P
8641,1571583,420,B
8681,1571625,419,B
8725,1571666,422,B
8769,1571708,424,P
8810,1571750,423,B
8849,1571791,421,B
8889,1571833,418,P
8932,1571875,421,I
8971,1571916,417,B
9017,1571958,421,B
9057,1572000,420,P
9097,1572041,419,P
9144,1572083,423,P
9185,1572125,423,P
9225,1572166,421,P
9266,1572208,420,B
9304,1572250,418,B
9352,1572291,423,B
9396,1572333,425,P
9438,1572375,426,P
9479,1572416,426,P
9521,1572458,425,P
9562,1572500,425,I
9609,1572541,431,P
9646,1572583,425,B
9689,1572625,427,B
9729,1572666,425,P
9770,1572708,424,P
