at,payloadSizeBytes,frameType
3947,21096,I
3947,2325,P
3948,799,B
3970,476,B
4013,618,B
4086,5154,P
4096,735,B
4138,667,B
4173,587,B
4243,4508,P
4260,1018,B
4301,785,B
4346,689,B
4408,3593,P
4429,672,B
4619,21817,I
4644,3464,P
4653,731,B
4660,568,B
4665,588,B
4706,4590,P
4722,897,B
4764,741,B
4805,685,B
4858,2402,P
4898,2122,P
4937,1913,P
4992,4496,P
5026,2760,P
5068,2804,P
5240,21392,I
5265,3338,P
5273,696,B
5281,643,B
5325,6190,P
5335,905,B
5347,689,B
5388,634,B
5460,5258,P
5474,1163,B
5509,872,B
5553,652,B
5622,4505,P
5640,937,B
5679,697,B
5860,21215,I
5882,2711,P
5890,816,B
5896,594,B
5901,597,B
5961,5995,P
5971,809,B
6013,651,B
6053,593,B
6132,5899,P
6141,1019,B
6181,840,B
6222,701,B
6282,4018,P
6306,747,B
6504,23296,I
6518,1948,P
6541,2935,P
6561,2553,P
6583,2666,P
6603,2501,P
6622,2245,P
6649,2140,P
6702,3928,P
6718,922,B
6758,667,B
6801,690,B
6875,4916,P
6889,798,B
6929,713,B
7131,23619,I
7157,3499,P
7165,729,B
7172,608,B
7177,613,B
7219,5595,P
7228,903,B
7264,816,B
7300,653,B
7373,5256,P
7386,942,B
7426,811,B
7465,622,B
7536,4044,P
7553,658,B
7732,20934,I
7759,3621,P
7766,634,B
7773,635,B
7780,516,B
7839,5751,P
7844,564,B
7883,659,B
7928,527,B
8009,6175,P
8015,637,B
8054,732,B
8093,625,B
8156,3911,P
8178,595,B
8365,21332,I
8385,2573,P
8391,605,B
8398,550,B
8403,393,B
8459,5447,P
8465,645,B
8513,634,B
8552,481,B
8625,5681,P
8637,575,B
8678,570,B
8719,308,B
8775,2718,P
8823,3300,P
8928,12443,I
9026,13816,P
9030,277,B
9034,257,B
9037,210,B
9068,2781,P
9089,494,B
9136,432,B
9176,222,B
9243,3949,P
9264,776,B
9305,570,B
9344,302,B
9409,4077,P
9423,443,B
9618,21992,I
9631,1624,P
9638,665,B
9644,439,B
9649,401,B
9708,5529,P
9722,686,B
