at,ptsMs,latencyMs,frameType
3840,161166,172,B
3879,161208,170,P
3921,161250,170,I
3959,161291,167,B
4009,161333,174,B
4048,161375,172,B
4088,161416,170,P
4128,161458,168,P
4169,161500,168,B
4216,161541,173,B
4257,161583,172,B
4294,161625,168,P
4336,161666,168,B
4377,161708,167,B
4418,161750,167,B
4572,161791,279,P
4616,161833,281,P
4664,161875,288,I
4704,161916,286,P
4744,161958,284,B
4784,162000,283,B
4824,162041,281,B
4864,162083,279,P
4912,162125,286,B
4952,162166,284,B
4992,162208,281,B
5032,162250,280,P
5076,162291,283,B
5117,162333,281,B
5156,162375,279,B
5200,162416,281,P
5240,162458,280,P
5289,162500,287,I
5323,162541,280,B
5368,162583,283,B
5408,162625,281,P
5448,162666,279,B
5496,162708,286,B
5536,162750,285,P
5576,162791,283,B
5617,162833,281,B
5659,162875,282,P
5699,162916,280,B
5739,162958,278,P
5785,163000,283,P
5824,163041,280,P
5868,163083,282,P
5909,163125,282,I
5951,163166,282,B
5993,163208,282,B
6032,163250,280,B
6081,163291,287,P
6120,163333,284,B
6160,163375,283,B
6199,163416,280,B
6240,163458,279,P
6282,163500,280,B
6323,163541,279,B
6364,163583,278,B
6406,163625,278,P
6456,163666,287,B
6496,163708,285,P
6536,163750,284,I
6576,163791,282,P
6616,163833,280,P
6664,163875,287,P
6704,163916,285,P
6740,163958,279,P
6784,164000,282,P
6824,164041,280,B
6872,164083,286,B
6911,164125,283,B
6951,164166,282,P
6992,164208,280,B
7032,164250,279,B
7064,164291,270,B
7110,164333,273,P
7153,164375,275,I
7192,164416,273,B
7233,164458,271,P
7280,164500,277,P
7320,164541,275,P
7361,164583,274,P
7401,164625,273,P
7439,164666,269,P
7489,164708,277,P
7524,164750,271,B
7565,164791,270,B
7606,164833,269,B
7648,164875,270,P
7686,164916,266,B
7728,164958,266,P
7777,165000,274,I
7816,165041,271,B
7856,165083,269,B
7895,165125,267,B
7944,165166,274,P
7984,165208,272,B
8024,165250,271,B
8064,165291,268,B
8113,165333,275,P
8145,165375,267,B
8192,165416,271,B
8228,165458,266,B
8271,165500,268,P
8322,165541,277,B
8368,165583,281,P
8408,165625,280,I
8457,165666,286,B
8495,165708,283,B
8532,165750,279,B
8576,165791,281,P
8616,165833,279,B
8656,165875,278,P
8705,165916,284,P
8744,165958,282,P
8784,166000,281,B
8824,166041,278,P
8869,166083,281,P
8906,166125,278,P
8952,166166,282,P
8992,166208,279,P
9031,166250,278,I
9081,166291,285,B
9121,166333,283,B
9160,166375,281,B
9200,166416,279,P
9240,166458,278,P
9289,166500,285,B
9328,166541,282,B
9368,166583,280,B
9408,166625,279,P
9448,166666,277,B
9492,166708,279,P
9533,166750,279,B
9582,166791,286,P
9632,166833,294,P
9671,166875,292,I
9711,166916,290,B
9752,166958,290,B
9792,167000,288,B
9840,167041,294,P
9880,167083,292,B
9920,167125,291,P
9961,167166,290,P
10000,167208,287,P
10042,167250,288,P
10083,167291,287,P
10125,167333,287,P
10166,167375,287,P
10214,167416,293,P
10249,167458,286,P
10297,167500,292,I
10336,167541,290,P
10377,167583,289,B
10424,167625,295,B
10465,167666,293,P
10504,167708,291,B
10544,167750,290,B
10584,167791,287,B
10632,167833,294,P
10670,167875,291,B
10712,167916,290,B
10752,167958,289,B
10792,168000,288,P
10839,168041,293,B
10879,168083,290,P
