at_sec latencyMs frameType
0.000 172 B
1.024 279 P
2.028 282 P
3.032 286 B
4.016 269 B
5.029 281 P
6.000 294 P
7.039 290 P
8.000 293 B
9.000 293 P
10.037 287 B
11.024 274 B
12.027 276 P
13.000 291 B
14.008 299 P
15.000 291 P
16.007 298 P
17.006 297 B
18.009 299 P
19.000 290 B
20.000 290 B
21.000 290 P
22.040 287 P
23.001 290 B
24.001 290 B
25.041 288 P
26.040 287 B
27.038 284 P
28.000 289 B
29.000 288 B
30.025 313 B
31.016 346 B
32.016 347 P
33.015 346 B
34.047 377 I
35.048 378 P
36.001 372 B
37.001 372 B
38.000 371 P
39.000 371 P
40.000 371 P
41.032 403 B
42.028 399 B
43.032 403 B
44.030 401 P
45.031 402 P
46.028 399 B
47.030 400 B
48.033 403 P
49.030 401 P
50.028 399 B
51.127 873 B
52.009 879 P
53.000 995 P
54.000 996 P
55.040 994 B
56.000 996 B
57.000 996 B
58.040 995 B
59.000 995 P
60.000 996 P
61.000 995 P
63.014 2551 B
63.057 2552 P
64.017 2554 P
65.016 2553 B
66.014 2551 P
67.000 2870 B
68.040 3286 B
69.031 3944 P
70.000 4246 P
71.009 4671 P
72.025 4895 B
73.024 5270 B
74.000 5788 P
75.024 6103 P
76.032 6444 P
77.040 6619 B
78.016 6970 P
79.289 7618 P
80.200 7862 B
81.223 8260 B
82.235 8647 B
83.338 9168 P
84.297 9460 B
85.298 9836 B
86.282 10195 P
87.251 10539 B
88.215 10877 B
89.220 11258 B
90.085 11497 B
91.008 11503 P
92.006 11502 P
93.007 11503 P
94.003 11498 B
95.008 11503 B
96.008 11503 B
97.008 11503 P
98.008 11503 P
99.002 11497 P
100.001 11497 B
101.003 11499 B
102.006 11501 P
103.005 11500 P
104.007 11502 P
105.005 11501 P
106.008 11503 B
107.007 11503 P
108.001 11496 P
109.007 11503 B
110.008 11503 P
111.003 11499 B
112.008 11504 P
113.006 11502 B
114.006 11501 B
115.003 11499 P
116.008 11503 P
117.002 11498 P
118.006 11501 B
119.008 11503 B
120.002 11497 P
121.001 11496 B
122.007 11502 P
123.007 11503 P
124.008 11504 B
125.006 11502 B
126.001 11497 B
127.001 11496 P
128.009 11504 B
129.007 11503 B
130.004 11499 P
131.007 11503 B
132.007 11503 P
133.007 11503 B
134.008 11503 P
135.004 11499 B
136.007 11503 P
137.007 11502 P
138.008 11504 B
139.008 11503 P
140.008 11503 B
141.009 11504 P
142.009 11505 P
143.008 11503 B
144.009 11505 P
145.007 11502 B
146.008 11504 B
147.003 11499 P
148.008 11504 P
149.008 11504 B
150.004 11500 B
