at,payloadSizeBytes,frameType
3699,2145,P
3799,2403,P
3857,2034,P
3896,1959,P
3923,1847,P
3953,2266,P
3975,1996,P
4013,1840,P
4061,2985,P
4088,1867,P
4126,2779,P
4185,3807,P
4238,3648,P
4382,13505,I
4739,13568,P
4739,302,B
4740,158,B
4740,157,B
4740,3190,P
4740,422,B
4740,245,B
4740,193,B
4740,3539,P
4740,543,B
4741,390,B
4741,253,B
4787,4325,P
4808,596,B
5121,22014,I
5147,2460,P
5167,634,B
5171,368,B
5179,364,B
5274,6576,P
5279,627,B
5289,437,B
5297,220,B
5358,4719,P
5380,772,B
5385,473,B
5424,2489,P
5436,568,B
5442,504,B
5753,21840,I
5794,2789,P
5799,519,B
5806,320,B
5811,212,B
5845,4299,P
5881,552,B
5889,202,B
5924,2340,P
5959,2342,P
5989,2571,P
6024,2305,P
6078,3971,P
6115,2251,P
6132,420,B
6686,22361,I
6686,3227,P
6686,496,B
6686,331,B
6686,4284,P
6687,637,B
6687,397,B
6687,3728,P
6687,871,B
6687,517,B
6687,422,B
6688,3517,P
6688,609,B
6723,3053,P
6781,3550,P
6950,11844,I
6986,2527,P
6991,429,B
6999,342,B
7005,298,B
7040,2224,P
7045,413,B
7052,289,B
7059,288,B
7081,2611,P
7107,650,B
7141,336,B
7184,442,B
7300,5630,P
7341,2479,B
7509,11903,I
7558,4177,P
7585,1948,B
7654,4070,P
7696,2793,P
7736,2593,P
7779,2790,P
7790,727,B
7795,420,B
7802,410,B
7904,6902,P
7966,7380,P
8051,3345,P
8081,1472,P
8084,175,P
8090,337,I
8106,730,P
8108,220,B
8112,202,B
8132,2076,P
8177,2864,B
8229,3096,P
8278,2984,B
8300,2126,B
8344,2536,B
8441,6878,P
8480,2147,B
8517,2699,B
8592,5560,P
8624,3448,P
8804,12662,I
8867,3132,P
8908,1281,B
8962,1934,P
8999,1534,P
9016,1662,P
9056,2012,P
9064,755,B
9109,2808,P
9117,880,B
9186,5351,P
9205,682,B
9216,653,B
9228,820,B
9256,2792,P
9715,21401,I
9715,1157,P
9716,2390,P
9716,667,B
9716,2911,P
9716,901,B
9716,639,B
9716,659,B
9717,3722,P
9717,886,B
9720,651,B
9730,592,B
9789,5236,P
9816,460,B
9822,583,B
9976,21996,I
9996,2384,P
10010,442,B
10081,3858,P
10094,622,B
10111,617,B
10122,521,B
10194,4108,P
10212,826,B
10227,708,B
10273,4478,P
10281,1014,B
10316,812,B
10357,695,B
10407,3216,P
10584,21533,I
10602,2286,P
10626,3060,P
10643,2363,P
10682,5074,P
10689,517,B
10694,452,B
10720,185,B
10784,2425,P
10813,436,B
10854,174,B
10905,2121,P
10943,1183,P
10977,339,B
11018,281,B
11208,21626,I
11231,2943,P
11236,378,B
11259,2817,P
11279,2469,P
11300,2623,P
11337,4332,P
11354,497,B
11393,394,B
11438,174,B
11499,3208,P
11515,546,B
11555,391,B
11599,236,B
11660,2980,P
11831,21801,I
11836,422,P
11841,495,P
11850,989,P
11877,3493,P
11892,558,B
11938,372,B
11979,262,B
12041,3420,P
12061,642,B
12102,397,B
12142,234,B
12200,2093,P
12242,2082,P
12292,3408,P
12441,18809,I
12460,2555,P
12488,3575,P
12494,431,B
12513,2459,P
12536,2846,P
12567,1557,P
12617,2898,P
12666,2965,P
12686,595,B
12731,513,B
12788,2794,P
12817,705,B
12863,2516,P
12898,721,B
13076,20164,I
13103,3659,P
13110,592,B
13146,4842,P
13153,572,B
13159,418,B
13205,2864,P
13227,648,B
13287,3543,P
13316,673,B
13370,3111,P
13401,858,B
13456,4220,P
13479,822,B
13540,3245,P
13695,19153,I
13723,3698,P
13732,889,B
13754,2925,P
13764,1110,B
13806,5318,P
13818,1408,B
13879,3949,P
13902,1263,B
13941,654,B
14020,6483,P
14030,937,B
14073,2208,P
14132,4244,P
14149,1206,P
14306,17313,I
14337,4151,P
14347,1068,B
14355,785,B
14384,3640,P
14396,940,B
14454,2929,P
14488,1875,P
14537,2639,P
14575,1986,P
14615,2466,P
14661,2347,P
14698,2337,P
14747,3437,P
14785,3309,P
14927,16519,I
14944,2278,P
14963,2470,P
15005,5427,P
15019,1826,B
15026,735,B
15069,1197,B
15134,4596,P
15153,1582,B
15185,1051,B
15242,2631,P
