at,ptsMs,latencyMs,frameType
3629,501166,180,B
3670,501208,179,P
3710,501250,177,I
3758,501291,183,B
3876,501333,261,B
3925,501375,268,P
3962,501416,263,B
4005,501458,265,B
4046,501500,263,P
4084,501541,259,P
4133,501583,267,B
4174,501625,266,B
4214,501666,264,P
4254,501708,263,B
4302,501750,269,B
4656,501791,581,P
4701,501833,585,P
4741,501875,584,I
4790,501916,590,B
4824,501958,584,B
4865,502000,582,P
4909,502041,584,B
4950,502083,584,B
4998,502125,591,P
5038,502166,588,B
5077,502208,586,B
5116,502250,584,P
5166,502291,591,B
5202,502333,586,B
5242,502375,584,P
5473,502416,773,B
5518,502458,778,P
5566,502500,783,I
5606,502541,781,B
5645,502583,780,B
5686,502625,778,P
5799,502666,850,B
5844,502708,854,B
5884,502750,851,P
5933,502791,859,B
5974,502833,858,B
6013,502875,855,P
6053,502916,853,B
6093,502958,852,B
6137,503000,854,P
6443,503041,1119,B
6493,503083,1128,P
6533,503125,1125,I
6574,503166,1124,B
6613,503208,1122,B
6653,503250,1121,B
6693,503291,1119,P
6741,503333,1126,B
6782,503375,1124,B
6822,503416,1123,P
6870,503458,1129,B
6908,503500,1126,B
6943,503541,1118,P
6988,503583,1123,B
7030,503625,1122,B
7246,503666,1296,P
7292,503708,1301,P
7334,503750,1301,I
7373,503791,1299,B
7422,503833,1307,B
7462,503875,1304,P
7502,503916,1302,B
7576,503958,1336,B
7620,504000,1338,P
7670,504041,1346,B
7710,504083,1344,B
7750,504125,1343,P
7788,504166,1338,B
7830,504208,1339,B
7873,504250,1340,P
8170,504291,1595,B
8212,504333,1596,P
8262,504375,1604,I
8294,504416,1595,B
8337,504458,1597,B
8378,504500,1596,P
8420,504541,1595,B
8466,504583,1600,B
8504,504625,1596,P
8548,504666,1598,B
8590,504708,1600,B
8630,504750,1597,P
8678,504791,1604,B
8718,504833,1602,B
8758,504875,1600,P
9071,504916,1871,B
9118,504958,1878,P
9158,505000,1875,I
9198,505041,1874,B
9243,505083,1877,B
9286,505125,1878,P
9326,505166,1876,B
9366,505208,1876,B
9448,505250,1916,P
9494,505291,1919,B
9534,505333,1918,B
9582,505375,1924,P
9621,505416,1922,B
9661,505458,1921,B
9702,505500,1919,P
9858,505541,2033,B
9901,505583,2035,P
9944,505625,2036,I
9990,505666,2040,B
10030,505708,2039,B
10066,505750,2033,P
10109,505791,2034,B
10158,505833,2042,B
10198,505875,2040,P
10237,505916,2037,B
10278,505958,2037,B
10319,506000,2036,P
10362,506041,2037,P
10406,506083,2040,B
10446,506125,2038,B
10484,506166,2035,P
10525,506208,2034,P
10566,506250,2034,I
10611,506291,2036,B
10653,506333,2038,B
10693,506375,2036,P
10733,506416,2033,B
10775,506458,2034,B
10816,506500,2034,P
10859,506541,2035,B
10901,506583,2035,B
10944,506625,2037,P
10988,506666,2039,B
11024,506708,2033,B
11069,506750,2036,B
11110,506791,2035,P
11155,506833,2039,P
11198,506875,2040,I
11237,506916,2037,B
11276,506958,2036,B
11317,507000,2034,P
11360,507041,2035,B
11400,507083,2035,B
11446,507125,2038,P
11485,507166,2036,B
11528,507208,2038,B
11566,507250,2034,P
11612,507291,2038,B
11653,507333,2038,B
11693,507375,2035,P
11736,507416,2037,B
11778,507458,2037,P
11822,507500,2039,I
11860,507541,2036,B
11901,507583,2035,B
11944,507625,2036,P
11985,507666,2036,B
12025,507708,2035,P
12069,507750,2037,B
12113,507791,2038,P
12158,507833,2043,B
12193,507875,2036,P
12233,507916,2034,B
12278,507958,2037,B
12317,508000,2034,P
12362,508041,2038,B
12399,508083,2033,P
12442,508125,2034,I
12485,508166,2035,B
12529,508208,2038,P
12570,508250,2038,B
12612,508291,2037,B
12653,508333,2038,P
12692,508375,2035,B
12733,508416,2033,B
12777,508458,2036,P
12818,508500,2035,B
12861,508541,2037,P
12901,508583,2035,B
12946,508625,2038,B
12987,508666,2038,P
13029,508708,2038,P
13066,508750,2033,I
13108,508791,2033,B
13154,508833,2039,B
13198,508875,2041,P
13237,508916,2038,B
13278,508958,2037,B
13318,509000,2036,P
13359,509041,2034,B
13404,509083,2039,B
13445,509125,2038,P
13485,509166,2036,B
13534,509208,2044,B
13571,509250,2039,P
13612,509291,2037,B
13653,509333,2038,P
13691,509375,2034,I
13733,509416,2033,B
13777,509458,2036,B
13821,509500,2038,P
13862,509541,2038,B
13900,509583,2034,B
13949,509625,2042,P
13990,509666,2041,B
14029,509708,2038,B
14070,509750,2037,P
14110,509791,2036,B
14158,509833,2042,B
14196,509875,2039,P
14237,509916,2038,B
14278,509958,2037,P
14316,510000,2034,I
14358,510041,2034,B
14400,510083,2035,B
14446,510125,2038,P
14486,510166,2036,B
14533,510208,2043,B
14574,510250,2042,P
14612,510291,2038,B
14654,510333,2038,B
14693,510375,2036,P
14742,510416,2042,P
14782,510458,2041,B
14820,510500,2038,B
14862,510541,2037,P
14901,510583,2035,P
14949,510625,2042,I
14983,510666,2033,B
15029,510708,2039,B
15070,510750,2037,P
15110,510791,2036,B
15158,510833,2043,B
15198,510875,2040,P
15237,510916,2037,B
