at_sec latencyMs frameType
0.000 173 P
1.008 306 P
2.029 327 B
3.034 332 P
4.001 341 P
5.000 340 P
6.001 341 P
7.040 338 B
8.039 337 B
9.000 340 P
10.040 338 P
11.001 341 B
12.002 342 B
13.020 318 P
14.024 322 I
15.000 340 P
16.033 414 B
17.000 465 P
18.038 461 B
19.040 463 P
20.001 466 B
21.001 466 P
22.041 464 B
23.000 465 B
24.001 466 B
25.041 464 B
26.000 465 P
27.000 465 B
28.001 466 B
29.001 466 B
30.000 465 B
31.061 567 B
32.022 653 P
33.017 773 B
34.002 967 P
35.015 1021 B
36.015 1146 B
37.010 1266 B
38.016 1397 P
39.017 1607 P
40.024 1739 B
41.025 1823 P
42.016 1981 B
43.027 2034 B
44.028 2159 B
45.033 2248 P
46.018 2441 P
47.022 2820 P
48.033 3206 P
49.323 3829 B
50.197 4078 B
51.024 4280 B
52.001 4466 B
53.017 4732 B
54.017 4982 P
55.032 5248 B
56.360 5866 P
57.000 5923 B
58.484 6824 P
59.016 6856 B
60.009 7307 B
61.311 8317 B
62.024 8572 B
63.390 9772 B
64.037 10043 P
65.438 11194 P
66.001 11507 P
67.829 12960 B
68.001 12966 B
69.871 14377 B
70.245 14626 B
71.025 14948 B
72.049 15889 P
73.025 16406 B
74.045 17301 B
75.022 17778 P
76.009 18183 B
77.348 18729 B
78.355 19111 P
79.033 19249 B
80.016 19731 B
81.041 20131 P
82.032 20498 B
83.015 20813 B
84.025 21241 B
85.002 21550 B
86.009 21558 B
87.013 21769 B
88.042 22298 B
89.111 22909 I
90.134 23390 B
91.035 23541 P
92.025 23698 P
93.109 23865 B
94.024 23947 B
95.010 24016 B
96.048 24264 P
97.025 24448 B
98.042 24548 B
99.078 24834 B
100.032 24997 B
101.021 25152 B
102.155 25412 B
103.025 25531 B
104.025 25657 B
105.008 25807 B
106.023 25989 B
107.019 25984 B
108.024 25989 B
109.025 25990 P
110.020 25985 B
111.025 25990 P
112.026 25991 P
113.025 25991 B
114.021 25986 P
115.022 25987 P
116.020 25985 B
117.022 25988 B
118.025 25991 B
119.022 25987 P
120.025 25990 P
121.024 25989 B
122.024 25989 P
123.022 25987 P
124.025 25990 P
125.025 25990 P
126.026 25991 P
127.024 25990 B
128.024 25989 P
129.018 25984 P
130.024 25990 P
131.024 25989 B
132.020 25985 B
133.025 25991 B
134.024 25990 P
135.020 25985 P
