at,ptsMs,latencyMs,frameType
3910,795541,173,B
3951,795583,171,P
3994,795625,174,I
4034,795666,172,B
4083,795708,179,B
4122,795750,177,B
4161,795791,174,P
4198,795833,169,B
4242,795875,171,B
4282,795916,170,B
4325,795958,171,P
4369,796000,174,B
4409,796041,171,B
4447,796083,168,B
4497,796125,176,P
4681,796166,319,B
4728,796208,324,P
4771,796250,326,I
4810,796291,323,B
4849,796333,319,B
4899,796375,328,B
4938,796416,326,P
4978,796458,324,B
5017,796500,322,B
5057,796541,320,B
5101,796583,322,P
5140,796625,320,B
5185,796666,323,P
5226,796708,321,P
5264,796750,319,P
5308,796791,321,P
5355,796833,325,P
5395,796875,325,I
5434,796916,322,B
5474,796958,320,B
5521,797000,326,B
5561,797041,324,P
5602,797083,323,B
5641,797125,321,B
5690,797166,328,B
5727,797208,322,P
5766,797250,320,B
5809,797291,322,B
5849,797333,320,B
5896,797375,326,P
5937,797416,325,B
5978,797458,324,P
6016,797500,320,I
6067,797541,329,B
6101,797583,321,B
6144,797625,324,B
6186,797666,324,P
6227,797708,322,B
6264,797750,319,P
6314,797791,327,P
6354,797833,325,P
6395,797875,324,P
6434,797916,321,P
6474,797958,320,P
6522,798000,327,P
6561,798041,324,P
6601,798083,322,P
6642,798125,322,I
6690,798166,327,B
6730,798208,326,B
6770,798250,325,B
6810,798291,323,P
6851,798333,322,B
6898,798375,328,B
6938,798416,326,B
6975,798458,321,P
7017,798500,322,B
7064,798541,326,B
7104,798583,325,B
7139,798625,319,P
7176,798666,313,B
7219,798708,315,P
7264,798750,319,I
7306,798791,319,B
7345,798833,316,B
7386,798875,316,B
7435,798916,323,P
7474,798958,320,B
7512,799000,317,B
7554,799041,317,B
7593,799083,314,P
7640,799125,320,B
7680,799166,318,B
7719,799208,314,B
7761,799250,316,P
7820,799291,333,B
7865,799333,336,P
7905,799375,334,I
7947,799416,335,B
7987,799458,332,B
8033,799500,338,B
8074,799541,337,P
8112,799583,333,B
8160,799625,340,B
8202,799666,340,B
8242,799708,337,P
8282,799750,337,B
8322,799791,335,B
8364,799833,335,B
8410,799875,340,P
8445,799916,333,B
8489,799958,335,P
8528,800000,333,I
8572,800041,335,B
8618,800083,338,B
8657,800125,337,B
8698,800166,336,P
8746,800208,342,B
8778,800250,333,B
8823,800291,335,B
8863,800333,333,P
8906,800375,335,B
8945,800416,333,B
8988,800458,334,B
9033,800500,338,P
9074,800541,337,B
9113,800583,334,P
9156,800625,336,I
9202,800666,340,B
9242,800708,338,B
9282,800750,337,B
9321,800791,333,P
9369,800833,339,B
9409,800875,338,B
9450,800916,338,B
9486,800958,332,P
9535,801000,340,B
9574,801041,337,B
9614,801083,335,B
9658,801125,338,P
9696,801166,334,B
9744,801208,340,P
9778,801250,333,I
9826,801291,339,B
9864,801333,335,B
9904,801375,334,B
9953,801416,341,P
9993,801458,339,B
10031,801500,336,B
10073,801541,336,B
10113,801583,333,P
10162,801625,342,P
10201,801666,339,B
10240,801708,336,B
10281,801750,336,B
10320,801791,333,P
10361,801833,332,P
10409,801875,338,I
10450,801916,338,B
10491,801958,337,B
10533,802000,338,B
10578,802041,341,P
10617,802083,338,B
10656,802125,336,B
10698,802166,336,B
10738,802208,334,P
10786,802250,340,B
10821,802291,334,B
10861,802333,332,B
10907,802375,337,P
10950,802416,338,B
10994,802458,339,P
11031,802500,336,I
11073,802541,336,B
11114,802583,335,B
11155,802625,335,B
11197,802666,335,P
11241,802708,337,B
11279,802750,334,B
11322,802791,335,B
11366,802833,337,P
11405,802875,335,B
11449,802916,337,B
11489,802958,335,B
11530,803000,335,P
11573,803041,335,B
11616,803083,336,P
11659,803125,338,I
11698,803166,336,B
11739,803208,334,B
11781,803250,336,B
11822,803291,335,P
11866,803333,337,B
11905,803375,335,B
11948,803416,336,B
11988,803458,334,P
12034,803500,338,B
12073,803541,336,P
12114,803583,334,P
12161,803625,341,B
12198,803666,336,P
12241,803708,337,P
12279,803750,334,I
12323,803791,335,P
12367,803833,338,B
12408,803875,338,B
12450,803916,338,B
12489,803958,335,P
12530,804000,335,B
12574,804041,337,B
12613,804083,334,B
12653,804125,333,P
12697,804166,335,B
12738,804208,334,B
12786,804250,341,B
12825,804291,338,P
12865,804333,336,P
12907,804375,337,I
12950,804416,337,B
12989,804458,335,B
13034,804500,339,B
13072,804541,335,P
13114,804583,335,B
13162,804625,342,B
13198,804666,335,B
13238,804708,334,P
13281,804750,336,B
13321,804791,334,B
13365,804833,336,P
13403,804875,332,B
13450,804916,338,B
13490,804958,336,P
13529,805000,334,I
13574,805041,337,B
13614,805083,335,P
13655,805125,334,P
13697,805166,335,P
13738,805208,334,B
13786,805250,341,B
13826,805291,338,B
13866,805333,337,P
13905,805375,335,P
13954,805416,342,P
13993,805458,339,B
14031,805500,335,P
14070,805541,332,B
14114,805583,335,P
14157,805625,337,I
14202,805666,339,B
14242,805708,338,B
14280,805750,335,B
14321,805791,334,P
14365,805833,336,B
14410,805875,340,B
14447,805916,335,P
14487,805958,333,B
14529,806000,334,B
14575,806041,338,B
14616,806083,337,P
14658,806125,338,B
14698,806166,336,B
14741,806208,337,P
14786,806250,341,I
14824,806291,337,B
14867,806333,337,B
14906,806375,336,P
14955,806416,343,B
14994,806458,340,B
15030,806500,335,P
15072,806541,335,B
15113,806583,334,B
15161,806625,341,B
15201,806666,339,P
15240,806708,336,B
15282,806750,337,B
15322,806791,335,B
15366,806833,337,P
15410,806875,339,I
15450,806916,338,P
15490,806958,336,B
15528,807000,333,B
15578,807041,341,B
15616,807083,337,P
15655,807125,335,P
15698,807166,336,P
15737,807208,333,B
15784,807250,339,P
15823,807291,336,B
15862,807333,333,P
15903,807375,332,B
15945,807416,333,B
15994,807458,340,P
16028,807500,333,I
16074,807541,336,B
16112,807583,332,P
16158,807625,338,B
16197,807666,335,P
16242,807708,338,B
16279,807750,334,B
16322,807791,335,P
16370,807833,341,P
16410,807875,340,P
16448,807916,336,B
16489,807958,334,B
16528,808000,333,P
16571,808041,334,B
16617,808083,337,P
16659,808125,339,I
16698,808166,336,B
16736,808208,332,B
16780,808250,335,B
16822,808291,335,P
16867,808333,338,B
16906,808375,336,B
16949,808416,337,B
16988,808458,334,P
17033,808500,338,B
17073,808541,336,P
17111,808583,332,P
17153,808625,333,P
17202,808666,340,P
17237,808708,333,P
17278,808750,333,I
17322,808791,335,P
17364,808833,335,P
17410,808875,340,P
17447,808916,335,P
17490,808958,336,B
17528,809000,333,P
17575,809041,338,B
17614,809083,335,P
17653,809125,333,P
17696,809166,334,B
17737,809208,333,B
17787,809250,342,P
17820,809291,333,B
17864,809333,334,P
17907,809375,337,I
17949,809416,336,P
17989,809458,335,P
18033,809500,337,P
18074,809541,337,B
18113,809583,334,P
18156,809625,336,P
18202,809666,340,P
18242,809708,338,P
18282,809750,337,P
18322,809791,335,P
18361,809833,332,P
18405,809875,334,P
18446,809916,334,P
18487,809958,333,P
18529,810000,334,I
18578,810041,340,B
18611,810083,332,P
18658,810125,338,P
18698,810166,336,P
18737,810208,333,B
18778,810250,333,B
18822,810291,335,P
18865,810333,336,B
18905,810375,335,B
18950,810416,338,B
18987,810458,333,P
19034,810500,339,B
19073,810541,336,B
19112,810583,333,P
19157,810625,337,I
19199,810666,337,P
19242,810708,338,P
19283,810750,338,B
19321,810791,334,B
19370,810833,341,B
19407,810875,337,P
19450,810916,338,B
19490,810958,336,B
19528,811000,333,B
19578,811041,341,P
19618,811083,339,B
19655,811125,334,B
19741,811166,379,B
19786,811208,381,P
19828,811250,383,I
19871,811291,384,B
19914,811333,385,B
19954,811375,384,B
19994,811416,382,P
20033,811458,379,B
20082,811500,387,B
20121,811541,383,B
20157,811583,378,P
20202,811625,382,B
20243,811666,381,B
20290,811708,386,B
20328,811750,383,P
20367,811791,380,B
20409,811833,380,P
20451,811875,381,I
20498,811916,386,B
20538,811958,384,B
20578,812000,383,P
20618,812041,381,B
20662,812083,383,P
20701,812125,381,B
20745,812166,383,P
20786,812208,382,B
20824,812250,379,P
20874,812291,387,P
20910,812333,381,P
20953,812375,383,P
20990,812416,378,P
21033,812458,379,P
21076,812500,381,I
21119,812541,382,B
21161,812583,382,B
21200,812625,380,B
21240,812666,378,P
21290,812708,386,B
21328,812750,383,B
21365,812791,377,B
21410,812833,381,P
21450,812875,380,B
21498,812916,386,B
21536,812958,382,B
21577,813000,382,P
21617,813041,380,B
21658,813083,379,P
21697,813125,377,I
21740,813166,378,B
21787,813208,382,B
21825,813250,380,B
21874,813291,387,P
21914,813333,385,B
21954,813375,384,B
21990,813416,378,P
22034,813458,380,B
22077,813500,382,P
22122,813541,385,B
22162,813583,383,B
22201,813625,381,P
22242,813666,379,P
22287,813708,383,P
22330,813750,385,I
22370,813791,383,B
22410,813833,381,B
22451,813875,381,B
22491,813916,379,P
22531,813958,377,B
22576,814000,381,B
22617,814041,380,B
22658,814083,379,P
22698,814125,378,B
22747,814166,385,B
22785,814208,381,B
22826,814250,381,P
22870,814291,383,B
22913,814333,384,P
22948,814375,378,I
22994,814416,381,B
23034,814458,380,B
23073,814500,378,B
23123,814541,386,P
23161,814583,382,P
23201,814625,381,B
23241,814666,379,P
23286,814708,382,B
23323,814750,378,P
23369,814791,382,B
23409,814833,380,B
23449,814875,379,B
23495,814916,382,P
23534,814958,379,P
23578,815000,382,I
23618,815041,381,B
23657,815083,378,B
23704,815125,384,B
23741,815166,379,P
23786,815208,382,B
23824,815250,379,B
23870,815291,382,B
23906,815333,377,P
23955,815375,385,B
23991,815416,379,B
24033,815458,379,B
24074,815500,379,P
24121,815541,384,B
24161,815583,382,P
24198,815625,378,I
24241,815666,379,B
24282,815708,378,B
24326,815750,381,B
24370,815791,383,P
24410,815833,381,B
24450,815875,380,B
24496,815916,383,B
24531,815958,377,P
24578,816000,383,B
24617,816041,380,B
24656,816083,377,B
24699,816125,379,P
24742,816166,380,B
24785,816208,381,P
24826,816250,381,I
24869,816291,381,B
24909,816333,379,B
24951,816375,380,B
24993,816416,381,P
25034,816458,379,B
25081,816500,386,B
25118,816541,380,B
25161,816583,382,P
25203,816625,383,B
25251,816666,389,B
25290,816708,386,B
25331,816750,386,P
25370,816791,382,P
25408,816833,379,P
25458,816875,388,I
25498,816916,386,P
25539,816958,385,B
25578,817000,383,B
25624,817041,387,B
25666,817083,387,P
25707,817125,387,P
25746,817166,383,P
25785,817208,380,P
25834,817250,389,P
25871,817291,384,P
25913,817333,384,P
25954,817375,384,P
25994,817416,382,B
26037,817458,383,P
26078,817500,383,I
26120,817541,383,B
26161,817583,382,B
26209,817625,389,B
26251,817666,389,P
26290,817708,386,P
26326,817750,381,P
26370,817791,383,P
26412,817833,383,P
26458,817875,388,P
26498,817916,386,P
26534,817958,380,P
26575,818000,380,P
26623,818041,385,P
26658,818083,379,P
26706,818125,386,I
26743,818166,381,B
26784,818208,380,B
26833,818250,388,B
26874,818291,387,P
26909,818333,379,B
26952,818375,382,B
26993,818416,381,B
27038,818458,383,P
27081,818500,386,B
27123,818541,386,B
27161,818583,382,B
27210,818625,390,P
27244,818666,382,B
27289,818708,385,P
27331,818750,386,I
27370,818791,382,B
27410,818833,381,B
27458,818875,388,B
27498,818916,386,P
27536,818958,382,B
27578,819000,383,B
27627,819041,390,P
27664,819083,385,P
27700,819125,380,P
27746,819166,384,P
27786,819208,382,P
27831,819250,386,P
27875,819291,388,P
27914,819333,385,P
27953,819375,383,I
27995,819416,383,B
28037,819458,383,B
28079,819500,384,B
28117,819541,380,P
28160,819583,381,B
28201,819625,381,B
28250,819666,388,B
28287,819708,382,P
28329,819750,384,P
28370,819791,383,P
28410,819833,381,P
28450,819875,380,P
28498,819916,386,B
28538,819958,384,P
28575,820000,380,I
28625,820041,388,B
28661,820083,382,B
28689,820125,369,B
28738,820166,376,P
28778,820208,374,B
28818,820250,373,B
28857,820291,370,B
28906,820333,377,P
28942,820375,372,B
28985,820416,373,B
29027,820458,373,B
29066,820500,371,P
29114,820541,377,P
29153,820583,374,P
29194,820625,374,I
29234,820666,372,P
29282,820708,378,P
29322,820750,377,P
29363,820791,375,P
29399,820833,370,B
29441,820875,371,P
29481,820916,369,P
29530,820958,376,P
29568,821000,373,P
29608,821041,371,P
29650,821083,371,P
29698,821125,378,P
29725,821166,363,P
29766,821208,362,P
29809,821250,364,I
29858,821291,371,P
29896,821333,367,P
29937,821375,367,P
29978,821416,366,P
30026,821458,372,P
30066,821500,371,P
30104,821541,367,P
30145,821583,366,P
30185,821625,365,B
30234,821666,372,P
30272,821708,368,B
30312,821750,367,B
30364,821791,377,B
30410,821833,381,P
30450,821875,380,I
30499,821916,387,B
30532,821958,378,B
30577,822000,382,P
30616,822041,379,P
30657,822083,378,B
30707,822125,386,B
30745,822166,383,B
30785,822208,380,P
30825,822250,380,B
30874,822291,387,B
30914,822333,385,B
30952,822375,382,P
30992,822416,380,B
31042,822458,388,P
31081,822500,385,I
31119,822541,382,B
31159,822583,380,B
31210,822625,390,P
31250,822666,388,B
31290,822708,386,P
31328,822750,383,B
31370,822791,383,P
31412,822833,383,P
31451,822875,381,P
31498,822916,386,P
31538,822958,384,P
31578,823000,383,P
31618,823041,381,B
31666,823083,387,P
31701,823125,381,I
31745,823166,383,B
31784,823208,380,B
31834,823250,389,P
31874,823291,387,B
31913,823333,384,P
31954,823375,384,P
31994,823416,382,P
32036,823458,381,P
32082,823500,387,P
32122,823541,384,P
32162,823583,383,P
32201,823625,381,P
32241,823666,379,P
32290,823708,386,P
32330,823750,385,I
32370,823791,383,B
32409,823833,380,B
32458,823875,388,P
32498,823916,386,P
32535,823958,381,P
32578,824000,383,B
32621,824041,384,P
32660,824083,381,P
32706,824125,385,P
32744,824166,382,B
