at,payloadSizeBytes,frameType
3911,370,B
4018,3853,P
4029,464,B
4040,422,B
4083,191,B
4164,3124,P
4228,3626,P
4301,4202,P
4313,540,B
4322,357,B
4331,245,B
4430,3655,P
4439,471,B
4813,20385,I
4861,2030,P
4862,469,B
4862,395,B
4881,186,B
4983,6760,P
5004,348,B
5005,800,B
5046,1880,P
5068,1691,P
5118,2073,P
5157,1938,P
5196,2314,P
5217,999,B
5256,2176,P
5423,9749,I
5464,1949,P
5482,1792,P
5552,2934,P
5572,1099,B
5591,994,B
5630,2749,P
5690,3305,P
5710,1107,B
5758,2935,P
5817,3225,P
5876,3097,P
5939,3630,P
6004,3225,P
6044,3353,P
6307,14645,I
6349,2575,P
6476,4871,P
6516,1867,B
6535,1147,B
6555,1011,B
6615,3663,P
6642,1501,B
6664,974,B
6683,819,B
6742,3525,P
6762,1087,B
6782,937,B
6821,3069,P
6890,3252,P
7156,15226,I
7196,2451,P
7236,2122,P
7275,2715,P
7345,3587,P
7384,1271,B
7423,3128,P
7481,2668,P
7522,2482,P
7571,2687,P
7611,2696,P
7669,3425,P
7730,3460,P
7799,3676,P
7858,3525,P
8045,10211,I
8310,14874,P
8330,829,P
8351,1277,P
8371,1279,P
8410,2412,P
8411,707,B
8429,425,B
8429,511,B
8558,6523,P
8578,1672,B
8598,967,B
8638,2108,B
8726,5119,P
8805,4513,P
9004,20022,I
9036,3857,P
9045,1456,B
9045,678,B
9053,933,B
9087,4247,P
9096,1801,B
9103,1158,B
9122,1177,B
9147,4122,P
9156,1608,B
9165,824,B
9173,1209,B
9198,3404,P
9223,2951,P
9387,22502,I
9411,3098,P
9421,1193,B
9421,1053,B
9467,4833,P
9474,2033,B
9483,1255,B
9490,1190,B
9517,2387,P
9533,2424,P
9542,1725,P
9655,14730,P
9656,172,B
9656,692,B
9662,151,B
9688,3872,I
9705,2801,P
9714,205,B
9729,3213,P
9739,517,B
9739,153,B
9754,2354,P
9772,2403,P
9788,2074,P
9807,2159,P
9816,1720,P
9825,1199,P
9836,680,P
9836,527,P
9844,442,P
9977,18852,I
9977,332,P
9978,258,P
9987,763,P
9987,207,B
9988,165,B
9997,1229,P
10016,1258,P
10023,1296,P
10033,2130,P
10050,2254,P
10066,2160,P
10091,3639,P
10117,3622,P
10145,4027,P
10319,22579,I
10327,911,P
10344,2420,P
10345,387,B
10371,4050,P
10374,581,B
10378,194,B
10395,1964,P
10415,1342,P
10458,1377,P
10491,306,B
10540,809,P
10587,2119,P
10617,474,B
10677,2202,P
10854,22396,I
10868,1709,P
10884,2097,P
10889,425,B
10919,3727,P
10927,626,B
10955,216,B
11006,2293,P
11052,2862,P
11076,507,B
11138,2544,P
11165,480,B
11222,3396,P
11242,682,B
11283,257,B
11464,20796,I
11478,1723,P
11489,1189,P
11507,2133,P
11514,541,B
11542,1966,P
11590,2611,P
11631,2196,P
11675,1820,P
11713,2310,P
11754,1997,P
11797,2412,P
11846,3389,P
11895,3627,P
11933,3751,P
12093,20957,I
12111,2413,P
12130,2387,P
12151,2624,P
12189,5199,P
12203,1599,B
12212,752,B
12246,960,B
12324,5343,P
12340,1642,B
12374,1361,B
12410,1069,B
12489,5984,P
12500,1284,B
12541,1330,B
12644,10109,I
12763,16443,P
12768,862,B
12775,475,B
12796,2874,P
12804,504,B
12831,405,B
12890,3123,P
12908,612,B
12964,2208,P
13009,2014,P
13044,1980,P
13090,1721,P
13122,1478,P
13178,3190,P
13371,23935,I
13393,2882,P
13400,887,B
13406,543,B
13414,599,B
13439,3304,P
13455,1369,B
13517,3785,P
13564,3981,P
13594,3440,P
13635,3061,P
13686,3621,P
13711,1048,B
13744,423,B
13804,3376,P
