at,ptsMs,latencyMs,frameType
3917,1003666,172,B
3966,1003708,180,P
4005,1003750,177,I
4041,1003791,171,B
4083,1003833,172,P
4131,1003875,178,B
4173,1003916,178,B
4212,1003958,176,B
4315,1004000,237,P
4365,1004041,246,P
4405,1004083,245,P
4440,1004125,237,B
4485,1004166,241,B
4526,1004208,240,B
4565,1004250,238,P
4864,1004291,494,B
4909,1004333,498,P
4949,1004375,496,I
4996,1004416,501,B
5038,1004458,502,B
5077,1004500,499,B
5117,1004541,497,P
5157,1004583,496,B
5197,1004625,494,B
5244,1004666,499,P
5285,1004708,499,P
5324,1004750,496,P
5364,1004791,495,P
5414,1004833,503,P
5452,1004875,499,B
5494,1004916,499,P
5533,1004958,497,P
5572,1005000,494,I
5621,1005041,501,P
5662,1005083,501,P
5701,1005125,499,B
5741,1005166,497,B
5790,1005208,504,P
5829,1005250,501,P
5869,1005291,499,B
5909,1005333,499,P
5949,1005375,496,P
5996,1005416,501,P
6310,1005458,774,P
6357,1005500,779,P
6398,1005541,778,P
6436,1005583,775,P
6537,1005625,834,I
6581,1005666,836,P
6629,1005708,844,B
6664,1005750,836,B
6709,1005791,839,B
6749,1005833,838,P
6789,1005875,836,B
6838,1005916,843,B
6870,1005958,834,B
6917,1006000,839,P
6957,1006041,837,B
7005,1006083,844,B
7043,1006125,840,P
7238,1006166,993,P
7285,1006208,999,P
7323,1006250,995,I
7365,1006291,995,P
7414,1006333,1003,P
7454,1006375,1001,P
7493,1006416,998,B
7534,1006458,998,P
7572,1006500,994,P
7671,1006541,1051,P
7717,1006583,1057,P
7757,1006625,1054,P
7799,1006666,1055,P
8047,1006708,1261,P
8093,1006750,1265,P
8133,1006791,1263,P
8352,1006833,1441,P
8397,1006875,1444,I
8437,1006916,1442,P
8479,1006958,1443,P
8519,1007000,1441,P
8561,1007041,1441,P
8604,1007083,1443,B
8654,1007125,1451,B
8693,1007166,1449,B
8727,1007208,1441,P
8773,1007250,1445,B
8813,1007291,1443,B
8862,1007333,1451,B
8901,1007375,1448,P
9047,1007416,1552,P
9088,1007458,1552,P
9130,1007500,1552,I
9173,1007541,1553,B
9215,1007583,1554,B
9258,1007625,1555,B
9301,1007666,1556,P
9341,1007708,1555,B
9387,1007750,1559,B
9422,1007791,1552,B
9467,1007833,1556,P
9508,1007875,1555,B
9548,1007916,1554,B
9591,1007958,1555,B
9636,1008000,1558,P
9677,1008041,1557,P
9715,1008083,1554,P
9756,1008125,1553,I
9799,1008166,1554,B
9838,1008208,1552,B
9885,1008250,1557,P
9924,1008291,1554,B
9969,1008333,1558,B
10006,1008375,1553,B
10050,1008416,1555,P
10092,1008458,1556,P
10133,1008500,1556,P
10173,1008541,1553,P
10217,1008583,1556,B
10259,1008625,1556,B
10301,1008666,1556,B
10341,1008708,1555,P
10389,1008750,1561,I
10430,1008791,1560,B
10468,1008833,1557,P
10510,1008875,1557,B
10549,1008916,1554,B
10588,1008958,1552,P
10638,1009000,1560,P
10677,1009041,1557,P
10714,1009083,1553,P
10755,1009125,1552,P
10804,1009166,1559,P
10845,1009208,1560,P
10885,1009250,1557,P
10924,1009291,1554,P
10974,1009333,1563,P
11006,1009375,1553,I
11048,1009416,1553,P
11093,1009458,1558,P
11133,1009500,1555,B
11182,1009541,1562,B
11215,1009583,1554,P
11262,1009625,1559,P
11302,1009666,1557,P
11340,1009708,1554,P
11385,1009750,1557,P
11426,1009791,1556,P
11465,1009833,1554,P
11508,1009875,1555,P
11549,1009916,1554,P
11589,1009958,1553,P
11631,1010000,1554,I
11675,1010041,1555,P
11714,1010083,1553,B
11755,1010125,1552,P
11797,1010166,1552,B
11840,1010208,1554,B
11885,1010250,1557,P
11923,1010291,1554,P
11964,1010333,1553,P
12011,1010375,1558,B
12052,1010416,1557,P
12093,1010458,1557,P
12130,1010500,1553,B
12178,1010541,1558,P
12221,1010583,1560,P
12262,1010625,1559,I
12300,1010666,1555,P
12340,1010708,1554,B
12389,1010750,1561,P
12430,1010791,1560,B
12469,1010833,1558,B
12509,1010875,1557,P
12549,1010916,1555,P
12590,1010958,1554,B
12630,1011000,1552,P
12677,1011041,1557,B
12717,1011083,1556,P
12757,1011125,1554,B
12798,1011166,1553,B
12846,1011208,1560,P
12884,1011250,1556,I
12923,1011291,1554,P
12964,1011333,1554,P
13010,1011375,1557,B
13054,1011416,1559,P
13090,1011458,1555,P
13134,1011500,1556,P
13173,1011541,1554,P
13220,1011583,1560,P
13260,1011625,1557,P
13301,1011666,1556,P
13341,1011708,1555,P
13382,1011750,1554,P
13424,1011791,1554,P
13468,1011833,1558,P
13507,1011875,1554,I
13548,1011916,1553,P
13594,1011958,1558,P
13631,1012000,1553,P
13677,1012041,1557,B
13717,1012083,1556,B
13758,1012125,1555,B
13798,1012166,1554,P
13841,1012208,1556,B
13883,1012250,1555,B
13925,1012291,1555,B
13967,1012333,1557,P
14007,1012375,1554,B
14052,1012416,1558,B
14094,1012458,1558,P
14133,1012500,1555,I
14173,1012541,1553,B
14219,1012583,1558,B
14262,1012625,1559,P
14301,1012666,1556,B
14340,1012708,1555,B
14386,1012750,1558,P
14428,1012791,1558,B
14468,1012833,1557,P
14509,1012875,1557,P
14550,1012916,1555,P
14598,1012958,1562,P
14637,1013000,1559,P
14677,1013041,1557,P
14717,1013083,1556,P
14757,1013125,1554,I
14805,1013166,1561,B
14845,1013208,1560,B
14885,1013250,1557,B
14926,1013291,1556,P
14966,1013333,1555,B
15014,1013375,1561,P
15054,1013416,1559,P
15094,1013458,1558,P
15134,1013500,1556,P
15174,1013541,1554,P
15217,1013583,1556,B
15256,1013625,1553,B
15300,1013666,1555,P
15341,1013708,1555,P
15390,1013750,1562,I
15430,1013791,1560,B
15469,1013833,1558,B
15509,1013875,1557,B
15549,1013916,1555,P
15598,1013958,1562,B
15638,1014000,1560,B
15678,1014041,1558,B
15717,1014083,1556,P
15766,1014125,1563,P
15806,1014166,1561,P
15846,1014208,1560,P
15885,1014250,1557,B
15925,1014291,1556,B
15965,1014333,1554,P
16012,1014375,1559,I
16053,1014416,1558,B
16094,1014458,1558,B
16133,1014500,1556,B
16178,1014541,1558,P
16221,1014583,1561,B
16261,1014625,1559,B
16302,1014666,1557,P
16342,1014708,1556,P
16390,1014750,1562,P
16429,1014791,1560,B
16468,1014833,1558,B
16510,1014875,1557,B
16549,1014916,1555,P
16591,1014958,1555,P
16632,1015000,1554,I
16672,1015041,1552,B
16717,1015083,1556,B
16755,1015125,1552,B
16803,1015166,1559,P
16846,1015208,1560,B
16885,1015250,1557,P
16925,1015291,1555,B
16970,1015333,1559,B
17011,1015375,1558,B
17050,1015416,1555,P
17089,1015458,1553,B
17132,1015500,1554,B
17182,1015541,1562,B
17221,1015583,1561,P
17260,1015625,1557,I
17302,1015666,1557,B
17341,1015708,1555,B
17382,1015750,1554,B
17424,1015791,1554,P
17468,1015833,1557,B
17507,1015875,1554,B
17548,1015916,1554,B
17588,1015958,1553,P
17637,1016000,1560,B
17677,1016041,1557,B
17717,1016083,1557,B
17758,1016125,1555,P
17806,1016166,1561,B
17846,1016208,1560,P
17885,1016250,1557,I
17926,1016291,1556,B
17974,1016333,1563,B
18014,1016375,1561,B
18053,1016416,1558,P
18094,1016458,1558,B
18133,1016500,1555,P
18182,1016541,1562,B
18222,1016583,1561,B
18262,1016625,1559,P
18302,1016666,1557,B
18342,1016708,1556,B
18384,1016750,1556,B
18425,1016791,1556,P
18510,1016833,1599,P
18557,1016875,1604,I
18598,1016916,1603,B
18637,1016958,1602,B
18682,1017000,1604,B
18723,1017041,1603,P
18763,1017083,1602,B
18883,1017125,1680,B
18928,1017166,1683,P
18971,1017208,1685,P
19009,1017250,1682,P
19052,1017291,1682,P
19094,1017333,1683,B
19137,1017375,1684,B
19182,1017416,1687,B
19220,1017458,1684,P
19260,1017500,1682,I
19309,1017541,1690,B
19342,1017583,1681,B
19387,1017625,1684,P
19427,1017666,1682,B
19468,1017708,1683,B
19515,1017750,1687,P
19557,1017791,1687,B
19592,1017833,1681,B
19634,1017875,1681,B
19677,1017916,1682,P
19721,1017958,1685,B
19765,1018000,1687,B
19805,1018041,1685,B
19845,1018083,1684,P
19884,1018125,1681,I
19925,1018166,1681,P
19971,1018208,1685,P
20013,1018250,1686,P
20052,1018291,1682,B
20091,1018333,1681,P
20133,1018375,1680,B
20175,1018416,1680,B
20220,1018458,1684,B
20261,1018500,1683,P
20305,1018541,1686,B
20347,1018583,1686,B
20389,1018625,1687,B
20428,1018666,1683,P
20469,1018708,1684,P
20513,1018750,1686,I
20554,1018791,1684,B
20594,1018833,1683,B
20636,1018875,1683,B
20676,1018916,1682,P
