at,ptsMs,latencyMs,frameType
3328,1105541,170,B
3368,1105583,169,P
3417,1105625,175,I
3457,1105666,173,B
3494,1105708,170,B
3537,1105750,170,P
3584,1105791,175,B
3618,1105833,169,B
3665,1105875,173,P
3703,1105916,169,B
3742,1105958,168,B
3788,1106000,171,P
3832,1106041,174,B
3867,1106083,167,B
3912,1106125,170,P
4069,1106166,286,B
4117,1106208,293,P
4161,1106250,294,I
4199,1106291,290,B
4240,1106333,291,B
4281,1106375,290,P
4324,1106416,290,B
4367,1106458,293,B
4409,1106500,292,P
4448,1106541,290,B
4488,1106583,289,B
4531,1106625,290,P
4571,1106666,288,B
4614,1106708,290,B
4654,1106750,288,P
4702,1106791,294,B
4748,1106833,299,P
4790,1106875,298,I
4832,1106916,298,B
4872,1106958,297,B
4917,1107000,301,P
4952,1107041,294,B
5000,1107083,300,B
5035,1107125,294,P
5079,1107166,296,B
5125,1107208,301,B
5166,1107250,300,P
5208,1107291,299,B
5248,1107333,299,B
5287,1107375,296,B
5332,1107416,299,P
5376,1107458,302,P
5415,1107500,299,I
5455,1107541,297,B
5496,1107583,297,B
5538,1107625,297,P
5582,1107666,299,B
5624,1107708,300,B
5664,1107750,298,P
5704,1107791,295,B
5750,1107833,301,B
5792,1107875,300,P
5832,1107916,298,B
5872,1107958,298,B
5911,1108000,294,P
5955,1108041,297,B
5997,1108083,298,P
6039,1108125,298,I
6079,1108166,296,B
6126,1108208,302,B
6167,1108250,300,P
6207,1108291,298,B
6247,1108333,298,B
6289,1108375,297,P
6336,1108416,303,B
6370,1108458,296,P
6412,1108500,296,B
6452,1108541,294,B
6495,1108583,295,P
6539,1108625,297,B
6584,1108666,301,B
6618,1108708,294,P
6661,1108750,294,I
6708,1108791,300,P
6750,1108833,301,P
6792,1108875,300,B
6832,1108916,298,B
6871,1108958,296,P
6916,1109000,299,B
6960,1109041,302,B
7000,1109083,301,P
7040,1109125,299,B
7079,1109166,296,B
7122,1109208,298,P
7166,1109250,300,B
7206,1109291,298,B
7244,1109333,295,P
7287,1109375,296,I
7333,1109416,300,B
7370,1109458,296,B
7415,1109500,299,P
7452,1109541,294,B
7495,1109583,296,B
7542,1109625,300,P
7584,1109666,301,B
7620,1109708,295,B
7661,1109750,295,P
7709,1109791,301,B
7751,1109833,302,B
7791,1109875,300,P
7831,1109916,298,B
7868,1109958,294,P
7913,1110000,296,I
7959,1110041,300,B
7994,1110083,295,B
8038,1110125,297,P
8077,1110166,293,B
8125,1110208,301,P
8167,1110250,300,B
8202,1110291,294,B
8248,1110333,298,P
8287,1110375,296,B
8332,1110416,298,B
8373,1110458,299,P
8416,1110500,300,B
8454,1110541,296,P
8495,1110583,295,P
8542,1110625,300,I
8583,1110666,299,B
8623,1110708,299,B
8665,1110750,298,P
8703,1110791,294,B
8744,1110833,295,P
8792,1110875,300,B
8832,1110916,298,B
8871,1110958,297,P
8916,1111000,300,B
8957,1111041,299,B
8998,1111083,299,P
9035,1111125,294,P
9079,1111166,296,B
9123,1111208,298,P
9166,1111250,300,I
9208,1111291,300,B
9248,1111333,299,P
9287,1111375,296,B
9328,1111416,295,P
9369,1111458,295,P
9412,1111500,295,B
9455,1111541,297,B
9495,1111583,296,P
9540,1111625,299,B
9581,1111666,297,B
9621,1111708,297,P
9663,1111750,296,B
9710,1111791,302,P
9750,1111833,301,P
9792,1111875,300,I
9831,1111916,298,B
9872,1111958,298,B
9913,1112000,296,P
9957,1112041,299,B
9999,1112083,300,P
10040,1112125,299,B
10080,1112166,297,P
10124,1112208,300,B
10166,1112250,299,P
10207,1112291,299,B
10247,1112333,298,B
10287,1112375,296,P
10334,1112416,300,B
10371,1112458,296,P
10416,1112500,299,I
10453,1112541,294,B
10496,1112583,297,B
10542,1112625,301,P
10578,1112666,295,B
10622,1112708,298,B
10665,1112750,298,B
10704,1112791,295,P
10750,1112833,301,B
10791,1112875,300,B
10832,1112916,299,P
10872,1112958,298,B
10916,1113000,300,B
10951,1113041,293,P
10999,1113083,300,P
11036,1113125,295,I
11076,1113166,293,B
11126,1113208,302,B
11166,1113250,300,P
11202,1113291,294,B
11248,1113333,299,P
11288,1113375,297,B
11328,1113416,294,B
11376,1113458,302,P
