at,ptsMs,latencyMs,frameType
3911,164291,172,B
3951,164333,171,P
3991,164375,169,I
4039,164416,176,B
4079,164458,174,P
4118,164500,171,P
4160,164541,172,P
4199,164583,169,P
4244,164625,172,P
4284,164666,170,P
4326,164708,171,P
4367,164750,170,B
4411,164791,172,B
4448,164833,168,B
4495,164875,173,P
4634,164916,270,B
4680,164958,274,P
4720,165000,272,I
4760,165041,272,B
4808,165083,278,B
4845,165125,273,B
4888,165166,275,P
4928,165208,273,B
4976,165250,279,B
5014,165291,275,B
5056,165333,276,P
5096,165375,273,B
5135,165416,272,B
5179,165458,273,B
5220,165500,272,P
5266,165541,278,B
5311,165583,281,P
5352,165625,279,I
5393,165666,280,B
5440,165708,284,B
5476,165750,279,B
5519,165791,281,P
5559,165833,279,B
5608,165875,285,P
5648,165916,285,P
5688,165958,283,P
5727,166000,280,B
5767,166041,279,P
5812,166083,281,P
5856,166125,284,P
5896,166166,283,P
5935,166208,280,P
5983,166250,286,I
6023,166291,285,B
6063,166333,283,B
6104,166375,282,B
6143,166416,280,P
6192,166458,287,P
6232,166500,284,B
6272,166541,283,B
6312,166583,282,B
6351,166625,279,P
6392,166666,279,B
6433,166708,277,P
6479,166750,282,B
6522,166791,284,P
6567,166833,287,P
6608,166875,286,I
6656,166916,293,B
6696,166958,290,B
6736,167000,288,B
6776,167041,287,P
6816,167083,286,B
6863,167125,291,P
6904,167166,291,P
6944,167208,289,P
6984,167250,286,P
7023,167291,285,P
7067,167333,287,P
7106,167375,284,P
7163,167416,300,P
7207,167458,302,P
7246,167500,299,I
7296,167541,308,P
7331,167583,300,B
7372,167625,300,B
7415,167666,302,P
7464,167708,308,B
7498,167750,301,B
7539,167791,301,B
7581,167833,300,P
7622,167875,300,B
7670,167916,307,B
7711,167958,306,B
7751,168000,304,P
7789,168041,301,B
7831,168083,301,P
7880,168125,308,I
7920,168166,306,B
7956,168208,300,B
7997,168250,299,B
8038,168291,300,P
8088,168333,307,B
8122,168375,300,B
8163,168416,299,B
8206,168458,301,P
8247,168500,299,B
8295,168541,307,B
8335,168583,305,B
8372,168625,299,P
8414,168666,300,P
8455,168708,299,P
8504,168750,307,I
8538,168791,300,B
8581,168833,301,B
8622,168875,300,B
8663,168916,300,P
8705,168958,300,B
8747,169000,300,B
8789,169041,301,B
8831,169083,300,P
8879,169125,307,B
8919,169166,305,B
8959,169208,304,B
8999,169250,302,P
9038,169291,300,B
9081,169333,301,P
9128,169375,305,I
9163,169416,300,P
9206,169458,301,B
9246,169500,299,B
9293,169541,305,B
9330,169583,300,P
9375,169625,303,B
9415,169666,302,B
9455,169708,300,P
9496,169750,299,P
9539,169791,301,P
9582,169833,302,B
9623,169875,301,B
9664,169916,300,P
9704,169958,299,P
9747,170000,299,I
9792,170041,303,P
9831,170083,301,P
9873,170125,300,P
9914,170166,301,P
9956,170208,300,B
9999,170250,302,B
