at_sec latencyMs frameType
0.000 172 B
1.017 273 B
2.024 280 P
3.033 289 P
4.009 306 B
5.008 305 B
6.003 301 P
7.008 306 P
8.003 301 P
9.003 301 B
10.009 307 P
11.003 301 B
12.003 301 B
13.003 301 B
14.003 301 B
15.009 307 P
16.003 301 P
17.006 304 B
18.003 301 P
19.003 301 B
20.008 306 P
21.008 306 P
22.003 301 P
23.003 301 B
24.003 301 P
25.008 306 B
26.009 306 P
27.001 299 B
28.003 301 B
29.003 301 B
30.008 306 B
31.006 345 P
32.008 347 P
33.008 347 B
34.023 362 I
35.023 362 B
36.025 364 P
37.024 363 P
38.025 405 B
39.020 401 P
40.023 404 P
41.024 406 P
42.020 402 B
43.025 408 B
44.024 408 P
45.024 408 B
46.021 405 B
47.022 408 B
48.040 468 B
49.217 895 P
50.000 887 B
51.041 885 B
52.037 882 I
53.040 885 B
54.041 886 B
55.000 888 B
56.000 888 B
57.001 889 P
58.040 887 B
59.001 889 P
60.001 890 P
61.000 890 P
62.899 1622 B
63.002 599 I
64.113 1045 B
65.001 641 B
66.032 422 B
67.028 668 P
68.064 1246 B
69.250 1015 P
70.017 657 B
71.156 1630 B
72.346 1070 B
73.041 1099 P
74.332 1181 B
75.024 707 B
76.191 1165 B
77.691 1415 B
78.511 1027 P
79.288 971 B
80.032 590 P
81.171 1270 I
82.437 1121 P
83.005 1229 I
84.369 1219 B
85.024 666 P
86.177 1194 B
87.129 853 B
88.006 1023 P
89.115 923 B
90.024 541 B
91.015 449 P
92.017 450 B
93.039 389 B
94.058 492 B
95.025 375 P
96.030 422 P
97.023 457 P
98.015 407 B
99.017 409 P
100.008 442 B
101.014 364 P
102.005 480 P
103.013 488 P
104.017 492 B
105.032 382 B
106.005 439 B
107.009 443 B
108.040 432 B
109.040 515 P
110.016 533 P
111.014 449 B
112.032 507 B
113.025 334 B
114.025 292 P
115.009 443 B
116.001 351 B
117.033 425 P
118.029 379 P
119.010 444 B
120.006 482 B
121.005 397 P
122.000 393 B
123.009 359 P
124.042 351 B
125.026 376 B
126.038 431 B
127.041 433 B
128.001 435 B
129.000 434 P
130.038 430 B
131.001 435 B
132.001 435 B
133.001 435 B
134.001 435 P
135.001 436 B
136.000 434 B
137.040 433 P
138.041 433 P
139.039 431 P
140.035 427 P
141.001 435 P
142.041 433 B
143.001 435 P
144.041 433 P
145.040 433 P
146.001 435 B
147.000 435 B
148.001 435 P
149.001 435 B
