at,payloadSizeBytes,frameType
3940,3744,P
3965,1424,B
4006,805,B
4047,735,B
4100,2374,P
4147,3020,P
4184,3030,P
4225,2873,P
4269,2748,P
4375,11950,P
4378,308,B
4390,1377,B
4417,216,B
4519,8951,I
4545,3445,P
4551,336,B
4581,256,B
4622,158,B
4693,4357,P
4713,624,B
4754,411,B
4791,341,B
4875,6662,P
4883,761,B
4918,530,B
4961,548,B
5019,2803,P
5047,730,B
5174,13040,I
5196,3172,P
5203,662,B
5211,947,B
5275,3514,P
5315,3773,P
5360,4010,P
5405,4262,P
5446,4357,P
5488,4448,P
5528,4461,P
5570,4430,P
5608,4344,P
5652,4410,P
5694,4542,P
5799,13305,I
5824,3636,P
5852,3725,P
5880,3578,P
5903,2956,P
5932,2840,P
5978,2758,P
6018,2882,P
6059,2796,P
6103,2711,P
6145,3065,P
6183,2613,P
6225,2479,P
6264,2304,P
6304,2321,P
6416,12199,I
6436,2443,P
6455,2279,P
6472,2102,P
6510,1987,P
6554,1897,P
6624,5959,P
6634,1297,B
6667,644,B
6715,1413,B
6786,5049,P
6815,3998,P
6869,5279,P
6884,1677,B
6925,1297,B
7070,16132,I
7098,3549,P
7122,3163,P
7146,3048,P
7172,3262,P
7194,2727,P
7222,2046,P
7306,8137,P
7309,159,B
7335,381,B
7377,154,B
7450,4806,P
7461,275,B
7502,216,B
7544,153,B
7721,20000,I
7754,4264,P
7759,344,B
7771,1471,B
7787,2201,P
7803,1656,B
7842,1497,P
7881,729,B
7921,829,B
7956,332,B
8005,1063,P
8042,220,B
8086,675,P
8126,195,B
8168,222,B
8348,20477,I
8370,2751,P
8377,503,B
8380,349,B
8386,359,B
8434,2329,P
8457,445,B
8503,316,B
8540,343,B
8594,1769,P
8625,441,B
8666,319,B
8711,311,B
8757,1380,P
8793,335,B
8987,22129,I
9014,3441,P
9025,1121,B
9037,1398,B
9067,3928,P
9082,1867,B
9094,1301,B
9132,1150,B
9182,2177,P
9236,3893,P
9265,2022,B
9297,1079,B
9342,1471,B
9410,5077,P
9423,905,B
9618,22824,I
9642,3009,P
9649,694,B
9671,2990,P
9696,3223,P
9703,513,B
9726,2908,P
9755,552,B
9794,416,B
9832,305,B
9887,1573,P
9919,499,B
9961,320,B
9999,258,B
10059,2492,P
10240,22562,I
10277,4849,P
10291,1622,B
10303,1478,B
10310,712,B
10333,2878,P
10357,3159,P
10381,785,B
10419,516,B
10461,393,B
10527,4250,P
10554,1878,B
10595,1532,B
10658,4683,P
10674,991,B
10856,21248,I
10880,3004,P
10887,582,B
10914,3572,P
10923,894,B
10930,485,B
10959,449,B
11030,4183,P
11047,920,B
11087,458,B
11129,445,B
11194,3970,P
11211,897,B
11253,534,B
11292,466,B
11487,22332,I
11510,2819,P
11517,792,B
11522,342,B
11529,508,B
11564,3138,P
11587,989,B
11627,465,B
11671,538,B
11737,4577,P
11763,2005,B
11831,5906,P
11851,2322,B
11889,1902,B
11928,1781,B
12113,22289,I
12140,3650,P
12151,1300,B
12160,951,B
12168,764,B
12194,3395,P
12212,986,B
12255,563,B
12296,562,B
12359,4224,P
12390,2210,B
12423,753,B
12465,1483,B
12525,3640,P
12550,1334,B
12708,17965,I
12730,2668,P
12755,3290,P
12781,3382,P
12806,3443,P
12832,3361,P
12857,3225,P
12892,3008,P
12939,3234,P
12977,3164,P
13023,3123,P
13062,3001,P
13104,3030,P
13147,3104,P
13189,3169,P
13324,16882,I
13346,3040,P
13371,3278,P
13396,3039,P
13417,2803,P
13439,2801,P
13481,3271,P
13524,3346,P
13564,3366,P
13605,3142,P
13650,4065,P
13669,928,B
13713,653,B
13759,1716,P
13793,520,B
13959,18579,I
13997,5095,P
14013,2037,B
14024,1215,B
14032,889,B
14078,5652,P
14088,730,B
14130,582,B
14169,423,B
14231,3737,P
14252,936,B
14293,536,B
14337,481,B
14389,1915,P
14421,550,B
14624,23769,I
14649,3267,P
14659,990,B
14664,479,B
14672,757,B
14716,5915,P
14732,2065,B
14764,1834,B
14795,1010,B
14859,3646,P
14882,1060,B
14922,743,B
14978,2705,P
15007,846,B
15047,774,B
15240,22994,I
15267,3466,P
15301,4617,P
15313,1465,B
15337,3215,P
15359,2644,P
15377,2192,P
15402,3129,P
15419,725,B
15462,632,B
15499,364,B
15557,2497,P
15587,414,B
15642,2826,P
15669,472,B
15873,24070,I
15901,3592,P
15914,1508,B
15923,940,B
15931,874,B
15968,5008,P
15978,930,B
16004,1012,B
16043,538,B
16110,3894,P
16132,926,B
16170,541,B
16212,496,B
16275,3577,P
16300,980,B
16497,23506,I
16515,2177,P
16523,931,B
16547,3072,P
16572,3017,P
16596,3145,P
16626,4089,P
16663,4756,P
16702,5465,P
16724,2280,P
16768,3091,P
16795,1037,B
16837,537,B
16874,560,B
16928,1614,P
17095,19675,I
17120,3006,P
17128,1039,B
17136,671,B
17144,691,B
17206,5851,P
17216,1050,B
17253,627,B
17295,544,B
17369,5322,P
17382,1394,B
17420,957,B
17459,761,B
17520,2804,P
17544,723,B
17755,24555,I
17782,3691,P
17793,1258,B
17799,589,B
17810,1225,B
17841,4050,P
17855,1464,B
17884,1262,B
17919,897,B
17977,2657,P
18039,5525,P
18054,1733,B
18090,1072,B
18132,1008,B
18184,2687,P
18380,24601,I
18400,2545,P
18418,2381,P
18442,3009,P
18450,641,B
18472,2677,P
18477,558,B
18518,2619,P
18546,848,B
18582,502,B
18625,462,B
18691,3822,P
18715,950,B
18757,919,B
18809,2380,P
19005,24472,I
19030,3269,P
19040,1138,B
19048,829,B
19076,3864,P
19085,938,B
19092,618,B
19142,3090,P
19186,3362,P
19214,926,B
19253,641,B
19308,2527,P
19336,771,B
19392,3093,P
19424,990,B
19616,22545,I
19635,2478,P
19643,758,B
19649,468,B
19656,507,B
19693,3828,P
19711,933,B
19750,590,B
19796,649,B
19866,4749,P
19889,1891,B
19924,1009,B
19964,905,B
20026,3710,P
20046,723,B
20240,22423,I
20269,3900,P
20277,841,B
20284,640,B
20321,4831,P
20334,1371,B
20343,887,B
20382,872,B
20456,5636,P
20471,1930,B
20507,861,B
20549,1024,B
20619,5032,P
20630,1255,B
20670,990,B
20843,19205,I
20877,4641,P
20888,1304,B
20896,776,B
20904,687,B
20951,4948,P
20962,954,B
21003,639,B
21045,601,B
21116,5173,P
21133,1045,B
21169,572,B
21210,599,B
21281,4370,P
21293,615,B
21469,19297,I
21502,4442,P
21511,1028,B
21517,564,B
21523,602,B
21577,4976,P
21589,958,B
21625,557,B
21671,576,B
21738,4307,P
21752,933,B
21795,580,B
21837,549,B
21901,4386,P
21918,567,B
22038,11495,I
22091,7360,P
22116,3270,P
22148,3881,P
22174,3556,P
22198,3063,P
22237,4084,P
22298,6793,P
22331,4468,P
22360,3829,P
22381,677,B
22421,502,B
22461,414,B
22507,1036,P
22542,441,B
22731,21129,I
22739,830,P
22744,381,B
22747,299,B
22752,234,B
22819,4091,P
22833,647,B
22879,439,B
22917,425,B
22976,2966,P
23031,4715,P
23050,1161,B
23089,721,B
23127,673,B
23176,1366,P
23367,23140,I
23389,3019,P
23397,871,B
23405,747,B
23430,3070,P
23449,2631,P
23457,355,B
23509,1907,P
23551,1317,P
23592,1214,P
23629,659,P
23666,251,B
23710,181,B
23748,171,B
23793,198,P
24003,24275,I
24011,1040,P
24016,288,B
24019,204,B
24024,216,B
24057,2311,P
24082,390,B
