at,payloadSizeBytes,frameType
3886,198,B
3980,3382,P
4039,3371,P
4111,3981,P
4119,230,B
4123,452,B
4130,154,B
4238,9190,P
4240,257,B
4256,342,B
4297,154,B
4367,3665,P
4381,483,B
4572,21286,I
4586,1767,P
4592,511,B
4598,397,B
4605,398,B
4650,2550,P
4679,836,B
4735,2912,P
4760,942,B
4802,752,B
4841,709,B
4903,3068,P
4951,3844,P
4973,1147,B
5009,1006,B
5195,20899,I
5214,2590,P
5238,3016,P
5247,1180,B
5256,920,B
5264,860,B
5318,2798,P
5366,3783,P
5392,1628,B
5429,1145,B
5473,1160,B
5527,3322,P
5558,1653,B
5596,1145,B
5639,999,B
5822,21202,I
5846,3054,P
5856,1145,B
5865,928,B
5873,801,B
5901,2801,P
5941,2643,P
5973,1170,B
6009,944,B
6054,855,B
6123,4845,P
6144,1690,B
6202,4147,P
6224,1265,B
6276,3222,P
6440,20428,I
6463,2969,P
6472,1196,B
6481,888,B
6489,841,B
6524,2651,P
6554,1191,B
6611,2887,P
6638,1079,B
6678,923,B
6737,3446,P
6792,5176,P
6808,1418,B
6848,1077,B
6887,1082,B
7070,20984,I
7097,3284,P
7106,1139,B
7113,696,B
7121,878,B
7155,3444,P
7181,1123,B
7221,1139,B
7265,973,B
7322,3294,P
7342,1024,B
7388,974,B
7429,780,B
7481,2503,P
7510,814,B
7690,20329,I
7715,3245,P
7723,537,B
7753,4172,P
7759,491,B
7764,218,B
7814,2607,P
7850,2002,P
7893,1681,P
7930,1438,P
7966,358,B
8017,1733,P
8052,392,B
8095,727,P
8134,256,B
8316,20360,I
8338,3146,P
8344,421,B
8362,2481,P
8389,3527,P
8398,658,B
8426,518,B
8467,470,B
8540,4765,P
8553,670,B
8591,657,B
8630,512,B
8687,2397,P
8720,584,B
8762,892,B
8939,20194,I
8963,3454,P
8971,843,B
8978,666,B
8985,635,B
9030,3552,P
9052,473,B
9107,2442,P
9164,2236,P
9207,1951,P
9233,2008,P
9286,4579,P
9305,963,B
9344,685,B
9385,594,B
9569,20857,I
9594,3204,P
9599,630,B
9604,578,B
9637,4379,P
9642,544,B
9678,529,B
9717,458,B
9781,3535,P
9803,686,B
9840,525,B
9899,2571,P
9950,3813,P
9990,3622,P
10026,2724,P
10192,20589,I
10215,3070,P
10220,559,B
10227,553,B
10232,458,B
10348,5434,P
10357,497,B
10372,570,B
10391,558,B
10489,4038,P
10506,829,B
10506,631,B
10552,418,B
10611,3125,P
10635,561,B
10817,20614,I
10831,1567,P
10838,667,B
10843,469,B
10915,10060,P
10920,280,B
10924,161,B
10967,323,B
11023,2592,P
11051,541,B
11094,374,B
11131,262,B
11197,3316,P
11218,461,B
11259,301,B
11454,22665,I
11463,894,P
11469,524,B
11475,430,B
11480,391,B
11532,4063,P
11554,709,B
11590,451,B
11635,441,B
11703,4540,P
11724,1292,B
11762,843,B
11803,622,B
11862,3052,P
11886,677,B
12083,22798,I
12101,2366,P
12110,1022,B
12116,721,B
12123,587,B
12153,3303,P
12180,1029,B
12219,681,B
12261,599,B
12354,8086,P
12359,669,B
12386,607,B
12430,505,B
12480,2439,P
12513,540,B
12667,17293,I
12693,3537,P
12707,1505,B
12715,688,B
12722,881,B
12790,3077,P
12807,1286,B
12845,754,B
12887,690,B
12947,3305,P
12973,1171,B
13007,713,B
13049,660,B
13109,2823,P
13138,842,B
13311,19380,I
13337,3555,P
13348,1339,B
13357,920,B
13365,987,B
13405,3473,P
13434,1489,B
13470,952,B
13520,1001,B
13571,3511,P
13600,1589,B
13637,965,B
13682,1218,B
13744,3965,P
13767,1468,B
13938,19509,I
13966,3906,P
13976,1376,B
13985,859,B
13993,750,B
14024,3244,P
14056,1242,B
14090,658,B
14136,746,B
14195,3014,P
14224,1322,B
14262,832,B
14303,814,B
14365,3732,P
14388,872,B
14495,10516,I
14602,15192,P
14609,484,B
14612,372,B
14616,179,B
14650,2816,P
14673,365,B
14721,182,B
14781,3066,P
14800,433,B
14847,171,B
14893,1631,P
14932,1702,P
14972,1040,P
15005,270,P
15162,16206,I
15171,1221,P
15190,2543,P
15207,2211,P
15222,1357,P
15276,2685,P
15312,2217,P
15352,1891,P
15400,2657,P
15442,2702,P
15481,2545,P
