at,ptsMs,latencyMs,frameType
3622,504291,171,B
3671,504333,179,P
3710,504375,176,I
3750,504416,175,B
3803,504458,186,B
3846,504500,187,P
3894,504541,194,B
3935,504583,193,B
3973,504625,189,P
4015,504666,189,B
4055,504708,188,B
4100,504750,191,P
4142,504791,192,B
4182,504833,190,B
4222,504875,188,P
4360,504916,284,B
4406,504958,289,P
4446,505000,287,I
4486,505041,285,B
4535,505083,293,B
4574,505125,290,P
4614,505166,288,B
4655,505208,288,B
4703,505250,294,P
4742,505291,292,B
4782,505333,290,B
4822,505375,288,P
4862,505416,286,B
4908,505458,291,B
4945,505500,287,P
4976,505541,275,B
5022,505583,280,P
5063,505625,279,I
5102,505666,276,B
5151,505708,284,B
5191,505750,282,P
5227,505791,276,B
5268,505833,277,B
5311,505875,277,P
5358,505916,282,B
5392,505958,276,B
5438,506000,279,P
5478,506041,277,P
5523,506083,282,B
5564,506125,280,B
5599,506166,274,P
5647,506208,280,P
5687,506250,278,I
5726,506291,276,B
5774,506333,282,B
5814,506375,281,P
5852,506416,276,B
5894,506458,277,B
5934,506500,276,P
5982,506541,281,B
6016,506583,274,B
6062,506625,279,P
6102,506666,276,B
6142,506708,275,B
6187,506750,278,B
6228,506791,277,P
6274,506833,282,P
6319,506875,285,I
6352,506916,277,B
6399,506958,282,B
6439,507000,280,P
6479,507041,279,B
6527,507083,285,B
6567,507125,283,P
6606,507166,280,B
6647,507208,280,B
6694,507250,285,P
6735,507291,284,B
6774,507333,282,B
6814,507375,280,P
6852,507416,276,B
6895,507458,278,P
6936,507500,277,I
6982,507541,282,B
7018,507583,277,B
7063,507625,279,P
7101,507666,276,B
7150,507708,284,P
7190,507750,282,B
7230,507791,279,P
7271,507833,279,B
7311,507875,277,P
7352,507916,276,B
7398,507958,282,B
7438,508000,279,P
7475,508041,275,B
7518,508083,276,P
7560,508125,276,I
7607,508166,281,B
7647,508208,280,P
7685,508250,276,B
7734,508291,284,B
7767,508333,275,P
7814,508375,281,B
7855,508416,279,B
7892,508458,275,P
7935,508500,276,B
7982,508541,281,P
8017,508583,275,B
8059,508625,275,B
8108,508666,283,P
8150,508708,283,P
8198,508750,290,I
8233,508791,283,B
8278,508833,286,B
8318,508875,285,P
8366,508916,290,B
8407,508958,290,B
8446,509000,287,P
8485,509041,284,B
8527,509083,285,B
8570,509125,286,P
8611,509166,285,B
8652,509208,285,B
8694,509250,285,P
8741,509291,290,B
8788,509333,297,P
8830,509375,296,I
8870,509416,294,B
8910,509458,293,B
8950,509500,291,P
8998,509541,297,B
9038,509583,297,B
9078,509625,294,P
9118,509666,292,B
9165,509708,298,B
9205,509750,297,P
9246,509791,296,B
9286,509833,294,B
9325,509875,291,P
9359,509916,283,B
9402,509958,285,P
9447,510000,288,I
9487,510041,286,B
9534,510083,293,B
9574,510125,290,P
9615,510166,289,B
9654,510208,287,B
9694,510250,286,P
9742,510291,291,B
9783,510333,291,B
9818,510375,284,P
9860,510416,284,P
9901,510458,284,B
9947,510500,289,B
10010,510541,310,P
10054,510583,312,P
10103,510625,319,I
10142,510666,317,B
10182,510708,315,B
10221,510750,312,P
10261,510791,311,B
10311,510833,319,B
10344,510875,310,P
10390,510916,315,B
10430,510958,313,B
10469,511000,310,P
10516,511041,315,B
10558,511083,316,B
10594,511125,310,P
10636,511166,310,B
10678,511208,311,P
10726,511250,317,I
10767,511291,316,P
10807,511333,315,B
10846,511375,312,B
10892,511416,316,P
10935,511458,318,B
10974,511500,315,B
11011,511541,310,P
11055,511583,313,B
11094,511625,310,B
11137,511666,312,P
11179,511708,313,B
11222,511750,313,B
11262,511791,311,P
11310,511833,319,P
11344,511875,310,I
11391,511916,315,B
11430,511958,313,B
11470,512000,311,P
11518,512041,317,B
11558,512083,316,B
11598,512125,315,P
11639,512166,313,B
11677,512208,310,B
11719,512250,310,P
11767,512291,316,P
11806,512333,315,P
11846,512375,312,P
11894,512416,318,B
11935,512458,318,P
11969,512500,310,I
12015,512541,314,B
12054,512583,313,B
12094,512625,310,P
12142,512666,317,B
12182,512708,316,B
12222,512750,313,P
12262,512791,311,B
12308,512833,316,B
12350,512875,316,P
12391,512916,315,B
12427,512958,311,B
12470,513000,311,P
12518,513041,317,B
12559,513083,317,P
12599,513125,315,I
12637,513166,312,B
12679,513208,312,P
12726,513250,318,B
12767,513291,316,P
12807,513333,315,B
12846,513375,313,B
12891,513416,315,P
12928,513458,311,B
12970,513500,311,B
13010,513541,310,P
13053,513583,312,B
13098,513625,314,B
13138,513666,312,P
13180,513708,313,P
13223,513750,314,I
13261,513791,311,B
13303,513833,311,B
13350,513875,316,P
13390,513916,314,B
13430,513958,313,B
13471,514000,312,P
13518,514041,318,B
13552,514083,310,P
13594,514125,310,B
13638,514166,312,B
13684,514208,317,P
13721,514250,312,B
13760,514291,310,B
13807,514333,315,P
13846,514375,312,I
13893,514416,317,B
13934,514458,318,B
13975,514500,316,P
14012,514541,311,B
14055,514583,313,B
14099,514625,315,P
14143,514666,317,P
14180,514708,314,B
14222,514750,313,B
14262,514791,311,P
14305,514833,313,B
14349,514875,316,P
14390,514916,315,B
14428,514958,311,P
14470,515000,311,I
14519,515041,318,B
14551,515083,310,B
14598,515125,315,P
14639,515166,313,B
14678,515208,311,B
14727,515250,318,P
14760,515291,309,B
14801,515333,310,P
14846,515375,312,B
14891,515416,316,B
14933,515458,317,P
14973,515500,314,B
15010,515541,310,P
15053,515583,312,P
15102,515625,319,I
15136,515666,310,B
15183,515708,316,P
15222,515750,313,B
