at_sec latencyMs frameType
0.000 177 P
1.017 318 B
2.018 320 B
3.018 320 B
4.012 314 B
5.014 316 P
6.010 312 P
7.011 313 P
8.017 319 B
9.012 314 B
10.006 308 B
11.017 319 P
12.015 317 B
13.016 318 P
14.001 344 I
15.000 343 B
16.031 375 B
17.032 375 B
18.033 376 P
19.009 394 P
20.008 393 P
21.009 394 B
22.008 393 B
23.008 393 B
24.009 394 P
25.008 393 P
26.009 394 B
27.009 394 B
28.009 394 P
29.009 394 P
30.009 394 P
31.041 509 I
32.040 593 B
33.473 1775 B
34.009 1102 P
35.001 1678 B
36.025 2452 B
37.061 863 B
38.169 1012 B
39.001 886 P
40.017 652 B
41.172 849 B
42.033 751 B
43.045 847 B
44.001 719 P
45.017 778 P
46.117 1335 P
47.223 1275 P
48.024 868 P
49.536 2004 P
50.819 1996 B
51.519 1488 B
52.707 2050 B
53.041 1009 B
54.075 1668 I
56.106 2199 B
56.152 2205 P
57.757 1684 P
58.033 1126 P
59.009 936 B
60.033 1126 B
61.002 2012 P
62.009 1436 B
65.986 5330 B
66.031 5334 P
66.031 4250 I
68.108 6161 P
68.108 3827 I
68.259 1477 I
70.471 3231 B
70.520 3239 P
74.957 6260 B
75.001 6261 P
75.002 4471 I
76.137 3106 I
76.137 2940 P
76.287 756 I
77.343 1437 B
78.049 977 B
79.057 1025 I
80.887 2105 B
81.042 1095 B
82.769 2113 B
83.017 1111 B
84.025 2035 P
85.764 1983 B
86.349 2360 P
87.024 1451 B
88.025 1118 B
89.001 928 B
90.619 1797 P
91.220 898 B
92.029 748 B
93.028 955 B
94.032 751 B
95.072 1041 P
96.138 1148 P
97.009 769 B
98.016 1027 P
99.033 877 B
100.061 989 P
101.017 860 B
102.001 970 P
103.046 974 B
104.009 728 B
105.009 645 B
106.017 445 B
107.016 485 B
108.006 684 B
109.009 687 B
110.017 611 P
111.074 627 B
112.016 652 B
113.000 552 B
114.016 527 B
115.001 636 B
116.005 558 B
117.040 551 P
118.041 677 P
119.036 714 B
120.001 511 B
121.017 611 P
122.017 570 B
123.032 585 B
124.041 509 P
125.032 460 B
126.161 464 P
127.000 469 B
128.016 527 B
129.116 544 P
130.034 545 B
131.040 468 P
132.033 544 P
133.000 594 I
134.000 594 P
135.009 520 P
