at,payloadSizeBytes,frameType
3904,519,B
3947,443,B
3990,328,B
4069,5160,P
4078,791,B
4116,473,B
4152,808,B
4227,3887,P
4249,1476,B
4285,1064,B
4324,769,B
4383,2597,P
4409,805,B
4634,22929,I
4662,3005,P
4672,823,B
4678,535,B
4685,536,B
4737,5815,P
4747,835,B
4756,652,B
4779,398,B
4853,3803,P
4869,895,B
4909,687,B
4949,457,B
5010,2712,P
5031,681,B
5260,23024,I
5291,3424,P
5300,793,B
5307,486,B
5313,441,B
5362,5602,P
5371,793,B
5380,640,B
5408,428,B
5473,3326,P
5492,984,B
5534,654,B
5574,527,B
5639,3217,P
5657,778,B
5826,15955,I
5931,12163,P
5936,274,B
5940,238,B
5944,189,B
5978,3616,P
5985,448,B
5992,362,B
6027,203,B
6096,3441,P
6116,464,B
6153,351,B
6194,227,B
6263,3315,P
6281,436,B
6518,24139,I
6539,2226,P
6547,566,B
6552,310,B
6559,476,B
6597,4310,P
6611,1275,B
6620,736,B
6659,647,B
6716,2517,P
6759,2600,P
6782,872,B
6826,656,B
6863,485,B
6915,1381,P
7148,24124,I
7169,2337,P
7177,645,B
7184,539,B
7189,392,B
7231,4634,P
7241,796,B
7250,637,B
7282,398,B
7343,2770,P
7368,737,B
7408,475,B
7448,361,B
7554,8021,P
7559,376,B
7679,14068,I
7711,3356,P
7723,1195,B
7753,784,B
7762,1056,B
7812,4099,P
7831,1671,B
7872,1211,B
7913,1059,B
7980,4196,P
8000,1721,B
8036,985,B
8080,1192,B
8149,4356,P
8164,1223,B
8377,21872,I
8411,3744,P
8425,1179,B
8434,751,B
8440,663,B
8472,3441,P
8486,1512,B
8499,936,B
8535,909,B
8593,3484,P
8618,992,B
8669,2298,P
8733,4535,P
8746,990,B
8797,2291,P
8988,20349,I
9005,1732,P
9070,7339,P
9077,668,B
9083,425,B
9090,507,B
9115,2740,P
9121,313,B
9157,256,B
9197,159,B
9266,4107,P
9282,417,B
9323,354,B
9357,163,B
9413,983,P
9614,20914,I
9622,780,P
9628,340,B
9633,204,B
9637,281,B
9680,3324,P
9704,1109,B
9738,333,B
9781,1139,B
9847,4206,P
9871,1060,B
9911,937,B
9990,5375,P
10005,1633,B
10041,1387,B
10253,22222,I
10282,3190,P
10294,1047,B
10318,2529,P
10337,2003,P
10351,1324,P
10358,521,B
10365,417,B
10408,288,B
10536,10854,P
10560,2617,P
10590,3436,P
10606,1525,B
10637,3268,P
10666,1510,B
10872,21306,I
10908,3993,P
10928,2303,B
10943,1395,B
10959,1614,B
10999,4544,P
11020,2214,B
11040,1883,B
11080,4627,P
11104,2453,B
11127,1762,B
11168,1639,B
11220,3817,P
11256,2292,B
11298,2304,B
11490,20339,I
11531,4622,P
11555,2460,B
11576,2113,B
11615,4342,P
11637,2434,B
11659,2238,B
11696,4196,P
11722,2645,B
11741,2070,B
11759,1881,B
11807,4120,P
11840,2686,B
11870,1993,B
11922,2013,B
12110,19630,I
12144,3775,P
12183,4398,P
12208,2684,B
12229,2075,B
12246,1870,B
12279,3586,P
