at,ptsMs,latencyMs,frameType
3904,798666,173,B
3947,798708,173,P
3986,798750,171,I
4034,798791,177,B
4069,798833,171,B
4117,798875,177,B
4161,798916,180,P
4205,798958,181,B
4246,799000,181,B
4286,799041,180,B
4325,799083,177,P
4370,799125,180,B
4409,799166,178,B
4453,799208,180,B
4497,799250,182,P
4673,799291,317,B
4717,799333,319,P
4757,799375,317,I
4802,799416,321,B
4839,799458,316,B
4890,799500,325,B
4930,799541,324,P
4970,799583,322,B
5006,799625,316,B
5058,799666,327,B
5097,799708,324,P
5137,799750,322,B
5176,799791,320,B
5216,799833,318,B
5260,799875,320,P
5301,799916,320,B
5345,799958,322,P
5385,800000,320,I
5434,800041,328,B
5473,800083,325,B
5514,800125,324,B
5554,800166,323,P
5602,800208,329,B
5639,800250,324,B
5682,800291,326,B
5722,800333,324,P
5762,800375,322,B
5801,800416,320,B
5849,800458,325,B
5889,800500,323,P
5928,800541,321,B
5941,800583,293,P
5985,800625,295,I
6027,800666,296,B
6074,800708,300,B
6114,800750,299,B
6154,800791,297,P
6194,800833,296,B
6240,800875,300,B
6281,800916,300,B
6317,800958,294,P
6361,801000,296,B
6401,801041,295,B
6444,801083,296,B
6483,801125,293,P
6548,801166,317,B
6590,801208,317,P
6634,801250,319,I
6682,801291,326,B
6715,801333,317,B
6756,801375,316,B
6803,801416,321,P
6850,801458,327,B
6890,801500,325,B
6931,801541,324,B
6966,801583,317,P
7008,801625,318,P
7054,801666,323,B
7092,801708,319,B
7133,801750,317,B
7178,801791,322,P
7222,801833,324,P
7265,801875,325,I
7306,801916,325,B
7345,801958,322,B
7395,802000,330,B
7434,802041,328,P
7474,802083,326,B
7514,802125,324,B
7555,802166,323,B
7601,802208,328,P
7640,802250,325,B
7679,802291,323,B
7722,802333,324,B
7763,802375,323,P
7807,802416,326,B
7850,802458,327,P
7890,802500,325,I
7931,802541,325,B
7974,802583,326,B
8018,802625,328,B
8058,802666,327,P
8098,802708,325,B
8137,802750,322,B
8186,802791,330,B
8225,802833,327,P
8264,802875,324,B
8303,802916,322,B
8352,802958,329,B
8389,803000,324,P
8433,803041,327,B
8473,803083,325,P
8514,803125,324,I
8562,803166,331,B
8595,803208,322,B
8642,803250,327,B
8682,803291,326,P
8722,803333,324,B
8770,803375,330,B
8810,803416,329,B
8847,803458,324,P
8888,803500,323,B
8935,803541,329,P
8976,803583,327,P
9017,803625,327,B
9056,803666,325,P
9097,803708,324,P
9146,803750,331,I
9186,803791,330,P
9225,803833,327,B
9265,803875,325,B
9305,803916,324,B
9355,803958,332,P
9393,804000,328,B
9434,804041,328,B
9473,804083,325,B
9514,804125,324,P
9556,804166,325,B
9597,804208,324,B
9637,804250,322,B
9680,804291,324,P
9723,804333,324,P
9770,804375,330,I
9810,804416,329,B
9847,804458,324,B
9890,804500,325,B
9930,804541,324,P
9975,804583,327,B
10018,804625,328,B
10057,804666,326,B
10098,804708,325,P
10146,804750,331,B
10185,804791,329,B
10225,804833,327,P
10266,804875,325,B
10306,804916,325,B
10350,804958,327,P
10394,805000,329,I
10434,805041,328,B
10472,805083,324,P
10512,805125,322,P
10556,805166,325,P
10602,805208,329,B
10637,805250,322,B
10682,805291,326,B
10722,805333,324,P
10770,805375,330,P
10810,805416,329,P
10849,805458,326,B
10889,805500,324,P
10928,805541,322,B
10971,805583,323,P
11011,805625,321,I
11058,805666,327,B
11097,805708,324,B
11138,805750,323,B
11186,805791,330,P
11220,805833,322,B
11265,805875,325,B
11305,805916,324,P
11351,805958,328,B
11389,806000,324,B
11428,806041,322,B
11474,806083,326,P
11513,806125,323,B
11553,806166,322,B
11597,806208,324,P
11636,806250,321,I
11680,806291,324,B
11721,806333,323,B
11770,806375,330,P
11807,806416,326,B
11850,806458,327,B
11890,806500,325,P
11930,806541,324,B
11975,806583,327,B
12014,806625,324,B
12053,806666,322,P
12097,806708,324,B
12141,806750,326,B
12184,806791,328,B
12220,806833,322,P
12265,806875,325,I
12305,806916,324,P
12353,806958,330,B
12390,807000,325,B
12433,807041,327,B
12474,807083,326,P
12511,807125,321,P
12562,807166,331,P
12596,807208,323,B
12637,807250,321,P
12680,807291,324,B
12721,807333,323,P
12767,807375,327,B
12810,807416,329,B
12845,807458,322,P
12890,807500,324,I
12938,807541,332,B
12974,807583,326,P
13016,807625,326,B
13059,807666,328,P
13098,807708,325,B
13137,807750,322,B
13186,807791,330,P
13223,807833,325,P
13262,807875,322,P
13305,807916,324,B
13353,807958,330,B
13386,808000,321,P
13429,808041,323,B
13471,808083,322,P
13514,808125,324,I
13562,808166,331,B
13600,808208,327,B
13643,808250,327,B
13682,808291,325,P
13722,808333,324,B
13766,808375,326,B
13806,808416,325,B
13849,808458,326,P
13890,808500,325,B
13927,808541,321,P
13969,808583,321,P
14017,808625,327,P
14057,808666,326,P
14098,808708,325,P
14140,808750,325,I
14178,808791,322,P
14224,808833,326,P
14266,808875,326,P
14305,808916,324,P
14355,808958,332,B
14388,809000,323,P
14427,809041,321,B
14472,809083,324,P
14512,809125,322,P
14560,809166,329,B
14602,809208,329,B
14639,809250,324,P
14678,809291,322,B
14722,809333,324,P
14763,809375,322,I
14810,809416,329,P
14846,809458,323,P
14889,809500,324,P
14929,809541,323,B
14972,809583,324,P
15013,809625,323,P
15057,809666,326,P
15095,809708,322,P
15144,809750,329,P
15183,809791,327,P
15226,809833,328,P
15265,809875,325,P
15306,809916,325,P
15346,809958,323,P
15390,810000,325,I
15432,810041,326,B
15474,810083,326,P
15514,810125,324,P
15562,810166,331,P
15602,810208,329,B
15641,810250,326,B
15682,810291,326,P
15722,810333,324,B
15764,810375,324,B
15803,810416,322,B
15849,810458,326,P
15890,810500,325,B
15929,810541,323,B
15971,810583,323,P
16017,810625,327,I
16057,810666,326,P
16098,810708,325,P
16138,810750,324,B
16180,810791,324,B
16227,810833,329,B
16266,810875,326,P
16304,810916,323,B
16351,810958,328,B
16390,811000,325,B
16429,811041,323,P
16473,811083,325,B
16512,811125,322,B
16557,811166,326,B
16602,811208,329,P
16650,811250,335,I
16691,811291,334,B
16725,811333,326,B
16770,811375,330,B
