at,payloadSizeBytes,frameType
3933,1949,P
3974,1765,P
4026,2167,P
4076,2504,P
4084,359,B
4150,2000,P
4204,2905,P
4243,2248,P
4277,1881,P
4316,1976,P
4368,2525,P
4421,3079,P
4490,3813,P
4950,24481,I
5023,2724,P
5023,436,B
5023,389,B
5053,184,B
5111,3659,P
5111,208,B
5171,3008,P
5270,5917,P
5292,1088,B
5292,607,B
5311,593,B
5370,3791,P
5389,1220,B
5401,1252,B
5843,24180,I
5882,2742,P
5902,1015,B
5924,638,B
5942,708,B
6398,24767,I
6466,3673,P
6486,1229,B
6851,20405,I
6894,2180,P
6933,2423,P
6988,2481,P
7047,3862,P
7069,1290,B
7088,1032,B
7148,2746,P
7207,3665,P
7663,24850,I
7702,3039,P
7722,1317,B
7742,841,B
7762,956,B
8223,24797,I
8262,3289,P
8282,1082,B
8303,1046,B
8383,3985,P
8823,24413,I
8881,3027,P
8901,1395,B
8901,936,B
8906,974,B
8933,4171,P
9060,16846,I
9078,2624,P
9105,3094,P
9129,3253,P
9145,2858,P
9164,2496,P
9171,1447,B
9180,927,B
9198,2182,P
9205,1421,B
9238,2268,P
9257,3937,P
9290,4922,P
9315,2165,P
9344,2485,P
9360,2199,P
9377,4662,P
9403,2319,P
9404,1920,B
9421,1528,B
9430,1150,B
9430,1691,B
9437,1139,B
9445,1050,B
9480,2533,P
9505,2766,P
9514,3737,P
9522,1322,B
9530,1096,B
9721,22452,I
9738,3061,P
9746,1053,B
9753,816,B
9780,3046,P
9789,1368,P
9799,1064,B
9799,3839,P
9808,766,B
9815,1339,B
9824,1185,B
9859,1878,P
9868,3361,P
9893,3856,P
9911,1879,P
9911,1256,B
9918,1054,B
9970,2494,P
9973,3837,P
9977,1390,B
9985,997,B
10011,806,B
10012,3228,P
10020,1064,B
10048,1847,P
10065,4139,P
10083,1776,P
10108,3814,P
10116,1044,B
10116,1096,B
10158,3876,P
10167,2831,P
10381,24886,I
10390,1905,P
10408,1833,P
10424,2076,P
10441,3090,P
10449,1068,B
10458,4355,P
10465,1474,B
10474,1067,B
10492,805,B
10510,1943,P
10527,1988,P
10535,2927,P
10536,1118,B
10572,2079,P
10588,2146,P
10606,4837,P
10613,1428,B
10621,1029,B
10630,1001,B
10666,2069,P
10673,3985,P
10681,1185,B
10714,5127,P
10751,2319,P
10767,2876,P
10767,1789,B
10777,1325,B
10986,24806,I
11002,2438,P
11020,2484,P
11038,2582,P
11062,3350,P
11069,1020,B
11095,3889,P
11102,1261,B
11120,3669,P
11120,1214,B
11144,983,B
11153,2987,P
11177,4410,P
11186,1362,B
11195,879,B
11195,926,B
11244,2307,P
11254,5002,P
11263,1606,B
11293,3321,P
11302,1017,B
11327,2710,P
11343,3186,P
11352,1096,B
11359,1049,B
11419,3651,P
11419,5124,P
11425,1191,B
11615,24885,I
11624,1957,P
11640,2437,P
11674,4281,P
11683,1427,B
11689,1000,B
11707,2487,P
11729,2680,P
11751,2613,P
11771,2576,P
11791,2610,P
11811,2585,P
11842,2582,P
11875,2489,P
11910,1661,P
12110,22763,I
12133,3221,P
12143,1077,B
12173,3980,P
12185,1305,B
12194,1020,B
12217,2520,P
12259,2516,P
12292,2536,P
12342,2548,P
12385,4019,P
12413,1342,B
12458,1139,B
12509,4068,P
12532,1222,B
12745,24235,I
12771,3543,P
12782,1200,B
12791,947,B
12821,3965,P
12834,1326,B
12844,973,B
12874,2283,P
12924,2485,P
12965,3628,P
12993,1310,B
13039,977,B
13097,4457,P
13125,1343,B
13164,1010,B
13372,24752,I
13387,1897,P
13418,4328,P
13441,1737,B
13445,1004,B
13453,1003,B
13469,2052,P
13495,2044,P
13568,5535,P
13583,1234,B
13624,1552,B
13685,4990,P
13718,3822,P
13748,1480,B
13780,1153,B
14093,23211,I
14152,3335,P
14231,4269,P
14299,3412,P
14319,612,B
14320,452,B
14383,3064,P
14403,569,B
14437,3183,P
14455,963,B
14469,611,B
14483,593,B
14517,1942,P
14555,2058,P
14584,1498,P
15019,23519,I
15062,2447,P
15062,613,B
15105,2018,P
15147,1899,P
15187,2340,P
15207,1936,P
15246,2018,P
15284,2067,P
15326,2222,P
15365,2319,P
15842,24084,I
15901,3793,P
15921,1011,B
15942,699,B
15942,774,B
16023,4085,P
16043,1169,B
16478,23852,I
16520,2308,P
16561,2022,P
16581,2040,P
16622,2084,P
16643,437,B
16643,854,P
17058,23445,I
17098,1256,P
17137,2409,P
17137,421,B
17199,3525,P
17199,470,B
17635,24209,I
17656,806,P
17656,355,B
17656,291,B
17675,287,B
17694,2007,P
17714,730,B
17930,7605,I
18011,4501,P
18030,1463,B
18050,1331,B
18110,3584,P
18192,4154,P
18294,5707,P
18402,6377,P
18850,23838,I
18870,1325,P
18895,1546,P
18920,1848,P
18925,1693,P
18943,2227,P
19111,21895,I
19120,685,P
19130,1840,P
19140,846,B
19147,554,B
19147,807,B
19155,2102,P
19191,2952,P
19200,2536,P
19216,1438,B
19225,2311,P
19243,2062,P
19250,1741,P
19259,829,B
19277,2294,P
19277,535,B
19284,925,B
19284,291,B
19293,293,P
19310,3564,P
19328,2353,P
19336,2158,P
19379,3654,P
19379,1500,P
19386,976,P
19386,534,P
19413,1577,B
19420,2829,P
19447,1076,B
19456,7055,P
19464,1797,B
19473,1060,B
19482,1029,B
19489,1282,B
19525,1282,P
19534,4067,P
19731,23517,I
19746,3139,P
19755,1438,B
19765,898,B
19772,913,B
19799,3378,P
19815,1309,B
19833,6268,P
19841,1335,B
19849,997,B
19867,1027,B
19867,2147,P
19883,2114,P
19909,2195,P
19927,3668,P
19935,396,B
19953,2017,P
19963,2312,P
19971,393,B
19988,2081,P
20004,2892,P
20004,351,B
20048,3955,P
20073,1641,B
20073,3700,P
20080,1189,P
20089,1262,P
20098,1151,P
20107,1112,P
20114,1025,B
20132,1867,P
20132,504,B
20141,369,B
20141,693,P
20150,1026,B
20176,1091,B
20346,23355,I
20365,2435,P
20390,2542,P
20408,2580,P
20424,2603,P
20451,3514,P
20458,1118,B
20484,2516,P
20484,4436,P
20493,1368,B
20534,5399,P
20542,1127,B
20569,2669,P
20587,2497,P
20587,1016,B
20596,594,B
20631,2402,P
20648,2319,P
20649,2687,P
20665,5358,P
20699,2511,P
20699,1766,B
20707,1044,B
20710,1125,B
20727,2366,P
20746,2388,P
20932,23500,I
20947,2407,P
20964,2954,P
20988,2853,P
21008,2837,P
21032,3202,P
21048,2779,P
21076,2729,P
21087,2661,P
21109,2800,P
21132,2960,P
21176,2849,P
21221,2965,P
21260,2803,P
21294,2938,P
21437,17581,I
21471,4201,P
21485,1660,B
21495,1115,B
21515,2677,P
21554,3693,P
21572,1180,B
21636,2978,P
21684,3942,P
21708,1219,B
21759,2933,P
21799,3888,P
21833,1236,B
21879,3350,P
21929,3129,P
22116,24318,I
22142,3349,P
22153,1284,B
22198,4730,P
22202,1640,B
22215,1292,B
22237,2948,P
22261,2943,P
22300,2978,P
22345,2919,P
22385,2786,P
22426,2793,P
22460,2845,P
22501,2655,P
22551,2525,P
22705,19957,I
22726,2645,P
22757,4184,P
22770,1323,B
22802,4140,P
22813,1234,B
22836,2790,P
22883,3778,P
22907,1264,B
22968,2651,P
23008,2673,P
23045,2695,P
23096,3846,P
23124,1190,B
23176,2688,P
23357,23341,I
23388,4061,P
23411,2892,P
23432,2570,P
23459,3574,P
23464,546,B
23483,2299,P
23497,1636,P
23538,2347,P
23589,2016,P
23623,1814,P
23654,1071,P
23702,1801,P
23752,1519,P
23793,1992,P
24114,24567,I
24158,2430,P
24171,359,B
24180,298,B
24186,157,B
24245,3454,P
24255,362,B
24262,151,B
24338,4428,P
24350,389,B
24361,423,B
24368,159,B
24445,4494,P
24459,466,B
24466,206,B
24887,24167,I
24949,3536,P
24956,464,B
24956,381,B
24964,160,B
25096,5986,P
25096,442,B
25096,484,B
25117,156,B
25177,3481,P
25216,2858,P
25255,2495,P
25316,3332,P
25358,2409,P
25359,403,B
25794,24492,I
25834,1887,P
25855,617,B
25855,437,B
25855,402,B
25955,5431,P
25956,438,B
26016,3405,P
26035,551,B
26035,387,B
26473,24294,I
26532,3618,P
26552,536,B
26552,445,B
26553,293,B
27070,24380,I
27088,1201,P
27109,1047,P
27149,2126,P
27171,865,B
27172,463,B
27192,594,B
27646,24257,I
27705,3708,P
27728,1267,B
27748,851,B
27771,961,B
28263,24269,I
28327,3764,P
28372,1489,B
28391,934,B
28391,954,B
28820,24602,I
