at,ptsMs,latencyMs,frameType
3913,938041,172,P
3961,938083,178,P
3998,938125,174,I
4040,938166,175,P
4076,938208,169,P
4152,938250,203,P
4194,938291,204,P
4240,938333,208,B
4277,938375,203,P
4319,938416,203,P
4364,938458,207,P
4408,938500,209,P
4445,938541,205,P
4484,938583,202,P
5024,938625,700,P
5070,938666,704,P
5112,938708,704,P
5153,938750,703,I
5191,938791,701,B
5239,938833,707,B
5280,938875,706,B
5320,938916,705,P
5361,938958,704,B
5401,939000,702,P
5445,939041,705,P
5488,939083,706,B
5528,939125,704,B
5568,939166,703,B
5615,939208,708,P
5656,939250,707,B
5904,939291,913,B
5951,939333,919,P
5991,939375,917,I
6031,939416,916,B
6080,939458,922,B
6487,939500,1288,B
6533,939541,1292,P
6533,940000,834,I
6895,940041,1155,B
6895,940125,1071,P
7048,940625,724,I
7096,940666,730,P
7136,940708,729,P
7176,940750,726,P
7225,940791,735,B
7265,940833,732,B
7304,940875,729,P
7704,940916,1089,P
7704,941000,1005,P
7764,941250,815,I
7809,941291,818,B
7856,941333,823,B
8284,941375,1210,B
8328,941416,1213,P
8328,941875,754,I
8376,941916,761,B
8883,941958,1226,B
8925,942000,1226,P
8925,942166,1060,P
8926,942500,726,I
8970,942541,730,B
9011,942583,729,B
9051,942625,727,B
9079,942666,714,P
9079,942833,547,P
9147,943125,323,I
9189,943166,324,P
9231,943208,324,P
9274,943250,324,P
9316,943291,325,P
9360,943333,328,P
9399,943375,324,P
9438,943416,323,P
9480,943458,323,P
9523,943500,324,P
9567,943541,327,P
9607,943583,325,P
9747,943625,423,P
9789,943666,424,P
9789,943750,340,I
9833,943791,343,B
9877,943833,345,B
9919,943875,345,P
9960,943916,345,B
9999,943958,342,B
10039,944000,340,P
10083,944041,343,P
10125,944083,343,P
10167,944125,343,B
10208,944166,342,P
10251,944208,344,P
10296,944250,347,P
10409,944291,419,P
10451,944333,418,P
10492,944375,418,I
10536,944416,420,P
10581,944458,423,P
10621,944500,422,P
10664,944541,423,B
10704,944583,421,B
10743,944625,419,P
10785,944666,419,P
10831,944708,424,P
10871,944750,422,P
10910,944791,420,P
10950,944833,418,P
11021,944875,447,P
11063,944916,448,P
11064,945000,364,I
11111,945041,371,P
11152,945083,370,P
11192,945125,368,P
11237,945166,372,B
11272,945208,365,P
11318,945250,369,B
11360,945291,370,B
11400,945333,368,P
11444,945375,370,P
11485,945416,370,B
11522,945458,365,P
11565,945500,366,P
11642,945541,401,P
11683,945583,401,P
11727,945625,403,I
11769,945666,404,P
11809,945708,402,P
11857,945750,407,B
11897,945791,406,B
11936,945833,404,P
11975,945875,401,P
12024,945916,408,P
12063,945958,405,P
12104,946000,405,P
12143,946041,403,P
12184,946083,402,P
12233,946125,409,P
12272,946166,407,P
12312,946208,405,P
12360,946250,411,I
12401,946291,411,B
12441,946333,409,P
12481,946375,407,B
12520,946416,405,B
12567,946458,410,P
12600,946500,401,P
12648,946541,408,P
12687,946583,405,P
12727,946625,403,P
12770,946666,404,B
12809,946708,402,B
12856,946750,407,P
12897,946791,407,B
12937,946833,405,P
12982,946875,408,I
13024,946916,409,B
13064,946958,407,B
13103,947000,404,P
13145,947041,405,B
13192,947083,410,B
13232,947125,408,P
13273,947166,407,P
13311,947208,404,P
13352,947250,403,B
13397,947291,407,B
13433,947333,400,P
13479,947375,405,B
13520,947416,405,B
13560,947458,403,P
13608,947500,409,I
13649,947541,409,P
13685,947583,403,B
13728,947625,403,B
13777,947666,412,B
13817,947708,410,P
13851,947750,402,P
13891,947791,401,P
13935,947833,403,B
13979,947875,405,B
14018,947916,402,P
14059,947958,402,P
14104,948000,404,B
14144,948041,404,B
14301,948083,519,P
14344,948125,519,I
14384,948166,519,P
14433,948208,526,P
14470,948250,520,B
14512,948291,522,B
14556,948333,523,P
14601,948375,526,B
14641,948416,525,P
14680,948458,523,B
14720,948500,521,B
14766,948541,526,B
14805,948583,523,P
14846,948625,521,P
15065,948666,699,P
15107,948708,699,P
15148,948750,699,I
15191,948791,701,B
15240,948833,708,P
15279,948875,705,P
15321,948916,706,P
15361,948958,704,P
15399,949000,700,P
15448,949041,708,P
15488,949083,706,P
15923,949125,1099,P
15968,949166,1103,P
15969,949375,894,I
16016,949416,901,B
16057,949458,900,B
16096,949500,897,B
16137,949541,896,P
16522,949583,1239,B
16522,949666,1157,P
16623,950000,924,I
16670,950041,930,P
16713,950083,930,P
16752,950125,928,P
16793,950166,927,B
17139,950208,1231,P
17183,950250,1234,P
17183,950625,859,I
17226,950666,861,P
17270,950708,863,B
17310,950750,861,P
17658,950791,1168,B
17704,950833,1172,P
17705,951250,755,I
17753,951291,762,B
17793,951333,761,B
17831,951375,757,B
17880,951416,765,P
18032,951458,875,B
18079,951500,880,P
18079,951875,505,I
18129,951916,514,B
18168,951958,511,B
18405,952000,706,P
18447,952041,707,P
18496,952083,714,P
18896,952125,1072,P
18943,952166,1078,P
18944,952500,744,I
18987,952541,747,P
19028,952583,746,P
19069,952625,745,P
19131,952666,766,P
19174,952708,766,P
19174,953125,350,I
19216,953166,351,P
19259,953208,352,B
19302,953250,353,B
19344,953291,353,B
19383,953333,351,P
19429,953375,355,B
19471,953416,356,B
19508,953458,351,B
19551,953500,352,P
19593,953541,352,B
19635,953583,353,B
19678,953625,353,B
19756,953666,391,P
19799,953708,392,P
19842,953750,393,I
19883,953791,393,B
19928,953833,395,B
19965,953875,391,B
20013,953916,398,P
20048,953958,391,B
20089,954000,390,B
20132,954041,392,P
20176,954083,394,P
20220,954125,396,P
20261,954166,396,P
20304,954208,397,B
20343,954250,394,B
20392,954291,401,B
20433,954333,401,P
20476,954375,401,I
20518,954416,403,P
20560,954458,402,P
20604,954500,405,P
20648,954541,408,P
20688,954583,405,B
20726,954625,402,P
20773,954666,408,P
20815,954708,408,P
20854,954750,405,P
20896,954791,405,P
20933,954833,401,P
20981,954875,407,P
21017,954916,402,P
21063,954958,406,P
21104,955000,405,I
21145,955041,404,P
21193,955083,411,P
21232,955125,408,P
21272,955166,407,P
21312,955208,405,P
21350,955250,401,P
21398,955291,408,P
21437,955333,405,P
21479,955375,405,P
21519,955416,404,P
21569,955458,411,P
21608,955500,409,P
21648,955541,408,P
21684,955583,402,P
21728,955625,404,I
21767,955666,402,B
21816,955708,409,B
21857,955750,408,P
21896,955791,406,P
21935,955833,403,B
21979,955875,405,P
22021,955916,406,P
22061,955958,404,B
22103,956000,404,P
22142,956041,402,P
22190,956083,408,B
22225,956125,401,P
22273,956166,408,P
22313,956208,406,P
22352,956250,403,I
22401,956291,411,B
22439,956333,407,P
22480,956375,406,B
22520,956416,405,B
22560,956458,403,P
22607,956500,407,P
22648,956541,408,P
22688,956583,406,P
22726,956625,402,P
22767,956666,402,P
22812,956708,405,P
22856,956750,407,P
22896,956791,406,P
22937,956833,405,P
22985,956875,411,I
23024,956916,409,P
23063,956958,405,B
23104,957000,405,P
23145,957041,405,B
23192,957083,410,P
23227,957125,403,P
23269,957166,404,B
23309,957208,402,P
23351,957250,402,P
23398,957291,407,P
23433,957333,401,P
23476,957375,402,B
23521,957416,406,P
23569,957458,411,P
23608,957500,409,I
23648,957541,408,P
23689,957583,407,P
23728,957625,404,P
23777,957666,412,B
23816,957708,409,P
23850,957750,400,P
23891,957791,401,P
23935,957833,403,P
23983,957875,409,P
24025,957916,409,P
24065,957958,408,P
24104,958000,405,P
24172,958041,432,P
24217,958083,435,P
24255,958125,431,I
24302,958166,437,B
24339,958208,432,B
24384,958250,435,B
24424,958291,434,P
24466,958333,434,B
24511,958375,437,B
24550,958416,435,P
24589,958458,432,B
24640,958500,441,B
24679,958541,439,B
24720,958583,438,P
24760,958625,436,B
24957,958666,592,B
25008,958708,601,P
25049,958750,599,I
25088,958791,598,B
25128,958833,596,B
25168,958875,594,B
25216,958916,601,P
25256,958958,599,B
25297,959000,598,B
25337,959041,597,B
25379,959083,597,P
25418,959125,594,P
25463,959166,598,P
25503,959208,596,P
25545,959250,596,P
25856,959291,866,B
25904,959333,872,P
25944,959375,870,I
25984,959416,869,B
26023,959458,866,B
26071,959500,872,B
26112,959541,872,P
26151,959583,869,B
26189,959625,865,P
26232,959666,867,B
26553,959708,1146,B
26600,959750,1151,P
26600,960000,901,I
26646,960041,906,B
26683,960083,901,B
27110,960125,1285,B
27158,960166,1293,P
27159,960625,835,I
27208,960666,843,P
27248,960708,841,P
27289,960750,840,B
27325,960791,835,B
27730,960833,1198,B
27771,960875,1197,P
27771,961250,822,I
27815,961291,825,B
27861,961333,829,B
28374,961375,1300,B
28418,961416,1303,P
28418,961875,844,I
28463,961916,847,B
28503,961958,846,B
28929,962000,1230,B
28972,962041,1232,P
28972,962500,773,I
29013,962541,773,B
29062,962583,780,B
29177,962625,853,B
29223,962666,858,P
29224,963125,400,I
29270,963166,405,B
29312,963208,405,B
29349,963250,399,B
29390,963291,400,P
29431,963333,399,B
29475,963375,401,B
29516,963416,401,B
29559,963458,402,P
29600,963500,401,B
29645,963541,405,B
29688,963583,405,B
29725,963625,401,P
29765,963666,400,B
29808,963708,401,P
29852,963750,403,I
29894,963791,404,B
29936,963833,403,B
29976,963875,402,B
30015,963916,400,P
30058,963958,401,B
30101,964000,402,B
30141,964041,401,B
30183,964083,401,P
30227,964125,403,B
30271,964166,406,B
30306,964208,399,B
30349,964250,400,P
30410,964291,420,B
30454,964333,422,P
30496,964375,422,I
30538,964416,423,B
30581,964458,424,B
30622,964500,423,B
30660,964541,420,P
30702,964583,420,B
30743,964625,419,B
30787,964666,422,B
30829,964708,422,P
30871,964750,422,B
30909,964791,419,B
30960,964833,427,B
30994,964875,420,P
31039,964916,424,B
31079,964958,422,P
31120,965000,421,I
31161,965041,421,B
31201,965083,419,B
31249,965125,425,B
31285,965166,420,P
31331,965208,424,B
31372,965250,423,B
31413,965291,423,B
31455,965333,422,P
31495,965375,421,B
31538,965416,423,B
31581,965458,424,B
31624,965500,425,P
31662,965541,421,B
31704,965583,422,P
31746,965625,422,I
31790,965666,425,B
31833,965708,426,B
31868,965750,419,B
31912,965791,422,P
31956,965833,424,B
31997,965875,423,B
32037,965916,422,B
32079,965958,422,P
32119,966000,420,B
32166,966041,425,B
32208,966083,426,B
32248,966125,424,P
32288,966166,423,P
32332,966208,425,P
32372,966250,423,I
32416,966291,426,B
32451,966333,419,B
32496,966375,422,B
32544,966416,429,P
32584,966458,427,B
32624,966500,425,B
32663,966541,423,P
32704,966583,422,P
32749,966625,425,P
32789,966666,424,B
32833,966708,425,B
32872,966750,423,P
32913,966791,422,B
32956,966833,424,P
32999,966875,425,I
33034,966916,419,B
33079,966958,422,P
33118,967000,419,P
33165,967041,425,B
33205,967083,423,B
33246,967125,422,P
33286,967166,421,P
33327,967208,420,P
33375,967250,426,P
33416,967291,426,P
33451,967333,419,P
33496,967375,422,P
33540,967416,425,P
33579,967458,422,P
33624,967500,425,I
33664,967541,424,B
33703,967583,421,B
33753,967625,429,B
33785,967666,420,P
33831,967708,424,P
33873,967750,424,P
33912,967791,422,P
