at,ptsMs,latencyMs,frameType
3318,1074916,171,P
3358,1074958,168,P
3398,1075000,167,I
3438,1075041,165,B
3478,1075083,163,B
3526,1075125,170,B
3566,1075166,168,P
3605,1075208,165,B
3646,1075250,165,B
3694,1075291,171,B
3729,1075333,165,P
3772,1075375,167,B
3811,1075416,163,B
3854,1075458,165,B
3897,1075500,166,P
4025,1075541,252,B
4069,1075583,254,P
4112,1075625,257,I
4158,1075666,260,P
4198,1075708,258,P
4237,1075750,257,P
4276,1075791,254,B
4318,1075833,254,B
4362,1075875,256,B
4406,1075916,259,P
4443,1075958,254,B
4483,1076000,252,B
4531,1076041,258,B
4573,1076083,258,P
4613,1076125,257,B
4653,1076166,255,B
4696,1076208,256,P
4742,1076250,261,I
4782,1076291,260,B
4830,1076333,265,B
4868,1076375,262,B
4908,1076416,261,P
4950,1076458,260,B
4988,1076500,257,B
5030,1076541,258,B
5069,1076583,255,P
5114,1076625,258,B
5155,1076666,258,B
5196,1076708,256,B
5236,1076750,255,P
5279,1076791,256,B
5323,1076833,258,P
5365,1076875,259,I
5403,1076916,255,B
5454,1076958,264,B
5492,1077000,262,B
5530,1077041,257,P
5570,1077083,255,B
5613,1077125,258,B
5658,1077166,260,B
5694,1077208,255,P
5740,1077250,259,B
5781,1077291,258,B
5822,1077333,257,B
5862,1077375,256,P
5918,1077416,270,B
5962,1077458,273,P
6006,1077500,275,I
6045,1077541,272,B
6094,1077583,279,B
6134,1077625,278,B
6173,1077666,275,P
6214,1077708,274,B
6253,1077750,273,B
6293,1077791,271,B
6342,1077833,278,P
6381,1077875,275,B
6421,1077916,274,B
6463,1077958,273,B
6502,1078000,271,P
6545,1078041,273,B
6588,1078083,274,P
6638,1078125,282,I
6677,1078166,280,B
6718,1078208,278,B
6755,1078250,274,B
6798,1078291,276,P
6846,1078333,281,B
6886,1078375,281,B
6924,1078416,276,B
6966,1078458,276,P
7005,1078500,274,B
7049,1078541,276,B
7090,1078583,275,B
7129,1078625,273,P
7173,1078666,275,B
7212,1078708,272,P
7262,1078750,282,I
7302,1078791,279,B
7343,1078833,278,B
7381,1078875,275,B
7430,1078916,282,P
7470,1078958,280,B
7510,1079000,279,B
7549,1079041,277,B
7590,1079083,275,P
7633,1079125,277,B
7673,1079166,275,B
7713,1079208,273,B
7754,1079250,273,P
7798,1079291,275,B
7838,1079333,273,P
7886,1079375,280,I
7926,1079416,279,B
7966,1079458,277,B
8014,1079500,283,B
8053,1079541,281,P
8094,1079583,279,B
8134,1079625,278,B
8172,1079666,274,B
8222,1079708,282,P
8254,1079750,273,B
8296,1079791,273,B
8341,1079833,276,B
8381,1079875,275,P
8430,1079916,282,B
8470,1079958,281,P
8510,1080000,280,I
8549,1080041,277,B
8590,1080083,275,B
8630,1080125,274,B
8671,1080166,274,P
8719,1080208,279,B
8758,1080250,277,B
8799,1080291,276,P
8846,1080333,282,B
8881,1080375,275,B
8922,1080416,274,B
8965,1080458,275,P
9005,1080500,275,B
9049,1080541,276,P
9094,1080583,280,P
9134,1080625,278,I
9174,1080666,276,P
9222,1080708,282,P
9262,1080750,281,P
9301,1080791,279,B
9341,1080833,276,B
9382,1080875,276,P
9430,1080916,283,P
9465,1080958,275,P
9506,1081000,275,P
9547,1081041,274,P
9588,1081083,274,P
9638,1081125,282,P
9678,1081166,280,P
9720,1081208,280,P
9766,1081250,285,I
9805,1081291,282,P
9854,1081333,289,P
9893,1081375,287,P
9934,1081416,286,B
9974,1081458,285,B
10013,1081500,282,P
10062,1081541,289,P
10102,1081583,288,P
10138,1081625,282,P
10179,1081666,282,P
10221,1081708,281,P
10269,1081750,288,P
10307,1081791,285,P
10349,1081833,285,P
10398,1081875,292,I
10438,1081916,290,P
10478,1081958,288,P
10526,1082000,295,P
