at,payloadSizeBytes,frameType
3318,2259,P
3384,4876,P
3403,1236,B
3442,957,B
3500,3226,P
3519,1205,B
3567,1001,B
3618,3482,P
3649,1046,B
3686,920,B
3739,2833,P
3770,992,B
3809,851,B
4015,23330,I
4044,3689,P
4054,1110,B
4064,1168,B
4089,3311,P
4102,1161,B
4111,940,B
4164,2871,P
4193,1092,B
4225,970,B
4286,3742,P
4312,1423,B
4350,1099,B
4422,4093,P
4434,984,B
4632,23058,I
4658,3498,P
4670,1244,B
4680,1030,B
4709,3995,P
4720,1175,B
4749,3717,P
4774,1396,B
4818,1192,B
4869,3685,P
4905,1626,B
4945,1338,B
5013,5158,P
5027,1290,B
5073,1744,P
5265,23451,I
5293,3609,P
5303,1252,B
5314,1112,B
5337,3040,P
5347,895,B
5375,3239,P
5401,1081,B
5439,798,B
5496,2748,P
5524,1080,B
5567,952,B
5617,2205,P
5663,3948,P
5685,1015,B
5884,22579,I
5904,2627,P
5912,768,B
5931,2222,P
5939,952,B
5970,3879,P
6005,3991,P
6029,1611,B
6071,1382,B
6129,4107,P
6150,1978,B
6196,1607,B
6246,3835,P
6279,1600,B
6332,3108,P
6512,22931,I
6540,3545,P
6551,1343,B
6563,1236,B
6589,3394,P
6600,1179,B
6625,3234,P
6653,1272,B
6707,3024,P
6725,1056,B
6788,3407,P
6818,990,B
6857,809,B
6911,3645,P
6941,795,B
7142,23588,I
7165,2764,P
7172,921,B
7181,877,B
7218,4962,P
7232,1450,B
7241,1026,B
7275,997,B
7338,4053,P
7359,1091,B
7393,1163,B
7467,4423,P
7488,1739,B
7529,1388,B
7582,3197,P
7765,23393,I
7788,2957,P
7801,1401,B
7813,1343,B
7839,3340,P
7852,1536,B
7877,3189,P
7904,1562,B
7943,1407,B
8018,5752,P
8033,2018,B
8071,1406,B
8125,3323,P
8168,3443,P
8192,1391,B
8390,23165,I
8413,3313,P
8427,1587,B
8438,1037,B
8455,2175,P
8487,4368,P
8498,1097,B
8537,3901,P
8585,3645,P
8600,1048,B
8650,1077,B
8717,4431,P
8727,1238,B
8767,961,B
8819,1227,P
8991,21060,I
9017,3427,P
9026,899,B
9033,786,B
9060,3580,P
9070,864,B
9108,847,B
9162,3711,P
9193,1033,B
9228,920,B
9284,3489,P
9317,937,B
9357,833,B
9413,4038,P
9442,897,B
9636,22662,I
9655,2429,P
9677,2833,P
9688,1235,B
9700,1136,B
9734,4603,P
9746,1475,B
9776,1131,B
9835,4672,P
9854,1386,B
9893,1166,B
9965,5524,P
9978,1339,B
10027,1351,B
10072,1736,P
10267,23313,I
10292,3621,P
10305,1336,B
10316,1185,B
10343,3494,P
10353,1119,B
10381,3539,P
10404,1389,B
10436,1196,B
10496,3756,P
10521,1294,B
10561,1168,B
10626,3613,P
10651,1158,B
10711,3569,P
10892,23440,I
10911,2632,P
10939,3472,P
10948,1161,B
10981,4282,P
10991,1059,B
11019,3924,P
11033,1425,B
11060,1150,B
11131,4150,P
11148,1473,B
11186,1085,B
11263,4977,P
11274,1482,B
11310,1039,B
11483,18624,I
11506,3075,P
11515,936,B
11540,3363,P
11551,1157,B
11583,4083,P
11610,987,B
11662,3501,P
11686,1040,B
11760,4633,P
11770,1199,B
11817,827,B
11874,4085,P
11901,1124,B
11941,763,B
12141,23137,I
12164,3068,P
12171,785,B
12179,733,B
12207,3543,P
12213,773,B
12224,708,B
12294,3779,P
12312,1151,B
12357,734,B
12399,780,B
12454,3939,P
12476,1188,B
12518,772,B
12573,3295,P
12762,22591,I
12782,2880,P
12791,751,B
12819,3729,P
12830,1222,B
12838,719,B
12873,3605,P
12890,720,B
12952,3291,P
12981,757,B
13040,3115,P
13058,1058,B
13102,702,B
13167,4649,P
13185,763,B
13696,23730,I
13783,2886,P
13815,771,B
13887,2497,P
13919,1002,B
14035,4050,P
14065,964,B
15310,23554,I
15410,3714,P
15410,849,B
15442,897,B
15575,4141,P
15576,756,B
15607,769,B
15677,2523,P
16646,22196,I
16751,2839,P
16782,922,B
16849,2667,P
16885,1138,B
18787,19828,I
20022,21657,I
20120,3606,P
20153,1192,B
20187,798,B
21224,21630,I
21323,3532,P
21358,913,B
21391,884,B
22394,20829,I
22459,2547,P
22491,1044,B
22525,791,B
22560,795,B
22695,4491,P
22731,1327,B
22731,827,B
22764,940,B
23421,20741,I
23459,3823,P
23484,2034,B
23498,1181,B
23510,1406,B
23810,23849,I
23850,4003,P
24088,19024,I
24127,3574,P
24140,854,B
24177,3913,P
24190,981,B
24215,3041,P
24227,1672,B
24239,1036,B
24278,4312,P
24302,1588,B
24338,4482,P
24364,1540,B
24451,4535,P
24464,4954,P
24476,1363,B
24542,1160,B
24555,1200,B
24599,3930,P
24612,1202,B
24877,24217,I
24915,3663,P
24928,943,B
24966,3225,P
24981,1046,B
25021,3478,P
25035,1319,B
25090,4442,P
25105,1212,B
25140,3683,P
25154,1298,B
25205,4966,P
25217,1100,B
