sec bitrateReceivedKbit
0.0 3.95
0.0 7.41
0.1 9.18
0.2 9.18
0.2 15.39
0.2 19.95
0.2 22.37
0.4 22.37
0.4 25.91
0.7 25.91
0.8 25.91
0.8 31.23
0.8 34.74
0.8 37.95
0.9 37.95
0.9 43.44
0.9 47.54
0.9 50.55
1.0 46.60
1.0 52.97
1.1 58.54
1.1 62.55
1.1 60.78
1.2 66.25
1.6 55.58
1.6 59.70
1.6 62.64
1.7 71.31
1.7 76.55
1.8 80.35
1.8 74.13
2.1 46.36
2.1 49.18
2.2 43.70
2.2 50.88
2.3 55.61
2.3 59.22
2.4 68.30
2.4 73.06
2.4 77.72
2.4 77.72
2.5 82.92
2.5 93.32
2.7 71.53
2.8 67.78
2.8 69.20
2.8 73.37
3.0 73.37
3.0 78.96
3.0 86.62
3.1 91.40
3.1 95.43
3.2 93.23
3.3 84.22
3.3 87.60
3.4 77.31
3.6 66.61
3.6 71.35
3.6 74.90
3.7 85.54
3.7 85.54
3.7 85.54
3.7 85.54
3.8 84.33
3.8 84.33
3.8 82.27
3.8 82.77
4.0 82.77
4.0 84.19
4.0 88.42
4.0 88.42
4.0 89.67
4.0 90.94
4.1 72.86
4.3 63.34
4.3 67.20
4.3 70.66
4.6 63.54
4.6 66.72
4.6 62.80
4.8 62.05
4.8 67.23
5.0 48.34
5.1 50.06
5.1 53.22
5.2 54.13
5.2 57.85
5.2 64.18
5.2 68.22
5.4 58.98
5.6 49.01
5.6 52.71
5.8 37.65
5.9 37.65
5.9 40.29
6.0 49.30
6.3 35.50
6.3 51.95
6.5 48.66
6.6 48.66
6.6 48.66
6.6 48.66
6.6 54.14
6.6 57.29
6.6 58.06
6.7 58.06
6.7 58.06
6.7 58.06
6.8 59.27
7.1 54.50
7.2 58.36
7.2 66.41
7.5 42.45
7.6 45.80
7.6 48.94
7.9 34.37
8.8 11.66
8.9 15.86
8.9 23.56
8.9 31.74
9.0 38.50
9.0 41.41
9.2 41.41
9.2 41.41
9.3 41.41
9.3 41.41
9.3 41.41
9.4 45.88
9.4 45.88
9.4 45.88
9.4 52.28
9.5 56.60
9.5 59.92
9.6 59.92
9.6 65.64
9.6 65.64
9.7 65.64
9.7 68.88
9.7 68.88
9.8 72.62
9.8 72.62
9.9 52.33
10.0 45.48
10.1 48.06
10.1 51.14
10.2 55.83
10.2 55.83
10.3 55.83
10.3 62.48
10.4 58.01
10.4 61.10
10.7 41.90
10.8 40.98
10.8 40.98
10.9 41.99
10.9 44.60
11.0 44.60
11.0 44.60
11.0 37.82
11.1 32.34
11.1 29.26
11.2 33.65
11.2 28.96
11.2 32.76
11.3 36.33
11.3 36.33
11.3 42.32
11.4 41.04
11.4 42.87
11.5 49.70
11.5 55.38
11.6 60.13
11.6 64.60
11.8 67.58
11.8 64.77
11.9 70.45
11.9 70.45
11.9 63.56
12.0 71.95
12.0 78.54
12.0 78.54
12.0 78.54
12.1 82.86
12.1 82.86
12.1 82.86
12.1 91.86
12.2 94.90
12.2 101.02
12.2 97.22
12.3 99.45
12.3 93.46
12.4 88.09
12.4 89.22
12.4 94.91
12.5 93.02
12.6 90.82
12.6 97.57
12.7 98.54
12.8 99.01
12.8 104.82
12.9 105.46
13.0 90.48
13.0 90.48
13.1 91.96
13.1 91.96
13.2 88.54
13.2 89.01
13.2 89.01
13.3 82.90
13.3 83.66
13.3 83.66
13.3 83.66
13.4 83.66
13.4 92.66
13.4 99.34
13.5 93.53
13.6 95.22
13.7 86.71
13.8 86.40
13.9 81.94
13.9 88.23
13.9 81.91
14.0 90.66
14.0 90.66
14.0 97.69
14.1 96.38
14.1 102.01
14.2 96.42
14.2 88.53
14.3 95.21
14.3 88.64
14.3 88.64
14.3 94.63
14.5 87.26
14.5 87.70
14.6 89.78
14.7 90.08
14.7 95.49
14.8 96.22
14.9 87.61
14.9 88.04
14.9 88.04
15.0 85.26
15.0 85.26
15.1 80.82
15.1 87.12
15.1 87.12
15.2 81.49
15.2 86.86
15.2 86.86
15.3 88.80
15.3 95.29
15.3 95.29
15.4 95.22
15.5 86.98
15.6 92.87
15.6 89.25
15.7 90.93
15.7 91.70
15.8 97.34
15.9 91.48
15.9 91.66
15.9 91.66
16.0 91.66
16.0 97.49
16.0 91.51
16.0 91.51
16.1 97.94
16.1 97.94
16.1 83.25
16.2 91.07
16.2 90.63
16.4 83.73
16.4 90.05
16.4 89.54
16.5 98.15
16.5 98.74
16.6 104.62
16.6 99.56
16.7 99.56
16.7 99.56
16.8 84.94
16.8 87.07
16.8 93.22
16.9 98.20
16.9 98.20
16.9 99.62
17.0 100.33
17.0 100.33
17.1 106.50
17.1 109.19
17.2 115.68
17.2 113.82
17.3 114.83
17.4 102.54
17.5 108.42
17.5 99.81
17.5 104.78
17.5 97.74
17.6 99.57
17.6 93.66
17.7 99.09
17.7 107.96
17.8 114.38
17.8 114.38
17.8 112.63
17.9 107.06
17.9 107.06
18.1 94.02
18.2 90.24
18.3 84.67
18.4 78.73
18.4 87.41
18.4 87.41
18.5 79.71
