sec bitrateReceivedKbit
0.7 175.94
0.8 175.94
0.8 175.94
0.8 175.94
0.8 175.94
0.9 175.94
0.9 175.94
0.9 175.94
0.9 175.94
1.0 175.94
1.0 175.94
1.1 175.94
1.1 175.94
1.1 175.94
1.2 175.94
1.6 175.94
1.6 175.94
1.6 175.94
1.7 175.94
1.7 0.00
1.8 0.00
1.8 0.00
2.1 0.00
2.1 0.00
2.2 184.85
2.2 184.85
2.3 184.85
2.3 184.85
2.4 184.85
2.4 184.85
2.4 184.85
2.4 184.85
2.5 184.85
2.5 184.85
2.7 184.85
2.8 184.85
2.8 184.85
2.8 184.85
3.0 363.69
3.0 363.69
3.0 363.69
3.1 363.69
3.1 363.69
3.2 363.69
3.3 178.84
3.3 178.84
3.4 178.84
3.6 178.84
3.6 178.84
3.6 178.84
3.7 178.84
3.7 178.84
3.7 178.84
3.7 367.82
3.8 367.82
3.8 367.82
3.8 367.82
3.8 367.82
4.0 367.82
4.0 367.82
4.0 367.82
4.0 188.98
4.0 188.98
4.0 188.98
4.1 188.98
4.3 188.98
4.3 188.98
4.3 188.98
4.6 188.98
4.6 188.98
4.6 188.98
4.8 0.00
4.8 0.00
5.0 0.00
5.1 0.00
5.1 0.00
5.2 0.00
5.2 0.00
5.2 0.00
5.2 0.00
5.4 0.00
5.6 0.00
5.6 0.00
5.8 181.45
5.9 181.45
5.9 181.45
6.0 181.45
6.3 181.45
6.3 181.45
6.5 370.74
6.6 370.74
6.6 370.74
6.6 512.40
6.6 512.40
6.6 512.40
6.6 512.40
6.7 512.40
6.7 512.40
6.7 512.40
6.8 512.40
7.1 330.95
7.2 330.95
7.2 330.95
7.5 141.66
7.6 141.66
7.6 141.66
7.9 0.00
8.8 0.00
8.9 0.00
8.9 0.00
8.9 0.00
9.0 0.00
9.0 0.00
9.2 189.58
9.2 189.58
9.3 384.17
9.3 384.17
9.3 384.17
9.4 384.17
9.4 384.17
9.4 384.17
9.4 384.17
9.5 384.17
9.5 384.17
9.6 577.16
9.6 577.16
9.6 577.16
9.7 577.16
9.7 577.16
9.7 577.16
9.8 577.16
9.8 577.16
9.9 577.16
10.0 577.16
10.1 577.16
10.1 577.16
10.2 577.16
10.2 576.94
10.3 576.94
10.3 382.34
10.4 382.34
10.4 382.34
10.7 189.35
10.8 189.35
10.8 375.81
10.9 375.81
10.9 375.81
11.0 375.81
11.0 375.81
11.0 375.81
11.1 375.81
11.1 375.81
11.2 375.81
11.2 375.81
11.2 186.46
11.3 186.46
11.3 186.46
11.3 186.46
11.4 186.46
11.4 186.46
11.5 186.46
11.5 186.46
11.6 186.46
11.6 186.46
11.8 186.46
11.8 378.06
11.9 191.60
11.9 191.60
11.9 191.60
12.0 191.60
12.0 191.60
12.0 191.60
12.0 191.60
12.1 191.60
12.1 191.60
12.1 191.60
12.1 191.60
12.2 191.60
12.2 191.60
12.2 191.60
12.3 191.60
12.3 191.60
12.4 191.60
12.4 191.60
12.4 191.60
12.5 191.60
12.6 191.60
12.6 191.60
12.7 191.60
12.8 191.60
12.8 0.00
12.9 0.00
13.0 188.12
13.0 188.12
13.1 188.12
13.1 188.12
13.2 188.12
13.2 188.12
13.2 188.12
13.3 188.12
13.3 188.12
13.3 188.12
13.3 188.12
13.4 188.12
13.4 188.12
13.4 188.12
13.5 188.12
13.6 188.12
13.7 188.12
13.8 188.12
13.9 188.12
13.9 188.12
13.9 380.98
14.0 380.98
14.0 192.86
14.0 192.86
14.1 192.86
14.1 192.86
14.2 192.86
14.2 192.86
14.3 192.86
14.3 192.86
14.3 192.86
14.3 192.86
14.5 192.86
14.5 192.86
14.6 192.86
14.7 192.86
14.7 192.86
14.8 192.86
14.9 386.10
14.9 386.10
14.9 193.23
15.0 193.23
15.0 193.23
15.1 193.23
15.1 193.23
15.1 193.23
15.2 193.23
15.2 193.23
15.2 193.23
15.3 193.23
15.3 193.23
15.3 193.23
15.4 193.23
15.5 193.23
15.6 193.23
15.6 193.23
15.7 193.23
15.7 193.23
15.8 193.23
15.9 386.57
15.9 193.34
15.9 193.34
16.0 193.34
16.0 193.34
16.0 193.34
16.0 193.34
16.1 193.34
16.1 193.34
16.1 193.34
16.2 193.34
16.2 193.34
16.4 193.34
16.4 193.34
16.4 193.34
16.5 193.34
16.5 193.34
16.6 193.34
16.6 193.34
16.7 292.54
16.7 292.54
16.8 292.54
16.8 292.54
16.8 292.54
16.9 99.21
16.9 99.21
16.9 99.21
17.0 99.21
17.0 99.21
17.1 99.21
17.1 99.21
17.2 99.21
17.2 99.21
17.3 99.21
17.4 99.21
17.5 99.21
17.5 268.74
17.5 268.74
17.5 268.74
17.6 268.74
17.6 268.74
17.7 268.74
17.7 169.53
17.8 169.53
17.8 169.53
17.8 169.53
17.9 169.53
17.9 169.53
18.1 169.53
18.2 169.53
18.3 169.53
18.4 346.29
18.4 346.29
18.4 346.29
18.5 346.29
18.5 176.76
18.6 176.76
18.6 176.76
18.6 176.76
18.7 176.76
18.7 176.76
18.8 176.76
18.9 176.76
19.0 176.76
19.1 176.76
19.2 176.76
19.2 360.30
19.3 360.30
19.3 360.30
19.4 183.54
19.4 183.54
19.5 183.54
19.5 183.54
19.6 183.54
19.7 183.54
19.8 183.54
19.9 183.54
19.9 183.54
20.1 183.54
20.1 183.54
20.1 361.69
20.2 361.69
20.2 361.69
20.3 178.14
20.3 178.14
20.3 178.14
20.4 178.14
20.4 178.14
20.4 178.14
20.5 178.14
20.6 178.14
20.7 178.14
20.7 178.14
20.8 178.14
20.9 357.91
20.9 357.91
21.0 357.91
21.0 357.91
21.1 357.91
21.1 357.91
21.1 179.77
21.2 179.77
21.2 179.77
21.3 179.77
21.4 179.77
21.5 179.77
21.6 179.77
21.7 361.91
21.8 361.91
21.8 361.91
21.8 361.91
21.9 361.91
21.9 182.14
22.0 182.14
22.0 182.14
22.0 182.14
22.0 182.14
22.1 182.14
22.2 182.14
22.3 182.14
22.4 182.14
22.5 182.14
22.5 182.14
22.6 364.22
22.6 364.22
22.6 364.22
22.7 182.07
22.8 182.07
22.8 182.07
22.8 182.07
22.8 182.07
22.9 182.07
22.9 182.07
23.0 182.07
23.1 182.07
23.2 182.07
23.3 182.07
23.4 363.76
23.4 363.76
23.4 363.76
23.5 363.76
23.5 363.76
23.6 181.69
23.7 181.69
23.7 181.69
23.7 181.69
23.8 181.69
23.9 181.69
24.0 181.69
24.1 181.69
24.2 360.77
24.2 360.77
24.3 360.77
24.3 360.77
24.3 360.77
24.4 360.77
24.4 179.08
24.4 179.08
24.5 179.08
24.5 179.08
24.6 179.08
24.7 179.08
24.7 179.08
24.8 179.08
24.9 179.08
25.0 361.93
25.0 361.93
25.1 361.93
25.2 361.93
25.2 361.93
25.2 182.85
25.3 182.85
25.3 182.85
25.4 182.85
25.4 182.85
25.5 182.85
