sec bitrateReceivedKbit
0.0 22.25
0.0 22.25
0.0 22.25
0.1 22.25
0.2 53.84
0.2 53.84
0.2 53.84
0.2 53.84
0.4 86.46
0.4 86.46
0.7 86.46
0.8 99.45
0.8 99.45
0.8 99.45
0.8 99.45
0.9 143.68
0.9 143.68
0.9 143.68
0.9 143.68
1.0 161.58
1.0 161.58
1.1 161.58
1.1 161.58
1.1 189.45
1.2 189.45
1.6 125.24
1.6 125.24
1.6 125.24
1.7 125.24
1.7 125.24
1.8 125.24
1.8 112.25
2.1 27.87
2.1 27.87
2.2 63.30
2.2 63.30
2.3 63.30
2.3 63.30
2.4 63.30
2.4 63.30
2.4 63.30
2.4 97.91
2.5 97.91
2.5 97.91
2.7 123.39
2.8 123.39
2.8 123.39
2.8 123.39
3.0 123.39
3.0 123.39
3.0 123.39
3.1 123.39
3.1 123.39
3.2 123.39
3.3 60.10
3.3 60.10
3.4 60.10
3.6 25.48
3.6 25.48
3.6 25.48
3.7 25.48
3.7 99.05
3.7 118.46
3.7 134.76
3.8 134.76
3.8 166.54
3.8 166.54
3.8 166.54
4.0 204.62
4.0 204.62
4.0 204.62
4.0 229.41
4.0 229.41
4.0 229.41
4.1 229.41
4.3 229.41
4.3 229.41
4.3 229.41
4.6 229.41
4.6 229.41
4.6 229.41
4.8 94.65
4.8 94.65
5.0 0.00
5.1 0.00
5.1 0.00
5.2 0.00
5.2 0.00
5.2 0.00
5.2 0.00
5.4 0.00
5.6 0.00
5.6 0.00
5.8 0.00
5.9 116.82
5.9 116.82
6.0 116.82
6.3 116.82
6.3 116.82
6.5 116.82
6.6 147.22
6.6 242.98
6.6 315.23
6.6 315.23
6.6 315.23
6.6 315.23
6.7 324.98
6.7 352.02
6.7 358.10
6.8 358.10
7.1 241.29
7.2 241.29
7.2 241.29
7.5 241.29
7.6 241.29
7.6 210.89
7.9 0.00
8.8 0.00
8.9 0.00
8.9 0.00
8.9 0.00
9.0 0.00
9.0 0.00
9.2 15.00
9.2 113.79
9.3 174.60
9.3 221.39
9.3 238.43
9.4 255.06
9.4 271.32
9.4 288.18
9.4 288.18
9.5 288.18
9.5 326.54
9.6 326.54
9.6 411.86
9.6 426.29
9.7 447.48
9.7 447.48
9.7 469.23
9.8 488.81
9.8 500.39
9.9 500.39
10.0 500.39
10.1 500.39
10.1 500.39
10.2 500.39
10.2 386.60
10.3 413.28
10.3 288.64
10.4 295.62
10.4 311.67
10.7 152.38
10.8 99.46
10.8 99.46
10.9 124.25
10.9 124.25
11.0 144.04
11.0 158.44
11.0 172.67
11.1 185.83
11.1 199.00
11.2 199.00
11.2 244.03
11.2 244.03
11.3 244.03
11.3 255.49
11.3 255.49
11.4 215.62
11.4 182.70
11.5 182.70
11.5 182.70
11.6 182.70
11.6 182.70
11.8 182.70
11.8 182.70
11.9 182.70
11.9 202.82
11.9 194.83
12.0 194.83
12.0 175.04
12.0 188.98
