at,payloadSizeBytes,frameType
11723,2781,P
11734,494,B
11766,432,B
11806,222,B
11910,3949,P
11925,776,B
11937,570,B
11972,302,B
12079,4077,P
12088,443,B
12461,21992,I
12490,1624,P
12504,665,B
12515,439,B
12526,401,B
12622,5529,P
12635,686,B
12648,512,B
12656,377,B
12743,5018,P
12769,1228,B
12785,697,B
12798,501,B
12860,3484,P
12876,684,B
13324,757,B
13336,516,B
13345,367,B
13452,1084,B
13467,655,B
13477,475,B
13535,727,B
13839,530,B
13849,352,B
13958,23106,I
13958,2911,P
13958,5001,P
13973,897,B
13987,591,B
13997,451,B
14091,1135,B
14105,595,B
14120,583,B
14155,4327,P
14213,650,B
14236,1300,B
14455,3185,P
14486,662,B
14543,904,B
14554,521,B
14714,22355,I
14740,699,B
14759,958,B
14774,597,B
14785,504,B
14912,607,B
15012,812,B
15028,423,B
15128,1027,B
15300,612,B
15329,593,B
15339,444,B
15431,1329,B
15456,2895,P
15456,5345,P
15456,4141,P
15457,2426,P
15458,23623,I
15458,2038,P
15527,511,B
15534,3973,P
15547,647,B
15562,583,B
15686,4760,P
15689,178,B
15702,528,B
15718,3098,P
15721,157,B
15728,159,B
15848,498,B
16033,651,B
16045,483,B
16061,433,B
16319,748,B
16329,398,B
16344,547,B
16491,1235,B
16525,648,B
16727,242,B
16791,375,B
16804,395,B
16889,611,B
16899,465,B
16941,791,B
16952,505,B
17105,412,B
17348,447,B
17360,463,B
17570,22681,I
17617,3185,P
17617,4539,P
17617,3669,P
17617,3209,P
17644,330,B
17707,1127,B
17981,1659,B
18019,2056,B
18220,23661,I
18294,3800,P
18295,1715,P
18295,2337,P
18295,3092,P
18295,4826,P
18296,2339,P
18296,17708,I
18296,3296,P
18296,1987,P
18296,1410,P
18297,686,B
18353,840,B
18367,559,B
18410,1219,P
18437,2136,P
18437,1244,P
18438,760,P
18567,152,B
18870,860,B
18908,483,B
18953,1006,B
19245,720,B
19277,419,B
19295,392,B
19575,416,B
20562,1041,B
20582,942,B
20602,962,B
20665,1023,B
20705,845,B
20748,363,B
20912,23697,I
20912,1875,P
20913,2637,P
20913,2984,P
20913,3913,P
20913,2815,P
21016,24324,I
21016,3500,P
21016,2265,P
21016,1836,P
21036,1645,P
21036,2020,P
21036,2184,P
21058,2130,P
21078,559,B
21078,2078,P
21079,2033,P
21099,2108,P
21161,800,B
21180,540,B
21203,4795,P
21203,415,B
21305,24124,I
21347,3149,P
21347,1775,P
21347,3968,P
21347,1772,P
21347,715,B
21366,1804,P
21409,2649,P
21428,405,B
21448,2719,P
21492,468,B
21492,2447,P
21510,1448,P
21615,408,B
21739,1012,B
21782,685,B
21801,386,B
21905,586,B
21926,23669,I
21989,3335,P
22070,831,B
22090,4984,P
22133,2916,P
22133,1198,P
22133,386,B
22442,476,B
22545,352,B
22564,23307,I
22627,535,B
22627,3098,P
22647,326,B
22687,2474,P
22730,1800,P
22752,165,B
22752,1779,P
22790,1645,P
22812,1646,P
22874,549,B
22915,5629,P
22957,475,B
22977,446,B
23018,4767,P
23039,749,B
23102,671,B
23141,615,B
23204,854,B
23267,709,B
23286,594,B
23370,559,B
23473,849,B
23555,23950,I
23576,710,B
23615,2515,P
23658,2099,P
23680,1049,B
23699,823,B
23718,1742,P
23739,1809,P
23781,706,B
23801,2132,P
23844,2884,P
23865,1125,B
23884,929,B
23946,764,B
23968,3707,P
23987,725,B
24070,5222,P
24133,3789,P
24153,757,B
24172,711,B
24214,617,B
24317,1029,B
24359,843,B
24400,680,B
24525,908,B
24564,726,B
24626,790,B
24710,23515,I
24772,3539,P
24794,891,B
24832,2685,P
24876,698,B
24916,987,B
24935,3615,P
24978,3046,P
24998,821,B
25039,2270,P
25059,1104,P
25083,973,P
25083,322,P
25102,1125,B
25141,835,B
25205,741,B
25289,829,B
25391,808,B
25495,641,B
25578,1077,B
25597,786,B
25657,24108,I
25699,1094,B
25720,3056,P
25761,878,B
25801,727,B
25801,3003,P
25867,704,B
25885,3263,P
25947,3525,P
25988,835,B
26008,3099,P
26051,1710,P
26072,749,B
26174,1039,B
26237,796,B
26340,1089,B
26399,845,B
26442,676,B
26524,733,B
26586,24154,I
26628,840,B
26667,3128,P
26711,747,B
26731,2888,P
26814,1049,B
26834,788,B
26854,4737,P
26898,2775,P
26917,672,B
26958,2605,P
27000,1077,B
27020,811,B
27060,3163,P
27124,740,B
27246,806,B
27331,736,B
27349,636,B
27433,1055,B
27453,772,B
27517,706,B
27575,24167,I
27638,862,B
27657,2230,P
27681,1741,P
27703,729,B
27722,1450,P
27741,1199,P
27786,804,B
27786,1596,P
27806,1081,P
27866,3391,P
27908,978,B
27970,617,B
28074,1025,B
28094,790,B
28094,9221,P
28133,676,B
28196,1077,B
28259,879,B
28279,736,B
28361,739,B
28402,12401,I
28423,1729,P
28486,3556,P
28526,972,B
28570,769,B
28589,622,B
28609,4024,P
28671,1040,B
28712,817,B
28733,5054,P
28774,771,B
28856,1141,B
28898,811,B
28940,746,B
29022,743,B
29146,955,B
29184,735,B
29209,21191,I
29230,621,B
29268,2820,P
29333,964,B
29373,4686,P
29395,679,B
29456,1109,B
29496,802,B
29517,4946,P
29539,754,B
29600,695,B
29618,4915,P
29786,997,B
29889,669,B
29992,861,B
30076,22095,I
30096,1085,B
30135,2671,P
30199,728,B
30237,4720,P
