at_sec latencyMs frameType
0.000 294 P
1.042 669 B
2.327 1329 B
3.822 2200 B
4.034 2204 B
5.034 2204 P
6.026 3113 P
7.002 3214 B
9.282 4535 B
9.329 4541 P
10.034 4537 B
11.033 4536 P
12.034 4537 P
13.137 4682 P
14.166 5044 P
15.033 5286 B
16.021 5691 B
17.002 5797 B
18.018 6021 B
19.050 6262 B
20.256 6759 B
21.060 6938 B
22.018 7105 B
23.034 7329 B
24.002 7464 B
25.178 7931 B
26.031 8159 B
27.010 8388 B
28.027 8655 P
29.018 8938 B
30.026 9196 P
31.026 9529 B
32.179 9932 B
33.010 10097 P
34.026 10279 P
35.002 10380 B
36.010 10472 B
37.026 10488 B
38.018 10522 P
39.042 10504 P
40.058 10520 P
41.003 10548 I
42.010 10555 B
43.075 10578 P
44.034 10580 P
45.073 10576 B
46.209 11046 P
47.026 10946 I
48.172 11134 P
49.002 11172 P
50.105 11193 P
51.058 11436 P
52.034 11579 I
53.050 11803 P
54.135 12013 P
55.023 12443 P
56.026 12446 I
57.228 12691 P
58.026 12696 P
59.010 12888 P
60.002 13172 P
61.338 13716 P
62.010 13722 P
63.089 13717 P
64.141 13936 P
65.114 14242 P
66.170 14548 P
67.027 14572 P
68.003 14716 P
69.002 14714 P
70.018 14855 P
71.017 14688 P
72.034 15037 P
73.036 15539 P
74.050 15595 P
75.026 15654 P
76.092 15929 P
77.050 15887 P
78.026 15904 P
79.040 16293 P
80.034 16579 P
81.011 16931 P
82.136 16974 P
83.074 17036 P
84.179 17182 P
85.010 17139 P
86.010 17263 P
87.050 17346 P
88.002 17380 P
89.047 17550 P
90.050 17638 P
91.174 17887 P
92.050 17971 P
93.018 18146 P
94.010 18348 P
95.002 18714 P
96.002 18881 P
97.018 18896 P
98.010 19139 P
99.170 19424 P
100.082 19460 P
101.247 19918 P
102.099 19936 P
103.018 19938 P
104.003 20048 P
105.123 20627 P
106.057 20769 P
107.122 20875 P
108.090 21052 P
109.010 21056 I
110.081 21127 P
111.018 21356 P
112.011 21431 P
113.262 21807 P
114.017 21813 P
115.018 22064 I
116.010 22389 P
117.026 22696 P
118.381 23219 P
119.100 23313 P
