sec bitrateReceivedKbit
0.0 22.25
0.0 26.20
0.0 29.66
0.1 31.43
0.2 63.02
0.2 69.23
0.2 73.79
0.2 76.21
0.4 108.82
0.4 112.37
0.7 288.30
0.8 301.30
0.8 306.62
0.8 310.13
0.8 313.34
0.9 357.57
0.9 363.06
0.9 367.15
0.9 370.17
1.0 384.11
1.0 390.48
1.1 396.06
1.1 400.06
1.1 426.16
1.2 431.63
1.6 356.75
1.6 360.88
1.6 363.82
1.7 372.49
1.7 201.79
1.8 205.59
1.8 186.38
2.1 74.23
2.1 77.05
2.2 291.85
2.2 299.02
2.3 303.75
2.3 307.36
2.4 316.44
2.4 321.20
2.4 325.86
2.4 360.48
2.5 365.68
2.5 376.08
2.7 379.77
2.8 376.02
2.8 377.44
2.8 381.61
3.0 560.45
3.0 566.04
3.0 573.70
3.1 578.48
3.1 582.51
3.2 580.31
3.3 323.15
3.3 326.54
3.4 316.25
3.6 270.93
3.6 275.67
3.6 279.22
3.7 289.86
3.7 363.42
3.7 382.83
3.7 588.12
3.8 586.91
3.8 618.70
3.8 616.64
3.8 617.14
4.0 655.22
4.0 656.64
4.0 660.86
4.0 506.81
4.0 508.06
4.0 509.34
4.1 491.26
4.3 481.73
4.3 485.59
4.3 489.06
4.6 481.93
4.6 485.11
4.6 481.19
4.8 156.70
4.8 161.88
5.0 48.34
5.1 50.06
5.1 53.22
5.2 54.13
5.2 57.85
5.2 64.18
5.2 68.22
5.4 58.98
5.6 49.01
5.6 52.71
5.8 219.10
5.9 335.91
5.9 338.55
6.0 347.57
6.3 333.77
6.3 350.22
6.5 536.21
6.6 566.61
6.6 662.37
6.6 876.29
6.6 881.78
6.6 884.92
6.6 885.69
6.7 895.44
6.7 922.48
6.7 928.56
6.8 929.78
7.1 626.74
7.2 630.60
7.2 638.65
7.5 425.40
7.6 428.75
7.6 401.49
7.9 34.37
8.8 11.66
8.9 15.86
8.9 23.56
8.9 31.74
9.0 38.50
9.0 41.41
9.2 245.98
9.2 344.78
9.3 600.18
9.3 646.97
9.3 664.01
9.4 685.10
9.4 701.37
9.4 718.23
9.4 724.63
9.5 728.95
9.5 770.63
9.6 963.62
9.6 1054.66
9.6 1069.09
9.7 1090.28
9.7 1093.52
9.7 1115.27
9.8 1138.59
9.8 1150.18
9.9 1129.88
10.0 1123.03
10.1 1125.61
