sec bitrateReceivedKbit
0.6 175.94
0.6 175.94
0.7 175.94
0.8 175.94
0.8 175.94
1.2 360.78
1.3 360.78
1.4 360.78
1.5 360.78
1.5 360.78
1.9 363.69
2.0 363.69
2.1 363.69
2.1 363.69
2.2 363.69
2.6 367.82
2.6 367.82
2.7 367.82
2.8 367.82
2.9 367.82
4.0 181.45
4.5 370.74
4.6 370.74
4.8 512.40
4.8 512.40
5.2 520.53
5.2 520.53
5.3 520.53
5.3 520.53
5.4 520.53
5.9 189.58
6.3 194.59
6.4 194.59
6.4 194.59
6.4 194.59
7.2 387.58
7.2 387.58
7.2 387.58
7.3 387.58
7.3 387.58
7.3 387.58
7.4 192.99
7.4 192.99
7.4 192.99
8.7 189.35
8.8 189.35
8.8 375.81
8.8 375.81
8.8 375.81
9.0 375.81
9.0 375.81
9.3 567.41
9.4 567.41
9.4 567.41
9.4 567.41
9.5 567.41
9.6 567.41
9.7 567.41
10.1 379.72
10.1 379.72
10.2 379.72
10.2 379.72
10.3 379.72
10.3 379.72
10.4 188.12
10.4 188.12
10.4 188.12
10.8 380.98
10.9 380.98
10.9 380.98
11.0 380.98
11.0 380.98
11.1 192.86
11.1 192.86
11.5 386.10
11.6 386.10
11.6 386.10
11.7 386.10
11.8 386.10
11.8 193.23
11.9 193.23
12.3 386.57
12.3 386.57
12.4 386.57
12.4 386.57
12.4 386.57
12.4 386.57
12.5 386.57
12.5 386.57
12.7 193.34
12.9 292.54
12.9 292.54
13.0 292.54
13.1 292.54
13.2 292.54
13.5 268.74
13.6 268.74
13.7 268.74
13.8 268.74
13.8 268.74
14.2 346.29
14.3 346.29
14.4 346.29
14.4 346.29
14.5 346.29
14.9 360.30
15.0 360.30
15.1 360.30
15.1 360.30
15.2 360.30
15.6 361.69
15.6 361.69
15.7 361.69
15.8 361.69
15.9 361.69
16.3 357.91
16.3 357.91
16.4 357.91
16.4 357.91
16.5 357.91
16.9 361.91
17.0 361.91
17.0 361.91
17.1 361.91
17.2 361.91
17.6 364.22
17.6 364.22
17.7 364.22
17.8 364.22
17.8 364.22
18.2 363.76
18.3 363.76
18.3 363.76
18.4 363.76
18.5 363.76
18.9 360.77
18.9 360.77
19.0 360.77
19.1 360.77
19.1 360.77
19.5 361.93
19.6 361.93
19.7 361.93
19.7 361.93
19.8 361.93
20.2 363.17
20.3 363.17
20.3 363.17
20.4 363.17
20.5 363.17
20.9 364.21
20.9 364.21
21.0 364.21
21.1 364.21
21.1 364.21
21.5 363.84
21.6 363.84
21.7 363.84
21.7 363.84
21.8 363.84
22.2 367.86
22.3 367.86
22.4 367.86
22.5 367.86
22.6 187.90
22.6 187.90
23.0 353.91
23.0 353.91
23.1 353.91
23.2 353.91
23.3 166.01
23.4 166.01
23.4 166.01
23.8 350.23
23.9 350.23
23.9 350.23
24.0 184.22
24.1 184.22
24.5 365.70
24.5 365.70
24.6 365.70
24.7 365.70
24.7 365.70
25.2 369.12
25.2 369.12
25.2 369.12
25.3 369.12
25.4 369.12
25.8 364.19
25.8 364.19
25.9 364.19
25.9 364.19
26.0 364.19
26.4 358.79
26.5 358.79
26.5 358.79
26.6 358.79
26.6 358.79
27.0 363.21
27.1 363.21
27.1 363.21
27.2 363.21
27.3 363.21
27.6 353.93
27.7 353.93
27.8 353.93
27.8 353.93
27.9 353.93
28.3 355.52
28.3 355.52
28.4 355.52
28.4 355.52
28.5 355.52
28.9 363.88
29.0 363.88
29.0 363.88
29.1 363.88
29.1 363.88
29.5 360.04
29.6 360.04
29.6 360.04
29.7 360.04
29.8 360.04
30.1 357.88
30.2 357.88
30.2 357.88
30.3 357.88
30.4 357.88
30.8 363.28
30.8 363.28
30.9 363.28
31.0 363.28
31.0 363.28
31.4 374.75
31.5 374.75
31.5 374.75
31.6 374.75
31.7 374.75
32.1 373.99
32.1 373.99
32.1 373.99
32.2 373.99
32.3 373.99
32.7 363.90
32.7 363.90
32.8 363.90
32.9 363.90
32.9 363.90
33.3 360.18
33.3 360.18
33.4 360.18
33.5 360.18
33.5 360.18
33.9 368.79
34.0 368.79
34.0 368.79
34.1 368.79
34.2 368.79
34.6 378.69
34.6 378.69
34.7 378.69
34.8 378.69
34.8 378.69
35.2 379.60
35.3 379.60
35.3 379.60
35.4 379.60
35.5 379.60
35.9 365.87
35.9 365.87
35.9 365.87
36.0 365.87
36.1 365.87
36.5 356.25
36.5 356.25
36.6 356.25
36.6 356.25
36.7 356.25
37.1 349.96
37.1 349.96
37.2 349.96
37.2 349.96
37.3 349.96
37.7 351.62
37.7 351.62
37.8 351.62
37.9 351.62
37.9 351.62
38.3 360.95
38.3 360.95
38.3 360.95
38.7 360.95
38.7 178.85
38.7 178.85
39.2 363.62
39.2 363.62
39.3 363.62
39.3 184.78
39.4 184.78
39.8 372.90
39.8 372.90
39.9 372.90
40.0 372.90
40.1 372.90
40.5 377.95
40.5 377.95
40.6 377.95
40.7 377.95
40.7 377.95
41.1 380.54
41.2 380.54
41.3 380.54
41.3 380.54
41.4 380.54
41.8 380.58
41.8 380.58
41.9 380.58
42.0 380.58
42.0 380.58
42.1 380.58
42.5 373.04
42.5 373.04
42.5 373.04
42.6 373.04
42.6 373.04
42.7 373.04
42.7 373.04
42.7 373.04
42.7 373.04
42.7 373.04
42.8 373.04
42.8 183.18
42.9 183.18
42.9 183.18
43.0 183.18
43.4 370.31
43.5 370.31
43.5 187.14
43.5 187.14
43.6 187.14
43.7 187.14
43.7 187.14
43.7 187.14
43.7 187.14
43.8 187.14
44.2 376.82
44.2 376.82
44.3 376.82
44.3 376.82
44.3 376.82
44.4 189.68
44.5 189.68
44.9 378.67
44.9 378.67
45.0 378.67
45.1 378.67
45.1 378.67
45.2 188.99
45.6 369.70
45.6 369.70
45.6 369.70
45.7 369.70
45.7 369.70
45.7 369.70
45.8 369.70
45.8 369.70
45.9 369.70
45.9 180.70
45.9 180.70
46.0 180.70
46.0 180.70
46.1 180.70
46.1 180.70
46.5 362.83
46.5 362.83
46.6 362.83
46.6 182.13
46.7 182.13
46.7 182.13
46.7 182.13
46.8 182.13
46.9 182.13
47.3 359.10
47.4 359.10
47.5 359.10
47.5 359.10
47.6 176.97
47.6 176.97
48.0 362.45
48.1 362.45
48.1 362.45
48.2 362.45
48.3 362.45
48.4 185.48
48.6 185.48
48.8 271.44
48.8 271.44
48.9 271.44
48.9 271.44
49.0 271.44
49.1 85.96
49.2 85.96
49.2 85.96
49.3 85.96
49.7 258.62
49.7 258.62
49.7 258.62
49.7 258.62
49.7 258.62
49.8 258.62
49.8 258.62
49.8 172.66
49.8 172.66
49.8 172.66
49.9 172.66
49.9 172.66
50.3 342.82
50.3 342.82
50.4 342.82
50.4 342.82
50.4 342.82
50.5 342.82
50.6 342.82
50.6 342.82
50.7 170.17
50.7 170.17
51.1 340.20
51.1 340.20
51.2 340.20
51.2 340.20
51.2 340.20
51.3 340.20
51.3 170.03
51.3 170.03
51.4 170.03
51.4 170.03
51.4 170.03
51.5 170.03
51.5 170.03
51.6 170.03
51.7 170.03
52.0 346.13
52.1 346.13
52.1 176.10
52.1 176.10
52.2 176.10
52.2 176.10
52.2 176.10
52.3 176.10
52.3 176.10
52.4 176.10
52.4 176.10
52.4 176.10
52.5 176.10
52.5 176.10
52.6 176.10
52.9 344.70
53.0 344.70
53.1 168.61
53.1 168.61
53.2 168.61
53.6 347.23
53.7 347.23
53.7 347.23
53.8 347.23
53.8 347.23
53.9 347.23
54.2 304.66
54.4 304.66
54.4 304.66
54.5 304.66
54.5 304.66
54.5 304.66
