sec bitrateReceivedKbit
0.0 31.59
0.2 64.21
0.6 64.21
0.6 77.20
0.7 121.43
0.8 161.58
0.8 189.45
1.2 125.24
1.3 148.53
1.4 188.54
1.5 223.15
1.5 248.63
1.9 123.39
2.0 146.55
2.1 189.31
2.1 222.44
2.2 241.85
2.6 118.46
2.6 134.76
2.7 166.54
2.8 204.62
2.9 229.41
4.0 116.82
4.5 242.98
4.6 261.69
4.8 324.98
4.8 358.10
5.2 241.29
5.2 256.29
5.3 277.38
5.3 301.26
5.4 332.56
5.9 113.79
6.3 77.70
6.4 99.94
6.4 228.22
6.4 266.58
7.2 212.75
7.2 237.94
7.2 252.14
7.3 283.89
7.3 298.06
7.3 312.50
7.4 333.69
7.4 142.69
7.4 173.85
8.7 0.00
8.8 26.68
8.8 99.46
8.8 144.04
8.8 199.00
9.0 244.03
9.0 282.17
9.3 282.17
9.4 302.29
9.4 364.54
9.4 387.62
9.5 417.27
9.6 459.05
9.7 489.36
10.1 207.19
10.1 235.50
10.2 256.98
10.2 285.90
10.3 310.27
10.3 328.43
10.4 337.26
10.4 345.05
10.4 347.62
10.8 140.43
10.9 164.88
10.9 188.90
11.0 215.01
11.0 243.21
11.1 268.00
11.1 281.68
11.5 141.25
11.6 166.27
11.6 189.38
11.7 227.27
11.8 249.47
11.8 270.31
11.9 271.17
12.3 154.37
12.3 172.21
12.4 186.14
12.4 197.74
12.4 207.33
12.4 220.10
12.5 228.74
12.5 255.87
12.7 281.51
12.9 175.27
12.9 189.10
13.0 217.55
13.1 249.74
13.2 290.18
13.5 188.67
13.6 211.23
13.7 248.72
13.8 214.52
13.8 253.84
14.2 138.94
14.3 160.30
14.4 198.06
14.4 233.33
14.5 268.89
14.9 129.95
15.0 154.23
15.1 190.14
15.1 227.01
15.2 257.46
15.6 127.50
15.6 151.67
15.7 182.11
15.8 217.05
15.9 246.52
16.3 119.02
16.3 142.34
16.4 170.96
16.4 205.14
16.5 234.34
16.9 115.32
17.0 136.46
17.0 167.58
17.1 203.34
17.2 232.05
17.6 116.73
17.6 140.94
17.7 173.05
17.8 205.40
17.8 234.93
18.2 118.20
18.3 134.76
18.3 168.63
18.4 203.45
18.5 232.19
18.9 113.99
18.9 130.96
19.0 164.68
19.1 199.33
19.1 231.94
19.5 117.94
19.6 142.38
19.7 182.23
19.7 217.84
19.8 249.56
20.2 131.62
20.3 155.24
20.3 190.10
20.4 221.09
20.5 250.94
20.9 119.33
20.9 132.92
21.0 160.93
21.1 197.35
21.1 224.01
21.5 104.68
21.6 130.48
21.7 168.66
21.7 210.49
21.8 234.18
22.2 129.50
22.3 152.49
22.4 208.26
22.5 251.82
22.6 281.96
22.6 290.06
23.0 186.36
23.0 204.03
23.1 241.07
23.2 269.30
23.3 300.21
23.4 324.54
23.4 341.70
23.8 178.33
23.9 204.36
23.9 244.28
24.0 270.50
24.1 297.58
24.5 136.93
24.5 153.67
24.6 192.10
24.7 224.22
24.7 247.75
25.2 110.82
25.2 124.76
25.2 151.70
25.3 185.78
25.4 208.17
25.8 97.34
25.8 115.15
25.9 142.90
25.9 175.23
26.0 210.34
26.4 113.00
26.5 130.32
26.5 160.28
26.6 192.84
26.6 215.61
27.0 102.61
27.1 120.31
27.1 151.63
27.2 183.06
27.3 206.73
27.6 104.12
27.7 121.06
27.8 151.36
27.8 184.22
27.9 208.37
28.3 104.25
28.3 119.13
28.4 144.93
28.4 179.77
28.5 211.90
28.9 107.65
29.0 124.85
29.0 154.26
29.1 187.09
29.1 209.99
29.5 102.34
29.6 120.31
29.6 150.46
29.7 180.38
29.8 207.17
30.1 104.82
30.2 119.57
30.2 150.66
30.3 182.06
30.4 207.14
30.8 102.31
30.8 118.25
30.9 141.82
31.0 174.63
31.0 207.68
31.4 105.37
31.5 118.81
31.5 150.47
31.6 185.69
31.7 207.67
32.1 102.30
32.1 118.77
32.1 143.02
32.2 173.87
32.3 201.14
32.7 98.84
32.7 116.03
32.8 148.39
32.9 180.10
32.9 202.83
33.3 103.99
33.3 119.09
33.4 142.41
33.5 172.16
33.5 204.71
33.9 100.72
34.0 115.90
34.0 144.44
34.1 175.02
34.2 199.19
34.6 98.47
34.6 116.27
34.7 149.34
34.8 179.61
34.8 208.03
35.2 109.56
35.3 128.52
35.3 153.70
35.4 184.04
35.5 213.70
35.9 104.14
35.9 122.44
35.9 145.57
