ptsMs,latencyMs,frameType
11875,298,I
12041,446,P
12208,281,P
12375,520,P
12458,437,P
12500,592,I
12666,425,P
12833,721,P
13000,554,P
13083,696,P
13125,696,I
13291,529,P
13458,766,P
13625,599,P
13708,743,P
13750,748,I
13916,581,P
14083,821,P
14250,655,P
14333,771,P
14375,775,I
14541,608,P
14708,1593,P
14875,1427,P
14958,1350,P
15000,1358,I
15166,1191,P
15333,1026,P
15500,1307,P
15583,1224,P
15625,1184,I
15791,1018,P
15916,975,P
15958,984,P
16000,981,P
16166,950,P
16208,957,P
16250,956,I
16416,789,P
16458,791,P
16500,789,P
16541,792,P
16625,713,P
16708,837,P
16833,712,P
16875,782,I
17000,658,P
17166,1089,P
17333,923,P
17375,1304,P
17458,1221,P
17500,1180,I
17583,1098,P
17625,1060,P
17666,1066,P
17708,1066,P
17750,1064,P
17791,1061,P
17833,1069,P
17875,1066,P
17916,1065,P
17958,1529,P
18083,1404,P
18125,1480,I
18166,1482,P
18208,1485,P
18375,1319,P
18416,1324,P
18458,1324,P
18541,1244,P
18625,1166,P
18666,2433,P
18708,2442,P
18750,2440,I
18916,2273,P
19083,2112,P
19250,1950,P
19333,1872,P
19375,1871,I
19541,1709,P
19625,1631,P
19666,1626,P
19708,1633,P
19750,1631,P
19791,1629,P
19916,1832,P
19958,1840,P
20000,1838,I
20041,1835,P
20125,1757,P
20208,1679,P
20291,1601,P
20375,1522,P
20416,1525,P
20458,1988,P
20500,1989,P
20583,1906,P
20625,1926,I
20791,1759,P
20833,1840,P
20875,1841,P
20958,1759,P
21083,1634,P
21125,1640,P
21166,2063,P
21208,2067,P
21250,2063,I
21291,2065,P
21333,2064,P
21416,2001,P
21583,1835,P
21750,2159,P
21833,2076,P
21875,2159,I
21958,2076,P
22000,2138,P
22166,1971,P
22250,2406,P
22291,2409,P
22458,2243,P
22500,2250,I
22541,2248,P
22583,2247,P
22625,2244,P
22666,2250,P
22708,2249,P
22833,2398,P
23000,2231,P
23083,2318,P
23125,2321,I
23291,2154,P
23458,2397,P
23625,2230,P
23708,2372,P
23750,2376,I
23916,2209,P
24083,2471,P
24250,2304,P
24333,2429,P
24375,2430,I
24541,2263,P
24708,2527,P
24875,2360,P
24958,2503,P
25000,2510,I
25166,2343,P
25333,2584,P
25500,2417,P
25583,2518,P
25625,2517,I
25791,2351,P
25958,2617,P
26125,2451,P
26208,2553,P
26250,2556,I
26416,2389,P
26583,2634,P
26750,2467,P
26833,2589,P
26875,2594,I
27041,2427,P
27208,2667,P
27375,2500,P
27458,2625,P
27500,2634,I
27666,2467,P
27833,2708,P
28000,2541,P
28083,2640,P
28125,2648,I
28291,2482,P
28458,2736,P
28625,2569,P
28708,2675,P
28750,2680,I
28916,2513,P
29083,2774,P
29250,2607,P
29333,2727,P
29375,2727,I
29541,2560,P
29708,2831,P
29875,2664,P
29958,2785,P
30000,2789,I
30166,2623,P
30333,2864,P
30500,2697,P
30583,2799,P
30625,2805,I
30791,2638,P
30958,2878,P
31125,2711,P
31208,2856,P
31250,2860,I
31416,2693,P
31583,2956,P
31750,2789,P
31833,2976,P
31875,2978,I
32000,2853,P
32166,2784,P
32291,2659,P
32375,2970,P
32458,2887,P
32500,2989,I
32583,2906,P
32708,2967,P
32791,2884,P
32875,3235,P
33041,3068,P
33083,3272,P
33125,3281,I
33291,3114,P
33458,3351,P
33625,3185,P
33708,3287,P
33750,3295,I
33916,3128,P
34083,3389,P
34250,3222,P
34333,3301,P
34375,3303,I
34541,3136,P
34708,2970,P
34875,3231,P
34958,3148,P
35000,3251,I
35166,3085,P
35333,3394,P
35500,3227,P
35583,3308,P
35625,3316,I
35791,3150,P
35958,3390,P
36125,3223,P
36208,3322,P
36250,3322,I
36416,3155,P
36583,3384,P
36750,3217,P
36833,3297,P
36875,3298,I
37041,3131,P
37208,3379,P
37375,3212,P
37458,3293,P
37500,3298,I
37666,3131,P
37833,3389,P
38000,3222,P
38083,3329,P
38125,3337,I
38291,3170,P
38458,3004,P
38625,3261,P
38708,3178,P
38750,3260,I
38916,3093,P
39083,3379,P
39250,3212,P
39333,3319,P
39375,3326,I
39541,3159,P
39708,2994,P
39875,3269,P
39958,3187,P
40000,3268,I
40166,3101,P
40333,3433,P
40500,3266,P
40583,3344,P
40625,3345,I
40791,3179,P
40958,3427,P
41125,3260,P
41208,3340,P
41250,3348,I
41416,3181,P
41583,3419,P
41750,3253,P
41833,3354,P
41875,3362,I
42041,3196,P
42208,3030,P
42375,3289,P
42458,3206,P
42500,3286,I
42666,3120,P
42833,3427,P
43000,3260,P
43083,3340,P
43125,3339,I
43291,3173,P
43458,3444,P
43625,3277,P
43708,3375,P
43750,3384,I
43916,3217,P
44083,3477,P
44250,3310,P
44333,3390,P
44375,3399,I
44541,3232,P
44708,3469,P
44875,3303,P
44958,3363,P
45000,3363,I
45166,3197,P
45333,3464,P
45500,3298,P
45583,3357,P
45625,3358,I
45791,3192,P
45958,3422,P
46125,3256,P
46208,3354,P
46250,3356,I
46416,3189,P
46583,3432,P
46750,3265,P
46833,3347,P
46875,3355,I
47041,3188,P
47208,3023,P
47375,3262,P
47458,3179,P
47500,3525,I
47541,3527,P
47708,3362,P
47750,3368,P
47916,3606,P
48083,3441,P
48125,3520,I
48291,3354,P
48458,3664,P
48625,3498,P
48708,3595,P
48750,3597,I
48916,3430,P
49083,3720,P
49250,3553,P
49333,3650,P
49375,3653,I
49541,3486,P
49708,3757,P
49875,3590,P
49958,3707,P
50000,3708,I
50166,3541,P
50333,3793,P
50500,3626,P
50583,3725,P
50625,3733,I
50791,3566,P
50958,3429,P
51125,3262,P
51166,3697,P
51208,3701,P
51250,3699,I
51291,3705,P
51333,3705,P
51375,3702,P
51416,3700,P
51458,3700,P
51500,3706,P
51541,3704,P
51583,3703,P
51625,3701,P
51666,3699,P
51708,3706,P
51750,3703,P
51791,4019,P
51833,4021,P
51875,4019,I
52041,3853,P
52083,3915,P
52125,3920,P
52208,3838,P
52250,3844,P
52291,3841,P
52333,3841,P
52375,4159,P
52458,4076,P
52500,4161,I
52541,4168,P
52583,4167,P
52666,4083,P
52833,4366,P
53000,4200,P
53083,4341,P
53125,4344,I
53291,4177,P
53458,4011,P
53625,4312,P
53666,4313,P
53708,4312,P
53750,4320,I
53791,4312,P
53833,4313,P
53875,4315,P
53916,4312,P
53958,4313,P
54000,4317,P
54041,4316,P
54083,4314,P
54125,4321,P
54166,4319,P
54208,4318,P
54250,4316,P
54291,4599,P
54333,4609,P
54375,4607,I
54416,4605,P
54458,4603,P
54500,4601,P
54541,4607,P
54583,4607,P
54625,4989,P
54791,4822,P
54958,4860,P
55000,4862,I
55166,4695,P
55333,5024,P
55375,5030,P
55541,4864,P
55583,4870,P
55625,4869,I
55666,4999,P
55708,5001,P
55791,4918,P
55958,5140,P
56041,5056,P
56208,5053,P
56250,5054,I
56291,5057,P
56333,5057,P
56375,5054,P
56416,5137,P
56583,4971,P
56708,5280,P
56791,5196,P
56833,5193,P
56875,5194,I
56916,5192,P
56958,5193,P
57000,5198,P
57041,5195,P
57083,5194,P
57125,5201,P
57166,5199,P
57208,5198,P
57250,5195,P
57291,5193,P
57333,5201,P
57375,5198,P
57416,5268,P
57458,5271,P
57500,5273,I
57541,5268,P
57583,5270,P
57625,5268,P
57666,5275,P
57833,5114,P
57958,5456,P
58000,5461,P
58041,5460,P
58083,5457,P
58125,5465,I
58166,5463,P
58208,5462,P
58250,5460,P
58291,5458,P
58333,5465,P
58375,5462,P
58416,5461,P
58458,5460,P
58500,5457,P
58541,5463,P
58583,5462,P
58625,5460,P
58666,5755,P
58708,5756,P
58750,5759,I
58791,5757,P
58833,5756,P
58875,5763,P
58916,5760,P
58958,5759,P
59000,5757,P
59041,5763,P
59083,5762,P
59125,5760,P
59166,5758,P
59208,5758,P
59250,5764,P
59291,6081,P
59333,6088,P
59375,6086,I
59500,5961,P
59666,6243,P
59833,6078,P
59958,6159,P
60000,6166,I
60041,6164,P
60166,6039,P
60333,5878,P
60458,6235,P
60583,6111,P
60625,6151,I
60708,6068,P
60875,6025,P
60916,6033,P
60958,6031,P
61000,6029,P
61041,6027,P
61083,6035,P
61125,6033,P
61166,6289,P
61208,6293,P
61250,6291,I
61416,6125,P
61458,6205,P
61500,6209,P
61541,6207,P
61708,6041,P
61750,6388,P
61833,6306,P
61875,6407,I
61916,6407,P
61958,6416,P
62000,6414,P
62041,6412,P
62083,6410,P
62250,6248,P
62416,6485,P
62458,6491,P
62500,6485,I
62541,6487,P
62583,6486,P
62625,6486,P
62666,6491,P
62750,6413,P
62791,6414,P
62833,6412,P
62875,6411,P
62916,6501,P
62958,6503,P
63000,6501,P
63041,6851,P
63083,6859,P
63125,6856,I
63166,6854,P
63208,6853,P
63250,6860,P
63291,6858,P
63333,6856,P
63375,6853,P
63416,6852,P
63458,6860,P
63500,6858,P
63666,7137,P
63708,7146,P
63750,7144,I
63916,6978,P
64083,6816,P
64250,7046,P
64333,6963,P
64375,7132,I
64500,7007,P
64666,7293,P
64833,7127,P
64958,7247,P
65000,7254,I
65166,7087,P
65333,7351,P
65500,7185,P
65583,7264,P
65625,7269,I
65791,7102,P
65833,7157,P
66000,6990,P
66166,7277,P
66208,7286,P
66250,7284,I
66333,7201,P
66375,7273,P
66541,7106,P
66708,7332,P
66833,7207,P
66875,7311,I
67041,7144,P
67208,7390,P
67250,7395,P
67375,7271,P
67458,7326,P
67500,7330,I
67625,7205,P
67666,7211,P
67708,7259,P
67750,7261,P
67916,7094,P
67958,7407,P
68000,7413,P
68041,7411,P
68083,7411,P
68125,7409,I
68291,7247,P
68333,7357,P
68375,7358,P
68416,7356,P
68541,7520,P
68708,7354,P
68750,7457,I
68833,7375,P
68875,7559,P
68916,7559,P
68958,7568,P
69000,7565,P
69041,7660,P
69083,7661,P
69125,7665,P
69250,7540,P
69291,7950,P
69333,7953,P
69375,7958,I
69541,7791,P
69708,8113,P
69750,8120,P
69791,8118,P
69958,7952,P
70000,8068,I
70166,7902,P
70333,8191,P
70500,8024,P
70583,8103,P
70625,8109,I
70708,8026,P
70750,8032,P
70791,8030,P
70958,7869,P
71125,7707,P
71166,8140,P
71208,8150,P
71250,8148,I
71416,7981,P
71583,8281,P
71750,8114,P
71833,8336,P
71875,8338,I
72041,8171,P
72208,8441,P
72375,8274,P
72458,8434,P
72500,8436,I
72625,8311,P
72791,8537,P
72958,8371,P
73083,8289,P
73125,8297,I
73208,8214,P
73250,8218,P
73291,8218,P
73333,8217,P
73375,8323,P
73416,8323,P
73500,8240,P
73666,8468,P
73708,8473,P
73750,8472,I
73916,8305,P
74041,8185,P
74083,8237,P
74125,8241,P
74166,8238,P
74208,8246,P
74250,8244,P
74291,8525,P
74333,8529,P
74375,8526,I
74416,8533,P
74458,8560,P
74541,8477,P
74583,8626,P
74625,8628,P
74666,8626,P
74708,8633,P
74750,8632,P
74791,8630,P
74833,8913,P
74875,8915,P
74916,8921,P
74958,8919,P
75000,8918,I
75041,8989,P
75083,8995,P
75125,8989,P
75166,8990,P
75333,8829,P
75375,9009,P
75416,9013,P
75458,9011,P
75500,9152,P
75583,9069,P
75625,9190,I
75791,9023,P
75958,9377,P
76125,9211,P
76208,9333,P
76250,9340,I
76416,9173,P
76583,9453,P
76750,9286,P
76833,9429,P
76875,9435,I
77041,9268,P
77208,9534,P
77375,9367,P
77458,9486,P
77500,9490,I
77666,9323,P
77833,9564,P
78000,9398,P
78083,9559,P
78125,9561,I
78291,9394,P
78458,9625,P
78625,9458,P
78708,9597,P
78750,9600,I
78916,9434,P
79041,9716,P
79208,9550,P
79333,9672,P
79375,9679,I
79541,9512,P
79708,9346,P
79875,9609,P
79916,9617,P
79958,9615,P
80000,9614,I
80125,9561,P
80291,9394,P
80458,9705,P
80583,9580,P
80625,9704,I
80791,9538,P
80958,9870,P
81125,9703,P
81208,9822,P
81250,9827,I
81416,9661,P
81583,9942,P
81750,9775,P
81833,9899,P
81875,9906,I
82041,9740,P
82208,9958,P
82375,9792,P
82458,9915,P
82500,9922,I
82666,9755,P
82833,10014,P
83000,9847,P
83083,9925,P
83125,9929,I
83291,9762,P
83458,9695,P
83500,9697,P
83541,9694,P
83583,9703,P
83625,9701,P
83666,10153,P
83708,10161,P
83750,10160,I
83916,9994,P
84083,9900,P
84166,9816,P
84250,10206,P
84333,10123,P
84375,10182,I
84458,10099,P
84500,10181,P
84541,10184,P
84583,10181,P
84625,10181,P
84666,10186,P
84708,10186,P
84750,10181,P
84916,10405,P
84958,10408,P
85000,10414,I
85166,10248,P
85333,10508,P
85500,10341,P
85583,10463,P
85625,10469,I
85750,10344,P
85791,10400,P
85958,10235,P
86125,10497,P
86208,10414,P
86250,10475,I
86375,10350,P
86458,10371,P
86500,10371,P
86541,10376,P
86583,10374,P
86625,10372,P
86666,10782,P
86708,10785,P
86791,10701,P
86833,10737,P
