pts_sec latencyMs frameType
11.875 298 I
12.041 446 P
12.208 281 P
12.375 520 P
12.458 437 P
12.5 592 I
12.666 425 P
12.833 721 P
13.0 554 P
13.083 696 P
13.125 696 I
13.291 529 P
13.458 766 P
13.625 599 P
13.708 743 P
13.75 748 I
13.916 581 P
14.083 821 P
14.25 655 P
14.333 771 P
14.375 775 I
14.541 608 P
14.708 1593 P
14.875 1427 P
14.958 1350 P
15.0 1358 I
15.166 1191 P
15.333 1026 P
15.5 1307 P
15.583 1224 P
15.625 1184 I
15.791 1018 P
15.916 975 P
15.958 984 P
16.0 981 P
16.166 950 P
16.208 957 P
16.25 956 I
16.416 789 P
16.458 791 P
16.5 789 P
16.541 792 P
16.625 713 P
16.708 837 P
16.833 712 P
16.875 782 I
17.0 658 P
17.166 1089 P
17.333 923 P
17.375 1304 P
17.458 1221 P
17.5 1180 I
17.583 1098 P
17.625 1060 P
17.666 1066 P
17.708 1066 P
17.75 1064 P
17.791 1061 P
17.833 1069 P
17.875 1066 P
17.916 1065 P
17.958 1529 P
18.083 1404 P
18.125 1480 I
18.166 1482 P
18.208 1485 P
18.375 1319 P
18.416 1324 P
18.458 1324 P
18.541 1244 P
18.625 1166 P
18.666 2433 P
18.708 2442 P
18.75 2440 I
18.916 2273 P
19.083 2112 P
19.25 1950 P
19.333 1872 P
19.375 1871 I
19.541 1709 P
19.625 1631 P
19.666 1626 P
19.708 1633 P
19.75 1631 P
19.791 1629 P
19.916 1832 P
19.958 1840 P
20.0 1838 I
20.041 1835 P
20.125 1757 P
20.208 1679 P
20.291 1601 P
20.375 1522 P
20.416 1525 P
20.458 1988 P
20.5 1989 P
20.583 1906 P
20.625 1926 I
20.791 1759 P
20.833 1840 P
20.875 1841 P
20.958 1759 P
21.083 1634 P
21.125 1640 P
21.166 2063 P
21.208 2067 P
21.25 2063 I
21.291 2065 P
21.333 2064 P
21.416 2001 P
21.583 1835 P
21.75 2159 P
21.833 2076 P
21.875 2159 I
21.958 2076 P
22.0 2138 P
22.166 1971 P
22.25 2406 P
22.291 2409 P
22.458 2243 P
22.5 2250 I
22.541 2248 P
22.583 2247 P
22.625 2244 P
22.666 2250 P
22.708 2249 P
22.833 2398 P
23.0 2231 P
23.083 2318 P
23.125 2321 I
23.291 2154 P
23.458 2397 P
23.625 2230 P
23.708 2372 P
23.75 2376 I
23.916 2209 P
24.083 2471 P
24.25 2304 P
24.333 2429 P
24.375 2430 I
24.541 2263 P
24.708 2527 P
24.875 2360 P
24.958 2503 P
25.0 2510 I
25.166 2343 P
25.333 2584 P
25.5 2417 P
25.583 2518 P
25.625 2517 I
25.791 2351 P
25.958 2617 P
26.125 2451 P
26.208 2553 P
26.25 2556 I
26.416 2389 P
26.583 2634 P
26.75 2467 P
26.833 2589 P
26.875 2594 I
27.041 2427 P
27.208 2667 P
27.375 2500 P
27.458 2625 P
27.5 2634 I
27.666 2467 P
27.833 2708 P
28.0 2541 P
28.083 2640 P
28.125 2648 I
28.291 2482 P
28.458 2736 P
28.625 2569 P
28.708 2675 P
28.75 2680 I
28.916 2513 P
29.083 2774 P
29.25 2607 P
29.333 2727 P
29.375 2727 I
29.541 2560 P
29.708 2831 P
29.875 2664 P
29.958 2785 P
30.0 2789 I
30.166 2623 P
30.333 2864 P
30.5 2697 P
30.583 2799 P
30.625 2805 I
30.791 2638 P
30.958 2878 P
31.125 2711 P
31.208 2856 P
31.25 2860 I
31.416 2693 P
31.583 2956 P
31.75 2789 P
31.833 2976 P
31.875 2978 I
32.0 2853 P
32.166 2784 P
32.291 2659 P
32.375 2970 P
32.458 2887 P
32.5 2989 I
32.583 2906 P
32.708 2967 P
32.791 2884 P
32.875 3235 P
33.041 3068 P
33.083 3272 P
33.125 3281 I
33.291 3114 P
33.458 3351 P
33.625 3185 P
33.708 3287 P
33.75 3295 I
33.916 3128 P
34.083 3389 P
34.25 3222 P
34.333 3301 P
34.375 3303 I
34.541 3136 P
34.708 2970 P
34.875 3231 P
34.958 3148 P
35.0 3251 I
35.166 3085 P
35.333 3394 P
35.5 3227 P
35.583 3308 P
35.625 3316 I
35.791 3150 P
35.958 3390 P
36.125 3223 P
36.208 3322 P
36.25 3322 I
36.416 3155 P
36.583 3384 P
36.75 3217 P
36.833 3297 P
36.875 3298 I
37.041 3131 P
37.208 3379 P
37.375 3212 P
37.458 3293 P
37.5 3298 I
37.666 3131 P
37.833 3389 P
38.0 3222 P
38.083 3329 P
38.125 3337 I
38.291 3170 P
38.458 3004 P
38.625 3261 P
38.708 3178 P
38.75 3260 I
38.916 3093 P
39.083 3379 P
39.25 3212 P
39.333 3319 P
39.375 3326 I
39.541 3159 P
39.708 2994 P
39.875 3269 P
39.958 3187 P
40.0 3268 I
40.166 3101 P
40.333 3433 P
40.5 3266 P
40.583 3344 P
40.625 3345 I
40.791 3179 P
40.958 3427 P
41.125 3260 P
41.208 3340 P
41.25 3348 I
41.416 3181 P
41.583 3419 P
41.75 3253 P
41.833 3354 P
41.875 3362 I
42.041 3196 P
42.208 3030 P
42.375 3289 P
42.458 3206 P
42.5 3286 I
42.666 3120 P
42.833 3427 P
43.0 3260 P
43.083 3340 P
43.125 3339 I
43.291 3173 P
43.458 3444 P
43.625 3277 P
43.708 3375 P
43.75 3384 I
43.916 3217 P
44.083 3477 P
44.25 3310 P
44.333 3390 P
44.375 3399 I
44.541 3232 P
44.708 3469 P
44.875 3303 P
44.958 3363 P
45.0 3363 I
45.166 3197 P
45.333 3464 P
45.5 3298 P
45.583 3357 P
45.625 3358 I
45.791 3192 P
45.958 3422 P
46.125 3256 P
46.208 3354 P
46.25 3356 I
46.416 3189 P
46.583 3432 P
46.75 3265 P
46.833 3347 P
46.875 3355 I
47.041 3188 P
47.208 3023 P
47.375 3262 P
47.458 3179 P
47.5 3525 I
47.541 3527 P
47.708 3362 P
47.75 3368 P
47.916 3606 P
48.083 3441 P
48.125 3520 I
48.291 3354 P
48.458 3664 P
48.625 3498 P
48.708 3595 P
48.75 3597 I
48.916 3430 P
49.083 3720 P
49.25 3553 P
49.333 3650 P
49.375 3653 I
49.541 3486 P
49.708 3757 P
49.875 3590 P
49.958 3707 P
50.0 3708 I
50.166 3541 P
50.333 3793 P
50.5 3626 P
50.583 3725 P
50.625 3733 I
50.791 3566 P
50.958 3429 P
51.125 3262 P
51.166 3697 P
51.208 3701 P
51.25 3699 I
51.291 3705 P
51.333 3705 P
51.375 3702 P
51.416 3700 P
51.458 3700 P
51.5 3706 P
51.541 3704 P
51.583 3703 P
51.625 3701 P
51.666 3699 P
51.708 3706 P
51.75 3703 P
51.791 4019 P
51.833 4021 P
51.875 4019 I
52.041 3853 P
52.083 3915 P
52.125 3920 P
52.208 3838 P
52.25 3844 P
52.291 3841 P
52.333 3841 P
52.375 4159 P
52.458 4076 P
52.5 4161 I
52.541 4168 P
52.583 4167 P
52.666 4083 P
52.833 4366 P
53.0 4200 P
53.083 4341 P
53.125 4344 I
53.291 4177 P
53.458 4011 P
53.625 4312 P
53.666 4313 P
53.708 4312 P
53.75 4320 I
53.791 4312 P
53.833 4313 P
53.875 4315 P
53.916 4312 P
53.958 4313 P
54.0 4317 P
54.041 4316 P
54.083 4314 P
54.125 4321 P
54.166 4319 P
54.208 4318 P
54.25 4316 P
54.291 4599 P
54.333 4609 P
54.375 4607 I
54.416 4605 P
54.458 4603 P
54.5 4601 P
54.541 4607 P
54.583 4607 P
54.625 4989 P
54.791 4822 P
54.958 4860 P
55.0 4862 I
55.166 4695 P
55.333 5024 P
55.375 5030 P
55.541 4864 P
55.583 4870 P
55.625 4869 I
55.666 4999 P
55.708 5001 P
55.791 4918 P
55.958 5140 P
56.041 5056 P
56.208 5053 P
56.25 5054 I
56.291 5057 P
56.333 5057 P
56.375 5054 P
56.416 5137 P
56.583 4971 P
56.708 5280 P
56.791 5196 P
56.833 5193 P
56.875 5194 I
56.916 5192 P
56.958 5193 P
57.0 5198 P
57.041 5195 P
57.083 5194 P
57.125 5201 P
57.166 5199 P
57.208 5198 P
57.25 5195 P
57.291 5193 P
57.333 5201 P
57.375 5198 P
57.416 5268 P
57.458 5271 P
57.5 5273 I
57.541 5268 P
57.583 5270 P
57.625 5268 P
57.666 5275 P
57.833 5114 P
57.958 5456 P
58.0 5461 P
58.041 5460 P
58.083 5457 P
58.125 5465 I
58.166 5463 P
58.208 5462 P
58.25 5460 P
58.291 5458 P
58.333 5465 P
58.375 5462 P
58.416 5461 P
58.458 5460 P
58.5 5457 P
58.541 5463 P
58.583 5462 P
58.625 5460 P
58.666 5755 P
58.708 5756 P
58.75 5759 I
58.791 5757 P
58.833 5756 P
58.875 5763 P
58.916 5760 P
58.958 5759 P
59.0 5757 P
59.041 5763 P
59.083 5762 P
59.125 5760 P
59.166 5758 P
59.208 5758 P
59.25 5764 P
59.291 6081 P
59.333 6088 P
59.375 6086 I
59.5 5961 P
59.666 6243 P
59.833 6078 P
59.958 6159 P
60.0 6166 I
60.041 6164 P
60.166 6039 P
60.333 5878 P
60.458 6235 P
60.583 6111 P
60.625 6151 I
60.708 6068 P
60.875 6025 P
60.916 6033 P
60.958 6031 P
61.0 6029 P
61.041 6027 P
61.083 6035 P
61.125 6033 P
61.166 6289 P
61.208 6293 P
61.25 6291 I
61.416 6125 P
61.458 6205 P
61.5 6209 P
61.541 6207 P
61.708 6041 P
61.75 6388 P
61.833 6306 P
61.875 6407 I
61.916 6407 P
61.958 6416 P
62.0 6414 P
62.041 6412 P
62.083 6410 P
62.25 6248 P
62.416 6485 P
62.458 6491 P
62.5 6485 I
62.541 6487 P
62.583 6486 P
62.625 6486 P
62.666 6491 P
62.75 6413 P
62.791 6414 P
62.833 6412 P
62.875 6411 P
62.916 6501 P
62.958 6503 P
63.0 6501 P
63.041 6851 P
63.083 6859 P
63.125 6856 I
63.166 6854 P
63.208 6853 P
63.25 6860 P
63.291 6858 P
63.333 6856 P
63.375 6853 P
63.416 6852 P
63.458 6860 P
63.5 6858 P
63.666 7137 P
63.708 7146 P
63.75 7144 I
63.916 6978 P
64.083 6816 P
64.25 7046 P
64.333 6963 P
64.375 7132 I
64.5 7007 P
64.666 7293 P
64.833 7127 P
64.958 7247 P
65.0 7254 I
65.166 7087 P
65.333 7351 P
65.5 7185 P
65.583 7264 P
65.625 7269 I
65.791 7102 P
65.833 7157 P
66.0 6990 P
66.166 7277 P
66.208 7286 P
66.25 7284 I
66.333 7201 P
66.375 7273 P
66.541 7106 P
66.708 7332 P
66.833 7207 P
66.875 7311 I
67.041 7144 P
67.208 7390 P
67.25 7395 P
67.375 7271 P
67.458 7326 P
67.5 7330 I
67.625 7205 P
67.666 7211 P
67.708 7259 P
67.75 7261 P
67.916 7094 P
67.958 7407 P
68.0 7413 P
68.041 7411 P
68.083 7411 P
68.125 7409 I
68.291 7247 P
68.333 7357 P
68.375 7358 P
68.416 7356 P
68.541 7520 P
68.708 7354 P
68.75 7457 I
68.833 7375 P
68.875 7559 P
68.916 7559 P
68.958 7568 P
69.0 7565 P
69.041 7660 P
69.083 7661 P
69.125 7665 P
69.25 7540 P
69.291 7950 P
69.333 7953 P
69.375 7958 I
69.541 7791 P
69.708 8113 P
69.75 8120 P
69.791 8118 P
69.958 7952 P
70.0 8068 I
70.166 7902 P
70.333 8191 P
70.5 8024 P
70.583 8103 P
70.625 8109 I
70.708 8026 P
70.75 8032 P
70.791 8030 P
70.958 7869 P
71.125 7707 P
71.166 8140 P
71.208 8150 P
71.25 8148 I
71.416 7981 P
71.583 8281 P
71.75 8114 P
71.833 8336 P
71.875 8338 I
72.041 8171 P
72.208 8441 P
72.375 8274 P
72.458 8434 P
72.5 8436 I
72.625 8311 P
72.791 8537 P
72.958 8371 P
73.083 8289 P
73.125 8297 I
73.208 8214 P
73.25 8218 P
73.291 8218 P
73.333 8217 P
73.375 8323 P
73.416 8323 P
73.5 8240 P
73.666 8468 P
73.708 8473 P
73.75 8472 I
73.916 8305 P
74.041 8185 P
74.083 8237 P
74.125 8241 P
74.166 8238 P
74.208 8246 P
74.25 8244 P
74.291 8525 P
74.333 8529 P
74.375 8526 I
74.416 8533 P
74.458 8560 P
74.541 8477 P
74.583 8626 P
74.625 8628 P
74.666 8626 P
74.708 8633 P
74.75 8632 P
74.791 8630 P
74.833 8913 P
74.875 8915 P
74.916 8921 P
74.958 8919 P
75.0 8918 I
75.041 8989 P
75.083 8995 P
75.125 8989 P
75.166 8990 P
75.333 8829 P
75.375 9009 P
75.416 9013 P
75.458 9011 P
75.5 9152 P
75.583 9069 P
75.625 9190 I
75.791 9023 P
75.958 9377 P
76.125 9211 P
76.208 9333 P
76.25 9340 I
76.416 9173 P
76.583 9453 P
76.75 9286 P
76.833 9429 P
76.875 9435 I
77.041 9268 P
77.208 9534 P
77.375 9367 P
77.458 9486 P
77.5 9490 I
77.666 9323 P
77.833 9564 P
78.0 9398 P
