sec bitrateReceivedKbit
0.0 31.59
0.2 64.21
0.6 240.14
0.6 253.14
0.7 297.37
0.8 337.51
0.8 365.38
1.2 486.02
1.3 509.31
1.4 549.32
1.5 583.94
1.5 609.42
1.9 487.08
2.0 510.24
2.1 553.00
2.1 586.13
2.2 605.54
2.6 486.28
2.6 502.58
2.7 534.37
2.8 572.45
2.9 597.23
4.0 298.26
4.5 613.71
4.6 632.42
4.8 837.38
4.8 870.50
5.2 761.82
5.2 776.82
5.3 797.91
5.3 821.78
5.4 853.09
5.9 303.37
6.3 272.29
6.4 294.54
6.4 422.81
6.4 461.17
7.2 600.34
7.2 625.53
7.2 639.73
7.3 671.47
7.3 685.65
7.3 700.08
7.4 526.68
7.4 335.68
7.4 366.84
8.7 189.35
8.8 216.03
8.8 475.27
8.8 519.85
8.8 574.81
9.0 619.84
9.0 657.98
9.3 849.58
9.4 869.70
9.4 931.95
9.4 955.02
9.5 984.68
9.6 1026.46
9.7 1056.77
10.1 586.91
10.1 615.22
10.2 636.70
10.2 665.62
10.3 689.99
10.3 708.15
10.4 525.38
10.4 533.17
10.4 535.74
10.8 521.42
10.9 545.86
10.9 569.89
11.0 595.99
11.0 624.19
11.1 460.86
11.1 474.54
11.5 527.34
11.6 552.37
11.6 575.47
11.7 613.37
11.8 635.57
11.8 463.54
11.9 464.40
12.3 540.94
12.3 558.78
12.4 572.70
12.4 584.30
12.4 593.90
12.4 606.66
12.5 615.31
12.5 642.44
12.7 474.85
12.9 467.82
12.9 481.65
13.0 510.10
13.1 542.29
13.2 582.72
13.5 457.41
13.6 479.97
13.7 517.46
13.8 483.26
13.8 522.58
14.2 485.22
14.3 506.59
14.4 544.35
14.4 579.62
14.5 615.18
14.9 490.26
15.0 514.54
15.1 550.44
15.1 587.31
15.2 617.76
15.6 489.19
15.6 513.36
15.7 543.80
15.8 578.74
15.9 608.21
16.3 476.93
16.3 500.26
16.4 528.87
16.4 563.05
16.5 592.25
16.9 477.23
17.0 498.37
17.0 529.49
17.1 565.26
17.2 593.96
17.6 480.94
17.6 505.16
17.7 537.26
17.8 569.62
17.8 599.14
18.2 481.96
18.3 498.52
18.3 532.39
18.4 567.21
18.5 595.95
18.9 474.76
18.9 491.73
19.0 525.45
19.1 560.10
19.1 592.70
19.5 479.87
19.6 504.31
19.7 544.16
19.7 579.77
19.8 611.49
20.2 494.78
20.3 518.41
20.3 553.27
20.4 584.26
20.5 614.11
20.9 483.54
20.9 497.13
21.0 525.14
21.1 561.56
21.1 588.22
21.5 468.52
21.6 494.32
21.7 532.50
21.7 574.33
21.8 598.02
22.2 497.36
22.3 520.34
22.4 576.12
22.5 619.67
22.6 469.86
22.6 477.97
23.0 540.27
23.0 557.94
23.1 594.98
23.2 623.22
23.3 466.22
23.4 490.54
23.4 507.71
23.8 528.56
23.9 554.59
23.9 594.51
24.0 454.72
24.1 481.81
24.5 502.63
24.5 519.38
24.6 557.80
24.7 589.92
24.7 613.46
25.2 479.94
25.2 493.88
25.2 520.82
25.3 554.90
25.4 577.29
25.8 461.54
25.8 479.34
25.9 507.09
25.9 539.42
26.0 574.54
26.4 471.79
26.5 489.11
26.5 519.07
26.6 551.63
26.6 574.40
27.0 465.82
27.1 483.52
27.1 514.84
27.2 546.27
27.3 569.94
27.6 458.05
27.7 474.99
27.8 505.29
27.8 538.15
27.9 562.30
28.3 459.77
28.3 474.65
28.4 500.45
28.4 535.29
28.5 567.42
28.9 471.53
29.0 488.73
29.0 518.14
29.1 550.97
29.1 573.87
29.5 462.38
29.6 480.35
29.6 510.50
29.7 540.42
29.8 567.21
30.1 462.70
30.2 477.45
30.2 508.54
30.3 539.94
30.4 565.02
30.8 465.59
30.8 481.53
30.9 505.10
31.0 537.91
31.0 570.96
31.4 480.12
31.5 493.56
31.5 525.22
31.6 560.44
31.7 582.42
32.1 476.30
32.1 492.76
32.1 517.01
32.2 547.86
32.3 575.14
32.7 462.74
32.7 479.94
32.8 512.30
32.9 544.01
32.9 566.74
33.3 464.17
33.3 479.26
33.4 502.58
33.5 532.34
33.5 564.89
33.9 469.51
34.0 484.69
34.0 513.23
34.1 543.82
34.2 567.98
34.6 477.16
34.6 494.96
34.7 528.02
34.8 558.30
34.8 586.72
35.2 489.16
35.3 508.12
35.3 533.30
35.4 563.64
35.5 593.30
35.9 470.01
35.9 488.31
35.9 511.44
