sec bitrateReceivedKbit
0.0 2.22
0.1 4.27
0.1 5.95
0.2 5.95
0.2 9.90
0.3 13.36
0.3 15.14
0.4 15.14
0.4 21.34
0.4 25.90
0.5 28.32
0.6 28.32
0.6 31.86
1.0 31.86
1.0 31.86
1.0 37.18
1.0 40.70
1.0 43.90
1.1 39.63
1.1 45.12
1.1 47.54
1.1 50.55
1.2 46.60
1.3 52.97
1.3 58.54
1.3 62.55
1.4 60.78
1.4 66.25
1.8 49.52
1.8 49.52
1.8 55.58
1.8 59.70
1.8 62.64
1.9 62.64
2.0 71.31
2.0 76.55
2.0 80.35
2.1 68.31
3.0 20.96
3.0 20.96
3.0 26.26
4.0 26.26
4.0 38.90
4.0 47.30
4.0 57.16
4.0 68.56
4.0 89.12
4.2 83.82
4.3 93.70
4.3 103.11
5.2 24.14
5.9 4.86
5.9 15.34
5.9 51.19
5.9 61.34
6.0 65.30
6.0 80.98
6.0 80.98
7.6 0.00
9.1 0.00
9.1 13.54
9.1 25.54
9.1 44.51
9.1 47.81
9.2 68.02
9.3 68.02
9.4 77.03
9.4 77.03
9.4 77.03
9.5 77.03
9.5 106.75
9.8 106.75
9.9 106.75
9.9 106.75
10.0 121.74
10.0 121.74
10.0 121.74
10.0 127.38
10.0 127.38
10.0 132.97
10.1 132.97
10.1 132.97
10.5 55.94
10.5 33.10
10.5 41.06
10.6 49.11
10.7 53.71
10.7 58.70
10.7 58.70
10.7 64.46
10.7 70.94
10.8 70.94
10.8 74.87
11.2 48.66
11.2 48.66
11.2 54.47
11.2 58.46
11.3 61.79
11.3 65.56
11.3 65.56
11.4 65.56
11.4 65.56
11.4 65.56
11.5 58.68
11.5 59.04
11.6 74.65
11.7 62.00
12.1 40.84
12.1 40.84
12.2 40.84
12.2 48.38
12.2 48.38
12.2 55.64
12.3 50.20
12.3 46.43
12.3 57.50
12.4 57.50
12.5 57.50
12.6 49.17
12.6 33.56
12.6 46.27
13.1 46.27
13.1 46.27
13.2 62.46
13.2 70.65
13.2 74.10
13.2 66.84
13.3 59.14
13.4 48.08
13.4 54.84
13.4 54.84
13.4 58.62
13.4 61.52
13.5 61.52
13.5 61.52
13.9 48.81
14.0 48.81
14.0 48.81
14.1 48.81
14.1 53.28
14.2 59.68
14.2 51.13
14.2 31.95
14.3 44.72
14.3 48.46
14.7 35.02
14.8 38.29
14.8 38.29
14.9 46.38
15.0 54.95
15.0 54.95
15.0 59.64
15.1 59.64
15.1 55.17
15.1 65.66
15.2 62.34
15.6 38.19
15.6 38.19
15.7 38.19
15.7 38.19
15.7 38.19
15.7 38.19
15.7 38.19
15.8 44.82
15.8 41.55
15.8 51.84
16.0 35.18
16.0 36.50
16.2 18.23
16.3 18.23
16.3 26.42
16.3 29.99
16.4 35.98
16.4 41.35
16.4 46.27
16.5 46.27
16.5 53.10
16.5 58.78
16.5 63.53
16.6 63.53
16.6 68.00
17.0 51.09
17.0 49.77
17.0 56.56
17.1 67.11
17.1 67.11
17.2 75.50
17.2 87.74
17.3 79.54
17.3 92.41
17.3 98.52
17.4 82.24
17.4 88.04
17.8 66.31
17.9 66.31
17.9 78.06
17.9 82.99
18.0 82.99
18.0 91.22
18.0 103.41
18.1 86.06
18.1 95.46
18.2 108.53
18.2 87.90
18.3 94.22
18.7 65.88
18.7 65.88
18.7 73.01
