sec bitrateReceivedKbit
1.0 175.94
1.0 175.94
1.0 175.94
1.0 175.94
1.0 175.94
1.1 175.94
1.1 175.94
1.1 175.94
1.1 175.94
1.2 175.94
1.3 175.94
1.3 175.94
1.3 175.94
1.4 175.94
1.4 175.94
1.8 360.78
1.8 360.78
1.8 360.78
1.8 360.78
1.8 360.78
1.9 360.78
2.0 184.85
2.0 184.85
2.0 184.85
2.1 184.85
3.0 0.00
3.0 0.00
3.0 0.00
4.0 178.84
4.0 178.84
4.0 178.84
4.0 367.82
4.0 367.82
4.0 367.82
4.2 367.82
4.3 367.82
4.3 367.82
5.2 0.00
5.9 181.45
5.9 181.45
5.9 181.45
5.9 370.74
6.0 370.74
6.0 370.74
6.0 370.74
7.6 141.66
9.1 0.00
9.1 0.00
9.1 0.00
9.1 189.58
9.1 189.58
9.2 189.58
9.3 384.17
9.4 384.17
9.4 384.17
9.4 384.17
9.5 384.17
9.5 384.17
9.8 577.16
9.9 577.16
9.9 577.16
10.0 577.16
10.0 577.16
10.0 577.16
10.0 577.16
10.0 577.16
10.0 577.16
10.1 577.16
10.1 577.16
10.5 382.34
10.5 382.34
10.5 382.34
10.6 382.34
10.7 382.34
10.7 382.34
10.7 382.34
10.7 382.34
10.7 382.34
10.8 382.34
10.8 382.34
11.2 375.81
11.2 375.81
11.2 375.81
11.2 375.81
11.3 375.81
11.3 375.81
11.3 375.81
11.4 375.81
11.4 375.81
11.4 375.81
11.5 186.46
11.5 186.46
11.6 186.46
11.7 186.46
12.1 378.06
12.1 378.06
12.2 191.60
12.2 191.60
12.2 191.60
12.2 191.60
12.3 191.60
12.3 191.60
12.3 191.60
12.4 191.60
12.5 191.60
12.6 191.60
12.6 191.60
12.6 191.60
13.1 379.72
13.1 188.12
13.2 188.12
13.2 188.12
13.2 188.12
13.2 188.12
13.3 188.12
13.4 188.12
13.4 188.12
13.4 188.12
13.4 188.12
13.4 188.12
13.5 188.12
13.5 188.12
13.9 380.98
14.0 380.98
14.0 380.98
14.1 192.86
14.1 192.86
14.2 192.86
14.2 192.86
14.2 192.86
14.3 192.86
14.3 192.86
14.7 386.10
14.8 386.10
14.8 386.10
14.9 193.23
15.0 193.23
15.0 193.23
15.0 193.23
15.1 193.23
15.1 193.23
15.1 193.23
15.2 193.23
15.6 386.57
15.6 386.57
15.7 386.57
15.7 386.57
15.7 386.57
15.7 386.57
15.7 193.34
15.8 193.34
15.8 193.34
15.8 193.34
16.0 193.34
16.0 193.34
16.2 292.54
16.3 292.54
16.3 292.54
16.3 292.54
16.4 292.54
16.4 292.54
16.4 292.54
16.5 292.54
16.5 292.54
16.5 292.54
16.5 292.54
16.6 99.21
16.6 99.21
17.0 268.74
17.0 268.74
17.0 268.74
17.1 268.74
17.1 268.74
17.2 268.74
17.2 268.74
17.3 169.53
17.3 169.53
17.3 169.53
17.4 169.53
17.4 169.53
17.8 346.29
17.9 346.29
17.9 346.29
17.9 346.29
18.0 176.76
18.0 176.76
18.0 176.76
18.1 176.76
18.1 176.76
18.2 176.76
18.2 176.76
18.3 176.76
18.7 360.30
18.7 360.30
18.7 360.30
18.8 360.30
18.8 360.30
18.8 183.54
18.9 183.54
18.9 183.54
18.9 183.54
19.0 183.54
19.0 183.54
19.0 183.54
19.0 183.54
19.1 183.54
19.1 183.54
19.5 361.69
19.5 361.69
19.6 361.69
19.6 361.69
19.6 361.69
19.7 178.14
19.7 178.14
19.7 178.14
19.8 178.14
19.8 178.14
19.8 178.14
19.8 178.14
19.9 178.14
20.3 357.91
20.3 357.91
20.4 357.91
20.4 357.91
20.4 357.91
20.5 357.91
20.5 179.77
20.6 179.77
20.6 179.77
20.6 179.77
20.7 179.77
20.7 179.77
21.1 361.91
21.1 361.91
21.2 361.91
21.2 361.91
21.2 361.91
21.3 361.91
21.3 361.91
21.4 182.14
21.4 182.14
21.4 182.14
21.5 182.14
21.5 182.14
21.9 364.22
22.0 364.22
22.0 364.22
22.0 364.22
22.0 364.22
22.1 364.22
22.1 364.22
22.1 182.07
22.1 182.07
22.2 182.07
22.2 182.07
22.2 182.07
22.3 182.07
22.3 182.07
22.7 363.76
22.7 363.76
22.8 363.76
22.8 363.76
22.8 363.76
22.9 363.76
22.9 363.76
22.9 181.69
23.0 181.69
23.0 181.69
23.0 181.69
23.1 181.69
23.5 360.77
23.5 360.77
23.6 360.77
23.6 360.77
23.7 360.77
23.7 360.77
23.7 360.77
23.8 179.08
23.8 179.08
23.8 179.08
23.9 179.08
24.3 361.93
24.4 361.93
24.4 361.93
24.4 361.93
24.4 361.93
24.5 182.85
24.5 182.85
24.6 182.85
24.6 182.85
24.7 182.85
24.7 182.85
24.7 182.85
24.7 182.85
24.8 182.85
25.1 363.17
25.2 363.17
25.2 363.17
25.2 363.17
25.3 363.17
25.3 180.32
25.4 180.32
25.4 180.32
25.4 180.32
25.5 180.32
25.5 180.32
25.5 180.32
25.6 180.32
25.6 180.32
26.0 364.21
26.0 364.21
26.0 364.21
26.1 364.21
26.1 364.21
26.1 364.21
26.2 183.89
26.2 183.89
26.3 183.89
26.3 183.89
26.3 183.89
26.4 183.89
26.8 363.84
26.8 363.84
26.8 363.84
26.9 363.84
26.9 363.84
27.0 179.95
27.0 179.95
27.1 179.95
27.1 179.95
27.1 179.95
27.1 179.95
27.2 179.95
27.2 179.95
27.6 367.86
27.7 367.86
27.7 367.86
27.8 187.90
27.9 187.90
27.9 187.90
27.9 187.90
28.0 187.90
28.0 187.90
28.0 187.90
28.1 187.90
28.1 187.90
28.2 187.90
28.2 187.90
28.6 353.91
28.6 353.91
28.7 166.01
28.7 166.01
28.8 166.01
28.8 166.01
28.8 166.01
28.9 166.01
29.0 166.01
29.0 166.01
29.0 166.01
29.0 166.01
29.1 166.01
29.5 350.23
29.5 350.23
29.5 350.23
29.5 350.23
29.6 184.22
29.6 184.22
29.7 184.22
29.8 184.22
29.8 184.22
29.8 184.22
29.9 184.22
29.9 184.22
30.3 365.70
30.3 365.70
30.3 365.70
30.4 365.70
30.5 365.70
30.5 181.48
30.5 181.48
30.6 181.48
30.6 181.48
30.6 181.48
30.6 181.48
30.7 181.48
30.7 181.48
31.1 369.12
31.1 369.12
31.1 369.12
31.2 369.12
31.2 369.12
31.2 369.12
31.3 369.12
31.3 187.64
31.4 187.64
31.4 187.64
31.4 187.64
31.8 364.19
31.9 364.19
31.9 364.19
31.9 364.19
32.0 364.19
32.0 364.19
32.0 364.19
32.1 364.19
32.1 176.55
32.1 176.55
32.1 176.55
32.2 176.55
32.2 176.55
32.6 358.79
32.7 358.79
32.7 358.79
32.7 358.79
32.8 358.79
32.8 358.79
32.8 358.79
32.8 358.79
32.9 182.24
32.9 182.24
32.9 182.24
32.9 182.24
33.0 182.24
33.0 182.24
33.4 363.21
33.4 363.21
33.5 363.21
33.5 363.21
33.5 363.21
33.6 363.21
33.6 363.21
33.7 180.97
33.7 180.97
33.7 180.97
33.8 180.97
33.8 180.97
34.1 353.93
34.2 353.93
34.2 353.93
34.2 353.93
34.3 353.93
34.3 353.93
34.3 353.93
34.4 172.96
34.4 172.96
34.5 172.96
34.5 172.96
34.5 172.96
34.9 355.52
35.0 355.52
35.0 355.52
35.0 355.52
35.1 355.52
35.1 355.52
35.1 355.52
35.2 182.56
35.2 182.56
35.2 182.56
35.3 182.56
35.3 182.56
35.7 363.88
35.7 363.88
35.8 363.88
35.8 363.88
35.8 363.88
35.9 363.88
35.9 363.88
35.9 181.32
36.0 181.32
36.0 181.32
36.0 181.32
36.0 181.32
36.1 181.32
36.5 360.04
36.5 360.04
36.5 360.04
36.6 360.04
36.6 360.04
36.6 360.04
36.7 178.72
36.7 178.72
36.7 178.72
36.8 178.72
36.8 178.72
36.8 178.72
37.2 357.88
37.3 357.88
37.3 357.88
37.3 357.88
37.4 357.88
37.4 357.88
37.4 357.88
37.5 179.16
37.5 179.16
37.5 179.16
37.6 179.16
38.0 363.28
38.0 363.28
38.0 363.28
38.1 363.28
38.1 363.28
38.1 363.28
38.2 363.28
38.2 184.12
38.2 184.12
38.3 184.12
38.3 184.12
38.4 184.12
38.8 374.75
38.8 374.75
38.8 374.75
38.8 374.75
38.9 374.75
38.9 374.75
38.9 374.75
39.0 374.75
39.0 190.63
39.0 190.63
39.1 190.63
39.1 190.63
39.1 190.63
39.1 190.63
39.5 373.99
39.6 373.99
39.6 373.99
39.6 373.99
39.7 373.99
39.7 373.99
39.7 373.99
39.8 183.36
39.8 183.36
39.8 183.36
39.9 183.36
39.9 183.36
40.3 363.90
40.3 363.90
40.4 363.90
40.4 363.90
40.5 363.90
40.5 363.90
40.5 180.54
40.6 180.54
40.6 180.54
40.6 180.54
40.6 180.54
41.0 360.18
41.1 360.18
41.1 360.18
41.2 360.18
41.2 360.18
41.2 360.18
41.3 360.18
41.3 360.18
41.3 179.63
41.4 179.63
41.4 179.63
41.8 368.79
41.8 368.79
41.9 368.79
41.9 368.79
41.9 368.79
41.9 368.79
41.9 368.79
42.0 368.79
42.0 368.79
42.0 189.16
42.1 189.16
42.1 189.16
42.5 378.69
42.6 378.69
42.6 378.69
42.6 378.69
42.7 378.69
42.7 378.69
42.7 378.69
42.7 378.69
42.8 189.53
42.9 189.53
42.9 189.53
42.9 189.53
43.0 189.53
43.4 379.60
43.4 379.60
43.4 379.60
43.4 379.60
43.5 379.60
43.5 379.60
43.5 379.60
43.6 190.07
43.6 190.07
43.6 190.07
43.7 190.07
43.7 190.07
43.7 190.07
44.1 365.87
44.2 365.87
44.2 365.87
44.3 365.87
44.3 365.87
44.3 365.87
44.4 365.87
44.4 365.87
44.4 175.80
44.5 175.80
44.5 175.80
44.9 356.25
44.9 356.25
44.9 356.25
45.0 356.25
45.0 356.25
45.1 356.25
45.1 356.25
45.1 356.25
45.2 180.45
45.2 180.45
45.6 349.96
45.6 349.96
45.6 349.96
45.6 349.96
45.7 349.96
45.7 349.96
45.7 349.96
45.7 349.96
45.8 349.96
45.9 349.96
45.9 169.51
46.0 169.51
46.4 351.62
46.4 351.62
46.4 351.62
46.5 351.62
46.5 351.62
46.5 351.62
46.6 182.10
46.6 182.10
46.6 182.10
46.6 182.10
46.6 182.10
46.7 182.10
47.1 360.95
47.1 360.95
47.1 360.95
47.1 360.95
47.5 178.85
47.5 178.85
47.5 178.85
47.6 178.85
47.6 178.85
47.6 178.85
48.1 363.62
48.1 184.78
48.1 184.78
48.1 184.78
48.2 184.78
48.2 184.78
48.2 184.78
48.2 184.78
48.3 184.78
48.3 184.78
48.4 184.78
48.4 184.78
48.9 372.90
48.9 372.90
48.9 372.90
49.0 372.90
49.0 372.90
49.1 188.13
49.1 188.13
49.1 188.13
49.2 188.13
49.2 188.13
49.2 188.13
49.2 188.13
49.3 188.13
49.3 188.13
49.7 377.95
49.8 377.95
49.8 377.95
49.8 377.95
49.9 189.82
49.9 189.82
50.0 189.82
50.0 189.82
50.0 189.82
50.0 189.82
50.1 189.82
50.1 189.82
50.2 189.82
50.6 380.54
50.6 380.54
50.6 380.54
50.7 380.54
50.7 380.54
50.8 190.71
50.8 190.71
50.8 190.71
50.9 190.71
50.9 190.71
50.9 190.71
50.9 190.71
51.0 190.71
51.4 380.58
51.4 380.58
51.4 380.58
51.4 380.58
51.5 380.58
51.5 380.58
51.6 189.86
51.6 189.86
51.7 189.86
51.7 189.86
51.7 189.86
52.1 373.04
52.2 373.04
52.2 373.04
52.2 373.04
52.3 373.04
52.3 373.04
52.3 373.04
52.3 373.04
52.4 183.18
52.4 183.18
52.4 183.18
52.5 183.18
52.5 183.18
52.6 183.18
52.7 183.18
53.1 370.31
53.1 370.31
53.1 370.31
53.1 187.14
53.2 187.14
53.2 187.14
53.3 187.14
53.3 187.14
53.4 187.14
53.4 187.14
53.4 187.14
53.5 187.14
53.5 187.14
53.5 187.14
53.9 376.82
54.0 376.82
54.0 376.82
54.0 376.82
54.0 376.82
54.1 189.68
54.1 189.68
54.2 189.68
54.2 189.68
54.2 189.68
54.3 189.68
54.3 189.68
54.7 378.67
54.8 378.67
54.8 378.67
54.8 378.67
54.9 378.67
54.9 378.67
55.0 188.99
55.0 188.99
55.1 188.99
55.2 188.99
55.5 369.70
55.6 369.70
55.6 369.70
55.6 369.70
55.6 369.70
55.7 369.70
55.7 369.70
55.8 180.70
55.8 180.70
55.8 180.70
55.9 180.70
55.9 180.70
55.9 180.70
56.0 180.70
56.0 180.70
56.4 362.83
56.5 362.83
56.5 362.83
56.6 182.13
56.6 182.13
56.6 182.13
56.7 182.13
56.7 182.13
56.8 182.13
56.8 182.13
56.8 182.13
56.9 182.13
56.9 182.13
56.9 182.13
56.9 182.13
57.3 359.10
57.4 359.10
57.4 359.10
57.4 176.97
57.5 176.97
57.6 176.97
57.6 176.97
57.6 176.97
57.6 176.97
57.7 176.97
57.7 176.97
57.8 176.97
57.8 176.97
57.8 176.97
58.2 362.45
58.2 362.45
58.3 362.45
58.4 185.48
58.4 185.48
58.5 185.48
58.5 185.48
58.5 185.48
58.6 185.48
58.6 185.48
58.8 185.48
58.9 185.48
58.9 185.48
59.1 272.59
59.1 272.59
59.2 272.59
59.2 87.11
59.3 87.11
59.3 87.11
59.4 87.11
59.4 87.11
59.4 87.11
59.4 87.11
59.5 87.11
59.6 87.11
60.0 259.64
60.0 259.64
60.0 259.64
60.1 259.64
60.1 172.53
60.1 172.53
60.1 172.53
60.1 172.53
60.2 172.53
60.2 172.53
60.2 172.53
60.6 342.46
60.7 342.46
60.7 342.46
60.7 342.46
60.7 342.46
60.8 342.46
60.8 342.46
60.9 342.46
60.9 342.46
61.0 342.46
61.0 342.46
61.0 169.94
61.1 169.94
61.1 169.94
61.5 340.29
61.5 340.29
61.6 340.29
61.6 170.35
61.7 170.35
61.7 170.35
61.7 170.35
61.8 170.35
61.8 170.35
61.8 170.35
61.9 170.35
61.9 170.35
62.0 170.35
62.0 170.35
62.1 170.35
62.5 346.47
62.5 346.47
62.5 176.12
62.6 176.12
62.6 176.12
62.6 176.12
62.7 176.12
62.7 176.12
62.7 176.12
62.8 176.12
62.8 176.12
62.8 176.12
62.9 176.12
63.0 176.12
63.0 176.12
63.4 344.76
63.4 344.76
63.4 344.76
63.5 168.64
63.5 168.64
63.6 168.64
63.6 168.64
63.7 168.64
63.7 168.64
63.7 168.64
64.1 343.90
64.1 343.90
64.2 343.90
64.2 343.90
64.3 343.90
64.3 343.90
64.4 343.90
64.4 175.26
64.4 175.26
64.5 175.26
64.5 175.26
64.5 175.26
64.8 297.69
65.0 297.69
65.0 297.69
65.1 297.69
65.1 122.43
65.1 122.43
65.2 122.43
65.2 122.43
65.3 122.43
65.3 122.43
65.4 122.43
65.4 122.43
65.7 261.22
65.7 261.22
65.8 261.22
65.8 138.79
65.8 138.79
65.9 138.79
65.9 138.79
66.0 138.79
66.0 138.79
66.0 138.79
66.1 138.79
66.1 138.79
66.1 138.79
66.5 305.18
66.5 305.18
66.6 305.18
66.6 305.18
66.7 305.18
66.7 166.38
66.8 166.38
66.8 166.38
66.8 166.38
66.9 166.38
66.9 166.38
67.0 166.38
67.3 332.35
67.4 332.35
67.4 332.35
67.4 332.35
67.4 332.35
67.5 165.97
67.5 165.97
67.6 165.97
67.6 165.97
67.7 165.97
67.7 165.97
67.7 165.97
67.8 165.97
67.9 165.97
67.9 165.97
68.3 341.01
68.4 175.04
68.4 175.04
68.4 175.04
68.5 175.04
68.5 175.04
68.6 175.04
68.6 175.04
68.6 175.04
68.7 175.04
68.7 175.04
68.7 175.04
68.7 175.04
68.8 175.04
69.0 251.35
69.3 251.35
69.4 76.31
69.4 76.31
69.4 76.31
69.5 76.31
69.5 76.31
69.5 76.31
69.5 76.31
69.9 262.66
69.9 262.66
69.9 262.66
70.0 186.34
70.0 186.34
70.2 186.34
70.2 186.34
70.2 186.34
70.3 186.34
70.3 186.34
70.7 360.96
70.7 360.96
70.8 360.96
70.8 360.96
70.8 360.96
70.8 360.96
70.9 360.96
70.9 174.62
71.0 174.62
71.0 174.62
71.0 174.62
71.1 174.62
71.2 174.62
71.6 353.26
71.6 353.26
71.6 353.26
71.6 353.26
71.7 178.65
71.8 178.65
71.8 178.65
71.8 178.65
71.8 178.65
71.9 178.65
71.9 178.65
72.0 178.65
72.0 178.65
72.0 178.65
72.4 345.60
72.5 345.60
72.5 345.60
72.5 345.60
72.6 166.95
72.6 166.95
72.6 166.95
72.7 166.95
72.8 166.95
72.8 166.95
72.8 166.95
72.9 166.95
72.9 166.95
72.9 166.95
73.2 313.31
73.3 313.31
73.3 313.31
73.4 313.31
73.5 146.36
73.5 146.36
73.5 146.36
73.6 146.36
73.6 146.36
73.7 146.36
73.7 146.36
73.8 146.36
73.8 146.36
74.1 278.30
74.2 278.30
74.2 278.30
74.2 278.30
74.3 131.94
74.3 131.94
74.4 131.94
74.4 131.94
74.4 131.94
74.5 131.94
74.5 131.94
74.5 131.94
74.5 131.94
74.6 131.94
74.6 131.94
75.0 276.28
75.0 276.28
75.1 276.28
75.1 276.28
75.1 144.34
75.1 144.34
75.2 144.34
75.2 144.34
75.3 144.34
75.3 144.34
75.3 144.34
75.4 144.34
75.4 144.34
75.5 144.34
75.5 144.34
75.8 272.96
75.8 272.96
75.9 272.96
75.9 272.96
76.0 128.62
76.1 128.62
76.1 128.62
76.2 128.62
76.3 128.62
76.3 128.62
76.4 128.62
76.5 128.62
76.5 128.62
