sec bitrateReceivedKbit
0.0 110.53
0.0 110.53
0.1 110.53
0.1 110.53
0.2 132.78
0.2 132.78
0.3 132.78
0.3 132.78
0.4 164.37
0.4 164.37
0.4 164.37
0.5 164.37
0.6 196.98
0.6 196.98
1.0 196.98
1.0 209.98
1.0 209.98
1.0 99.45
1.0 99.45
1.1 143.68
1.1 143.68
1.1 143.68
1.1 143.68
1.2 161.58
1.3 161.58
1.3 161.58
1.3 161.58
1.4 189.45
1.4 189.45
1.8 125.24
1.8 148.53
1.8 148.53
1.8 148.53
1.8 148.53
1.9 188.54
2.0 188.54
2.0 188.54
2.0 188.54
2.1 210.16
3.0 34.62
3.0 60.10
3.0 60.10
4.0 25.48
4.0 91.40
4.0 124.53
4.0 143.94
4.0 160.24
4.0 192.02
4.2 204.62
4.3 204.62
4.3 204.62
5.2 24.78
5.9 24.78
5.9 50.26
5.9 115.93
5.9 141.60
6.0 172.00
6.0 267.76
6.0 286.47
7.6 0.00
9.1 26.37
9.1 63.30
9.1 96.42
9.1 132.51
9.1 132.51
9.2 210.21
9.3 210.21
9.4 284.18
9.4 317.81
9.4 334.85
9.5 367.74
9.5 422.96
9.8 422.96
9.9 448.15
9.9 462.35
10.0 508.27
10.0 522.70
10.0 543.90
10.0 543.90
10.0 565.65
10.0 565.65
10.1 585.22
10.1 596.81
10.5 229.07
10.5 200.53
10.5 200.53
10.6 240.40
10.7 240.40
10.7 240.40
10.7 263.73
10.7 263.73
10.7 263.73
10.8 273.31
10.8 273.31
11.2 99.46
11.2 124.25
11.2 124.25
11.2 124.25
11.3 124.25
11.3 144.04
11.3 158.44
11.4 172.67
11.4 185.83
11.4 199.00
11.5 217.35
11.5 217.35
11.6 217.35
11.7 215.62
12.1 182.70
12.1 202.82
12.2 219.62
12.2 219.62
12.2 233.55
12.2 208.77
12.3 223.24
12.3 220.50
12.3 220.50
12.4 214.94
12.5 218.27
12.6 215.02
12.6 245.33
12.6 245.33
13.1 207.19
13.1 235.50
13.2 215.38
13.2 198.59
13.2 198.59
13.2 206.14
13.3 203.53
13.4 227.90
13.4 227.90
13.4 222.98
13.4 222.98
13.4 222.98
13.5 209.94
13.5 212.52
13.9 140.43
14.0 164.88
14.0 188.90
14.1 215.01
14.1 215.01
14.2 214.90
14.2 214.90
14.2 239.69
14.3 218.21
14.3 231.89
14.7 141.25
14.8 166.27
14.8 189.38
14.9 227.27
15.0 227.27
15.0 201.00
15.0 201.00
15.1 195.74
15.1 221.04
15.1 221.04
15.2 192.84
15.6 154.37
15.6 172.21
15.7 186.14
15.7 197.74
15.7 207.33
15.7 220.10
15.7 228.74
15.8 228.74
15.8 230.85
15.8 207.74
16.0 243.62
16.0 243.62
16.2 175.27
16.3 189.10
16.3 189.10
16.3 189.10
16.4 217.55
16.4 217.55
16.4 217.55
16.5 249.74
16.5 249.74
16.5 249.74
16.5 249.74
16.6 290.18
16.6 290.18
17.0 188.67
17.0 137.46
17.0 137.46
17.1 137.46
17.1 174.95
17.2 174.95
17.2 174.95
17.3 200.69
17.3 200.69
17.3 200.69
17.4 211.56
17.4 211.56
17.8 138.94
17.9 160.30
17.9 160.30
17.9 160.30
18.0 198.06
18.0 198.06
18.0 175.50
18.1 210.77
18.1 210.77
18.2 173.28
18.2 208.84
18.3 208.84
18.7 129.95
18.7 154.23
18.7 154.23
18.8 154.23
18.8 154.23
18.8 190.14
18.9 190.14
18.9 168.77
18.9 168.77
19.0 205.64
19.0 205.64
19.0 167.88
19.0 167.88
19.1 198.33
19.1 198.33
19.5 127.50
19.5 151.67
19.6 151.67
19.6 151.67
19.6 182.11
19.7 182.11
19.7 182.11
19.7 182.11
19.8 192.77
19.8 192.77
19.8 192.77
19.8 192.77
19.9 186.34
20.3 119.02
20.3 142.34
20.4 142.34
20.4 142.34
20.4 170.96
20.5 170.96
20.5 170.96
20.6 180.97
20.6 180.97
20.6 180.97
20.7 179.73
20.7 179.73
21.1 115.32
21.1 136.46
21.2 136.46
21.2 136.46
21.2 167.58
21.3 167.58
21.3 167.58
21.4 180.02
21.4 180.02
21.4 180.02
21.5 180.10
21.5 180.10
21.9 116.73
22.0 140.94
22.0 140.94
22.0 140.94
22.0 140.94
22.1 173.05
22.1 173.05
22.1 173.05
22.1 173.05
22.2 184.26
22.2 184.26
22.2 184.26
22.3 182.67
22.3 182.67
22.7 118.20
22.7 134.76
22.8 134.76
22.8 134.76
22.8 134.76
22.9 168.63
22.9 168.63
22.9 168.63
23.0 179.23
23.0 179.23
23.0 179.23
23.1 175.87
23.5 113.99
23.5 130.96
23.6 130.96
23.6 130.96
23.7 164.68
23.7 164.68
23.7 164.68
23.8 182.77
23.8 182.77
23.8 182.77
23.9 181.50
24.3 117.94
24.4 142.38
24.4 142.38
24.4 142.38
24.4 142.38
24.5 182.23
24.5 182.23
24.6 165.26
24.6 200.87
24.7 200.87
24.7 200.87
24.7 167.15
24.7 198.87
24.8 198.87
25.1 131.62
25.2 155.24
25.2 155.24
25.2 155.24
25.3 155.24
25.3 190.10
25.4 190.10
25.4 165.66
25.4 196.65
25.5 196.65
25.5 196.65
25.5 196.65
25.6 186.66
25.6 186.66
26.0 119.33
26.0 132.92
26.0 132.92
26.1 132.92
26.1 160.93
26.1 160.93
26.2 160.93
26.2 173.73
26.3 173.73
26.3 173.73
26.3 165.52
26.4 165.52
26.8 104.68
26.8 130.48
26.8 130.48
26.9 130.48
26.9 168.66
27.0 168.66
27.0 168.66
27.1 196.90
27.1 196.90
27.1 168.89
27.1 168.89
27.2 192.58
27.2 192.58
27.6 129.50
27.7 152.49
27.7 152.49
27.8 182.46
27.9 182.46
27.9 182.46
27.9 182.46
28.0 187.84
28.0 187.84
28.0 187.84
28.1 217.98
28.1 176.15
28.2 210.06
28.2 210.06
28.6 186.36
28.6 204.03
28.7 241.07
28.7 218.09
28.8 246.32
28.8 246.32
28.8 221.45
28.9 221.45
