at,ptsMs,latencyMs,frameType
10997,11791,168,P
11038,11833,167,P
11085,11875,172,I
11126,11916,171,B
11166,11958,169,B
11214,12000,176,B
11262,12041,183,P
11301,12083,180,B
11342,12125,179,B
11385,12166,181,B
11430,12208,184,P
11471,12250,182,B
11510,12291,181,B
11910,12333,539,B
11953,12375,540,P
11995,12416,540,B
12037,12458,541,P
12083,12500,544,I
12126,12541,547,B
12165,12583,544,B
12205,12625,542,B
12245,12666,541,P
12287,12708,540,B
12334,12750,546,B
12374,12791,544,B
12414,12833,543,P
12454,12875,541,B
12500,12916,546,B
12540,12958,543,B
12579,13000,541,P
12780,13041,701,B
12823,13083,702,P
12870,13125,706,I
12908,13166,704,B
12950,13208,704,B
12990,13250,702,B
13038,13291,709,P
13078,13333,707,B
13119,13375,705,B
13158,13416,704,B
13949,13458,1452,P
13998,13500,1459,B
14038,13541,1459,B
14078,13583,1457,B
14118,13625,1455,P
14952,13666,2248,B
14999,13708,2252,P
15037,13750,2249,I
15085,13791,2256,B
15126,13833,2255,B
15166,13875,2253,B
15205,13916,2251,P
15246,13958,2250,B
15294,14000,2256,B
15334,14041,2255,B
15374,14083,2253,P
15414,14125,2250,B
15454,14166,2250,B
15503,14208,2256,B
15543,14250,2254,P
15582,14291,2253,B
15622,14333,2251,P
15662,14375,2249,I
15710,14416,2256,B
15750,14458,2254,B
15790,14500,2252,B
15829,14541,2250,P
15879,14583,2257,B
15918,14625,2255,B
15958,14666,2254,B
15997,14708,2251,P
16038,14750,2250,B
16078,14791,2249,B
16852,14833,2981,B
16902,14875,2989,P
16942,14916,2988,B
16982,14958,2986,P
17023,15000,2984,I
17062,15041,2983,B
17110,15083,2989,B
17150,15125,2987,B
17190,15166,2986,P
17230,15208,2984,B
17270,15250,2982,B
17318,15291,2989,B
17358,15333,2987,P
17399,15375,2985,B
17438,15416,2984,B
17485,15458,2989,B
17526,15500,2988,P
17566,15541,2987,B
17606,15583,2985,P
17647,15625,2983,I
17694,15666,2990,B
17734,15708,2988,B
17775,15750,2986,B
17814,15791,2985,P
17854,15833,2983,B
17903,15875,2990,B
17943,15916,2988,P
17982,15958,2986,P
18022,16000,2984,P
18070,16041,2991,B
18110,16083,2989,B
18150,16125,2987,B
20084,16166,4880,P
20125,16208,4879,P
20174,16250,4886,I
20214,16291,4885,B
20253,16333,4882,B
20294,16375,4880,B
20342,16416,4888,P
20383,16458,4886,P
20423,16500,4884,P
20463,16541,4883,P
20503,16583,4881,B
20547,16625,4884,P
20590,16666,4886,B
20630,16708,4884,P
20670,16750,4882,B
20710,16791,4881,B
20753,16833,4882,P
20794,16875,4881,I
20838,16916,4884,B
20878,16958,4882,B
20917,17000,4879,P
20961,17041,4882,B
21002,17083,4881,B
21041,17125,4878,B
21084,17166,4880,P
21125,17208,4879,B
21169,17250,4881,B
21209,17291,4880,B
21253,17333,4882,P
21294,17375,4881,P
21336,17416,4881,B
21376,17458,4880,P
21422,17500,4883,I
21462,17541,4883,B
21502,17583,4881,P
21550,17625,4887,P
21590,17666,4886,P
21625,17708,4879,P
21670,17750,4881,P
21710,17791,4881,P
21758,17833,4887,P
21798,17875,4885,P
21838,17916,4884,P
21878,17958,4882,P
21918,18000,4880,B
21966,18041,4887,B
22006,18083,4885,P
22046,18125,4883,I
22086,18166,4882,P
22125,18208,4879,P
22174,18250,4885,B
22215,18291,4885,B
22254,18333,4883,B
22293,18375,4880,P
22342,18416,4888,P
22382,18458,4886,P
22423,18500,4884,B
22462,18541,4883,P
22502,18583,4881,B
22548,18625,4885,P
22590,18666,4886,P
22630,18708,4883,P
22670,18750,4882,I
22710,18791,4881,B
22752,18833,4881,B
22795,18875,4882,B
22838,18916,4883,P
22878,18958,4882,B
22918,19000,4880,B
22960,19041,4881,B
23001,19083,4880,P
23043,19125,4880,B
23086,19166,4882,B
23126,19208,4880,B
23168,19250,4880,P
23213,19291,4884,B
23254,19333,4883,P
23293,19375,4880,I
23336,19416,4881,B
23375,19458,4879,B
23422,19500,4884,B
23461,19541,4882,P
23502,19583,4881,B
23543,19625,4880,P
23584,19666,4880,P
23630,19708,4884,P
23670,19750,4882,P
23709,19791,4880,P
23758,19833,4887,B
23797,19875,4884,B
23838,19916,4884,P
23878,19958,4882,P
23919,20000,4880,I
23966,20041,4887,P
24006,20083,4885,B
24045,20125,4882,P
24086,20166,4882,B
24134,20208,4887,P
24174,20250,4886,B
24214,20291,4885,P
24254,20333,4883,B
24294,20375,4881,P
24342,20416,4888,P
24382,20458,4886,P
24422,20500,4884,P
24462,20541,4883,B
24502,20583,4881,P
24550,20625,4887,I
24590,20666,4886,B
24630,20708,4884,B
24671,20750,4882,B
24710,20791,4880,P
24758,20833,4887,P
24798,20875,4885,P
24838,20916,4884,B
24878,20958,4882,P
24918,21000,4880,B
24962,21041,4883,B
25005,21083,4884,P
25046,21125,4883,P
25086,21166,4882,P
25128,21208,4881,P
25168,21250,4880,I
25210,21291,4881,P
25253,21333,4882,P
25294,21375,4880,B
25334,21416,4880,P
25375,21458,4879,B
25421,21500,4883,B
25461,21541,4882,B
25499,21583,4878,P
25550,21625,4887,B
25590,21666,4886,B
25630,21708,4884,B
25670,21750,4881,P
25750,21791,4921,B
25798,21833,4927,P
25838,21875,4925,I
25878,21916,4924,B
25913,21958,4917,P
25958,22000,4919,P
25996,22041,4917,B
26046,22083,4925,B
26085,22125,4922,B
26126,22166,4922,P
26166,22208,4920,B
26206,22250,4918,P
26254,22291,4925,P
26293,22333,4922,B
26334,22375,4921,B
26614,22416,5160,B
26656,22458,5160,P
26702,22500,5164,I
26742,22541,5163,P
26782,22583,5161,P
26830,22625,5167,P
26870,22666,5166,P
26910,22708,5164,P
26950,22750,5162,B
26989,22791,5160,B
27037,22833,5166,P
27078,22875,5165,B
27118,22916,5164,B
27158,22958,5162,B
27205,23000,5167,P
27246,23041,5167,B
27286,23083,5165,P
27326,23125,5163,I
27366,23166,5162,B
27414,23208,5168,B
27454,23250,5166,B
27495,23291,5165,P
27534,23333,5163,B
27574,23375,5161,B
27622,23416,5168,B
27663,23458,5166,P
27702,23500,5164,B
27742,23541,5163,B
27782,23583,5161,B
27828,23625,5165,P
27996,23666,5292,B
28046,23708,5300,P
28086,23750,5298,I
28120,23791,5291,B
28162,23833,5291,B
28205,23875,5292,B
28245,23916,5291,P
28294,23958,5298,B
28334,24000,5296,B
28373,24041,5294,B
28413,24083,5292,P
28462,24125,5299,B
28502,24166,5298,B
28541,24208,5295,B
28582,24250,5294,P
28847,24291,5518,B
28895,24333,5524,P
28934,24375,5521,I
28974,24416,5520,B
29022,24458,5526,B
29062,24500,5524,B
29102,24541,5523,P
29142,24583,5521,B
29182,24625,5519,B
29230,24666,5526,B
29270,24708,5524,P
29310,24750,5522,B
29350,24791,5521,B
29391,24833,5519,B
29438,24875,5525,P
29687,24916,5733,B
29734,24958,5738,P
29775,25000,5736,I
29814,25041,5735,B
29854,25083,5733,B
29896,25125,5733,B
29942,25166,5738,P
29982,25208,5736,B
30022,25250,5733,B
30062,25291,5733,B
30110,25333,5739,P
30150,25375,5736,B
30190,25416,5736,B
30230,25458,5734,B
30278,25500,5740,P
30513,25541,5934,B
30555,25583,5934,P
30597,25625,5934,I
30639,25666,5935,B
30687,25708,5940,B
30726,25750,5938,B
30765,25791,5936,P
30805,25833,5934,B
30847,25875,5933,B
30894,25916,5939,B
30934,25958,5938,P
30974,26000,5936,B
31022,26041,5942,B
31063,26083,5941,B
31102,26125,5939,P
31322,26166,6118,B
31366,26208,6120,P
31414,26250,6126,I
31454,26291,6125,B
31494,26333,6122,B
31534,26375,6121,B
31574,26416,6119,P
31622,26458,6126,B
31661,26500,6123,B
31702,26541,6123,B
31742,26583,6121,P
31782,26625,6119,B
31830,26666,6126,B
31870,26708,6124,B
31910,26750,6122,P
32107,26791,6278,B
32150,26833,6279,P
32198,26875,6285,I
32238,26916,6284,B
32278,26958,6282,B
32317,27000,6279,B
32366,27041,6287,P
32406,27083,6285,B
32446,27125,6283,B
32486,27166,6282,B
32526,27208,6280,P
32574,27250,6286,B
32614,27291,6285,B
32654,27333,6283,B
32694,27375,6281,P
32929,27416,6475,B
32974,27458,6478,P
33014,27500,6476,I
33054,27541,6475,B
33096,27583,6475,B
33142,27625,6479,B
33181,27666,6477,P
33222,27708,6475,B
33270,27750,6482,B
33310,27791,6481,B
33350,27833,6479,P
33390,27875,6477,B
33430,27916,6476,B
33478,27958,6482,B
33518,28000,6480,P
33711,28041,6632,B
33758,28083,6637,P
33797,28125,6634,I
33838,28166,6634,B
33877,28208,6631,B
33926,28250,6638,B
33966,28291,6637,P
34006,28333,6635,B
34045,28375,6632,B
34094,28416,6640,B
34134,28458,6638,P
34173,28500,6635,B
34214,28541,6635,B
34262,28583,6641,B
34301,28625,6638,P
34521,28666,6817,B
34566,28708,6820,P
