at_sec latencyMs frameType
0.000 168 P
1.040 541 P
2.041 709 P
3.001 1459 B
4.002 2252 P
5.000 2251 P
6.026 2984 I
7.025 2984 P
9.087 4880 P
9.128 4879 P
10.005 4881 B
11.009 4885 P
12.004 4880 P
13.009 4885 B
14.008 4884 P
15.049 4925 B
16.040 5166 P
17.049 5300 P
18.025 5526 B
19.025 5733 B
20.025 5942 B
21.110 6278 B
22.017 6476 I
23.009 6635 B
24.033 6826 B
25.191 7234 B
26.037 7413 P
27.017 7601 B
28.010 7843 B
29.025 8109 P
30.033 8409 B
31.095 8763 B
32.033 8909 B
33.017 9060 B
34.009 9218 P
35.016 9475 I
36.009 9635 B
37.001 9752 B
38.003 10046 B
39.025 10193 P
40.016 10350 B
41.039 10582 B
42.009 10717 B
43.033 10867 B
44.133 11176 B
45.009 11302 B
46.041 11375 B
47.083 11626 B
48.071 11989 B
49.033 12201 B
50.041 12459 P
51.018 12644 P
52.176 12969 P
53.085 13253 P
54.000 13501 P
55.033 13659 B
56.009 13843 P
57.016 14142 B
58.262 14680 P
59.154 14947 B
60.033 15159 P
61.002 15211 B
62.009 15468 P
63.001 15794 P
64.168 16211 B
65.041 16375 I
66.009 16510 P
67.009 16718 P
68.360 17278 P
69.265 17516 P
70.009 17552 B
71.009 17761 B
72.001 18002 B
73.009 18260 P
74.156 18699 B
75.022 18940 P
76.094 19220 P
77.009 19636 P
78.025 19734 B
79.009 19928 B
80.017 20101 I
81.009 20343 P
82.025 20443 B
83.026 20694 P
84.076 21160 P
85.008 21468 P
86.025 21776 P
87.033 22117 I
88.024 22443 B
89.033 22742 B
90.001 23085 B
91.017 23393 B
92.009 23635 B
93.025 23943 B
94.017 24268 B
95.156 24700 B
96.009 24885 P
97.000 25126 B
98.006 25340 P
99.009 25552 B
100.046 25839 B
101.025 26151 P
102.001 26378 P
103.000 26669 P
104.017 26851 B
105.009 27093 P
106.010 27386 P
107.001 27545 B
108.014 27641 P
109.043 27962 P
110.012 28096 P
111.017 28226 B
112.221 28639 P
113.151 28944 P
114.059 29227 P
115.033 29451 P
116.025 29609 B
117.033 29827 B
118.040 29959 P
119.008 30217 P
