sec bitrateReceivedKbit
0.0 110.53
0.0 112.74
0.1 114.80
0.1 116.48
0.2 138.73
0.2 142.68
0.3 146.14
0.3 147.91
0.4 179.50
0.4 185.71
0.4 190.27
0.5 192.69
0.6 225.30
0.6 228.85
1.0 404.78
1.0 417.78
1.0 423.10
1.0 316.08
1.0 319.29
1.1 359.25
1.1 364.74
1.1 367.15
1.1 370.17
1.2 384.11
1.3 390.48
1.3 396.06
1.3 400.06
1.4 426.16
1.4 431.63
1.8 535.54
1.8 558.83
1.8 564.89
1.8 569.02
1.8 571.95
1.9 611.96
2.0 444.70
2.0 449.94
2.0 453.74
2.1 463.32
3.0 55.58
3.0 81.06
3.0 86.35
4.0 230.58
4.0 309.14
4.0 350.66
4.0 568.92
4.0 596.62
4.0 648.97
4.2 656.27
4.3 666.15
4.3 675.56
5.2 48.93
5.9 211.09
5.9 247.05
5.9 348.57
5.9 573.68
6.0 608.03
6.0 719.48
6.0 738.19
7.6 141.66
9.1 26.37
9.1 76.84
9.1 121.95
9.1 366.60
9.1 369.90
9.2 467.80
9.3 662.39
9.4 745.38
9.4 779.01
9.4 796.05
9.5 828.94
9.5 913.88
9.8 1106.87
9.9 1132.06
9.9 1146.26
10.0 1207.17
10.0 1221.60
10.0 1242.79
10.0 1248.44
10.0 1270.19
10.0 1275.78
10.1 1295.35
10.1 1306.94
10.5 667.35
10.5 615.97
10.5 623.94
10.6 671.86
10.7 676.46
10.7 681.44
10.7 704.77
10.7 710.53
10.7 717.02
10.8 726.60
10.8 730.53
11.2 523.93
11.2 548.71
11.2 554.53
11.2 558.52
11.3 561.85
11.3 585.41
11.3 599.81
11.4 614.04
11.4 627.20
11.4 640.37
11.5 462.49
11.5 462.85
11.6 478.46
11.7 464.07
12.1 601.60
12.1 621.72
12.2 452.06
12.2 459.59
12.2 473.53
12.2 456.01
12.3 465.04
12.3 458.54
12.3 469.60
12.4 464.04
12.5 467.37
12.6 455.78
12.6 470.49
12.6 483.20
13.1 633.18
13.1 469.90
13.2 465.97
13.2 457.36
13.2 460.82
13.2 461.10
13.3 450.79
13.4 464.10
13.4 470.86
13.4 465.94
13.4 469.72
13.4 472.62
13.5 459.58
13.5 462.16
13.9 570.22
14.0 594.67
14.0 618.70
14.1 456.68
14.1 461.15
14.2 467.44
14.2 458.89
14.2 464.50
14.3 455.79
14.3 473.22
14.7 562.37
14.8 590.66
14.8 613.76
14.9 466.89
15.0 475.46
15.0 449.18
15.0 453.87
15.1 448.61
15.1 469.44
15.1 479.93
15.2 448.42
15.6 579.13
15.6 596.97
15.7 610.90
15.7 622.50
15.7 632.09
15.7 644.86
15.7 460.27
15.8 466.90
15.8 465.74
15.8 452.92
16.0 472.13
16.0 473.45
16.2 486.05
16.3 499.88
16.3 508.07
16.3 511.64
16.4 546.08
16.4 551.45
16.4 556.37
16.5 588.56
16.5 595.39
16.5 601.06
16.5 605.82
16.6 452.91
16.6 457.38
17.0 508.50
17.0 455.97
17.0 462.76
17.1 473.31
17.1 510.80
17.2 519.19
17.2 531.42
17.3 449.76
17.3 462.62
17.3 468.74
17.4 463.33
17.4 469.13
17.8 551.54
17.9 572.90
17.9 584.65
17.9 589.58
18.0 457.82
18.0 466.05
18.0 455.67
18.1 473.59
18.1 482.98
18.2 458.57
18.2 473.50
18.3 479.82
18.7 556.14
18.7 580.42
18.7 587.54
18.8 593.66
18.8 599.25
18.8 458.39
18.9 466.29
18.9 451.49
18.9 457.13
19.0 477.32
19.0 486.32
19.0 455.24
19.0 452.94
19.1 471.20
19.1 477.83
19.5 556.37
19.5 580.54
19.6 592.66
19.6 597.79
19.6 628.23
19.7 453.30
19.7 459.59
19.7 465.02
19.8 456.85
19.8 465.60
19.8 472.62
19.8 478.44
19.9 457.54
20.3 541.74
20.3 565.07
20.4 577.74
20.4 582.82
20.4 611.43
20.5 619.74
20.5 453.31
20.6 451.19
20.6 454.78
20.6 466.94
20.7 457.09
20.7 451.23
21.1 541.74
21.1 569.60
21.2 575.58
21.2 580.54
21.2 611.66
21.3 620.05
21.3 631.73
21.4 451.73
21.4 455.27
21.4 467.67
21.5 459.45
21.5 453.66
21.9 545.61
22.0 569.82
22.0 576.27
22.0 582.16
22.0 587.25
22.1 619.35
22.1 627.79
22.1 451.82
22.1 457.47
22.2 455.99
22.2 460.36
22.2 473.09
22.3 451.42
22.3 457.86
22.7 548.14
22.7 564.70
22.8 572.52
22.8 578.10
22.8 583.03
22.9 616.90
22.9 625.10
22.9 454.76
23.0 453.02
23.0 456.55
23.0 469.47
23.1 457.41
23.5 540.47
23.5 557.44
23.6 565.22
23.6 576.34
23.7 610.06
23.7 624.92
23.7 631.09
23.8 454.09
23.8 464.77
23.8 470.74
23.9 455.49
24.3 547.33
24.4 571.77
24.4 579.41
24.4 585.29
24.4 590.26
24.5 451.02
24.5 464.96
24.6 453.42
24.6 470.13
24.7 479.00
24.7 485.42
24.7 457.73
24.7 468.42
24.8 473.98
25.1 559.52
25.2 583.14
25.2 591.12
25.2 597.66
25.3 603.02
25.3 455.03
25.4 470.38
25.4 451.69
25.4 464.18
25.5 472.86
25.5 479.74
25.5 485.57
25.6 456.21
25.6 463.36
26.0 553.04
26.0 566.63
26.0 580.71
26.1 586.01
26.1 614.02
26.1 628.63
26.2 453.87
26.2 452.15
26.3 455.78
26.3 469.58
26.3 461.37
26.4 453.01
26.8 537.83
26.8 563.63
26.8 572.13
26.9 584.66
26.9 622.83
27.0 456.12
27.0 462.11
27.1 470.98
27.1 480.88
27.1 458.99
27.1 449.99
27.2 468.13
27.2 475.50
27.6 570.56
27.7 601.55
27.7 606.99
27.8 457.02
27.9 458.67
27.9 452.79
27.9 459.52
28.0 464.90
28.0 456.36
28.0 456.87
28.1 487.02
28.1 450.60
28.2 462.86
28.2 468.12
28.6 603.06
28.6 625.13
28.7 474.26
28.7 455.57
28.8 478.36
28.8 483.94
28.8 459.07
28.9 453.90
29.0 487.83
29.0 452.38
29.0 458.18
29.0 455.51
29.1 466.18
29.5 575.68
29.5 601.71
29.5 607.26
29.5 617.55
29.6 469.40
29.6 475.35
29.7 485.54
29.8 451.86
29.8 454.46
29.8 466.92
29.9 458.13
29.9 463.24
30.3 560.37
30.3 577.11
30.3 588.58
30.4 593.95
30.5 632.38
30.5 461.63
30.5 467.01
30.6 457.26
30.6 465.88
30.6 472.97
30.6 479.25
30.7 456.91
30.7 453.18
31.1 544.09
31.1 558.02
31.1 564.85
31.2 575.56
31.2 602.50
31.2 610.50
31.3 622.17
31.3 458.02
31.4 454.87
31.4 461.48
31.4 490.02
31.8 525.18
31.9 542.99
31.9 555.29
31.9 560.08
32.0 587.82
32.0 601.39
32.0 606.26
32.1 638.59
32.1 457.75
32.1 450.94
32.1 449.58
32.2 473.98
32.2 453.46
32.6 533.11
32.7 550.43
32.7 557.23
32.7 567.97
32.8 597.93
32.8 605.94
32.8 612.53
32.8 617.99
32.9 456.19
32.9 453.17
32.9 455.30
32.9 461.45
33.0 456.47
33.0 449.02
33.4 531.87
33.4 549.58
33.5 561.23
33.5 566.40
33.5 597.72
33.6 605.70
33.6 617.20
33.7 456.56
33.7 456.55
33.7 451.32
33.8 474.98
33.8 450.66
34.1 519.78
34.2 536.72
34.2 547.75
34.2 552.47
34.3 582.77
34.3 590.35
34.3 601.65
34.4 453.54
34.4 468.33
34.5 455.39
34.5 462.71
34.5 468.58
34.9 519.82
35.0 534.70
35.0 541.25
35.0 551.13
35.1 576.93
35.1 590.14
35.1 594.35
35.2 463.66
35.2 453.34
35.2 447.58
35.3 474.98
35.3 450.40
35.7 530.42
35.7 547.62
35.8 559.48
35.8 564.49
35.8 593.90
35.9 607.41
35.9 612.34
35.9 462.61
36.0 455.46
36.0 455.06
36.0 449.78
36.0 472.68
36.1 453.02
36.5 522.31
36.5 547.16
36.5 557.14
36.6 587.30
36.6 601.70
36.6 606.94
36.7 455.54
36.7 465.42
36.7 455.33
36.8 449.42
36.8 471.20
36.8 477.50
37.2 528.46
37.3 543.20
37.3 554.86
37.3 559.07
37.4 590.16
37.4 602.87
37.4 607.62
37.5 460.30
37.5 467.60
37.5 453.03
37.6 473.73
38.0 522.10
38.0 538.04
38.0 549.95
38.1 554.41
38.1 577.98
38.1 585.42
38.2 596.20
38.2 456.54
38.2 462.58
38.3 452.67
38.3 469.85
38.4 476.14
38.8 538.56
38.8 558.69
38.8 563.59
38.8 568.34
38.9 600.00
38.9 606.30
38.9 611.74
39.0 616.62
39.0 467.71
39.0 458.76
