sec bitrateReceivedKbit
0.0 2.22
0.0 4.27
0.1 5.95
0.2 5.95
0.2 9.90
0.2 13.36
0.2 15.14
0.4 15.14
0.4 21.34
0.4 25.90
0.4 28.32
0.5 28.32
0.5 31.86
0.9 31.86
0.9 31.86
0.9 37.18
1.0 40.70
1.0 43.90
1.1 39.63
1.1 45.12
1.1 47.54
1.1 50.55
1.2 46.60
1.2 52.97
1.2 58.54
1.2 62.55
1.3 60.78
1.3 66.25
1.7 49.52
1.8 49.52
1.8 55.58
1.8 59.70
1.8 62.64
1.9 62.64
1.9 71.31
1.9 76.55
1.9 80.35
2.0 68.31
2.0 78.71
2.0 84.53
2.1 89.27
2.9 43.97
3.1 5.30
3.2 15.13
3.2 17.94
3.2 57.16
4.6 0.00
4.6 31.96
4.6 56.10
5.9 0.00
6.0 22.08
6.0 51.00
6.0 56.49
6.8 56.49
6.8 60.44
6.8 68.80
6.8 76.13
9.0 0.00
9.0 13.54
9.0 25.54
9.0 25.54
9.1 34.14
9.1 44.51
9.1 61.54
9.1 68.02
9.3 68.02
9.3 77.03
9.3 77.03
9.4 77.03
9.4 77.03
9.5 106.75
9.7 106.75
9.7 106.75
9.7 106.75
9.8 106.75
9.8 121.74
9.8 132.97
10.2 64.95
10.2 75.94
10.3 79.80
10.3 87.85
10.3 97.43
10.3 100.66
10.4 104.59
10.8 74.87
10.8 54.47
10.8 61.79
10.8 65.56
10.9 65.56
10.9 65.56
10.9 65.56
11.0 65.56
11.1 65.56
11.1 73.89
11.1 89.50
11.2 89.50
11.6 40.84
11.7 40.84
11.7 40.84
11.7 48.38
11.7 48.38
11.8 55.64
11.8 55.64
11.8 57.52
11.8 46.43
11.9 57.50
11.9 57.50
12.0 57.50
12.1 49.17
12.2 33.56
12.2 46.27
12.6 46.27
12.6 46.27
12.7 62.46
12.7 70.65
12.7 74.10
12.8 66.84
12.9 59.14
12.9 48.08
12.9 54.84
13.0 54.84
13.0 58.62
13.0 61.52
13.0 61.52
13.0 61.52
13.0 61.52
13.4 48.81
13.5 48.81
13.6 48.81
13.6 48.81
13.6 53.28
13.7 53.28
13.7 51.13
13.8 31.95
13.8 41.48
13.8 44.72
13.8 48.46
14.3 35.02
14.3 38.29
14.4 38.29
14.5 38.29
14.5 54.95
14.5 54.95
14.5 59.64
14.6 59.64
14.7 55.17
14.7 61.82
14.7 68.74
15.1 38.19
15.1 38.19
15.2 38.19
15.2 38.19
15.2 38.19
15.3 38.19
15.3 44.82
15.3 41.55
15.4 49.23
15.4 51.84
15.5 36.50
15.8 18.23
15.8 18.23
15.8 26.42
15.8 29.99
15.9 35.98
15.9 41.35
15.9 46.27
16.0 46.27
16.0 58.78
16.0 63.53
16.1 63.53
16.1 68.00
16.5 51.09
16.5 49.77
16.6 56.56
16.6 67.11
16.7 67.11
16.7 75.50
16.7 87.74
16.8 79.54
16.8 84.98
16.9 98.52
16.9 82.24
17.0 88.04
17.4 66.31
17.4 66.31
17.4 78.06
17.4 82.99
17.5 82.99
17.5 91.22
17.6 103.41
17.6 86.06
17.7 95.46
17.7 102.72
17.7 100.14
17.8 87.90
17.8 94.22
