sec bitrateReceivedKbit
0.9 175.94
0.9 175.94
0.9 175.94
1.0 175.94
1.0 175.94
1.1 175.94
1.1 175.94
1.1 175.94
1.1 175.94
1.2 175.94
1.2 175.94
1.2 175.94
1.2 175.94
1.3 175.94
1.3 175.94
1.7 360.78
1.8 360.78
1.8 360.78
1.8 360.78
1.8 360.78
1.9 360.78
1.9 184.85
1.9 184.85
1.9 184.85
2.0 184.85
2.0 184.85
2.0 184.85
2.1 184.85
2.9 0.00
3.1 178.84
3.2 178.84
3.2 178.84
3.2 178.84
4.6 188.98
4.6 188.98
4.6 188.98
5.9 181.45
6.0 181.45
6.0 181.45
6.0 181.45
6.8 370.74
6.8 370.74
6.8 370.74
6.8 370.74
9.0 141.66
9.0 141.66
9.0 141.66
9.0 331.24
9.1 331.24
9.1 331.24
9.1 331.24
9.1 331.24
9.3 525.83
9.3 525.83
9.3 525.83
9.4 525.83
9.4 525.83
9.5 525.83
9.7 718.82
9.7 718.82
9.7 718.82
9.8 718.82
9.8 718.82
9.8 718.82
10.2 576.94
10.2 576.94
10.3 576.94
10.3 576.94
10.3 576.94
10.3 382.34
10.4 382.34
10.8 375.81
10.8 375.81
10.8 375.81
10.8 375.81
10.9 375.81
10.9 375.81
10.9 375.81
11.0 375.81
11.1 375.81
11.1 375.81
11.1 375.81
11.2 186.46
11.6 378.06
11.7 378.06
11.7 378.06
11.7 378.06
11.7 378.06
11.8 378.06
11.8 191.60
11.8 191.60
11.8 191.60
11.9 191.60
11.9 191.60
12.0 191.60
12.1 191.60
12.2 191.60
12.2 191.60
12.6 379.72
12.6 188.12
12.7 188.12
12.7 188.12
12.7 188.12
12.8 188.12
12.9 188.12
12.9 188.12
12.9 188.12
13.0 188.12
13.0 188.12
13.0 188.12
13.0 188.12
13.0 188.12
13.0 188.12
13.4 380.98
13.5 380.98
13.6 380.98
13.6 192.86
13.6 192.86
13.7 192.86
13.7 192.86
13.8 192.86
13.8 192.86
13.8 192.86
13.8 192.86
14.3 386.10
14.3 386.10
14.4 386.10
14.5 193.23
14.5 193.23
14.5 193.23
14.5 193.23
14.6 193.23
14.7 193.23
14.7 193.23
14.7 193.23
15.1 386.57
15.1 386.57
15.2 386.57
15.2 386.57
15.2 386.57
15.3 193.34
15.3 193.34
15.3 193.34
15.4 193.34
15.4 193.34
15.5 193.34
15.8 292.54
15.8 292.54
15.8 292.54
15.8 292.54
15.9 292.54
15.9 292.54
15.9 292.54
16.0 292.54
16.0 292.54
16.0 292.54
16.1 99.21
16.1 99.21
16.5 268.74
16.5 268.74
16.6 268.74
16.6 268.74
16.7 268.74
16.7 268.74
16.7 268.74
16.8 169.53
16.8 169.53
16.9 169.53
16.9 169.53
17.0 169.53
17.4 346.29
17.4 346.29
17.4 346.29
17.4 346.29
17.5 176.76
17.5 176.76
17.6 176.76
17.6 176.76
17.7 176.76
17.7 176.76
17.7 176.76
17.8 176.76
17.8 176.76
18.2 360.30
18.2 360.30
18.3 360.30
18.3 360.30
18.4 183.54
18.4 183.54
18.4 183.54
18.5 183.54
18.5 183.54
18.5 183.54
18.6 183.54
18.6 183.54
18.6 183.54
19.0 361.69
19.1 361.69
19.1 361.69
19.1 361.69
19.2 361.69
19.2 361.69
19.2 178.14
19.2 178.14
19.3 178.14
19.3 178.14
19.3 178.14
19.4 178.14
19.4 178.14
19.4 178.14
19.8 357.91
19.9 357.91
19.9 357.91
19.9 357.91
19.9 357.91
20.0 357.91
20.0 357.91
20.0 357.91
20.0 357.91
20.1 179.77
20.1 179.77
20.1 179.77
20.2 179.77
20.2 179.77
20.6 361.91
20.7 361.91
20.7 361.91
20.7 361.91
20.8 361.91
20.8 361.91
20.8 361.91
20.9 182.14
20.9 182.14
20.9 182.14
20.9 182.14
21.0 182.14
21.0 182.14
21.4 364.22
21.5 364.22
21.5 364.22
21.5 364.22
21.5 364.22
21.6 364.22
21.6 364.22
21.6 182.07
21.7 182.07
21.7 182.07
21.8 182.07
21.8 182.07
21.8 182.07
22.2 363.76
22.3 363.76
22.3 363.76
22.3 363.76
22.4 363.76
22.4 363.76
22.4 363.76
22.5 181.69
22.5 181.69
22.6 181.69
22.6 181.69
22.6 181.69
23.0 360.77
23.1 360.77
23.1 360.77
23.1 360.77
23.1 360.77
23.2 360.77
23.2 360.77
23.2 360.77
23.3 179.08
23.3 179.08
23.4 179.08
23.4 179.08
23.4 179.08
23.9 361.93
23.9 361.93
23.9 361.93
24.0 361.93
24.0 182.85
24.1 182.85
24.1 182.85
24.1 182.85
24.2 182.85
24.2 182.85
24.2 182.85
24.3 182.85
24.7 363.17
24.7 363.17
24.8 363.17
24.8 363.17
24.8 363.17
24.9 180.32
24.9 180.32
24.9 180.32
24.9 180.32
25.0 180.32
25.0 180.32
25.0 180.32
25.0 180.32
25.1 180.32
25.1 180.32
25.5 364.21
25.6 364.21
25.6 364.21
25.6 364.21
25.7 364.21
25.7 364.21
25.7 183.89
25.8 183.89
25.8 183.89
25.8 183.89
25.8 183.89
25.9 183.89
25.9 183.89
26.3 363.84
26.4 363.84
26.4 363.84
26.4 363.84
26.4 363.84
26.5 363.84
26.5 179.95
26.5 179.95
26.5 179.95
26.6 179.95
26.7 179.95
26.7 179.95
26.7 179.95
26.7 179.95
27.2 367.86
27.2 367.86
27.2 367.86
27.4 187.90
27.4 187.90
27.4 187.90
27.4 187.90
27.5 187.90
27.5 187.90
27.6 187.90
27.6 187.90
27.6 187.90
27.7 187.90
28.1 353.91
28.1 353.91
28.2 166.01
28.2 166.01
28.3 166.01
28.3 166.01
28.4 166.01
28.4 166.01
28.5 166.01
28.5 166.01
28.5 166.01
28.6 166.01
29.0 350.23
29.1 350.23
29.1 350.23
29.2 184.22
29.2 184.22
29.2 184.22
29.3 184.22
29.3 184.22
29.4 184.22
29.4 184.22
29.4 184.22
29.8 365.70
29.9 365.70
29.9 365.70
29.9 365.70
30.0 365.70
30.0 181.48
30.0 181.48
30.1 181.48
30.1 181.48
30.1 181.48
30.2 181.48
30.2 181.48
30.2 181.48
30.6 369.12
30.7 369.12
30.7 369.12
30.7 369.12
30.8 369.12
30.8 369.12
30.8 369.12
30.8 369.12
30.9 187.64
30.9 187.64
30.9 187.64
30.9 187.64
31.0 187.64
31.0 187.64
31.4 364.19
31.4 364.19
31.4 364.19
31.5 364.19
31.5 364.19
31.5 364.19
31.6 364.19
31.6 176.55
31.7 176.55
31.7 176.55
31.8 176.55
32.2 358.79
32.2 358.79
32.2 358.79
32.2 358.79
32.3 358.79
32.3 358.79
32.4 358.79
32.4 182.24
32.4 182.24
32.5 182.24
32.5 182.24
32.5 182.24
32.5 182.24
32.9 363.21
33.0 363.21
33.0 363.21
33.0 363.21
33.1 363.21
33.1 363.21
33.1 363.21
33.2 180.97
33.2 180.97
33.3 180.97
33.3 180.97
33.7 353.93
33.7 353.93
33.7 353.93
33.8 353.93
33.8 353.93
33.9 353.93
33.9 353.93
33.9 353.93
34.0 172.96
34.0 172.96
34.0 172.96
34.1 172.96
34.1 172.96
34.5 355.52
34.5 355.52
34.5 355.52
34.5 355.52
34.6 355.52
34.6 355.52
34.6 355.52
34.7 182.56
34.7 182.56
34.7 182.56
34.8 182.56
34.8 182.56
34.8 182.56
35.2 363.88
35.3 363.88
35.3 363.88
35.3 363.88
35.4 363.88
35.4 363.88
35.4 363.88
35.5 181.32
35.5 181.32
35.5 181.32
35.6 181.32
35.6 181.32
36.0 360.04
36.0 360.04
36.1 360.04
36.1 360.04
36.1 360.04
36.2 360.04
36.2 360.04
36.2 178.72
36.3 178.72
36.3 178.72
36.3 178.72
36.4 178.72
36.8 357.88
36.8 357.88
36.8 357.88
36.8 357.88
36.9 357.88
36.9 357.88
36.9 357.88
37.0 179.16
37.0 179.16
37.1 179.16
37.1 179.16
37.1 179.16
37.1 179.16
37.5 363.28
37.6 363.28
37.6 363.28
37.6 363.28
37.6 363.28
37.7 363.28
37.7 363.28
37.8 184.12
37.8 184.12
37.8 184.12
37.9 184.12
37.9 184.12
38.3 374.75
38.4 374.75
38.4 374.75
38.4 374.75
38.5 374.75
38.5 374.75
38.5 374.75
38.6 190.63
38.6 190.63
38.6 190.63
38.7 190.63
38.7 190.63
39.1 373.99
39.1 373.99
39.1 373.99
39.2 373.99
39.2 373.99
39.2 373.99
39.2 373.99
39.2 373.99
39.3 183.36
39.3 183.36
39.3 183.36
39.4 183.36
39.4 183.36
39.4 183.36
39.8 363.90
39.9 363.90
39.9 363.90
39.9 363.90
40.0 363.90
40.0 363.90
40.0 363.90
40.1 180.54
40.1 180.54
40.1 180.54
40.2 180.54
40.6 360.18
40.6 360.18
40.6 360.18
40.7 360.18
40.7 360.18
40.7 360.18
40.8 360.18
40.8 360.18
40.9 179.63
40.9 179.63
40.9 179.63
41.3 368.79
41.4 368.79
41.4 368.79
41.4 368.79
41.5 368.79
41.5 368.79
41.5 368.79
41.6 368.79
41.6 189.16
41.6 189.16
41.7 189.16
42.1 378.69
42.1 378.69
42.1 378.69
42.2 378.69
42.3 378.69
42.3 378.69
42.3 378.69
42.4 189.53
42.4 189.53
42.4 189.53
42.5 189.53
42.5 189.53
42.9 379.60
43.0 379.60
43.0 379.60
43.0 379.60
43.0 379.60
43.1 379.60
43.1 379.60
43.1 379.60
43.2 190.07
43.2 190.07
43.2 190.07
43.3 190.07
43.3 190.07
43.7 365.87
43.7 365.87
43.7 365.87
43.8 365.87
43.8 365.87
43.8 365.87
43.8 365.87
43.9 365.87
43.9 175.80
43.9 175.80
44.0 175.80
44.0 175.80
44.4 356.25
44.5 356.25
44.5 356.25
44.5 356.25
44.5 356.25
44.6 356.25
44.6 356.25
44.6 356.25
44.6 356.25
44.7 356.25
44.7 356.25
44.7 180.45
45.1 349.96
45.1 349.96
45.2 349.96
45.2 349.96
45.2 349.96
45.3 349.96
45.3 349.96
45.3 349.96
45.3 349.96
45.4 349.96
45.4 349.96
45.4 169.51
45.5 169.51
45.5 169.51
45.9 351.62
46.0 351.62
46.0 351.62
46.0 351.62
46.0 351.62
46.1 351.62
46.1 351.62
46.1 182.10
46.2 182.10
46.2 182.10
46.2 182.10
46.6 360.95
46.6 360.95
46.7 360.95
46.7 360.95
46.7 360.95
47.0 178.85
47.1 178.85
47.1 178.85
47.1 178.85
47.2 178.85
47.2 178.85
47.6 363.62
47.6 184.78
47.7 184.78
47.7 184.78
47.8 184.78
47.8 184.78
47.8 184.78
47.9 184.78
47.9 184.78
47.9 184.78
47.9 184.78
48.0 184.78
48.4 372.90
48.5 372.90
48.5 372.90
48.5 372.90
48.5 372.90
48.6 372.90
48.6 372.90
48.6 188.13
48.6 188.13
48.7 188.13
48.7 188.13
48.8 188.13
48.8 188.13
48.8 188.13
48.9 188.13
49.3 377.95
49.3 377.95
49.4 377.95
49.4 377.95
49.5 189.82
49.5 189.82
49.5 189.82
49.6 189.82
49.6 189.82
49.6 189.82
49.7 189.82
49.7 189.82
50.1 380.54
50.1 380.54
50.2 380.54
50.2 380.54
50.3 380.54
50.3 190.71
50.3 190.71
50.4 190.71
50.4 190.71
50.4 190.71
50.5 190.71
50.9 380.58
50.9 380.58
51.0 380.58
51.0 380.58
51.0 380.58
51.1 380.58
51.1 380.58
51.2 189.86
51.2 189.86
51.2 189.86
51.2 189.86
51.2 189.86
51.3 189.86
51.7 373.04
51.7 373.04
51.7 373.04
51.8 373.04
51.8 373.04
51.8 373.04
51.9 373.04
51.9 373.04
51.9 183.18
51.9 183.18
52.0 183.18
52.0 183.18
52.0 183.18
52.1 183.18
52.2 183.18
52.6 370.31
52.6 370.31
52.7 370.31
52.7 370.31
52.7 187.14
52.7 187.14
52.8 187.14
52.8 187.14
52.9 187.14
52.9 187.14
53.0 187.14
53.0 187.14
53.0 187.14
53.1 187.14
53.5 376.82
53.5 376.82
53.5 376.82
53.6 376.82
53.6 376.82
53.6 189.68
53.7 189.68
53.7 189.68
53.7 189.68
53.8 189.68
53.8 189.68
53.8 189.68
54.2 378.67
54.3 378.67
54.3 378.67
54.3 378.67
54.4 378.67
54.4 378.67
54.5 378.67
54.5 188.99
54.5 188.99
54.6 188.99
54.7 188.99
55.1 369.70
55.1 369.70
55.1 369.70
55.2 369.70
55.2 369.70
55.2 369.70
55.2 180.70
55.3 180.70
55.3 180.70
55.4 180.70
55.4 180.70
55.4 180.70
55.5 180.70
55.5 180.70
55.6 180.70
56.0 362.83
56.0 362.83
56.0 362.83
56.1 182.13
56.1 182.13
56.2 182.13
56.2 182.13
56.3 182.13
56.3 182.13
56.3 182.13
56.3 182.13
56.4 182.13
56.4 182.13
56.5 182.13
56.5 182.13
56.9 359.10
56.9 359.10
57.0 359.10
57.0 176.97
57.1 176.97
57.1 176.97
57.1 176.97
57.2 176.97
57.2 176.97
57.3 176.97
57.3 176.97
57.3 176.97
57.4 176.97
57.7 362.45
57.8 362.45
57.8 362.45
57.9 185.48
57.9 185.48
58.0 185.48
58.0 185.48
58.1 185.48
58.1 185.48
58.2 185.48
58.4 185.48
58.4 185.48
58.4 185.48
58.6 274.76
58.7 274.76
58.7 274.76
58.8 89.28
58.8 89.28
58.9 89.28
58.9 89.28
59.0 89.28
59.1 89.28
59.1 89.28
59.2 89.28
59.5 261.55
59.6 261.55
59.6 261.55
59.6 261.55
59.6 261.55
59.6 172.27
59.7 172.27
59.7 172.27
59.7 172.27
59.7 172.27
59.8 172.27
59.8 172.27
60.2 342.89
60.2 342.89
60.3 342.89
60.3 342.89
60.3 342.89
60.4 342.89
60.4 342.89
60.5 342.89
60.5 342.89
60.5 342.89
60.6 170.62
60.6 170.62
60.7 170.62
60.7 170.62
61.1 340.37
61.1 340.37
61.2 340.37
61.2 340.37
61.2 169.75
61.3 169.75
61.3 169.75
61.3 169.75
61.4 169.75
61.4 169.75
61.4 169.75
61.5 169.75
61.5 169.75
61.6 169.75
61.6 169.75
62.0 346.66
62.1 346.66
62.1 176.91
62.1 176.91
62.2 176.91
62.2 176.91
62.2 176.91
62.3 176.91
62.3 176.91
62.4 176.91
62.4 176.91
62.4 176.91
62.5 176.91
62.5 176.91
62.6 176.91
62.9 345.43
63.0 345.43
63.0 345.43
63.1 168.52
63.1 168.52
63.2 168.52
63.2 168.52
63.2 168.52
