sec bitrateReceivedKbit
0.2 22.25
0.2 22.25
0.2 22.25
0.2 22.25
0.4 53.84
0.4 53.84
0.4 53.84
0.4 53.84
0.5 86.46
0.5 86.46
0.9 86.46
0.9 99.45
0.9 99.45
1.0 99.45
1.0 99.45
1.1 143.68
1.1 143.68
1.1 143.68
1.1 143.68
1.2 161.58
1.2 161.58
1.2 161.58
1.2 161.58
1.3 189.45
1.3 189.45
1.7 125.24
1.8 148.53
1.8 148.53
1.8 148.53
1.8 148.53
1.9 188.54
1.9 188.54
1.9 188.54
1.9 188.54
2.0 210.16
2.0 210.16
2.0 210.16
2.1 210.16
2.9 60.10
3.1 48.64
3.2 48.64
3.2 91.40
3.2 143.94
4.6 16.30
4.6 48.09
4.6 110.95
5.9 0.00
6.0 61.79
6.0 116.82
6.0 116.82
6.8 116.82
6.8 147.22
6.8 242.98
6.8 261.69
9.0 26.37
9.0 53.54
9.0 96.42
9.0 96.42
9.1 111.42
9.1 132.51
9.1 156.38
9.1 210.21
9.3 210.21
9.3 284.18
9.3 300.34
9.4 367.74
9.4 384.60
9.5 422.96
9.7 422.96
9.7 448.15
9.7 462.35
9.8 494.10
9.8 522.70
9.8 596.81
10.2 386.60
10.2 413.28
10.3 413.28
10.3 453.15
10.3 453.15
10.3 402.51
10.4 395.94
10.8 202.18
10.8 124.25
10.8 144.04
10.8 144.04
10.9 158.44
10.9 172.67
10.9 185.83
11.0 199.00
11.1 244.03
11.1 244.03
11.1 244.03
11.2 282.17
11.6 182.70
11.7 202.82
11.7 219.62
11.7 219.62
11.7 233.55
11.8 233.55
11.8 248.02
11.8 223.24
11.8 220.50
11.9 206.10
11.9 214.94
12.0 218.27
12.1 215.02
12.2 245.33
12.2 245.33
12.6 207.19
12.6 235.50
12.7 215.38
12.7 198.59
12.7 198.59
12.8 206.14
12.9 203.53
12.9 227.90
12.9 227.90
13.0 222.98
13.0 222.98
13.0 222.98
13.0 202.16
13.0 209.94
13.0 212.52
13.4 140.43
13.5 164.88
13.6 188.90
13.6 215.01
13.6 215.01
13.7 214.90
13.7 214.90
13.8 239.69
13.8 239.69
13.8 218.21
13.8 231.89
14.3 141.25
14.3 166.27
14.4 189.38
14.5 227.27
14.5 227.27
14.5 225.02
14.5 225.02
14.6 195.74
14.7 221.04
14.7 221.04
14.7 192.84
15.1 154.37
15.1 172.21
15.2 186.14
15.2 197.74
15.2 207.33
15.3 220.10
15.3 228.74
15.3 230.85
15.4 230.85
15.4 230.85
15.5 243.62
15.8 175.27
15.8 189.10
15.8 189.10
15.8 189.10
15.9 217.55
15.9 217.55
15.9 217.55
16.0 249.74
16.0 249.74
16.0 249.74
16.1 290.18
16.1 290.18
16.5 188.67
16.5 137.46
16.6 137.46
16.6 137.46
16.7 174.95
16.7 174.95
16.7 174.95
16.8 200.69
16.8 200.69
16.9 200.69
16.9 211.56
17.0 211.56
17.4 138.94
17.4 160.30
17.4 160.30
17.4 160.30
17.5 198.06
17.5 198.06
17.6 175.50
17.6 210.77
17.7 210.77
17.7 173.28
17.7 173.28
17.8 208.84
17.8 208.84
18.2 129.95
18.2 154.23
18.3 154.23
18.3 154.23
18.4 190.14
18.4 190.14
18.4 168.77
18.5 205.64
18.5 205.64
18.5 167.88
18.6 167.88
18.6 198.33
18.6 198.33
19.0 127.50
19.1 151.67
19.1 151.67
19.1 151.67
19.2 182.11
19.2 182.11
19.2 182.11
19.2 182.11
19.3 192.77
19.3 192.77
19.3 192.77
19.4 192.77
19.4 186.34
19.4 186.34
19.8 119.02
19.9 142.34
19.9 142.34
19.9 142.34
19.9 142.34
20.0 170.96
20.0 170.96
20.0 170.96
20.0 170.96
20.1 180.97
20.1 180.97
20.1 180.97
20.2 179.73
20.2 179.73
20.6 115.32
20.7 136.46
20.7 136.46
20.7 136.46
20.8 167.58
20.8 167.58
20.8 167.58
20.9 180.02
20.9 180.02
20.9 180.02
20.9 180.02
21.0 180.10
21.0 180.10
21.4 116.73
21.5 140.94
21.5 140.94
21.5 140.94
21.5 140.94
21.6 173.05
21.6 173.05
21.6 173.05
21.7 184.26
21.7 184.26
21.8 184.26
21.8 184.26
21.8 182.67
22.2 118.20
22.3 134.76
22.3 134.76
22.3 134.76
22.4 168.63
22.4 168.63
22.4 168.63
22.5 179.23
22.5 179.23
22.6 179.23
22.6 179.23
22.6 175.87
23.0 113.99
23.1 130.96
23.1 130.96
23.1 130.96
23.1 130.96
23.2 164.68
23.2 164.68
23.2 164.68
23.3 182.77
23.3 182.77
23.4 182.77
23.4 181.50
23.4 181.50
23.9 117.94
23.9 142.38
23.9 142.38
24.0 142.38
24.0 182.23
24.1 182.23
24.1 182.23
24.1 165.26
24.2 200.87
24.2 200.87
24.2 167.15
24.3 198.87
24.7 131.62
24.7 155.24
24.8 155.24
24.8 155.24
24.8 155.24
24.9 190.10
24.9 190.10
24.9 190.10
24.9 190.10
25.0 196.65
25.0 196.65
25.0 196.65
25.0 196.65
25.1 186.66
25.1 186.66
25.5 119.33
25.6 132.92
25.6 132.92
25.6 132.92
25.7 160.93
25.7 160.93
25.7 160.93
25.8 173.73
25.8 173.73
25.8 173.73
25.8 173.73
25.9 165.52
25.9 165.52
26.3 104.68
26.4 130.48
26.4 130.48
26.4 130.48
26.4 130.48
26.5 168.66
26.5 168.66
26.5 168.66
26.5 168.66
26.6 196.90
26.7 168.89
26.7 168.89
26.7 192.58
26.7 192.58
27.2 129.50
27.2 152.49
27.2 152.49
27.4 182.46
27.4 182.46
27.4 182.46
27.4 182.46
27.5 187.84
27.5 187.84
27.6 187.84
27.6 217.98
27.6 217.98
27.7 210.06
28.1 186.36
28.1 204.03
28.2 241.07
28.2 218.09
28.3 218.09
28.3 246.32
28.4 221.45
28.4 221.45
28.5 268.76
28.5 225.21
28.5 225.21
28.6 242.38
29.0 178.33
29.1 204.36
29.1 204.36
29.2 226.61
29.2 226.61
29.2 226.61
29.3 233.46
29.3 205.22
29.4 205.22
29.4 201.41
29.4 201.41
29.8 136.93
29.9 153.67
29.9 153.67
29.9 153.67
30.0 192.10
30.0 192.10
30.0 192.10
30.1 198.18
30.1 198.18
30.1 198.18
30.2 198.18
30.2 181.80
30.2 181.80
30.6 110.82
30.7 124.76
30.7 124.76
30.7 124.76
30.8 151.70
30.8 151.70
30.8 151.70
30.8 151.70
30.9 169.03
30.9 169.03
30.9 169.03
30.9 169.03
31.0 191.42
31.0 153.00
31.4 97.34
31.4 115.15
31.4 115.15
31.5 115.15
31.5 142.90
31.5 142.90
31.6 142.90
31.6 175.23
31.7 175.23
31.7 161.30
31.8 169.47
32.2 113.00
32.2 130.32
32.2 130.32
32.2 130.32
32.3 160.28
32.3 160.28
32.4 160.28
32.4 175.03
32.4 175.03
32.5 175.03
32.5 175.03
32.5 170.06
