at,payloadSizeBytes,frameType
8227,277,B
8269,257,B
8307,210,B
8391,2781,P
8403,494,B
8432,432,B
8474,222,B
8579,3949,P
8594,776,B
8608,570,B
8643,302,B
8746,4077,P
8755,443,B
9128,21992,I
9158,1624,P
9175,665,B
9184,439,B
9195,401,B
9290,5529,P
9304,686,B
9315,512,B
9326,377,B
9414,5018,P
9439,1228,B
9455,697,B
9466,501,B
9529,3484,P
9544,684,B
9935,23106,I
9986,2911,P
10002,757,B
10015,516,B
10025,367,B
10111,5001,P
10133,1084,B
10146,655,B
10157,475,B
10232,4327,P
10257,1300,B
10273,727,B
10284,593,B
11126,3185,P
11126,662,B
11366,22355,I
11366,2895,P
11438,699,B
11438,530,B
11439,352,B
11439,5345,P
11442,897,B
11442,591,B
11442,451,B
11442,4141,P
11442,1135,B
11442,595,B
11442,583,B
11442,2426,P
11442,650,B
12815,23623,I
12815,2038,P
12816,904,B
12816,521,B
12816,511,B
12816,3973,P
12816,958,B
12816,597,B
12816,504,B
12817,4760,P
12817,1235,B
12817,648,B
12817,528,B
12817,3098,P
12817,607,B
14176,22681,I
14177,3185,P
14177,812,B
14177,498,B
14177,423,B
14177,4539,P
14177,1027,B
14178,612,B
14178,444,B
14178,3669,P
14178,1329,B
14178,647,B
14178,583,B
14178,3209,P
14179,686,B
14987,23661,I
15009,3800,P
15009,178,B
15009,157,B
15009,159,B
15010,1715,P
15010,242,B
15010,152,B
15010,2337,P
15010,3092,P
15010,4826,P
15010,651,B
15011,483,B
15011,433,B
15011,2339,P
17259,17708,I
17259,3296,P
17260,748,B
17260,398,B
17260,547,B
17260,1987,P
17260,1410,P
17261,1219,P
17261,2136,P
17261,399,B
17261,1244,P
17261,330,B
17261,760,P
17261,375,B
17261,395,B
17262,23697,I
17278,1875,P
17278,611,B
17278,465,B
17320,2637,P
17320,791,B
17320,505,B
17341,412,B
17341,2984,P
17341,807,B
17341,447,B
17341,463,B
17342,3913,P
17342,2815,P
17342,809,B
17547,24324,I
17548,3500,P
17548,1127,B
17548,2265,P
17548,1836,P
17548,1645,P
17568,2020,P
17609,2184,P
17609,2130,P
17609,2078,P
17609,2033,P
17630,2108,P
17692,4795,P
17692,1659,B
17692,2056,B
17880,24124,I
17899,3149,P
17941,1775,P
17983,3968,P
18003,840,B
18003,559,B
18003,474,B
18003,1772,P
18003,1804,P
18004,2649,P
18004,706,B
18004,2719,P
18004,698,B
18004,2447,P
18004,1448,P
18415,23669,I
18456,3335,P
18456,860,B
18456,513,B
18478,483,B
18479,4984,P
18479,1006,B
18498,575,B
18498,623,B
18560,2916,P
18560,720,B
18560,419,B
18560,392,B
18581,1198,P
18581,491,B
18994,23307,I
19035,3098,P
19035,727,B
19055,499,B
19055,416,B
19055,2474,P
19056,471,B
19097,1800,P
19118,1779,P
19159,1645,P
19180,1646,P
19283,5629,P
19305,1041,B
19348,1951,B
19430,4767,P
19844,23950,I
19883,2515,P
19925,2099,P
19947,942,B
19967,1742,P
19988,908,B
20028,1809,P
20049,962,B
20069,2132,P
20111,1383,B
20153,2884,P
20213,3707,P
20318,5222,P
20380,3789,P
20400,1589,B
20815,23515,I
20876,3539,P
20917,2024,B
20937,1023,B
20958,1374,B
21020,2685,P
21082,3615,P
21123,3046,P
21143,845,B
21186,2270,P
21187,472,B
21207,363,B
21225,1104,P
21245,973,P
21246,322,P
21659,24108,I
21723,3056,P
21781,3003,P
21826,3263,P
21845,559,B
21909,3525,P
21929,800,B
21929,540,B
21929,415,B
21988,3099,P
22013,715,B
22013,476,B
22032,405,B
22051,1710,P
22051,468,B
22484,24154,I
22547,3128,P
22547,408,B
22608,2888,P
22691,4737,P
22711,1012,B
22711,685,B
22711,386,B
22773,2775,P
22774,586,B
22837,2605,P
22877,3163,P
22896,831,B
22917,480,B
22917,386,B
23330,24167,I
23370,2230,P
23416,1741,P
23433,1450,P
23454,1199,P
23498,1596,P
23519,1081,P
23519,476,B
23519,352,B
23577,3391,P
23601,535,B
23601,425,B
23602,326,B
23763,9221,P
23763,165,B
23990,12401,I
24014,1729,P
24034,549,B
24034,475,B
24053,446,B
24117,3556,P
24117,749,B
24138,671,B
24156,615,B
24220,4024,P
24241,854,B
24241,709,B
24258,594,B
24342,5054,P
24363,559,B
24735,21191,I
24775,2820,P
24798,849,B
24818,710,B
24818,609,B
24900,4686,P
24921,1049,B
24940,823,B
24940,706,B
25045,4946,P
25064,1125,B
25085,929,B
25085,764,B
25168,4915,P
25187,725,B
25582,22095,I
25621,2671,P
25641,757,B
25641,711,B
25664,617,B
25748,4720,P
25768,1029,B
25787,843,B
25787,680,B
25869,4408,P
25890,1174,B
25913,908,B
25932,726,B
25995,4445,P
26015,790,B
26427,22943,I
26472,3035,P
26492,891,B
26512,765,B
26512,698,B
26596,4488,P
26616,987,B
26636,821,B
26636,705,B
26720,4609,P
26739,1125,B
26760,835,B
26780,741,B
26844,3806,P
26863,829,B
27253,22268,I
27297,3021,P
27317,808,B
27338,708,B
27338,641,B
27400,3805,P
27420,1077,B
27441,786,B
27460,679,B
27522,4367,P
27543,1094,B
27564,878,B
27585,727,B
27646,3684,P
27667,704,B
28059,22471,I
28100,2916,P
28120,835,B
28142,749,B
28143,634,B
28203,3577,P
28224,1039,B
28246,796,B
28247,668,B
28325,4272,P
28349,1089,B
28371,845,B
28371,676,B
28429,3650,P
28452,733,B
28863,22768,I
28907,2642,P
28926,840,B
28926,747,B
28946,620,B
29010,3890,P
29028,1049,B
29048,788,B
29048,672,B
29130,4471,P
29156,1077,B
29175,811,B
29176,739,B
29234,3588,P
29258,740,B
29669,22759,I
29711,3027,P
29730,806,B
29751,736,B
29752,636,B
29834,4013,P
29834,1055,B
29854,772,B
29877,706,B
29937,4044,P
29956,1166,B
29981,862,B
30000,729,B
30062,3691,P
30062,804,B
30475,22711,I
30514,2070,P
30514,978,B
30538,697,B
30558,617,B
30621,4234,P
30641,1025,B
30661,790,B
30661,676,B
30743,4352,P
30763,1077,B
30787,879,B
30807,736,B
30870,3593,P
30870,739,B
31261,22385,I
31300,2121,P
31323,972,B
31343,769,B
31344,622,B
31426,4215,P
31446,1040,B
31466,817,B
31466,771,B
31548,4331,P
31570,1141,B
31591,811,B
31591,746,B
31673,4076,P
31674,743,B
32085,22856,I
32148,3055,P
32148,955,B
32167,735,B
32187,621,B
32271,4981,P
32291,964,B
32292,778,B
32315,679,B
32397,4451,P
32418,1109,B
32418,802,B
32436,754,B
