ptsMs,latencyMs,frameType
11791,173,P
11833,170,P
11875,175,I
11916,176,B
11958,174,B
12000,176,B
12041,178,P
12083,177,B
12125,184,B
12166,184,B
12208,188,P
12250,187,B
12291,186,B
12333,540,B
12375,542,P
12416,542,B
12458,540,P
12500,545,I
12541,543,B
12583,547,B
12625,548,B
12666,542,P
12708,542,B
12750,543,B
12791,549,B
12833,548,P
12875,546,B
12916,545,B
12958,542,B
13000,545,P
13041,703,B
13083,705,P
13125,704,I
13166,708,B
13208,708,B
13250,707,B
13291,705,P
13333,712,B
13375,711,B
13416,708,B
13458,707,P
13500,705,B
13541,712,B
13583,1528,B
13625,1532,P
13666,1528,B
13708,1537,P
13750,1536,I
13791,1533,B
13833,1532,B
13875,1530,B
13916,1536,P
13958,1534,B
14000,1534,B
14041,1532,B
14083,1530,P
14125,1529,B
14166,1534,B
14208,1533,B
14250,1532,P
14291,2273,B
14333,2279,P
14375,2278,I
14416,2277,B
14458,2274,B
14500,2281,B
14541,2280,P
14583,2278,B
14625,2276,B
14666,2275,B
14708,2280,P
14750,2279,B
14791,2277,B
14833,2276,B
14875,2274,P
14916,3008,B
14958,3014,P
15000,3014,I
15041,3011,B
15083,3010,B
15125,3015,B
15166,3015,P
15208,3012,B
15250,3012,B
15291,3009,B
15333,3016,P
15375,3015,B
15416,3012,B
15458,3010,B
15500,3018,P
15541,3213,B
15583,3221,P
15625,3220,I
15666,3218,B
15708,3215,B
15750,3215,B
15791,3221,P
15833,3219,B
15875,3219,B
15916,3216,P
15958,3214,P
16000,3222,P
16041,3220,B
16083,3218,B
16125,3217,B
16166,4840,P
16208,4844,P
16250,4840,I
16291,4849,B
16333,4847,B
16375,4846,B
16416,4844,P
16458,4840,P
16500,4850,P
16541,4847,P
16583,4845,B
16625,4845,P
16666,4843,B
16708,4848,P
16750,4848,B
16791,4846,B
16833,4843,P
16875,4842,I
16916,4839,B
16958,4846,B
17000,4845,P
17041,4843,B
17083,4841,B
17125,4848,B
17166,4845,P
17208,4845,B
17250,4842,B
17291,4840,B
17333,4845,P
17375,4846,P
17416,4843,B
17458,4843,P
17500,4844,I
17541,4845,B
17583,4841,P
17625,4842,P
17666,4842,P
17708,4842,P
17750,4842,P
17791,4840,P
17833,4840,P
17875,4840,P
17916,4848,P
17958,4840,P
18000,4841,B
18041,4842,B
18083,4840,P
18125,4848,I
18166,4846,P
18208,4840,P
18250,4841,B
18291,4840,B
18333,4840,B
18375,4846,P
18416,4844,P
18458,4842,P
18500,4841,B
18541,4848,P
18583,4846,B
18625,4844,P
18666,4841,P
18708,4848,P
18750,4840,I
18791,4845,B
18833,4843,B
18875,4842,B
18916,4848,P
18958,4846,B
19000,4845,B
19041,4843,B
19083,4842,P
19125,4848,B
19166,4846,B
19208,4844,B
19250,4843,P
19291,4850,B
19333,4847,P
19375,4846,I
19416,4844,B
19458,4841,B
19500,4849,B
19541,4847,P
19583,4844,B
19625,4845,P
19666,4843,P
19708,4848,P
19750,4847,P
19791,4845,P
19833,4844,B
19875,4842,B
19916,4845,P
19958,4844,P
20000,4845,I
20041,4843,P
20083,4841,B
20125,4843,P
20166,4844,B
20208,4842,P
20250,4843,B
20291,4840,P
20333,4843,B
20375,4840,P
20416,4842,P
20458,4841,P
20500,4840,P
20541,4840,B
20583,4846,P
20625,4840,I
20666,4842,B
20708,4840,B
20750,4847,B
20791,4845,P
20833,4839,P
20875,4842,P
20916,4840,B
20958,4847,P
21000,4845,B
21041,4843,B
21083,4841,P
21125,4848,P
21166,4846,P
21208,4844,P
21250,4844,I
21291,4849,P
21333,4848,P
21375,4846,B
21416,4844,P
21458,4842,B
21500,4841,B
21541,4847,B
21583,4844,P
21625,4844,B
21666,4842,B
21708,4847,B
21750,4847,P
21791,4845,B
21833,4843,P
21875,4842,I
21916,4848,B
21958,4844,P
22000,4845,P
22041,4843,B
22083,4842,B
22125,4846,B
22166,4844,P
22208,4844,B
22250,4842,P
22291,4841,P
22333,4842,B
22375,4842,B
22416,4844,B
22458,4841,P
22500,4841,I
22541,4841,P
22583,4846,P
22625,4842,P
22666,4841,P
22708,4842,P
22750,4847,B
22791,4845,B
22833,4839,P
22875,4841,B
22916,4840,B
22958,4846,B
23000,4845,P
23041,4843,B
23083,4841,P
23125,4840,I
23166,4846,B
23208,4844,B
23250,4843,B
23291,4841,P
23333,4847,B
23375,4846,B
23416,4844,B
23458,4842,P
23500,4849,B
23541,4848,B
23583,4845,B
23625,4844,P
23666,4876,B
23708,4881,P
23750,4879,I
23791,4876,B
23833,4883,B
23875,4882,B
23916,4879,P
23958,4878,B
24000,4878,B
24041,4883,B
24083,4881,P
24125,4881,B
24166,4878,B
24208,4876,B
24250,4883,P
24291,5093,B
24333,5093,P
24375,5101,I
24416,5093,B
24458,5099,B
24500,5097,B
24541,5095,P
24583,5101,B
24625,5100,B
24666,5098,B
24708,5096,P
24750,5095,B
24791,5101,B
24833,5099,B
24875,5098,P
24916,5319,B
24958,5326,P
25000,5326,I
25041,5318,B
25083,5321,B
25125,5320,B
25166,5326,P
25208,5324,B
25250,5324,B
25291,5321,B
25333,5328,P
25375,5326,B
25416,5324,B
25458,5322,B
25500,5322,P
25541,5519,B
25583,5525,P
25625,5519,I
25666,5522,B
25708,5520,B
25750,5528,B
25791,5525,P
25833,5524,B
25875,5522,B
25916,5521,B
25958,5527,P
26000,5525,B
26041,5523,B
26083,5522,B
26125,5529,P
26166,5697,B
26208,5700,P
26250,5698,I
26291,5697,B
26333,5703,B
26375,5701,B
26416,5696,P
26458,5698,B
26500,5706,B
26541,5703,B
26583,5701,P
26625,5700,B
26666,5698,B
26708,5703,B
26750,5703,P
26791,5878,B
26833,5884,P
26875,5879,I
26916,5879,B
26958,5886,B
27000,5885,B
27041,5877,P
27083,5882,B
27125,5879,B
27166,5885,B
27208,5884,P
27250,5883,B
27291,5882,B
27333,5878,B
27375,5886,P
27416,6057,B
27458,6057,P
27500,6057,I
27541,6063,B
27583,6061,B
27625,6059,B
27666,6057,P
27708,6065,B
27750,6058,B
27791,6061,B
27833,6059,P
27875,6057,B
27916,6064,B
27958,6062,B
28000,6061,P
28041,6217,B
28083,6217,P
28125,6225,I
28166,6217,B
28208,6221,B
28250,6219,B
28291,6226,P
28333,6216,B
28375,6222,B
28416,6220,B
28458,6218,P
28500,6225,B
28541,6223,B
28583,6220,B
28625,6221,P
28666,6400,B
28708,6409,P
28750,6407,I
28791,6405,B
28833,6404,B
28875,6402,B
28916,6409,P
28958,6407,B
29000,6405,B
29041,6403,B
29083,6402,P
29125,6409,B
29166,6406,B
