pts_sec latencyMs frameType
11.791 173 P
11.833 170 P
11.875 175 I
11.916 176 B
11.958 174 B
12.0 176 B
12.041 178 P
12.083 177 B
12.125 184 B
12.166 184 B
12.208 188 P
12.25 187 B
12.291 186 B
12.333 540 B
12.375 542 P
12.416 542 B
12.458 540 P
12.5 545 I
12.541 543 B
12.583 547 B
12.625 548 B
12.666 542 P
12.708 542 B
12.75 543 B
12.791 549 B
12.833 548 P
12.875 546 B
12.916 545 B
12.958 542 B
13.0 545 P
13.041 703 B
13.083 705 P
13.125 704 I
13.166 708 B
13.208 708 B
13.25 707 B
13.291 705 P
13.333 712 B
13.375 711 B
13.416 708 B
13.458 707 P
13.5 705 B
13.541 712 B
13.583 1528 B
13.625 1532 P
13.666 1528 B
13.708 1537 P
13.75 1536 I
13.791 1533 B
13.833 1532 B
13.875 1530 B
13.916 1536 P
13.958 1534 B
14.0 1534 B
14.041 1532 B
14.083 1530 P
14.125 1529 B
14.166 1534 B
14.208 1533 B
14.25 1532 P
14.291 2273 B
14.333 2279 P
14.375 2278 I
14.416 2277 B
14.458 2274 B
14.5 2281 B
14.541 2280 P
14.583 2278 B
14.625 2276 B
14.666 2275 B
14.708 2280 P
14.75 2279 B
14.791 2277 B
14.833 2276 B
14.875 2274 P
14.916 3008 B
14.958 3014 P
15.0 3014 I
15.041 3011 B
15.083 3010 B
15.125 3015 B
15.166 3015 P
15.208 3012 B
15.25 3012 B
15.291 3009 B
15.333 3016 P
15.375 3015 B
15.416 3012 B
15.458 3010 B
15.5 3018 P
15.541 3213 B
15.583 3221 P
15.625 3220 I
15.666 3218 B
15.708 3215 B
15.75 3215 B
15.791 3221 P
15.833 3219 B
15.875 3219 B
15.916 3216 P
15.958 3214 P
16.0 3222 P
16.041 3220 B
16.083 3218 B
16.125 3217 B
16.166 4840 P
16.208 4844 P
16.25 4840 I
16.291 4849 B
16.333 4847 B
16.375 4846 B
16.416 4844 P
16.458 4840 P
16.5 4850 P
16.541 4847 P
16.583 4845 B
16.625 4845 P
16.666 4843 B
16.708 4848 P
16.75 4848 B
16.791 4846 B
16.833 4843 P
16.875 4842 I
16.916 4839 B
16.958 4846 B
17.0 4845 P
17.041 4843 B
17.083 4841 B
17.125 4848 B
17.166 4845 P
17.208 4845 B
17.25 4842 B
17.291 4840 B
17.333 4845 P
17.375 4846 P
17.416 4843 B
17.458 4843 P
17.5 4844 I
17.541 4845 B
17.583 4841 P
17.625 4842 P
17.666 4842 P
17.708 4842 P
17.75 4842 P
17.791 4840 P
17.833 4840 P
17.875 4840 P
17.916 4848 P
17.958 4840 P
18.0 4841 B
18.041 4842 B
18.083 4840 P
18.125 4848 I
18.166 4846 P
18.208 4840 P
18.25 4841 B
18.291 4840 B
18.333 4840 B
18.375 4846 P
18.416 4844 P
18.458 4842 P
18.5 4841 B
18.541 4848 P
18.583 4846 B
18.625 4844 P
18.666 4841 P
18.708 4848 P
18.75 4840 I
18.791 4845 B
18.833 4843 B
18.875 4842 B
18.916 4848 P
18.958 4846 B
19.0 4845 B
19.041 4843 B
19.083 4842 P
19.125 4848 B
19.166 4846 B
19.208 4844 B
19.25 4843 P
19.291 4850 B
19.333 4847 P
19.375 4846 I
19.416 4844 B
19.458 4841 B
19.5 4849 B
19.541 4847 P
19.583 4844 B
19.625 4845 P
19.666 4843 P
19.708 4848 P
19.75 4847 P
19.791 4845 P
19.833 4844 B
19.875 4842 B
19.916 4845 P
19.958 4844 P
20.0 4845 I
20.041 4843 P
20.083 4841 B
20.125 4843 P
20.166 4844 B
20.208 4842 P
20.25 4843 B
20.291 4840 P
20.333 4843 B
20.375 4840 P
20.416 4842 P
20.458 4841 P
20.5 4840 P
20.541 4840 B
20.583 4846 P
20.625 4840 I
20.666 4842 B
20.708 4840 B
20.75 4847 B
20.791 4845 P
20.833 4839 P
20.875 4842 P
20.916 4840 B
20.958 4847 P
21.0 4845 B
21.041 4843 B
21.083 4841 P
21.125 4848 P
21.166 4846 P
21.208 4844 P
21.25 4844 I
21.291 4849 P
21.333 4848 P
21.375 4846 B
21.416 4844 P
21.458 4842 B
21.5 4841 B
21.541 4847 B
21.583 4844 P
21.625 4844 B
21.666 4842 B
21.708 4847 B
21.75 4847 P
21.791 4845 B
21.833 4843 P
21.875 4842 I
21.916 4848 B
21.958 4844 P
22.0 4845 P
22.041 4843 B
22.083 4842 B
22.125 4846 B
22.166 4844 P
22.208 4844 B
22.25 4842 P
22.291 4841 P
22.333 4842 B
22.375 4842 B
22.416 4844 B
22.458 4841 P
22.5 4841 I
22.541 4841 P
22.583 4846 P
22.625 4842 P
22.666 4841 P
22.708 4842 P
22.75 4847 B
22.791 4845 B
22.833 4839 P
22.875 4841 B
22.916 4840 B
22.958 4846 B
23.0 4845 P
23.041 4843 B
23.083 4841 P
23.125 4840 I
23.166 4846 B
23.208 4844 B
23.25 4843 B
23.291 4841 P
23.333 4847 B
23.375 4846 B
23.416 4844 B
23.458 4842 P
23.5 4849 B
23.541 4848 B
23.583 4845 B
23.625 4844 P
23.666 4876 B
23.708 4881 P
23.75 4879 I
23.791 4876 B
23.833 4883 B
23.875 4882 B
23.916 4879 P
23.958 4878 B
24.0 4878 B
24.041 4883 B
24.083 4881 P
24.125 4881 B
24.166 4878 B
24.208 4876 B
24.25 4883 P
24.291 5093 B
24.333 5093 P
24.375 5101 I
24.416 5093 B
24.458 5099 B
24.5 5097 B
24.541 5095 P
24.583 5101 B
24.625 5100 B
24.666 5098 B
24.708 5096 P
24.75 5095 B
24.791 5101 B
24.833 5099 B
24.875 5098 P
24.916 5319 B
24.958 5326 P
25.0 5326 I
25.041 5318 B
25.083 5321 B
25.125 5320 B
25.166 5326 P
25.208 5324 B
25.25 5324 B
25.291 5321 B
25.333 5328 P
25.375 5326 B
25.416 5324 B
25.458 5322 B
25.5 5322 P
25.541 5519 B
25.583 5525 P
25.625 5519 I
25.666 5522 B
25.708 5520 B
25.75 5528 B
25.791 5525 P
25.833 5524 B
25.875 5522 B
25.916 5521 B
25.958 5527 P
26.0 5525 B
26.041 5523 B
26.083 5522 B
26.125 5529 P
26.166 5697 B
26.208 5700 P
26.25 5698 I
26.291 5697 B
26.333 5703 B
26.375 5701 B
26.416 5696 P
26.458 5698 B
26.5 5706 B
26.541 5703 B
26.583 5701 P
26.625 5700 B
26.666 5698 B
26.708 5703 B
26.75 5703 P
26.791 5878 B
26.833 5884 P
26.875 5879 I
26.916 5879 B
26.958 5886 B
27.0 5885 B
27.041 5877 P
27.083 5882 B
27.125 5879 B
27.166 5885 B
27.208 5884 P
27.25 5883 B
