sec bitrateReceivedKbit
0.0 2.22
0.0 4.27
0.1 5.95
0.2 28.20
0.2 32.15
0.2 35.61
0.2 37.38
0.4 68.98
0.4 75.18
0.4 79.74
0.4 82.16
0.5 114.78
0.5 118.32
0.9 294.26
0.9 307.25
0.9 312.57
1.0 316.08
1.0 319.29
1.1 359.25
1.1 364.74
1.1 367.15
1.1 370.17
1.2 384.11
1.2 390.48
1.2 396.06
1.2 400.06
1.3 426.16
1.3 431.63
1.7 535.54
1.8 558.83
1.8 564.89
1.8 569.02
1.8 571.95
1.9 611.96
1.9 444.70
1.9 449.94
1.9 453.74
2.0 463.32
2.0 473.72
2.0 479.54
2.1 484.28
2.9 104.06
3.1 232.78
3.2 242.61
3.2 288.18
3.2 379.94
4.6 205.29
4.6 269.03
4.6 356.04
5.9 181.45
6.0 265.32
6.0 349.26
6.0 354.75
6.8 544.04
6.8 578.39
6.8 682.51
6.8 708.55
9.0 168.03
9.0 208.75
9.0 263.62
9.0 453.19
9.1 476.80
9.1 508.26
9.1 549.17
9.1 609.46
9.3 804.06
9.3 887.04
9.3 903.20
9.4 970.60
9.4 987.46
9.5 1055.54
9.7 1248.54
9.7 1273.73
9.7 1287.93
9.8 1319.67
9.8 1363.26
9.8 1448.60
10.2 1028.49
10.2 1066.15
10.3 1070.02
10.3 1117.94
10.3 1127.52
10.3 885.52
10.4 882.87
10.8 652.86
10.8 554.53
10.8 581.64
10.8 585.41
10.9 599.81
10.9 614.04
10.9 627.20
11.0 640.37
11.1 685.40
11.1 693.73
11.1 709.34
11.2 558.12
11.6 601.60
11.7 621.72
11.7 638.51
11.7 646.05
11.7 659.98
11.8 667.25
11.8 495.26
11.8 472.36
11.8 458.54
11.9 455.20
11.9 464.04
12.0 467.37
12.1 455.78
12.2 470.49
12.2 483.20
12.6 633.18
12.6 469.90
12.7 465.97
12.7 457.36
12.7 460.82
12.8 461.10
12.9 450.79
12.9 464.10
12.9 470.86
13.0 465.94
13.0 469.72
13.0 472.62
13.0 451.80
13.0 459.58
13.0 462.16
13.4 570.22
13.5 594.67
13.6 618.70
13.6 456.68
13.6 461.15
13.7 461.04
13.7 458.89
13.8 464.50
13.8 474.03
13.8 455.79
13.8 473.22
14.3 562.37
14.3 590.66
14.4 613.76
14.5 458.79
14.5 475.46
14.5 473.21
14.5 477.90
14.6 448.61
14.7 469.44
14.7 476.09
14.7 454.82
15.1 579.13
15.1 596.97
15.2 610.90
15.2 622.50
15.2 632.09
15.3 451.62
15.3 466.90
15.3 465.74
15.4 473.42
15.4 476.02
15.5 473.45
15.8 486.05
15.8 499.88
15.8 508.07
15.8 511.64
15.9 546.08
15.9 551.45
15.9 556.37
16.0 588.56
16.0 601.06
16.0 605.82
16.1 452.91
16.1 457.38
16.5 508.50
16.5 455.97
16.6 462.76
16.6 473.31
16.7 510.80
16.7 519.19
16.7 531.42
16.8 449.76
16.8 455.19
16.9 468.74
16.9 463.33
17.0 469.13
17.4 551.54
17.4 572.90
17.4 584.65
17.4 589.58
17.5 457.82
17.5 466.05
17.6 455.67
17.6 473.59
17.7 482.98
17.7 452.76
17.7 450.18
