sec bitrateReceivedKbit
0.0 3.95
0.1 7.41
0.1 9.18
0.2 9.18
0.2 15.39
0.2 19.95
0.3 22.37
0.3 22.37
0.4 25.91
0.6 25.91
0.6 25.91
0.6 31.23
0.6 34.74
0.6 37.95
0.7 37.95
0.7 43.44
0.7 47.54
0.7 50.55
0.8 50.55
0.8 60.38
0.9 65.95
0.9 69.96
1.0 69.96
1.0 75.43
1.2 60.04
1.2 55.48
1.2 61.54
1.3 65.66
1.3 68.60
1.3 66.18
1.3 74.86
1.3 80.10
1.4 83.90
1.4 80.35
1.4 90.75
1.5 96.57
1.5 101.31
1.6 101.31
1.6 101.29
1.8 72.14
1.9 66.57
1.9 72.16
1.9 76.40
1.9 79.22
1.9 75.21
1.9 82.38
1.9 87.11
2.0 90.72
2.1 85.25
2.1 94.33
2.1 99.09
2.1 103.75
2.2 103.75
2.2 108.95
2.5 67.72
2.5 61.90
2.5 69.14
2.5 73.30
2.5 77.39
2.5 72.65
2.6 80.31
2.6 85.09
2.6 83.82
2.7 83.82
2.7 93.70
2.7 98.89
2.8 103.11
2.8 103.11
2.9 107.97
3.1 70.73
3.1 65.97
3.1 72.46
3.1 76.45
3.1 79.83
3.2 75.17
3.2 83.38
3.2 88.28
3.2 91.83
3.3 86.63
3.3 97.26
3.4 102.44
3.4 107.10
3.5 107.10
3.5 112.59
3.7 70.75
3.8 65.57
3.8 66.99
3.8 68.25
3.8 69.52
3.8 65.30
3.8 67.23
3.8 68.45
3.9 63.59
3.9 63.59
4.0 63.59
4.0 68.80
4.0 72.66
4.1 76.13
4.1 76.13
4.3 45.60
4.3 45.60
4.3 40.95
4.3 44.14
4.3 48.51
4.4 43.34
4.4 38.67
4.4 38.67
4.5 33.18
4.5 36.38
4.6 36.38
4.6 39.02
4.7 39.02
4.7 42.02
4.7 45.18
5.0 38.07
5.0 32.86
5.0 37.75
5.0 41.47
5.0 37.61
5.0 43.94
5.0 47.98
5.1 51.27
5.1 47.81
5.1 54.26
5.2 57.84
5.2 61.54
5.3 61.54
5.3 55.56
5.4 54.47
5.6 51.28
5.6 48.64
5.6 57.66
5.7 57.66
5.7 57.66
5.7 54.66
5.7 54.66
5.7 51.50
5.8 51.50
5.8 51.50
5.8 51.50
5.9 51.50
6.0 51.50
6.0 64.77
6.0 76.33
6.2 48.91
6.2 45.21
6.3 45.21
6.3 45.21
6.3 51.93
6.3 56.40
6.3 60.19
6.3 60.19
6.4 53.72
6.4 53.72
6.4 59.37
6.5 59.37
6.5 64.95
6.6 64.95
6.6 64.95
6.8 55.94
6.9 55.94
6.9 62.82
6.9 66.92
6.9 70.78
6.9 70.78
7.0 78.83
7.0 83.43
7.0 75.14
7.0 58.70
7.1 64.46
7.1 67.81
7.1 70.94
7.2 70.94
7.2 74.87
7.5 54.24
7.5 54.24
7.5 60.06
7.5 64.05
7.5 67.38
7.5 61.79
7.5 65.56
7.6 65.56
7.6 65.56
7.7 65.56
7.7 65.56
7.8 65.56
7.8 73.89
7.8 89.50
7.9 78.51
8.1 51.26
8.1 47.90
8.1 47.90
8.2 52.30
8.2 52.30
8.2 59.57
8.2 59.57
8.2 67.26
8.2 63.34
8.3 74.40
8.3 74.40
8.4 74.40
8.4 74.40
8.5 74.40
8.5 87.11
8.7 70.21
8.7 70.21
8.8 86.40
8.8 94.58
8.8 97.25
8.8 97.25
8.8 81.64
8.9 81.64
8.9 88.40
8.9 88.40
8.9 92.18
9.0 95.08
9.0 95.08
9.1 95.08
9.1 95.08
9.3 61.52
9.4 61.52
9.4 61.52
9.4 61.52
9.4 65.99
9.5 65.99
9.5 72.39
9.5 76.71
9.5 80.03
9.5 67.32
9.6 73.04
9.6 76.85
9.6 80.09
9.7 80.09
9.7 83.83
10.0 37.93
10.0 35.02
10.0 38.29
10.0 38.29
10.1 38.29
10.1 46.38
10.1 51.86
10.1 54.95
10.1 54.95
10.1 59.64
10.2 59.64
10.3 59.64
10.3 66.29
10.3 70.13
10.4 73.22
10.6 48.98
10.6 45.18
10.6 45.18
10.6 41.94
10.7 41.94
