sec bitrateReceivedKbit
0.6 175.94
0.6 175.94
0.6 175.94
0.6 175.94
0.6 175.94
0.7 175.94
0.7 175.94
0.7 175.94
0.7 175.94
0.8 175.94
0.8 175.94
0.9 175.94
0.9 175.94
1.0 175.94
1.0 175.94
1.2 360.78
1.2 360.78
1.2 360.78
1.3 360.78
1.3 360.78
1.3 360.78
1.3 360.78
1.3 360.78
1.4 360.78
1.4 360.78
1.4 360.78
1.5 360.78
1.5 360.78
1.6 184.85
1.6 184.85
1.8 363.69
1.9 363.69
1.9 363.69
1.9 363.69
1.9 363.69
1.9 363.69
1.9 363.69
1.9 363.69
2.0 363.69
2.1 363.69
2.1 363.69
2.1 363.69
2.1 363.69
2.2 363.69
2.2 178.84
2.5 367.82
2.5 367.82
2.5 367.82
2.5 367.82
2.5 367.82
2.5 367.82
2.6 367.82
2.6 367.82
2.6 367.82
2.7 367.82
2.7 367.82
2.7 367.82
2.8 367.82
2.8 188.98
2.9 188.98
3.1 370.43
3.1 370.43
3.1 370.43
3.1 370.43
3.1 370.43
3.2 370.43
3.2 370.43
3.2 370.43
3.2 370.43
3.3 370.43
3.3 370.43
3.4 370.43
3.4 370.43
3.5 370.43
3.5 181.45
3.7 370.74
3.8 370.74
3.8 370.74
3.8 370.74
3.8 370.74
3.8 370.74
3.8 370.74
3.8 370.74
3.9 370.74
3.9 370.74
4.0 370.74
4.0 370.74
4.0 370.74
4.1 370.74
4.1 189.29
4.3 330.95
4.3 330.95
4.3 330.95
4.3 330.95
4.3 330.95
4.4 330.95
4.4 330.95
4.4 330.95
4.5 330.95
4.5 330.95
4.6 330.95
4.6 330.95
4.7 330.95
4.7 330.95
4.7 141.66
5.0 331.24
5.0 331.24
5.0 331.24
5.0 331.24
5.0 331.24
5.0 331.24
5.0 331.24
5.1 331.24
5.1 331.24
5.1 331.24
5.2 331.24
5.2 331.24
5.3 189.58
5.3 189.58
5.4 189.58
5.6 384.17
5.6 384.17
5.6 384.17
5.7 384.17
5.7 384.17
5.7 384.17
5.7 384.17
5.7 384.17
5.8 384.17
5.8 384.17
5.8 384.17
5.9 384.17
6.0 384.17
6.0 384.17
6.0 194.59
6.2 387.58
6.2 387.58
6.3 387.58
6.3 387.58
6.3 387.58
6.3 387.58
6.3 387.58
6.3 387.58
6.4 387.58
6.4 387.58
6.4 387.58
6.5 387.58
6.5 387.58
6.6 387.58
6.6 192.99
6.8 382.34
6.9 382.34
6.9 382.34
6.9 382.34
6.9 382.34
6.9 382.34
7.0 382.34
7.0 382.34
7.0 382.34
7.0 382.34
7.1 382.34
7.1 382.34
7.1 382.34
7.2 382.34
7.2 189.35
7.5 375.81
7.5 375.81
7.5 375.81
7.5 375.81
7.5 375.81
7.5 375.81
7.5 375.81
7.6 375.81
7.6 375.81
7.7 375.81
7.7 375.81
7.8 375.81
7.8 375.81
7.8 375.81
7.9 186.46
8.1 378.06
8.1 378.06
8.1 378.06
8.2 378.06
8.2 378.06
8.2 378.06
8.2 378.06
8.2 378.06
8.2 378.06
8.3 378.06
8.3 378.06
8.4 378.06
8.4 378.06
8.5 191.60
8.5 191.60
8.7 379.72
8.7 379.72
8.8 379.72
8.8 379.72
8.8 379.72
8.8 379.72
8.8 379.72
8.9 379.72
8.9 379.72
8.9 379.72
8.9 379.72
9.0 379.72
9.0 379.72
9.1 379.72
9.1 188.12
9.3 380.98
9.4 380.98
9.4 380.98
9.4 380.98
9.4 380.98
9.5 380.98
9.5 380.98
9.5 380.98
9.5 380.98
9.5 380.98
9.6 380.98
9.6 380.98
9.6 380.98
9.7 380.98
9.7 192.86
10.0 386.10
10.0 386.10
10.0 386.10
10.0 386.10
10.1 386.10
10.1 386.10
10.1 386.10
10.1 386.10
10.1 386.10
10.1 386.10
10.2 386.10
10.3 386.10
10.3 386.10
10.3 386.10
10.4 193.23
10.6 386.57
10.6 386.57
10.6 386.57
10.6 386.57
10.7 386.57
10.7 386.57
10.7 386.57
10.7 386.57
10.7 386.57
10.8 386.57
10.8 386.57
10.9 386.57
10.9 386.57
11.0 193.34
11.0 193.34
11.1 292.54
11.1 292.54
11.1 292.54
11.2 292.54
11.2 292.54
11.3 292.54
11.3 292.54
11.3 292.54
11.4 292.54
11.4 292.54
11.4 292.54
11.5 292.54
11.5 292.54
11.6 99.21
11.6 99.21
11.8 268.74
11.8 268.74
11.9 268.74
11.9 268.74
11.9 268.74
11.9 268.74
11.9 268.74
11.9 268.74
12.0 268.74
12.1 268.74
12.1 268.74
12.1 268.74
12.2 169.53
12.2 169.53
12.2 169.53
12.5 346.29
12.5 346.29
12.5 346.29
12.5 346.29
12.5 346.29
12.5 346.29
12.6 346.29
12.6 346.29
12.6 346.29
12.7 346.29
12.7 346.29
12.7 346.29
12.8 346.29
12.8 176.76
12.9 176.76
13.1 360.30
13.1 360.30
13.1 360.30
13.1 360.30
13.1 360.30
13.2 360.30
13.2 360.30
13.2 360.30
13.2 360.30
13.3 360.30
13.3 360.30
13.4 360.30
13.4 360.30
13.5 183.54
13.5 183.54
13.7 361.69
13.7 361.69
13.7 361.69
13.8 361.69
13.8 361.69
13.8 361.69
13.8 361.69
13.8 361.69
13.9 361.69
13.9 361.69
13.9 361.69
14.0 361.69
14.0 361.69
14.1 178.14
14.1 178.14
14.3 357.91
14.4 357.91
14.4 357.91
14.4 357.91
14.4 357.91
14.4 357.91
14.4 357.91
14.4 357.91
14.5 357.91
14.6 357.91
14.6 357.91
14.6 357.91
14.7 357.91
14.7 179.77
14.7 179.77
15.0 361.91
15.0 361.91
15.0 361.91
15.0 361.91
15.0 361.91
15.1 361.91
15.1 361.91
15.1 361.91
15.1 361.91
15.2 361.91
15.2 361.91
15.2 361.91
15.3 361.91
15.3 182.14
15.4 182.14
15.6 364.22
15.7 364.22
15.7 364.22
15.7 364.22
15.7 364.22
15.7 364.22
15.8 364.22
15.8 364.22
15.8 364.22
15.8 364.22
15.8 364.22
15.9 364.22
15.9 364.22
16.0 182.07
16.0 182.07
16.3 363.76
16.3 363.76
16.3 363.76
16.3 363.76
16.3 363.76
16.4 363.76
16.4 363.76
16.4 363.76
16.4 363.76
16.4 363.76
16.5 363.76
16.5 363.76
16.5 363.76
16.6 363.76
16.6 363.76
16.9 360.77
16.9 360.77
16.9 360.77
16.9 360.77
16.9 360.77
17.0 360.77
17.0 360.77
17.0 360.77
17.0 360.77
17.1 360.77
17.1 360.77
17.1 360.77
17.2 360.77
17.2 360.77
17.2 360.77
17.5 361.93
17.5 361.93
17.6 361.93
17.6 361.93
17.6 361.93
17.6 361.93
17.6 361.93
17.7 361.93
17.7 361.93
17.7 361.93
17.7 361.93
17.7 361.93
17.8 361.93
17.9 361.93
17.9 361.93
18.1 363.17
18.2 363.17
18.2 363.17
18.2 363.17
18.2 363.17
18.2 363.17
18.3 363.17
18.3 363.17
18.3 363.17
18.3 363.17
18.3 363.17
18.4 363.17
18.4 363.17
18.5 363.17
18.5 363.17
18.8 364.21
18.8 364.21
18.8 364.21
18.8 364.21
18.8 364.21
18.9 364.21
18.9 364.21
18.9 364.21
18.9 364.21
18.9 364.21
19.0 364.21
19.0 364.21
19.0 364.21
19.1 364.21
19.1 364.21
19.4 363.84
19.4 363.84
19.4 363.84
19.4 363.84
19.4 363.84
19.5 363.84
19.5 363.84
19.5 363.84
19.5 363.84
19.6 363.84
19.6 363.84
19.6 363.84
19.7 363.84
19.7 363.84
19.7 363.84
20.0 367.86
20.0 367.86
20.1 367.86
20.1 367.86
20.1 367.86
20.2 367.86
20.2 367.86
20.2 367.86
