sec bitrateReceivedKbit
0.0 22.25
0.0 22.25
0.1 22.25
0.1 22.25
0.2 53.84
0.2 53.84
0.2 53.84
0.3 53.84
0.3 86.46
0.4 86.46
0.6 86.46
0.6 99.45
0.6 99.45
0.6 99.45
0.6 99.45
0.7 143.68
0.7 143.68
0.7 143.68
0.7 143.68
0.8 183.82
0.8 183.82
0.9 183.82
0.9 183.82
1.0 211.70
1.0 211.70
1.2 157.86
1.2 181.14
1.2 181.14
1.3 181.14
1.3 181.14
1.3 221.15
1.3 221.15
1.3 221.15
1.4 188.54
1.4 223.15
1.4 223.15
1.5 223.15
1.5 223.15
1.6 248.63
1.6 235.64
1.8 151.26
1.9 174.42
1.9 174.42
1.9 174.42
1.9 174.42
1.9 217.18
1.9 217.18
1.9 217.18
2.0 189.31
2.1 222.44
2.1 222.44
2.1 222.44
2.1 222.44
2.2 241.85
2.2 241.85
2.5 143.94
2.5 160.24
2.5 160.24
2.5 160.24
2.5 160.24
2.5 192.02
2.6 192.02
2.6 192.02
2.6 166.54
2.7 204.62
2.7 204.62
2.7 204.62
2.8 204.62
2.8 229.41
2.9 206.25
3.1 130.36
3.1 155.84
3.1 155.84
3.1 155.84
3.1 155.84
3.2 192.15
3.2 192.15
3.2 192.15
3.2 172.74
3.3 202.10
3.3 202.10
3.4 202.10
3.4 202.10
3.5 227.77
3.5 227.77
3.7 141.60
3.8 172.00
3.8 172.00
3.8 172.00
3.8 172.00
3.8 185.72
3.8 185.72
3.8 185.72
3.9 179.63
3.9 204.37
4.0 242.98
4.0 242.98
4.0 242.98
4.1 242.98
4.1 236.21
4.3 199.90
4.3 196.91
4.3 196.91
4.3 196.91
4.3 196.91
4.4 212.81
4.4 224.09
4.4 233.84
4.5 225.26
4.5 225.26
4.6 235.21
4.6 235.21
4.7 241.29
4.7 241.29
4.7 241.29
5.0 153.74
5.0 130.13
5.0 130.13
5.0 130.13
5.0 151.22
5.0 151.22
5.0 151.22
5.1 151.22
5.1 156.38
5.1 156.38
5.2 156.38
5.2 156.38
5.3 187.69
5.3 183.84
5.4 183.84
5.6 119.87
5.6 147.87
5.6 147.87
5.7 159.91
5.7 174.60
5.7 187.76
5.7 203.92
5.7 221.39
5.8 238.43
5.8 255.06
5.8 271.32
5.9 288.18
6.0 326.54
6.0 326.54
6.0 311.54
6.2 266.58
6.2 291.77
6.3 305.97
6.3 337.71
6.3 306.41
6.3 306.41
6.3 306.41
6.3 298.06
6.4 312.50
6.4 333.69
6.4 333.69
6.5 355.44
6.5 355.44
6.6 375.02
6.6 386.60
6.8 229.07
6.9 238.89
6.9 238.89
6.9 238.89
6.9 238.89
6.9 278.76
7.0 278.76
7.0 240.40
7.0 240.40
7.0 263.73
7.1 263.73
7.1 263.73
7.1 263.73
7.2 273.31
7.2 273.31
7.5 152.38
7.5 177.16
7.5 177.16
7.5 155.41
7.5 155.41
7.5 175.20
7.5 175.20
