at,ptsMs,latencyMs,frameType
10384,11791,301,P
10422,11833,297,P
10462,11875,295,I
10503,11916,295,B
10551,11958,301,B
10590,12000,298,B
10633,12041,300,P
10671,12083,296,B
10713,12125,296,B
10753,12166,295,B
10800,12208,300,P
10839,12250,297,B
10998,12291,416,B
11042,12333,417,B
11086,12375,419,P
11123,12416,415,B
11170,12458,420,P
11209,12500,417,I
11250,12541,417,B
11296,12583,421,B
11338,12625,421,B
11374,12666,416,P
11418,12708,418,B
11457,12750,415,B
11503,12791,420,B
11542,12833,417,P
11582,12875,415,B
11644,12916,436,B
11687,12958,437,B
11729,13000,437,P
11778,13041,445,B
11818,13083,443,P
11858,13125,441,I
11898,13166,440,B
11938,13208,438,B
11983,13250,441,B
12025,13291,442,P
12061,13333,436,B
12106,13375,439,B
12145,13416,437,B
12188,13458,438,P
12228,13500,436,B
12264,13541,431,B
12307,13583,432,B
12354,13625,437,P
12394,13666,436,B
12434,13708,434,P
12473,13750,431,I
12522,13791,439,B
12562,13833,437,B
12602,13875,435,B
12642,13916,434,P
12681,13958,431,B
12724,14000,432,B
12764,14041,431,B
12810,14083,435,P
12850,14125,433,B
12894,14166,436,B
12937,14208,437,B
12986,14250,444,P
13026,14291,443,B
13066,14333,441,P
13107,14375,439,I
13145,14416,437,B
13186,14458,436,B
13227,14500,435,B
13274,14541,441,P
13311,14583,436,B
13353,14625,436,B
13400,14666,442,B
13439,14708,439,P
13478,14750,436,B
13520,14791,437,B
13563,14833,438,B
13610,14875,443,P
13650,14916,442,B
13687,14958,437,P
13729,15000,437,I
13778,15041,445,B
13818,15083,443,B
13853,15125,436,B
13898,15166,440,P
13937,15208,437,B
13985,15250,443,B
14025,15291,442,B
14064,15333,439,P
14104,15375,437,B
14155,15416,447,B
14202,15458,452,B
14242,15500,450,P
14282,15541,449,B
14321,15583,446,P
14370,15625,453,I
14410,15666,452,B
14449,15708,449,B
14490,15750,448,B
14538,15791,455,P
14578,15833,453,B
14617,15875,450,B
14658,15916,450,P
14702,15958,452,P
14739,16000,447,P
14786,16041,453,B
14826,16083,451,B
14866,16125,449,B
14914,16166,456,P
14954,16208,454,P
14994,16250,452,I
15034,16291,451,B
15073,16333,448,B
15121,16375,454,B
15161,16416,454,P
15201,16458,451,P
15241,16500,449,P
15282,16541,449,P
15324,16583,449,B
15365,16625,448,P
15391,16666,433,B
15433,16708,433,P
15482,16750,441,B
15518,16791,435,B
15562,16833,437,P
15601,16875,434,I
15650,16916,442,B
15686,16958,436,B
15726,17000,434,P
15770,17041,437,B
15810,17083,435,B
15850,17125,433,B
15898,17166,440,P
15938,17208,438,B
15977,17250,435,B
16039,17291,456,B
16089,17333,464,P
16125,17375,458,P
16170,17416,462,B
16209,17458,459,P
16248,17500,457,I
16298,17541,465,B
16337,17583,462,P
16378,17625,461,P
16418,17666,460,P
16455,17708,455,P
16504,17750,462,P
16543,17791,460,P
16583,17833,458,P
16625,17875,458,P
16664,17916,456,P
16709,17958,459,P
16753,18000,461,B
16794,18041,461,B
16834,18083,459,P
16874,18125,457,I
16922,18166,464,P
16962,18208,462,P
17001,18250,459,B
17041,18291,458,B
17081,18333,456,B
17129,18375,463,P
17169,18416,461,P
17209,18458,459,P
17250,18500,458,B
17290,18541,457,P
17335,18583,460,B
17378,18625,461,P
17417,18666,459,P
17457,18708,457,P
17504,18750,463,I
17546,18791,462,B
17586,18833,461,B
17625,18875,458,B
17665,18916,457,P
17714,18958,464,B
17753,19000,461,B
17792,19041,459,B
17832,19083,457,P
17882,19125,465,B
17921,19166,463,B
17962,19208,462,B
18001,19250,459,P
18042,19291,459,B
18082,19333,457,P
18130,19375,463,I
18165,19416,457,B
18210,19458,460,B
18249,19500,457,B
18290,19541,457,P
18332,19583,457,B
18373,19625,456,P
18417,19666,459,P
18457,19708,457,P
18505,19750,463,P
18539,19791,456,P
18586,19833,461,B
18626,19875,459,B
18666,19916,458,P
18714,19958,464,P
18754,20000,462,I
18794,20041,461,P
18833,20083,458,B
18875,20125,459,P
18922,20166,464,B
18961,20208,461,P
19002,20250,460,B
19042,20291,459,P
19083,20333,458,B
19124,20375,457,P
19165,20416,457,P
19209,20458,459,P
19248,20500,456,P
19298,20541,465,B
19337,20583,462,P
19376,20625,459,I
19418,20666,460,B
19458,20708,458,B
19501,20750,459,B
19546,20791,463,P
19581,20833,456,P
19625,20875,458,P
19666,20916,458,B
19709,20958,459,P
19754,21000,462,B
19792,21041,459,B
19831,21083,456,P
19873,21125,456,P
19922,21166,464,P
19956,21208,456,P
20002,21250,460,I
20041,21291,458,P
20090,21333,465,P
20131,21375,464,B
20170,21416,462,P
20209,21458,459,B
20250,21500,458,B
20292,21541,459,B
20332,21583,457,P
20377,21625,460,B
20414,21666,456,B
20457,21708,457,B
20506,21750,464,P
20545,21791,462,B
20585,21833,460,P
20626,21875,459,I
20665,21916,457,B
20714,21958,464,P
20750,22000,458,P
20794,22041,461,B
20831,22083,456,B
20880,22125,463,B
20919,22166,461,P
20959,22208,459,B
21001,22250,459,P
21042,22291,459,P
21087,22333,462,B
21130,22375,463,B
21170,22416,462,B
21209,22458,459,P
21249,22500,457,I
21297,22541,464,P
21337,22583,463,P
21374,22625,457,P
21414,22666,456,P
21456,22708,456,P
21505,22750,463,B
21540,22791,457,B
21586,22833,461,P
21626,22875,459,B
21666,22916,458,B
21714,22958,464,B
21754,23000,462,P
21793,23041,460,B
21834,23083,459,P
21882,23125,465,I
21921,23166,463,B
21962,23208,462,B
21999,23250,457,B
22042,23291,459,P
22082,23333,457,B
22127,23375,460,B
22166,23416,458,B
22206,23458,456,P
22249,23500,457,B
22298,23541,465,B
22338,23583,463,B
22378,23625,461,P
22417,23666,459,B
22457,23708,457,P
22506,23750,464,I
22546,23791,463,B
22586,23833,461,B
22623,23875,456,B
22665,23916,457,P
22706,23958,456,B
22753,24000,461,B
22794,24041,461,B
22834,24083,459,P
22873,24125,456,B
22922,24166,464,B
22956,24208,456,B
23001,24250,459,P
23042,24291,459,B
23090,24333,465,P
23130,24375,463,I
23170,24416,462,B
23210,24458,460,B
23249,24500,457,B
23297,24541,464,P
23338,24583,463,B
23378,24625,461,B
23417,24666,459,B
23457,24708,457,P
23503,24750,461,B
23545,24791,462,B
23585,24833,460,B
23626,24875,459,P
23665,24916,457,B
23707,24958,457,P
23754,25000,462,I
23793,25041,460,B
23834,25083,459,B
23873,25125,456,B
23922,25166,464,P
23956,25208,456,B
24001,25250,459,B
24042,25291,459,B
24082,25333,457,P
24124,25375,457,B
24167,25416,459,B
24209,25458,459,B
24250,25500,458,P
24297,25541,464,B
24332,25583,457,P
24378,25625,461,I
24418,25666,460,B
24457,25708,457,B
24506,25750,464,B
24546,25791,463,P
24581,25833,456,B
24626,25875,459,B
24665,25916,457,B
24709,25958,459,P
