at_sec latencyMs frameType
0.000 301 P
1.034 418 B
2.010 436 B
3.016 442 B
4.026 452 B
5.007 433 B
6.034 460 P
7.033 459 P
8.033 459 P
9.034 460 B
10.030 456 B
11.030 456 P
12.033 459 B
13.033 459 B
14.034 460 B
15.034 460 B
16.026 493 B
17.026 493 P
18.026 493 B
19.026 493 I
20.026 493 B
21.042 509 B
22.034 501 P
23.042 509 B
24.042 509 I
25.033 500 B
26.041 508 B
27.042 509 P
28.042 509 B
29.037 504 I
30.033 500 B
31.014 565 B
32.002 594 B
33.009 685 B
34.024 700 B
35.026 702 P
36.042 1176 B
37.042 1176 B
38.009 1977 I
39.093 1977 B
40.530 2706 B
41.034 2710 B
42.034 2710 P
43.034 2710 B
44.033 2709 B
45.033 2709 P
46.033 2709 B
47.033 2709 P
48.018 2985 P
49.028 3537 P
50.010 3936 P
51.211 4637 P
52.291 5175 P
53.513 5690 B
54.018 5694 B
55.018 6194 P
56.040 6966 P
57.118 7419 B
58.119 7795 P
59.474 8609 P
60.002 8678 P
61.757 10225 B
62.009 10227 B
63.459 11261 B
64.112 11580 B
66.393 13610 B
66.481 13616 P
67.475 14485 B
69.275 15909 B
69.322 15914 P
70.019 16236 B
71.075 17001 P
72.440 17991 P
73.009 18019 B
74.040 18882 P
75.002 19178 P
76.026 19618 B
77.171 20181 P
78.026 20494 B
79.042 20718 B
80.026 21035 B
81.111 21412 B
82.263 21939 B
83.025 22035 P
84.050 22267 B
85.058 22609 P
86.002 23136 P
87.034 23585 B
88.010 24102 B
89.074 24417 P
90.002 24636 P
91.162 24629 P
92.082 24633 P
93.121 24631 P
94.120 24630 P
95.033 24626 I
96.033 24625 P
97.033 24625 P
98.034 24626 P
99.034 24626 P
100.042 24635 I
101.122 24631 P
102.034 24626 P
103.034 24627 P
104.158 24626 P
105.033 24625 I
106.082 24634 P
107.075 24626 P
108.035 24627 P
109.082 24633 P
110.033 24625 I
111.162 24630 P
112.041 24634 P
113.082 24634 P
114.078 24630 P
115.034 24626 I
116.034 24626 P
117.042 24634 P
118.077 24629 P
119.041 24634 P
120.041 24634 I
121.076 24627 P
122.082 24633 P
123.121 24631 P
124.034 24626 P
125.040 24633 I
126.161 24629 P
127.075 24627 P
128.033 24626 P
129.119 24628 P
130.033 24626 I
131.160 24628 P
132.079 24631 P
133.034 24626 P
134.118 24628 P
135.033 24626 I
