at_sec latencyMs
0.078 295
0.825 417
1.474 441
2.089 431
2.723 439
3.345 437
3.986 453
4.610 452
5.217 434
5.864 457
6.490 457
7.120 463
7.746 463
8.370 462
8.992 459
9.618 460
10.242 459
10.865 457
11.498 465
12.122 464
12.746 463
13.370 462
13.994 461
14.617 459
15.241 459
15.906 498
16.530 497
17.154 496
17.778 495
18.402 494
19.026 493
19.650 492
20.284 501
20.913 505
21.537 505
22.162 504
22.786 503
23.410 502
24.042 509
24.658 501
25.289 507
25.914 506
26.533 501
27.161 503
27.786 503
28.410 502
29.037 504
29.665 508
30.288 505
30.978 570
31.621 588
32.272 614
32.970 687
33.594 686
34.233 700
34.864 706
35.953 1171
36.578 1170
38.009 1977
38.634 1976
39.258 1975
40.617 2709
41.242 2709
41.866 2708
42.490 2707
43.122 2714
43.745 2712
44.370 2712
44.993 2711
45.617 2710
46.240 2708
46.866 2708
47.760 2977
48.801 3394
49.971 3938
51.298 4640
52.450 5167
53.602 5694
54.730 6197
56.122 6964
57.210 7427
58.210 7802
59.646 8613
61.890 10232
63.546 11263
66.522 13614
69.582 16049
71.162 17004
72.797 18014
74.439 19031
75.645 19613
76.538 19880
77.777 20494
78.626 20719
79.554 21021
80.386 21228
81.202 21419
82.354 21946
83.071 22038
83.924 22266
84.754 22471
86.041 23133
87.114 23581
88.266 24108
89.195 24412
90.045 24637
90.730 24697
91.287 24629
91.914 24631
92.537 24630
93.162 24629
93.786 24629
94.409 24626
95.033 24626
95.666 24633
96.287 24629
96.907 24625
97.539 24631
98.161 24628
98.786 24628
99.409 24627
100.042 24635
100.657 24625
101.290 24632
101.913 24631
102.538 24631
103.161 24629
103.786 24629
104.409 24627
105.033 24625
105.660 24627
106.290 24632
106.910 24628
107.537 24630
108.160 24628
108.785 24628
109.410 24627
110.033 24625
110.665 24633
111.290 24632
111.914 24632
112.538 24630
113.158 24626
113.786 24629
114.409 24627
115.034 24626
115.665 24633
116.289 24632
116.914 24632
117.537 24630
118.162 24630
118.785 24628
119.410 24627
120.041 24634
120.666 24634
121.286 24629
121.914 24632
122.537 24629
123.162 24629
123.785 24628
124.410 24628
125.040 24633
125.660 24628
126.284 24626
126.909 24627
127.537 24630
128.157 24625
128.786 24628
129.409 24627
130.033 24626
130.660 24628
131.289 24632
131.910 24627
132.538 24631
133.158 24626
133.784 24626
134.408 24625
135.033 24626
