sec bitrateReceivedKbit
0.0 22.25
0.0 26.20
0.1 29.66
0.1 31.43
0.2 63.02
0.2 69.23
0.2 73.79
0.3 76.21
0.3 108.82
0.4 112.37
0.6 288.30
0.6 301.30
0.6 306.62
0.6 310.13
0.6 313.34
0.7 357.57
0.7 363.06
0.7 367.15
0.7 370.17
0.8 410.31
0.8 420.14
0.9 425.71
0.9 429.72
1.0 457.59
1.0 463.06
1.2 578.68
1.2 597.41
1.2 603.46
1.3 607.59
1.3 610.53
1.3 648.12
1.3 656.79
1.3 662.03
1.4 633.22
1.4 664.29
1.4 674.69
1.5 680.50
1.5 685.25
1.6 534.79
1.6 521.78
1.8 587.10
1.9 604.68
1.9 610.27
1.9 614.51
1.9 617.33
1.9 656.08
1.9 663.26
1.9 667.98
2.0 643.72
2.1 671.38
2.1 680.46
2.1 685.22
2.1 689.88
2.2 709.29
2.2 529.64
2.5 579.48
2.5 589.97
2.5 597.20
2.5 601.37
2.5 605.46
2.5 632.50
2.6 640.16
2.6 644.94
2.6 618.19
2.7 656.27
2.7 666.15
2.7 671.34
2.8 675.56
2.8 521.50
2.9 503.20
3.1 571.52
3.1 592.24
3.1 598.74
3.1 602.72
3.1 606.10
3.2 637.75
3.2 645.97
3.2 650.86
3.2 635.01
3.3 659.16
3.3 669.79
3.4 674.97
3.4 679.63
3.5 705.30
3.5 521.81
3.7 583.09
3.8 608.30
3.8 609.73
3.8 610.98
3.8 612.26
3.8 621.75
3.8 623.69
3.8 624.90
3.9 613.96
3.9 638.70
4.0 677.30
4.0 682.51
4.0 686.38
4.1 689.84
4.1 501.62
4.3 576.45
4.3 573.46
4.3 568.82
4.3 572.00
4.3 576.38
4.4 587.10
4.4 593.71
4.4 603.46
4.5 589.39
4.5 592.58
4.6 602.54
4.6 605.18
4.7 611.26
4.7 614.26
4.7 428.13
5.0 523.05
5.0 494.23
5.0 499.12
5.0 502.84
5.0 520.07
5.0 526.40
5.0 530.44
5.1 533.74
5.1 535.43
5.1 541.89
5.2 545.46
5.2 549.17
5.3 438.81
5.3 428.98
5.4 427.89
5.6 555.32
5.6 580.68
5.6 589.70
5.7 601.74
5.7 616.42
5.7 626.58
5.7 642.74
5.7 657.06
5.8 674.10
5.8 690.72
5.8 706.98
5.9 723.85
6.0 762.21
6.0 775.48
6.0 582.46
6.2 703.07
6.2 724.56
