sec bitrateReceivedKbit
0.1 22.25
0.2 22.25
0.2 22.25
0.2 22.25
0.3 53.84
0.3 53.84
0.4 53.84
0.4 53.84
0.5 86.46
0.5 86.46
0.7 86.46
0.7 99.45
0.7 99.45
0.8 99.45
0.8 99.45
0.8 143.68
0.8 143.68
0.8 143.68
0.9 143.68
1.0 183.82
1.0 183.82
1.0 183.82
1.0 183.82
1.1 211.70
1.1 211.70
1.4 157.86
1.4 181.14
1.4 181.14
1.4 181.14
1.4 181.14
1.4 221.15
1.5 221.15
1.5 221.15
1.5 188.54
1.6 223.15
1.6 223.15
1.6 223.15
1.7 223.15
1.7 248.63
1.8 235.64
2.0 151.26
2.0 174.42
2.0 174.42
2.0 174.42
2.0 174.42
2.1 217.18
2.1 217.18
2.1 217.18
2.1 189.31
2.2 222.44
2.2 222.44
2.2 222.44
2.3 222.44
2.3 241.85
2.4 241.85
2.6 143.94
2.6 160.24
2.6 160.24
2.6 160.24
2.6 160.24
2.7 192.02
2.7 192.02
2.7 192.02
2.8 166.54
2.8 204.62
2.8 204.62
2.9 204.62
2.9 204.62
3.0 229.41
3.0 229.41
3.2 130.36
3.3 155.84
3.3 155.84
3.3 155.84
3.3 155.84
3.3 192.15
3.3 192.15
3.3 192.15
3.4 172.74
3.4 202.10
3.5 202.10
3.5 202.10
3.5 202.10
3.6 227.77
3.6 227.77
3.9 141.60
3.9 172.00
3.9 172.00
3.9 172.00
3.9 172.00
3.9 185.72
3.9 185.72
4.0 185.72
4.0 179.63
4.1 204.37
4.1 242.98
4.1 242.98
4.2 242.98
4.2 242.98
4.3 236.21
4.4 199.90
4.5 196.91
4.5 196.91
4.5 196.91
4.5 196.91
4.5 212.81
4.5 224.09
4.6 233.84
4.6 225.26
4.7 225.26
4.7 235.21
4.8 235.21
4.8 241.29
4.8 241.29
4.9 241.29
5.1 153.74
5.1 130.13
5.1 130.13
5.1 130.13
5.2 151.22
5.2 151.22
5.2 151.22
5.2 151.22
5.3 156.38
5.3 156.38
5.3 156.38
5.4 156.38
5.4 187.69
5.5 183.84
5.5 183.84
5.7 119.87
5.8 147.87
5.8 147.87
5.8 159.91
5.8 174.60
5.8 187.76
5.9 203.92
5.9 221.39
5.9 238.43
5.9 255.06
6.0 271.32
6.0 288.18
6.1 326.54
6.1 326.54
6.1 311.54
6.4 266.58
6.4 291.77
6.4 305.97
6.4 337.71
6.5 306.41
6.5 306.41
6.5 306.41
6.5 298.06
6.5 312.50
6.6 333.69
6.6 333.69
6.6 355.44
6.7 355.44
6.7 375.02
6.8 386.60
7.0 229.07
7.0 238.89
7.0 238.89
7.0 238.89
7.0 238.89
7.1 240.40
7.1 240.40
7.1 240.40
7.1 240.40
7.2 263.73
7.2 263.73
7.2 263.73
7.3 263.73
7.3 273.31
7.4 273.31
7.6 152.38
7.6 177.16
7.6 177.16
7.6 155.41
7.7 155.41
7.7 175.20
7.7 175.20
7.7 189.60
7.8 172.67
7.8 185.83
7.8 199.00
7.9 244.03
7.9 244.03
8.0 244.03
8.0 255.49
8.2 192.29
8.3 212.41
8.3 229.20
8.3 229.20
8.3 243.14
8.3 243.14
8.3 257.61
8.3 248.02
8.4 265.08
8.4 265.08
8.5 288.15
8.5 317.81
8.6 359.58
8.6 389.90
8.6 365.11
8.9 290.36
8.9 318.67
8.9 318.67
8.9 273.64
8.9 273.64
9.0 295.12
9.0 324.04
9.0 348.41
9.0 348.41
9.1 328.43
9.1 328.43
9.1 328.43
9.2 337.26
9.2 345.05
9.2 347.62
9.5 242.18
9.5 266.62
9.5 260.99
9.6 287.10
9.6 287.10
9.6 273.52
9.6 243.21
9.6 243.21
9.6 243.21
9.7 268.00
9.7 268.00
9.8 268.00
9.8 268.00
9.8 281.68
9.9 281.68
10.1 160.44
10.1 185.46
10.2 185.46
10.2 199.74
10.2 229.85
10.2 229.85
10.2 229.85
10.2 229.85
10.3 249.47
10.3 249.47
10.3 270.31
10.4 295.62
10.4 295.62
10.5 295.62
10.5 295.62
10.7 168.05
10.8 185.89
10.8 199.82
10.8 211.42
10.8 221.01
10.8 233.78
10.8 242.42
10.8 242.42
10.9 228.74
10.9 255.87
11.0 255.87
11.0 255.87
11.0 255.87
11.2 304.62
11.2 304.62
11.3 243.62
11.3 235.25
11.3 235.25
11.3 235.25
11.3 235.25
11.4 217.55
11.4 217.55
11.5 217.55
11.5 217.55
11.6 249.74
11.6 249.74
11.6 249.74
11.7 249.74
11.7 290.18
11.8 290.18
12.0 188.67
